Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.127,0.157,0.191,0.228,0.271,0.318,0.365,0.434,0.512,0.595,0.744,0.844,0.959,1.090,1.285,1.507,1.771,2.072,2.414,2.802,3.245,3.751,4.325,4.983,5.731,6.551,7.447,8.422,9.482,10.632,11.899,13.725
ABNE_P,0.025,0.030,0.037,0.044,0.052,0.061,0.070,0.084,0.099,0.115,0.144,0.163,0.185,0.210,0.248,0.291,0.342,0.400,0.466,0.541,0.627,0.724,0.835,0.962,1.106,1.265,1.438,1.626,1.831,2.053,2.297,2.650
ABTH_1,0.173,0.214,0.260,0.311,0.370,0.434,0.497,0.591,0.697,0.810,1.014,1.149,1.306,1.484,1.750,2.052,2.412,2.822,3.288,3.817,4.420,5.109,5.890,6.786,7.805,8.923,10.143,11.471,12.914,14.480,16.206,18.693
ACTL_2;CBNK_H;GREE_H;PERI_H,0.061,0.074,0.090,0.109,0.129,0.151,0.173,0.206,0.243,0.283,0.355,0.401,0.455,0.517,0.611,0.715,0.842,0.986,1.148,1.332,1.542,1.782,2.057,2.368,2.725,3.114,3.540,4.003,4.507,5.053,5.656,6.523
ALNE_P,0.015,0.019,0.023,0.027,0.032,0.038,0.043,0.052,0.061,0.071,0.088,0.100,0.114,0.130,0.153,0.179,0.210,0.246,0.287,0.333,0.386,0.446,0.514,0.592,0.681,0.779,0.885,1.001,1.127,1.263,1.414,1.631
ALVE1,0.114,0.141,0.171,0.205,0.243,0.286,0.327,0.389,0.459,0.533,0.668,0.757,0.860,0.978,1.152,1.351,1.588,1.859,2.165,2.513,2.911,3.364,3.879,4.469,5.140,5.876,6.679,7.554,8.504,9.536,10.672,12.310
AMEM_1,0.039,0.049,0.059,0.071,0.084,0.098,0.113,0.134,0.158,0.184,0.230,0.261,0.296,0.337,0.397,0.465,0.547,0.640,0.746,0.866,1.003,1.159,1.336,1.539,1.770,2.024,2.300,2.602,2.929,3.284,3.676,4.240
ARBR_P,0.015,0.019,0.023,0.027,0.032,0.038,0.043,0.051,0.060,0.070,0.088,0.100,0.113,0.129,0.152,0.178,0.209,0.245,0.285,0.331,0.384,0.443,0.511,0.589,0.678,0.775,0.880,0.996,1.121,1.257,1.407,1.623
ARDK_P;CLAC_P,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.012,0.014,0.016,0.019,0.023,0.026,0.031,0.036,0.041,0.048,0.055,0.064,0.073,0.084,0.095,0.107,0.121,0.136,0.152,0.175
ARMO_P,0.020,0.024,0.029,0.035,0.042,0.049,0.056,0.067,0.079,0.092,0.115,0.130,0.148,0.168,0.199,0.233,0.274,0.320,0.373,0.433,0.502,0.580,0.668,0.770,0.886,1.013,1.151,1.302,1.465,1.643,1.839,2.121
