Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.985,1.621,3.165,5.490,8.386,12.152,16.739,22.006,27.643,33.555,39.745,45.858,51.838,57.065,61.229,64.254,66.503,68.095,69.423,70.815,72.238,73.781,75.441,76.813,78.128,79.273,80.273,81.139,81.909,82.595,83.175,83.598
ABNE_P,0.000,0.000,0.036,0.099,0.187,0.304,0.448,0.610,0.775,0.940,1.114,1.285,1.453,1.599,1.716,1.800,1.863,1.908,1.945,1.984,2.024,2.067,2.114,2.152,2.189,2.221,2.249,2.274,2.295,2.314,2.331,2.342
ABTH_1,0.459,0.756,1.386,2.313,3.444,4.908,6.688,8.741,10.959,13.303,15.756,18.180,20.551,22.623,24.274,25.473,26.364,26.996,27.522,28.074,28.638,29.250,29.908,30.452,30.973,31.427,31.824,32.167,32.472,32.744,32.974,33.142
ACTL_2;CBNK_H;GREE_H;PERI_H,0.197,0.323,0.521,0.790,1.098,1.489,1.962,2.515,3.134,3.804,4.506,5.199,5.877,6.469,6.941,7.284,7.539,7.719,7.870,8.028,8.189,8.364,8.552,8.708,8.857,8.987,9.100,9.198,9.285,9.363,9.429,9.477
ALNE_P,0.000,0.000,0.051,0.141,0.266,0.433,0.637,0.868,1.102,1.338,1.585,1.828,2.067,2.275,2.441,2.562,2.651,2.715,2.768,2.823,2.880,2.942,3.008,3.063,3.115,3.161,3.200,3.235,3.266,3.293,3.316,3.333
ALVE1,0.000,0.000,0.714,1.969,3.713,6.042,8.897,12.114,15.385,18.675,22.120,25.522,28.851,31.760,34.077,35.761,37.012,37.898,38.638,39.412,40.205,41.063,41.987,42.751,43.482,44.120,44.676,45.158,45.587,45.969,46.291,46.527
AMEM_1,0.556,0.915,1.850,3.274,5.063,7.396,10.239,13.498,16.971,20.600,24.401,28.154,31.825,35.034,37.591,39.448,40.828,41.806,42.621,43.476,44.350,45.297,46.316,47.158,47.965,48.669,49.282,49.814,50.287,50.708,51.064,51.324
ARBR_P,0.000,0.000,0.100,0.276,0.521,0.848,1.249,1.700,2.160,2.622,3.105,3.583,4.050,4.458,4.784,5.020,5.196,5.320,5.424,5.533,5.644,5.764,5.894,6.001,6.104,6.193,6.272,6.339,6.399,6.453,6.498,6.531
ARDK_P;CLAC_P,0.000,0.000,0.010,0.028,0.053,0.088,0.128,0.174,0.222,0.269,0.319,0.368,0.416,0.458,0.492,0.516,0.534,0.546,0.557,0.568,0.579,0.592,0.605,0.616,0.627,0.637,0.644,0.651,0.657,0.663,0.667,0.671
ARMO_P,0.030,0.050,0.142,0.282,0.466,0.708,1.003,1.339,1.690,2.052,2.431,2.804,3.170,3.490,3.744,3.929,4.067,4.164,4.246,4.331,4.418,4.512,4.614,4.697,4.778,4.848,4.909,4.962,5.009,5.051,5.086,5.112
