Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,87.102,83.865,77.931,74.339,72.228,71.621,70.965,70.448,70.073,69.742,69.400,69.034,68.865,68.656,68.174,67.827,67.424,66.970,66.502,65.933,65.430,64.667,63.945,63.409,62.933,62.504,62.294,62.035,61.815,61.686,61.817,61.835
ABNE_P,16.817,16.192,15.046,14.353,13.945,13.828,13.701,13.601,13.529,13.465,13.399,13.328,13.296,13.255,13.162,13.095,13.018,12.930,12.839,12.730,12.633,12.485,12.346,12.242,12.150,12.068,12.027,11.977,11.934,11.910,11.935,11.938
ABTH_1,118.630,114.221,106.140,101.248,98.372,97.546,96.652,95.949,95.437,94.987,94.521,94.022,93.792,93.508,92.851,92.378,91.830,91.211,90.573,89.799,89.114,88.075,87.091,86.361,85.712,85.129,84.843,84.489,84.190,84.015,84.193,84.217
ACTL_2;CBNK_H;GREE_H;PERI_H,41.400,39.860,37.040,35.333,34.329,34.041,33.730,33.484,33.306,33.148,32.986,32.812,32.732,32.631,32.403,32.238,32.047,31.831,31.607,31.338,31.099,30.735,30.393,30.138,29.912,29.709,29.609,29.486,29.380,29.320,29.382,29.389
ALNE_P,10.351,9.966,9.261,8.834,8.583,8.511,8.433,8.372,8.327,8.288,8.247,8.204,8.184,8.159,8.102,8.060,8.013,7.959,7.903,7.835,7.776,7.685,7.599,7.535,7.479,7.428,7.403,7.372,7.346,7.331,7.346,7.348
ALVE1,78.119,75.216,69.894,66.673,64.779,64.235,63.646,63.183,62.846,62.550,62.243,61.915,61.763,61.576,61.144,60.832,60.471,60.063,59.643,59.133,58.683,57.998,57.350,56.870,56.443,56.058,55.870,55.637,55.440,55.325,55.442,55.458
AMEM_1,26.906,25.906,24.073,22.964,22.311,22.124,21.921,21.762,21.646,21.544,21.438,21.325,21.273,21.208,21.059,20.952,20.828,20.687,20.543,20.367,20.212,19.976,19.753,19.587,19.440,19.308,19.243,19.163,19.095,19.055,19.096,19.101
ARBR_P,10.298,9.915,9.214,8.789,8.539,8.468,8.390,8.329,8.285,8.245,8.205,8.162,8.142,8.117,8.060,8.019,7.971,7.918,7.862,7.795,7.736,7.645,7.560,7.497,7.440,7.390,7.365,7.334,7.308,7.293,7.308,7.311
ARDK_P;CLAC_P,1.112,1.070,0.995,0.949,0.922,0.914,0.906,0.899,0.894,0.890,0.886,0.881,0.879,0.876,0.870,0.866,0.861,0.855,0.849,0.841,0.835,0.825,0.816,0.809,0.803,0.798,0.795,0.792,0.789,0.787,0.789,0.789
ARMO_P,13.462,12.961,12.044,11.489,11.163,11.069,10.968,10.888,10.830,10.779,10.726,10.669,10.643,10.611,10.536,10.483,10.421,10.350,10.278,10.190,10.112,9.994,9.883,9.800,9.726,9.660,9.628,9.588,9.554,9.534,9.554,9.557
AXMI1,67.086,64.593,60.023,57.256,55.630,55.163,54.657,54.260,53.970,53.716,53.452,53.170,53.040,52.879,52.508,52.240,51.930,51.580,51.220,50.782,50.395,49.807,49.250,48.838,48.471,48.141,47.979,47.779,47.610,47.511,47.612,47.625
AYRR,13.387,12.890,11.978,11.426,11.101,11.008,10.907,10.828,10.770,10.719,10.666,10.610,10.584,10.552,10.478,10.425,10.363,10.293,10.221,10.134,10.056,9.939,9.828,9.746,9.672,9.607,9.574,9.534,9.501,9.481,9.501,9.504
BAGA,13.151,12.662,11.766,11.224,10.905,10.813,10.714,10.636,10.580,10.530,10.478,10.423,10.397,10.366,10.293,10.241,10.180,10.111,10.041,9.955,9.879,9.764,9.654,9.574,9.502,9.437,9.405,9.366,9.333,9.314,9.333,9.336
BAIN,8.794,8.467,7.868,7.505,7.292,7.231,7.164,7.112,7.074,7.041,7.006,6.969,6.952,6.931,6.883,6.848,6.807,6.761,6.714,6.656,6.606,6.529,6.456,6.402,6.353,6.310,6.289,6.263,6.241,6.228,6.241,6.243
BARKC1;BARKW3,127.291,122.560,113.889,108.639,105.553,104.668,103.708,102.954,102.405,101.922,101.421,100.886,100.640,100.335,99.631,99.122,98.535,97.870,97.185,96.355,95.620,94.505,93.449,92.666,91.970,91.344,91.037,90.658,90.336,90.149,90.340,90.366
BEAU_P;ORRI_P,10.096,9.721,9.033,8.617,8.372,8.302,8.226,8.166,8.122,8.084,8.044,8.002,7.982,7.958,7.902,7.862,7.815,7.763,7.708,7.642,7.584,7.496,7.412,7.350,7.295,7.245,7.221,7.190,7.165,7.150,7.165,7.167
BEDDT1,47.507,45.741,42.505,40.545,39.394,39.063,38.705,38.424,38.219,38.038,37.852,37.652,37.560,37.446,37.183,36.994,36.774,36.526,36.271,35.961,35.687,35.270,34.876,34.584,34.324,34.091,33.976,33.835,33.715,33.645,33.716,33.726
BEDD_1,203.201,195.648,181.806,173.426,168.500,167.085,165.554,164.350,163.473,162.702,161.903,161.050,160.656,160.169,159.044,158.233,157.295,156.234,155.142,153.815,152.643,150.862,149.177,147.927,146.816,145.816,145.326,144.721,144.208,143.909,144.214,144.255
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,14.348,13.815,12.837,12.246,11.898,11.798,11.690,11.605,11.543,11.488,11.432,11.372,11.344,11.310,11.230,11.173,11.107,11.032,10.955,10.861,10.778,10.652,10.533,10.445,10.367,10.296,10.261,10.219,10.183,10.161,10.183,10.186
BERW,5.238,5.043,4.686,4.470,4.343,4.307,4.267,4.236,4.214,4.194,4.173,4.151,4.141,4.128,4.099,4.079,4.054,4.027,3.999,3.965,3.934,3.889,3.845,3.813,3.784,3.759,3.746,3.730,3.717,3.709,3.717,3.718
BESW_1,110.502,106.395,98.868,94.310,91.632,90.862,90.029,89.375,88.898,88.479,88.044,87.580,87.366,87.101,86.489,86.048,85.538,84.962,84.367,83.646,83.008,82.040,81.123,80.444,79.840,79.296,79.029,78.700,78.421,78.259,78.425,78.447
BICF_1,73.568,70.834,65.822,62.788,61.005,60.493,59.938,59.502,59.185,58.906,58.617,58.308,58.165,57.989,57.582,57.288,56.948,56.564,56.169,55.688,55.264,54.619,54.009,53.557,53.154,52.792,52.615,52.396,52.210,52.102,52.212,52.227
BIRK_1,106.584,102.623,95.362,90.967,88.383,87.641,86.837,86.206,85.746,85.342,84.923,84.475,84.268,84.013,83.423,82.998,82.505,81.949,81.376,80.680,80.065,79.132,78.247,77.592,77.009,76.485,76.227,75.910,75.641,75.484,75.644,75.666
BISW_1,169.272,162.981,151.450,144.469,140.366,139.187,137.911,136.908,136.178,135.536,134.870,134.159,133.831,133.425,132.489,131.813,131.031,130.148,129.238,128.133,127.156,125.673,124.269,123.228,122.302,121.469,121.061,120.557,120.129,119.880,120.135,120.169
BLYTB1,81.000,77.989,72.472,69.131,67.168,66.604,65.993,65.513,65.164,64.856,64.538,64.198,64.041,63.846,63.398,63.075,62.701,62.278,61.843,61.314,60.846,60.137,59.465,58.967,58.524,58.125,57.930,57.689,57.484,57.365,57.487,57.503
BLYTH132,25.125,24.191,22.480,21.444,20.835,20.660,20.470,20.321,20.213,20.118,20.019,19.913,19.865,19.804,19.665,19.565,19.449,19.318,19.183,19.019,18.874,18.654,18.445,18.291,18.153,18.030,17.969,17.894,17.831,17.794,17.832,17.837
BOAG_P,5.715,5.503,5.113,4.878,4.739,4.699,4.656,4.622,4.598,4.576,4.553,4.529,4.518,4.505,4.473,4.450,4.424,4.394,4.363,4.326,4.293,4.243,4.196,4.160,4.129,4.101,4.087,4.070,4.056,4.047,4.056,4.057
BOLN_1,335.607,323.133,300.271,286.430,278.295,275.958,273.429,271.440,269.993,268.719,267.400,265.991,265.340,264.535,262.678,261.338,259.788,258.037,256.233,254.041,252.105,249.165,246.381,244.317,242.482,240.831,240.021,239.022,238.174,237.680,238.184,238.252
