Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,70.149,67.125,66.215,65.075,64.129,63.176,62.311,61.418,60.580,59.698,58.871,58.230,58.136,58.106,58.203,58.318,58.500,58.723,58.974,59.323,59.730,60.259,61.016,61.752,62.610,63.299,63.962,64.528,64.954,65.117,65.222,65.403
ABNE_P,10.322,9.877,9.743,9.575,9.436,9.296,9.169,9.037,8.914,8.784,8.662,8.568,8.554,8.550,8.564,8.581,8.608,8.641,8.678,8.729,8.789,8.867,8.978,9.086,9.213,9.314,9.411,9.495,9.557,9.582,9.597,9.624
ABTH_1,84.513,80.868,79.773,78.399,77.260,76.112,75.070,73.993,72.984,71.922,70.925,70.152,70.040,70.003,70.120,70.259,70.478,70.747,71.049,71.470,71.960,72.598,73.509,74.396,75.429,76.260,77.058,77.740,78.253,78.450,78.576,78.795
ACTL_2;CBNK_H;GREE_H;PERI_H,37.414,35.800,35.316,34.709,34.203,33.695,33.234,32.758,32.310,31.840,31.398,31.057,31.006,30.991,31.043,31.104,31.200,31.320,31.453,31.640,31.857,32.139,32.542,32.935,33.393,33.760,34.114,34.416,34.643,34.730,34.786,34.882
ALNE_P,9.728,9.308,9.182,9.024,8.893,8.761,8.641,8.517,8.401,8.278,8.164,8.075,8.062,8.058,8.071,8.087,8.112,8.143,8.178,8.226,8.283,8.356,8.461,8.563,8.682,8.778,8.870,8.948,9.007,9.030,9.044,9.070
ALVE1,69.613,66.612,65.710,64.578,63.639,62.694,61.835,60.948,60.117,59.242,58.421,57.785,57.692,57.662,57.758,57.873,58.053,58.275,58.523,58.870,59.273,59.799,60.549,61.281,62.131,62.815,63.473,64.035,64.458,64.620,64.724,64.904
AMEM_1,20.237,19.364,19.102,18.773,18.500,18.225,17.976,17.718,17.476,17.222,16.983,16.798,16.771,16.762,16.790,16.824,16.876,16.941,17.013,17.113,17.231,17.384,17.602,17.814,18.062,18.260,18.452,18.615,18.738,18.785,18.815,18.868
ARBR_P,10.063,9.629,9.498,9.335,9.199,9.062,8.938,8.810,8.690,8.563,8.445,8.353,8.339,8.335,8.349,8.365,8.392,8.424,8.460,8.510,8.568,8.644,8.752,8.858,8.981,9.080,9.175,9.256,9.317,9.341,9.356,9.382
ARDK_P;CLAC_P,1.096,1.049,1.035,1.017,1.002,0.987,0.974,0.960,0.947,0.933,0.920,0.910,0.909,0.908,0.910,0.911,0.914,0.918,0.922,0.927,0.933,0.942,0.954,0.965,0.978,0.989,1.000,1.008,1.015,1.018,1.019,1.022
ARMO_P,8.965,8.579,8.463,8.317,8.196,8.074,7.964,7.850,7.742,7.630,7.524,7.442,7.430,7.426,7.439,7.453,7.477,7.505,7.537,7.582,7.634,7.701,7.798,7.892,8.002,8.090,8.175,8.247,8.301,8.322,8.336,8.359
