Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,66.882,63.835,63.152,62.072,61.248,60.292,59.333,58.376,57.439,56.493,55.538,54.890,54.587,54.330,54.117,53.960,53.859,53.844,53.922,54.049,54.250,54.602,55.170,55.880,56.663,57.551,58.427,59.267,59.943,60.509,61.080,61.576
ABNE_P,9.911,9.472,9.373,9.219,9.099,8.959,8.820,8.680,8.544,8.407,8.268,8.174,8.131,8.095,8.065,8.044,8.031,8.031,8.045,8.066,8.098,8.152,8.238,8.345,8.463,8.597,8.728,8.855,8.958,9.044,9.131,9.208
ABTH_1,80.576,76.905,76.082,74.781,73.789,72.637,71.481,70.329,69.200,68.061,66.909,66.129,65.764,65.454,65.198,65.008,64.886,64.868,64.963,65.116,65.358,65.781,66.466,67.322,68.265,69.335,70.390,71.401,72.217,72.898,73.586,74.184
ACTL_2;CBNK_H;GREE_H;PERI_H,35.671,34.046,33.681,33.106,32.667,32.157,31.645,31.134,30.635,30.130,29.620,29.275,29.114,28.976,28.864,28.779,28.725,28.718,28.759,28.827,28.934,29.121,29.425,29.804,30.222,30.694,31.162,31.609,31.970,32.272,32.577,32.841
ALNE_P,9.341,8.927,8.834,8.688,8.575,8.444,8.312,8.181,8.052,7.923,7.792,7.703,7.663,7.629,7.601,7.581,7.569,7.569,7.582,7.601,7.632,7.683,7.764,7.865,7.976,8.102,8.226,8.345,8.442,8.523,8.605,8.678
ALVE1,66.371,63.347,62.669,61.598,60.780,59.831,58.879,57.930,57.000,56.062,55.113,54.470,54.170,53.914,53.704,53.547,53.447,53.432,53.510,53.636,53.836,54.184,54.749,55.453,56.230,57.112,57.980,58.814,59.485,60.047,60.613,61.105
AMEM_1,19.294,18.415,18.218,17.907,17.669,17.393,17.116,16.840,16.570,16.297,16.021,15.835,15.747,15.673,15.612,15.566,15.537,15.533,15.555,15.592,15.650,15.751,15.915,16.120,16.346,16.602,16.855,17.097,17.292,17.456,17.620,17.763
ARBR_P,9.662,9.234,9.138,8.987,8.870,8.734,8.598,8.462,8.329,8.195,8.060,7.968,7.927,7.892,7.863,7.842,7.829,7.830,7.843,7.863,7.895,7.947,8.031,8.135,8.250,8.381,8.509,8.632,8.733,8.816,8.902,8.976
ARDK_P;CLAC_P,1.053,1.006,0.996,0.979,0.966,0.952,0.937,0.922,0.907,0.893,0.878,0.868,0.864,0.860,0.857,0.854,0.853,0.853,0.854,0.857,0.860,0.866,0.875,0.886,0.899,0.913,0.927,0.940,0.951,0.961,0.970,0.978
ARMO_P,8.609,8.227,8.141,8.007,7.903,7.782,7.661,7.540,7.421,7.302,7.181,7.099,7.062,7.031,7.005,6.987,6.976,6.976,6.988,7.006,7.034,7.081,7.156,7.248,7.351,7.467,7.581,7.691,7.781,7.855,7.931,7.998
AXMI1,49.148,46.909,46.407,45.614,45.008,44.306,43.601,42.898,42.209,41.514,40.812,40.336,40.114,39.924,39.768,39.652,39.578,39.567,39.625,39.718,39.866,40.124,40.542,41.064,41.639,42.292,42.935,43.552,44.049,44.465,44.885,45.249
AYRR,15.108,14.439,14.288,14.053,13.870,13.657,13.444,13.232,13.024,12.815,12.603,12.459,12.394,12.340,12.294,12.263,12.242,12.243,12.263,12.295,12.344,12.427,12.558,12.721,12.901,13.104,13.305,13.498,13.655,13.786,13.919,14.036
BAGA,13.682,13.076,12.939,12.726,12.560,12.368,12.175,11.983,11.794,11.605,11.413,11.283,11.224,11.175,11.134,11.105,11.087,11.087,11.106,11.134,11.179,11.253,11.372,11.520,11.683,11.867,12.049,12.224,12.366,12.484,12.605,12.711
BAIN,8.010,7.655,7.575,7.450,7.353,7.241,7.128,7.015,6.905,6.794,6.682,6.606,6.571,6.542,6.518,6.501,6.491,6.491,6.502,6.518,6.545,6.588,6.658,6.744,6.840,6.948,7.054,7.156,7.239,7.309,7.380,7.441
BARKC1;BARKW3,107.087,102.209,101.114,99.386,98.067,96.536,95.000,93.469,91.968,90.454,88.923,87.887,87.402,86.989,86.649,86.397,86.236,86.212,86.337,86.540,86.862,87.425,88.335,89.472,90.726,92.148,93.549,94.894,95.977,96.884,97.797,98.592
