Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,226.374,226.870,228.752,230.124,232.131,234.479,236.538,237.614,239.478,242.112,245.420,249.641,255.496,261.552,268.188,275.385,282.990,291.398,299.920,308.225,316.188,323.437,329.479,335.412,340.409,344.535,347.417,348.294,350.985,353.505,355.702,357.912
ABNE_P,37.337,37.318,37.522,37.614,37.778,37.962,38.037,37.862,37.761,37.731,37.742,37.837,38.124,38.442,38.769,39.123,39.470,39.863,40.246,40.615,40.967,41.479,41.946,42.418,42.839,43.220,43.539,43.822,44.126,44.407,44.656,44.911
ABTH_1,286.071,286.243,287.988,288.930,290.458,292.137,293.082,292.294,292.124,292.504,293.258,294.723,297.566,300.790,304.209,307.902,311.663,315.863,320.034,324.071,327.927,332.528,336.583,340.648,344.196,347.302,349.770,351.542,353.863,356.013,357.890,359.834
ACTL_2;CBNK_H;GREE_H;PERI_H,115.336,115.534,116.219,116.590,117.159,117.759,118.075,117.746,117.624,117.662,117.810,118.185,118.978,119.939,120.958,122.059,123.158,124.394,125.618,126.793,127.911,129.335,130.595,131.862,132.963,133.933,134.702,135.284,135.997,136.658,137.220,137.828
ALNE_P,29.596,29.641,29.814,29.907,30.059,30.223,30.324,30.275,30.285,30.349,30.450,30.615,30.915,31.217,31.538,31.887,32.241,32.637,33.029,33.410,33.774,34.195,34.561,34.928,35.245,35.518,35.729,35.869,36.065,36.246,36.402,36.568
ALVE1,215.413,215.637,217.037,217.852,219.233,220.824,222.056,222.288,223.112,224.487,226.307,228.772,232.581,236.200,240.133,244.398,248.839,253.771,258.738,263.563,268.184,272.770,276.656,280.500,283.766,286.516,288.521,289.440,291.300,293.034,294.529,296.082
AMEM_1,67.328,67.552,68.336,69.015,69.975,71.149,72.353,73.395,74.821,76.653,78.866,81.533,85.002,88.477,92.321,96.491,100.952,105.863,110.870,115.760,120.457,124.387,127.602,130.732,133.335,135.433,136.813,136.937,138.229,139.446,140.515,141.561
ARBR_P,30.199,30.250,30.446,30.567,30.759,30.982,31.156,31.199,31.325,31.524,31.782,32.131,32.659,33.159,33.703,34.293,34.908,35.592,36.279,36.948,37.588,38.217,38.749,39.274,39.720,40.092,40.360,40.477,40.725,40.958,41.155,41.364
ARDK_P;CLAC_P,3.280,3.285,3.306,3.320,3.339,3.362,3.380,3.386,3.397,3.417,3.443,3.478,3.534,3.586,3.642,3.704,3.767,3.837,3.907,3.976,4.042,4.109,4.164,4.220,4.266,4.305,4.333,4.346,4.371,4.396,4.418,4.439
ARMO_P,31.296,31.304,31.500,31.610,31.794,32.003,32.138,32.089,32.120,32.223,32.383,32.630,33.068,33.523,34.010,34.537,35.077,35.683,36.287,36.873,37.433,38.053,38.593,39.131,39.598,40.001,40.315,40.516,40.813,41.087,41.331,41.576
AXMI1,168.908,168.969,170.095,170.757,171.899,173.244,174.303,174.532,175.281,176.518,178.153,180.359,183.768,186.999,190.511,194.316,198.295,202.705,207.153,211.478,215.620,219.702,223.164,226.589,229.509,231.966,233.768,234.603,236.289,237.863,239.230,240.628
AYRR,44.458,44.570,44.877,45.079,45.395,45.762,46.081,46.245,46.541,46.953,47.473,48.130,49.068,49.936,50.889,51.924,53.010,54.215,55.433,56.618,57.755,58.798,59.663,60.516,61.228,61.814,62.213,62.323,62.692,63.037,63.329,63.635
BAGA,41.307,41.396,41.693,41.893,42.211,42.586,42.922,43.119,43.450,43.909,44.482,45.200,46.217,47.156,48.184,49.302,50.480,51.784,53.104,54.390,55.623,56.739,57.665,58.572,59.329,59.953,60.378,60.488,60.880,61.247,61.562,61.889
BAIN,26.149,26.578,26.987,27.420,27.801,28.179,28.477,28.622,28.790,28.987,29.218,29.532,29.712,30.558,31.490,32.502,33.577,34.761,35.965,37.140,38.267,39.255,40.069,40.865,41.530,42.070,42.438,42.510,42.853,43.173,43.453,43.732
BARKC1;BARKW3,349.983,350.871,353.105,354.447,356.277,358.149,359.082,357.985,357.424,357.300,357.459,358.277,360.040,362.953,366.023,369.352,372.665,376.394,380.073,383.618,386.991,391.325,395.158,399.027,402.389,405.353,407.731,409.529,411.726,413.760,415.498,417.372
BEAU_P;ORRI_P,28.439,28.478,28.660,28.765,28.939,29.135,29.281,29.295,29.384,29.535,29.742,30.025,30.473,30.904,31.371,31.876,32.401,32.984,33.571,34.139,34.683,35.238,35.713,36.180,36.580,36.917,37.166,37.288,37.521,37.733,37.921,38.115
BEDDT1,120.171,121.054,122.380,123.566,124.842,126.205,127.277,127.673,128.338,129.276,130.456,132.061,133.892,137.088,140.586,144.377,148.383,152.811,157.299,161.671,165.865,169.707,172.919,176.073,178.738,180.943,182.493,183.000,184.452,185.813,187.000,188.194
BEDD_1,469.239,469.905,473.491,475.926,479.455,483.484,486.512,486.868,488.581,491.594,495.640,501.311,509.796,519.406,529.819,541.091,552.901,565.979,579.166,591.997,604.290,616.486,626.882,637.162,645.970,653.413,658.929,661.641,666.840,671.684,675.943,680.231
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,50.505,50.649,50.960,51.144,51.431,51.743,51.977,52.006,52.143,52.369,52.668,53.077,53.708,54.308,54.964,55.676,56.406,57.223,58.040,58.834,59.592,60.365,61.012,61.656,62.194,62.648,62.973,63.112,63.406,63.676,63.902,64.151
BERW,26.169,26.287,26.453,26.556,26.708,26.869,27.001,27.060,27.166,27.311,27.493,27.723,28.040,28.335,28.659,29.015,29.379,29.786,30.198,30.596,30.978,31.332,31.620,31.904,32.136,32.324,32.445,32.460,32.564,32.657,32.732,32.822
BESW_1,323.575,324.180,326.340,327.666,329.762,332.130,333.958,334.332,335.535,337.487,340.059,343.542,348.794,354.010,359.688,365.849,372.257,379.378,386.551,393.519,400.189,406.767,412.316,417.807,422.456,426.356,429.173,430.395,432.992,435.418,437.491,439.665
BICF_1,199.604,199.788,200.991,201.636,202.739,203.972,204.795,204.588,204.845,205.514,206.494,207.976,210.509,212.997,215.672,218.570,221.543,224.859,228.174,231.390,234.459,237.812,240.706,243.589,246.067,248.195,249.815,250.782,252.286,253.685,254.885,256.151
BIRK_1,254.335,254.316,255.949,256.863,258.474,260.357,261.740,261.746,262.499,263.950,265.943,268.760,273.329,277.734,282.488,287.636,292.995,298.941,304.918,310.727,316.291,322.013,326.919,331.788,335.972,339.534,342.211,343.663,346.180,348.523,350.575,352.663
BISW_1,433.472,434.223,437.494,439.707,443.019,446.830,449.907,450.866,453.131,456.633,461.171,467.217,476.000,485.231,495.287,506.189,517.634,530.309,543.115,555.577,567.521,578.942,588.565,598.057,606.116,612.850,617.703,619.683,624.218,628.452,632.141,635.889
BLYTB1,181.399,181.589,182.834,183.606,184.720,185.947,186.677,186.227,186.189,186.531,187.139,188.250,190.213,192.752,195.459,198.383,201.395,204.745,208.092,211.336,214.440,217.945,221.017,224.082,226.757,229.079,230.904,232.131,233.859,235.461,236.872,238.308
BLYTH132,68.422,68.626,69.110,69.429,69.852,70.296,70.572,70.462,70.479,70.604,70.807,71.170,71.743,72.576,73.471,74.438,75.431,76.539,77.646,78.717,79.743,80.870,81.843,82.814,83.649,84.367,84.915,85.247,85.756,86.229,86.636,87.064
BOAG_P,19.980,20.037,20.153,20.220,20.323,20.432,20.505,20.493,20.516,20.569,20.648,20.762,20.951,21.137,21.336,21.555,21.777,22.023,22.271,22.508,22.737,22.986,23.202,23.415,23.593,23.748,23.861,23.923,24.026,24.119,24.196,24.285
BOLN_1,875.444,878.441,885.201,890.032,896.137,902.653,907.005,906.371,907.489,910.201,914.137,920.350,929.412,942.730,957.116,972.699,988.849,1006.803,1024.830,1042.334,1059.085,1076.479,1091.379,1106.173,1118.852,1129.644,1137.731,1142.099,1149.648,1156.669,1162.758,1169.055
BONN,54.931,54.962,55.293,55.471,55.776,56.120,56.345,56.264,56.319,56.496,56.759,57.173,57.898,58.616,59.385,60.216,61.071,62.024,62.975,63.896,64.780,65.760,66.613,67.465,68.201,68.837,69.328,69.642,70.103,70.531,70.903,71.290
BOTW_1,157.879,157.881,158.908,159.492,160.515,161.716,162.620,162.688,163.230,164.217,165.551,167.408,170.374,173.216,176.291,179.620,183.094,186.945,190.820,194.588,198.197,201.855,204.983,208.084,210.741,212.995,214.678,215.551,217.132,218.603,219.891,221.199
BRAC_P,39.316,39.393,39.650,39.809,40.059,40.347,40.573,40.625,40.781,41.031,41.358,41.798,42.464,43.107,43.805,44.563,45.352,46.229,47.112,47.969,48.792,49.602,50.286,50.962,51.534,52.014,52.361,52.511,52.832,53.131,53.387,53.656
BRAI_1,257.579,257.988,259.890,261.151,263.085,265.323,267.147,267.757,269.151,271.283,274.037,277.679,282.992,288.413,294.326,300.733,307.459,314.909,322.438,329.762,336.783,343.474,349.107,354.659,359.366,363.298,366.116,367.237,369.867,372.325,374.460,376.636
BRAP,30.134,30.198,30.389,30.502,30.683,30.887,31.044,31.071,31.169,31.333,31.548,31.843,32.297,32.730,33.199,33.710,34.238,34.825,35.417,35.989,36.539,37.090,37.556,38.017,38.406,38.735,38.972,39.079,39.297,39.500,39.672,39.856
BRAW_1,409.957,411.280,414.366,416.522,419.336,422.358,424.429,424.265,424.949,426.402,428.456,431.577,436.154,442.375,449.103,456.395,463.954,472.358,480.800,488.997,496.842,504.916,511.810,518.654,524.503,529.469,533.164,535.089,538.527,541.728,544.494,547.365
BRED_1,275.354,276.086,278.220,279.727,281.659,283.743,285.080,284.685,284.877,285.622,286.770,288.692,291.643,296.028,300.740,305.838,311.128,317.001,322.892,328.614,334.092,339.913,344.944,349.946,354.269,357.975,360.809,362.489,365.161,367.644,369.824,372.041
BRFO_1;CLT03,722.570,724.820,730.329,734.209,739.209,744.581,748.175,747.628,748.578,750.901,754.266,759.555,767.399,778.501,790.483,803.459,816.914,831.865,846.879,861.457,875.409,889.933,902.385,914.756,925.364,934.405,941.197,944.909,951.257,957.163,962.292,967.584
BRID_P,24.684,24.805,25.019,25.190,25.400,25.633,25.822,25.902,26.042,26.240,26.491,26.822,27.253,27.793,28.384,29.028,29.703,30.453,31.210,31.946,32.653,33.308,33.854,34.393,34.844,35.220,35.480,35.566,35.809,36.035,36.233,36.434
BRIM_1,314.237,315.366,317.766,319.481,321.445,323.421,324.360,323.128,322.332,321.914,321.713,322.173,323.132,326.468,329.987,333.789,337.638,341.944,346.208,350.334,354.271,359.141,363.464,367.807,371.620,374.974,377.679,379.721,382.270,384.631,386.696,388.834
BROA_P,10.920,10.944,11.020,11.070,11.148,11.239,11.320,11.359,11.431,11.535,11.664,11.830,12.067,12.286,12.527,12.789,13.064,13.369,13.677,13.977,14.264,14.529,14.751,14.969,15.149,15.298,15.401,15.433,15.529,15.617,15.694,15.773
BROR_P,6.979,6.996,7.041,7.069,7.111,7.157,7.195,7.204,7.231,7.271,7.324,7.395,7.499,7.600,7.707,7.825,7.948,8.083,8.220,8.352,8.481,8.606,8.711,8.814,8.901,8.975,9.024,9.044,9.092,9.135,9.173,9.212
BROX,48.305,48.378,48.663,48.818,49.072,49.349,49.527,49.462,49.497,49.620,49.810,50.108,50.635,51.157,51.719,52.328,52.947,53.640,54.328,54.996,55.635,56.355,56.982,57.606,58.144,58.608,58.963,59.187,59.516,59.821,60.083,60.361
BRWA1,200.223,200.369,201.756,202.608,204.056,205.767,207.201,207.742,208.936,210.745,213.073,216.112,220.638,224.879,229.505,234.522,239.788,245.622,251.518,257.254,262.752,267.974,272.366,276.694,280.360,283.416,285.602,286.453,288.492,290.398,292.052,293.739
BUMU_P,42.755,42.949,43.312,43.594,43.963,44.380,44.741,44.937,45.255,45.683,46.218,46.895,47.786,48.786,49.882,51.075,52.331,53.724,55.132,56.504,57.821,59.007,59.991,60.953,61.757,62.415,62.866,62.976,63.392,63.781,64.114,64.460
BURM_1,441.325,442.845,445.994,448.122,450.909,453.850,455.784,455.426,455.875,457.022,458.709,461.388,465.410,470.973,476.985,483.503,490.207,497.679,505.168,512.425,519.364,526.709,532.988,539.239,544.570,549.109,552.497,554.329,557.450,560.353,562.829,565.459
BUSH_1,154.111,154.015,155.057,155.662,156.741,158.031,159.040,159.208,159.898,161.091,162.677,164.844,168.250,171.497,175.008,178.815,182.804,187.217,191.668,196.000,200.150,204.276,207.794,211.274,214.260,216.787,218.663,219.598,221.370,223.021,224.475,225.936
BUST_1,305.695,305.405,307.443,308.603,310.514,312.722,314.068,313.246,313.293,314.166,315.617,318.097,322.603,327.698,333.117,338.964,345.029,351.753,358.480,365.016,371.267,378.285,384.453,390.602,395.998,400.687,404.405,406.950,410.505,413.801,416.745,419.676
