Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.127,0.136,0.145,0.154,0.164,0.182,0.195,0.216,0.238,0.260,0.299,0.318,0.339,0.360,0.386,0.414,0.443,0.473,0.506,0.541,0.577,0.616,0.658,0.702,0.749,0.792,0.835,0.879,0.924,0.969,1.016,1.094
ABNE_P,0.025,0.026,0.028,0.030,0.032,0.035,0.038,0.042,0.046,0.050,0.058,0.061,0.065,0.070,0.075,0.080,0.085,0.091,0.098,0.104,0.111,0.119,0.127,0.136,0.145,0.153,0.161,0.170,0.178,0.187,0.196,0.211
ABTH_1,0.173,0.186,0.197,0.210,0.224,0.247,0.265,0.295,0.324,0.355,0.407,0.434,0.461,0.490,0.526,0.563,0.603,0.645,0.689,0.736,0.786,0.839,0.896,0.956,1.020,1.078,1.137,1.197,1.258,1.320,1.384,1.490
ACTL_2;CBNK_H;GREE_H;PERI_H,0.061,0.064,0.069,0.073,0.077,0.087,0.093,0.103,0.114,0.124,0.143,0.151,0.161,0.171,0.183,0.197,0.210,0.224,0.241,0.257,0.275,0.293,0.313,0.334,0.356,0.377,0.397,0.418,0.439,0.461,0.483,0.521
ALNE_P,0.015,0.016,0.017,0.018,0.020,0.022,0.023,0.026,0.028,0.031,0.036,0.038,0.040,0.043,0.046,0.049,0.053,0.056,0.060,0.064,0.069,0.073,0.078,0.083,0.089,0.094,0.099,0.104,0.110,0.115,0.121,0.130
ALVE1,0.114,0.122,0.130,0.138,0.147,0.163,0.175,0.194,0.213,0.233,0.268,0.286,0.304,0.323,0.346,0.371,0.397,0.425,0.454,0.485,0.518,0.553,0.590,0.630,0.672,0.710,0.749,0.788,0.828,0.869,0.911,0.981
AMEM_1,0.039,0.042,0.045,0.048,0.051,0.056,0.060,0.067,0.074,0.080,0.092,0.098,0.105,0.111,0.119,0.128,0.137,0.146,0.156,0.167,0.178,0.190,0.203,0.217,0.231,0.245,0.258,0.271,0.285,0.299,0.314,0.338
ARBR_P,0.015,0.016,0.017,0.018,0.019,0.021,0.023,0.026,0.028,0.031,0.035,0.038,0.040,0.043,0.046,0.049,0.052,0.056,0.060,0.064,0.068,0.073,0.078,0.083,0.089,0.094,0.099,0.104,0.109,0.115,0.120,0.129
ARDK_P;CLAC_P,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.010,0.010,0.011,0.011,0.012,0.012,0.013,0.014
ARMO_P,0.020,0.021,0.022,0.024,0.025,0.028,0.030,0.033,0.037,0.040,0.046,0.049,0.052,0.056,0.060,0.064,0.068,0.073,0.078,0.084,0.089,0.095,0.102,0.108,0.116,0.122,0.129,0.136,0.143,0.150,0.157,0.169
AXMI1,0.098,0.105,0.111,0.119,0.126,0.140,0.150,0.167,0.183,0.200,0.230,0.245,0.261,0.277,0.297,0.319,0.341,0.365,0.390,0.416,0.445,0.475,0.507,0.541,0.577,0.610,0.643,0.677,0.711,0.747,0.783,0.843
AYRR,0.020,0.021,0.022,0.024,0.025,0.028,0.030,0.033,0.037,0.040,0.046,0.049,0.052,0.055,0.059,0.064,0.068,0.073,0.078,0.083,0.089,0.095,0.101,0.108,0.115,0.122,0.128,0.135,0.142,0.149,0.156,0.168
BAGA,0.020,0.021,0.022,0.023,0.025,0.027,0.029,0.033,0.036,0.039,0.045,0.048,0.051,0.054,0.058,0.062,0.067,0.071,0.076,0.082,0.087,0.093,0.099,0.106,0.113,0.120,0.126,0.133,0.139,0.146,0.153,0.165
BAIN,0.014,0.014,0.015,0.016,0.017,0.018,0.020,0.022,0.024,0.026,0.030,0.032,0.034,0.036,0.039,0.042,0.045,0.048,0.051,0.055,0.058,0.062,0.066,0.071,0.076,0.080,0.084,0.089,0.093,0.098,0.103,0.110
BARKC1;BARKW3,0.186,0.199,0.212,0.225,0.240,0.265,0.284,0.317,0.348,0.380,0.437,0.466,0.495,0.526,0.564,0.605,0.647,0.692,0.740,0.790,0.844,0.901,0.961,1.026,1.094,1.156,1.220,1.284,1.350,1.416,1.485,1.599
BEAU_P;ORRI_P,0.015,0.016,0.017,0.018,0.019,0.021,0.023,0.025,0.028,0.030,0.035,0.037,0.039,0.042,0.045,0.048,0.051,0.055,0.059,0.063,0.067,0.071,0.076,0.081,0.087,0.092,0.097,0.102,0.107,0.112,0.118,0.127
BEDDT1,0.069,0.074,0.079,0.084,0.090,0.099,0.106,0.118,0.130,0.142,0.163,0.174,0.185,0.196,0.211,0.226,0.241,0.258,0.276,0.295,0.315,0.336,0.359,0.383,0.408,0.432,0.455,0.479,0.504,0.529,0.554,0.597
BEDD_1,0.297,0.318,0.338,0.359,0.383,0.424,0.455,0.505,0.555,0.607,0.698,0.743,0.790,0.840,0.901,0.965,1.033,1.104,1.180,1.261,1.347,1.438,1.535,1.638,1.747,1.847,1.947,2.050,2.155,2.261,2.371,2.552
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.021,0.022,0.024,0.025,0.027,0.030,0.032,0.036,0.039,0.043,0.049,0.052,0.056,0.059,0.064,0.068,0.073,0.078,0.083,0.089,0.095,0.102,0.108,0.116,0.123,0.130,0.138,0.145,0.152,0.160,0.167,0.180
BERW,0.008,0.008,0.009,0.009,0.010,0.011,0.012,0.013,0.014,0.016,0.018,0.019,0.020,0.022,0.023,0.025,0.027,0.028,0.030,0.033,0.035,0.037,0.040,0.042,0.045,0.048,0.050,0.053,0.056,0.058,0.061,0.066
BESW_1,0.162,0.173,0.184,0.195,0.208,0.230,0.247,0.274,0.302,0.330,0.379,0.404,0.430,0.457,0.490,0.525,0.562,0.601,0.642,0.686,0.732,0.782,0.835,0.891,0.950,1.004,1.059,1.115,1.172,1.230,1.289,1.388
