Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.781,1.147,1.889,2.796,3.969,5.479,7.360,9.675,12.450,15.750,19.608,24.028,29.333,34.581,40.442,46.808,53.702,61.269,69.031,76.625,83.929,89.449,93.841,98.064,101.511,104.183,105.762,105.245,106.722,108.129,109.371,110.534
ABNE_P,0.000,0.000,0.016,0.034,0.063,0.103,0.156,0.223,0.305,0.404,0.521,0.654,0.822,0.969,1.133,1.312,1.505,1.717,1.934,2.147,2.352,2.506,2.629,2.748,2.844,2.919,2.963,2.949,2.990,3.030,3.065,3.097
ABTH_1,0.364,0.535,0.842,1.220,1.694,2.298,3.043,3.956,5.045,6.337,7.845,9.574,11.629,13.709,16.033,18.557,21.290,24.290,27.367,30.377,33.273,35.461,37.203,38.877,40.243,41.303,41.928,41.724,42.309,42.867,43.359,43.820
ACTL_2;CBNK_H;GREE_H;PERI_H,0.156,0.229,0.329,0.455,0.598,0.776,0.989,1.245,1.546,1.900,2.311,2.784,3.325,3.920,4.585,5.306,6.088,6.946,7.826,8.687,9.514,10.140,10.638,11.117,11.508,11.811,11.989,11.931,12.098,12.258,12.399,12.531
ALNE_P,0.000,0.000,0.022,0.048,0.090,0.147,0.222,0.317,0.434,0.575,0.741,0.930,1.170,1.379,1.612,1.866,2.141,2.443,2.752,3.055,3.346,3.566,3.741,3.910,4.047,4.154,4.216,4.196,4.255,4.311,4.361,4.407
ALVE1,0.000,0.000,0.308,0.666,1.249,2.050,3.096,4.427,6.060,8.027,10.340,12.986,16.325,19.246,22.508,26.051,29.888,34.100,38.420,42.646,46.711,49.783,52.228,54.578,56.496,57.984,58.862,58.575,59.397,60.180,60.871,61.518
AMEM_1,0.441,0.647,1.094,1.638,2.351,3.275,4.430,5.855,7.566,9.604,11.987,14.717,18.008,21.230,24.829,28.737,32.970,37.615,42.380,47.043,51.527,54.916,57.612,60.205,62.321,63.962,64.930,64.614,65.520,66.384,67.147,67.861
ARBR_P,0.000,0.000,0.043,0.094,0.175,0.288,0.435,0.621,0.851,1.127,1.451,1.823,2.292,2.702,3.160,3.657,4.196,4.787,5.393,5.987,6.557,6.988,7.332,7.661,7.931,8.140,8.263,8.223,8.338,8.448,8.545,8.636
ARDK_P;CLAC_P,0.000,0.000,0.005,0.010,0.018,0.029,0.045,0.064,0.088,0.116,0.149,0.187,0.235,0.277,0.324,0.376,0.431,0.492,0.554,0.615,0.673,0.718,0.753,0.787,0.814,0.836,0.849,0.845,0.856,0.868,0.878,0.887
ARMO_P,0.030,0.040,0.079,0.127,0.196,0.286,0.401,0.545,0.719,0.927,1.171,1.450,1.794,2.115,2.473,2.863,3.284,3.747,4.222,4.686,5.133,5.470,5.739,5.997,6.208,6.371,6.468,6.436,6.527,6.612,6.689,6.760
AXMI1,0.000,0.000,0.274,0.593,1.113,1.826,2.758,3.943,5.398,7.150,9.210,11.567,14.542,17.143,20.049,23.205,26.623,30.374,34.222,37.987,41.607,44.344,46.521,48.615,50.324,51.648,52.431,52.175,52.907,53.605,54.220,54.797
AYRR,0.000,0.000,0.080,0.174,0.326,0.534,0.807,1.154,1.580,2.093,2.696,3.386,4.257,5.018,5.869,6.792,7.793,8.891,10.017,11.119,12.179,12.980,13.617,14.230,14.731,15.118,15.347,15.272,15.487,15.691,15.871,16.040
BAGA,0.000,0.000,0.087,0.189,0.354,0.581,0.877,1.254,1.717,2.275,2.930,3.680,4.626,5.454,6.378,7.382,8.469,9.663,10.887,12.084,13.236,14.107,14.799,15.465,16.009,16.430,16.679,16.598,16.831,17.053,17.248,17.432
BAIN,0.840,1.230,1.511,1.886,2.172,2.459,2.733,3.000,3.256,3.519,3.804,4.138,4.266,5.029,5.882,6.808,7.811,8.911,10.040,11.144,12.207,13.010,13.648,14.263,14.764,15.152,15.382,15.307,15.522,15.726,15.907,16.076
BARKC1;BARKW3,1.152,1.692,2.158,2.763,3.301,3.893,4.527,5.222,5.976,6.822,7.783,8.894,9.890,11.660,13.636,15.783,18.107,20.659,23.276,25.836,28.299,30.160,31.641,33.065,34.227,35.128,35.660,35.486,35.984,36.459,36.877,37.270
BEAU_P;ORRI_P,0.000,0.000,0.036,0.078,0.146,0.239,0.360,0.515,0.706,0.934,1.204,1.512,1.901,2.240,2.620,3.033,3.479,3.969,4.472,4.964,5.437,5.795,6.080,6.353,6.577,6.750,6.852,6.818,6.914,7.005,7.086,7.161
BEDDT1,1.813,2.663,3.392,4.340,5.178,6.098,7.083,8.157,9.322,10.626,12.108,13.819,15.342,18.087,21.153,24.483,28.089,32.047,36.106,40.079,43.899,46.786,49.083,51.292,53.095,54.493,55.318,55.048,55.820,56.557,57.206,57.815
BEDD_1,1.801,2.645,3.884,5.424,7.231,9.482,12.210,15.500,19.387,23.969,29.306,35.427,42.520,50.128,58.624,67.852,77.846,88.815,100.066,111.075,121.662,129.664,136.031,142.152,147.149,151.022,153.310,152.562,154.703,156.743,158.543,160.229
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.000,0.000,0.052,0.112,0.211,0.345,0.522,0.746,1.021,1.353,1.742,2.188,2.751,3.243,3.793,4.390,5.036,5.746,6.474,7.186,7.871,8.389,8.801,9.197,9.520,9.771,9.919,9.870,10.009,10.141,10.257,10.366
BERW,0.000,0.000,0.029,0.062,0.115,0.189,0.286,0.409,0.560,0.741,0.955,1.199,1.507,1.777,2.078,2.405,2.759,3.148,3.547,3.937,4.313,4.596,4.822,5.039,5.216,5.353,5.435,5.408,5.484,5.556,5.620,5.680
BESW_1,0.285,0.419,0.937,1.557,2.454,3.649,5.177,7.093,9.420,12.207,15.475,19.217,23.840,28.105,32.869,38.043,43.646,49.796,56.104,62.276,68.212,72.699,76.268,79.700,82.502,84.674,85.956,85.537,86.737,87.881,88.890,89.835
BICF_1,0.000,0.000,0.192,0.416,0.780,1.280,1.933,2.764,3.784,5.013,6.457,8.109,10.194,12.018,14.055,16.268,18.664,21.294,23.991,26.631,29.169,31.087,32.614,34.081,35.279,36.208,36.756,36.577,37.090,37.580,38.011,38.415
BIRK_1,0.000,0.000,0.355,0.769,1.442,2.366,3.575,5.111,6.997,9.268,11.938,14.993,18.849,22.221,25.988,30.079,34.509,39.372,44.359,49.239,53.933,57.480,60.302,63.016,65.231,66.948,67.962,67.630,68.579,69.484,70.282,71.029
BISW_1,1.166,1.713,2.802,4.133,5.847,8.049,10.791,14.161,18.199,22.999,28.609,35.038,42.742,50.389,58.930,68.206,78.252,89.278,100.588,111.654,122.297,130.341,136.741,142.894,147.917,151.810,154.110,153.358,155.510,157.560,159.370,161.065
BLYTB1,0.651,0.957,1.297,1.729,2.179,2.713,3.334,4.059,4.893,5.862,6.984,8.273,9.671,11.401,13.333,15.432,17.705,20.200,22.759,25.262,27.670,29.490,30.938,32.330,33.467,34.348,34.868,34.698,35.185,35.649,36.058,36.442
BLYTH132,0.304,0.447,0.584,0.761,0.931,1.125,1.342,1.588,1.865,2.181,2.544,2.963,3.384,3.990,4.666,5.400,6.195,7.068,7.964,8.840,9.682,10.319,10.826,11.313,11.711,12.019,12.201,12.142,12.312,12.474,12.618,12.752
BOAG_P,0.000,0.000,0.015,0.033,0.061,0.100,0.151,0.216,0.295,0.391,0.503,0.632,0.795,0.937,1.095,1.268,1.455,1.659,1.870,2.075,2.273,2.423,2.542,2.656,2.749,2.822,2.865,2.851,2.891,2.929,2.962,2.994
BOLN_1,5.307,7.794,10.158,13.199,16.087,19.374,23.037,27.172,31.798,37.076,43.136,50.114,57.057,67.265,78.667,91.050,104.460,119.179,134.277,149.049,163.256,173.994,182.538,190.751,197.457,202.654,205.724,204.720,207.593,210.330,212.746,215.008
BONN,0.000,0.000,0.054,0.116,0.218,0.357,0.540,0.772,1.056,1.399,1.802,2.264,2.846,3.355,3.924,4.541,5.210,5.944,6.697,7.434,8.143,8.678,9.104,9.514,9.849,10.108,10.261,10.211,10.354,10.491,10.611,10.724
BOTW_1,0.000,0.000,0.233,0.505,0.946,1.552,2.345,3.353,4.590,6.080,7.831,9.835,12.364,14.576,17.047,19.730,22.637,25.826,29.098,32.299,35.378,37.704,39.556,41.336,42.789,43.915,44.580,44.363,44.985,45.578,46.102,46.592
BRAC_P,0.010,0.020,0.076,0.144,0.251,0.396,0.585,0.823,1.114,1.465,1.876,2.347,2.937,3.463,4.050,4.687,5.378,6.135,6.913,7.673,8.405,8.957,9.397,9.820,10.165,10.433,10.591,10.539,10.687,10.828,10.952,11.069
BRAI_1,0.520,0.763,1.365,2.094,3.078,4.363,5.981,7.987,10.405,13.289,16.664,20.531,25.229,29.743,34.785,40.260,46.190,52.698,59.374,65.906,72.188,76.936,80.714,84.345,87.310,89.609,90.966,90.522,91.792,93.003,94.071,95.071
BRAP,0.000,0.000,0.037,0.080,0.150,0.246,0.372,0.532,0.728,0.964,1.241,1.559,1.960,2.311,2.703,3.128,3.589,4.094,4.613,5.120,5.608,5.977,6.271,6.553,6.783,6.962,7.067,7.033,7.132,7.226,7.309,7.386
BRAW_1,2.115,3.106,4.128,5.433,6.736,8.255,9.988,11.983,14.252,16.869,19.887,23.358,26.996,31.826,37.220,43.079,49.424,56.388,63.531,70.521,77.243,82.323,86.365,90.251,93.424,95.883,97.336,96.860,98.220,99.515,100.658,101.728
BRED_1,1.734,2.547,3.308,4.288,5.211,6.256,7.415,8.717,10.169,11.823,13.719,15.903,18.051,21.280,24.887,28.805,33.047,37.704,42.480,47.153,51.648,55.045,57.748,60.346,62.467,64.112,65.083,64.765,65.674,66.540,67.304,68.020
BRFO_1;CLT03,4.081,5.994,7.876,10.291,12.635,15.332,18.371,21.833,25.735,30.212,35.362,41.288,47.335,55.804,65.262,75.536,86.661,98.872,111.397,123.652,135.438,144.347,151.434,158.249,163.811,168.123,170.670,169.837,172.220,174.491,176.495,178.372
BRID_P,0.170,0.250,0.340,0.455,0.575,0.718,0.885,1.081,1.307,1.569,1.873,2.223,2.604,3.070,3.590,4.155,4.767,5.439,6.128,6.802,7.450,7.940,8.330,8.705,9.011,9.248,9.388,9.342,9.473,9.598,9.709,9.812
BRIM_1,2.550,3.746,4.580,5.690,6.505,7.300,8.033,8.714,9.334,9.940,10.583,11.339,11.398,13.437,15.715,18.189,20.868,23.808,26.824,29.775,32.613,34.758,36.465,38.106,39.446,40.484,41.097,40.897,41.470,42.017,42.500,42.952
BROA_P,0.000,0.000,0.020,0.044,0.082,0.134,0.203,0.290,0.397,0.526,0.677,0.851,1.070,1.261,1.475,1.707,1.958,2.234,2.517,2.794,3.060,3.261,3.422,3.576,3.701,3.799,3.856,3.837,3.891,3.943,3.988,4.030
BROR_P,0.000,0.000,0.009,0.019,0.036,0.058,0.088,0.126,0.172,0.228,0.294,0.369,0.464,0.547,0.640,0.741,0.850,0.969,1.092,1.212,1.328,1.415,1.485,1.552,1.606,1.649,1.673,1.665,1.689,1.711,1.731,1.749
BROX,0.000,0.000,0.039,0.085,0.160,0.262,0.396,0.566,0.775,1.026,1.322,1.660,2.087,2.460,2.877,3.330,3.820,4.359,4.911,5.451,5.971,6.363,6.676,6.976,7.222,7.412,7.524,7.487,7.592,7.692,7.781,7.863
BRWA1,0.000,0.000,0.374,0.809,1.517,2.488,3.759,5.374,7.357,9.745,12.552,15.764,19.818,23.364,27.324,31.625,36.283,41.396,46.640,51.771,56.705,60.435,63.403,66.256,68.585,70.390,71.456,71.107,72.105,73.056,73.895,74.681
BUMU_P,0.220,0.320,0.466,0.648,0.860,1.123,1.441,1.823,2.274,2.805,3.423,4.132,4.951,5.836,6.825,7.900,9.063,10.341,11.650,12.932,14.165,15.096,15.838,16.550,17.132,17.583,17.849,17.762,18.012,18.249,18.459,18.655
BURM_1,1.923,2.824,3.740,4.910,6.068,7.413,8.941,10.694,12.682,14.972,17.611,20.645,23.801,28.059,32.815,37.980,43.574,49.714,56.012,62.174,68.100,72.580,76.144,79.570,82.367,84.535,85.816,85.397,86.595,87.737,88.745,89.688
