Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,66.881,67.241,67.385,67.343,67.524,67.559,67.550,67.454,67.340,67.203,67.043,66.887,66.611,66.319,66.033,65.721,65.349,64.989,64.612,64.224,63.825,63.414,63.001,62.580,62.151,61.715,61.273,60.826,60.371,59.922,59.464,59.150
ABNE_P,9.911,9.972,9.994,9.991,10.017,10.022,10.021,10.007,9.990,9.970,9.947,9.923,9.883,9.840,9.798,9.752,9.697,9.644,9.588,9.531,9.473,9.412,9.351,9.289,9.226,9.162,9.097,9.031,8.964,8.897,8.830,8.784
ABTH_1,80.575,81.009,81.182,81.131,81.350,81.391,81.380,81.265,81.128,80.963,80.770,80.582,80.250,79.898,79.554,79.177,78.730,78.296,77.842,77.374,76.894,76.398,75.900,75.393,74.876,74.351,73.818,73.281,72.732,72.191,71.639,71.261
ACTL_2;CBNK_H;GREE_H;PERI_H,35.671,35.863,35.940,35.917,36.014,36.032,36.028,35.975,35.916,35.843,35.757,35.673,35.528,35.372,35.219,35.052,34.854,34.661,34.461,34.254,34.042,33.821,33.601,33.376,33.147,32.915,32.679,32.443,32.199,31.959,31.714,31.547
ALNE_P,9.341,9.398,9.419,9.416,9.441,9.445,9.444,9.431,9.415,9.396,9.374,9.352,9.314,9.274,9.234,9.190,9.139,9.089,9.036,8.982,8.927,8.870,8.813,8.754,8.695,8.634,8.573,8.511,8.448,8.385,8.322,8.279
ALVE1,66.370,66.728,66.870,66.828,67.008,67.042,67.033,66.938,66.825,66.690,66.531,66.376,66.102,65.812,65.529,65.219,64.850,64.493,64.119,63.734,63.338,62.930,62.520,62.102,61.676,61.243,60.804,60.362,59.910,59.464,59.009,58.698
AMEM_1,19.294,19.398,19.439,19.427,19.479,19.489,19.487,19.459,19.426,19.387,19.341,19.295,19.216,19.132,19.049,18.959,18.852,18.748,18.639,18.527,18.412,18.294,18.174,18.053,17.929,17.803,17.676,17.547,17.416,17.286,17.154,17.064
ARBR_P,9.662,9.722,9.743,9.740,9.766,9.771,9.769,9.755,9.739,9.720,9.697,9.674,9.635,9.593,9.551,9.507,9.453,9.402,9.347,9.292,9.235,9.176,9.116,9.056,8.994,8.931,8.868,8.804,8.739,8.674,8.608,8.564
ARDK_P;CLAC_P,1.053,1.059,1.061,1.061,1.064,1.064,1.064,1.063,1.061,1.059,1.056,1.054,1.050,1.045,1.041,1.036,1.030,1.024,1.018,1.012,1.006,1.000,0.993,0.987,0.980,0.973,0.966,0.959,0.952,0.945,0.938,0.933
ARMO_P,8.609,8.662,8.681,8.678,8.701,8.705,8.704,8.692,8.677,8.660,8.640,8.619,8.584,8.547,8.510,8.470,8.422,8.377,8.328,8.279,8.228,8.175,8.122,8.068,8.013,7.958,7.901,7.844,7.786,7.728,7.670,7.630
AXMI1,49.148,49.413,49.518,49.487,49.620,49.646,49.639,49.568,49.485,49.384,49.267,49.152,48.950,48.735,48.525,48.295,48.022,47.757,47.481,47.195,46.902,46.600,46.296,45.987,45.672,45.351,45.026,44.698,44.364,44.034,43.697,43.467
AYRR,15.108,15.201,15.234,15.229,15.270,15.278,15.276,15.254,15.229,15.198,15.162,15.127,15.065,15.000,14.935,14.865,14.781,14.701,14.616,14.529,14.440,14.347,14.254,14.160,14.064,13.966,13.866,13.766,13.664,13.563,13.460,13.390
BAGA,13.682,13.766,13.796,13.792,13.828,13.835,13.833,13.814,13.791,13.763,13.731,13.698,13.643,13.584,13.525,13.462,13.386,13.313,13.236,13.157,13.077,12.993,12.909,12.823,12.736,12.647,12.557,12.467,12.374,12.282,12.190,12.126
BAIN,8.010,8.059,8.077,8.074,8.096,8.100,8.099,8.087,8.074,8.058,8.039,8.020,7.987,7.952,7.918,7.881,7.837,7.794,7.749,7.703,7.656,7.607,7.557,7.507,7.456,7.404,7.352,7.299,7.245,7.191,7.136,7.099
BARKC1;BARKW3,107.086,107.663,107.893,107.825,108.116,108.171,108.156,108.003,107.821,107.602,107.346,107.096,106.654,106.187,105.728,105.228,104.633,104.056,103.453,102.833,102.193,101.535,100.873,100.200,99.512,98.813,98.106,97.392,96.663,95.944,95.209,94.708
BEAU_P;ORRI_P,8.901,8.955,8.975,8.972,8.996,9.000,8.999,8.987,8.972,8.954,8.933,8.911,8.875,8.837,8.799,8.757,8.708,8.661,8.611,8.559,8.507,8.452,8.398,8.342,8.285,8.227,8.169,8.110,8.050,7.990,7.930,7.889
BEDDT1,34.192,34.376,34.450,34.428,34.521,34.539,34.534,34.485,34.427,34.357,34.275,34.195,34.054,33.905,33.759,33.599,33.409,33.225,33.032,32.834,32.630,32.420,32.209,31.993,31.774,31.551,31.325,31.097,30.864,30.634,30.400,30.240
BEDD_1,127.305,127.990,128.264,128.183,128.529,128.594,128.577,128.394,128.178,127.918,127.613,127.315,126.791,126.235,125.691,125.096,124.389,123.703,122.986,122.247,121.488,120.706,119.919,119.117,118.301,117.470,116.629,115.780,114.913,114.058,113.186,112.590
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,17.591,17.700,17.738,17.733,17.780,17.789,17.787,17.761,17.732,17.696,17.655,17.613,17.541,17.465,17.390,17.309,17.211,17.118,17.019,16.917,16.813,16.706,16.598,16.487,16.375,16.261,16.146,16.029,15.911,15.792,15.673,15.591
BERW,10.209,10.272,10.294,10.291,10.319,10.324,10.322,10.308,10.291,10.270,10.246,10.222,10.180,10.136,10.092,10.045,9.988,9.934,9.877,9.818,9.758,9.695,9.632,9.568,9.503,9.437,9.370,9.303,9.234,9.165,9.096,9.048
BESW_1,102.952,103.507,103.728,103.663,103.942,103.995,103.981,103.833,103.658,103.448,103.202,102.961,102.537,102.087,101.647,101.166,100.594,100.040,99.460,98.862,98.248,97.616,96.979,96.331,95.671,94.999,94.319,93.632,92.931,92.240,91.534,91.052
BICF_1,60.913,61.241,61.372,61.333,61.498,61.529,61.521,61.434,61.330,61.206,61.060,60.918,60.667,60.401,60.140,59.856,59.517,59.189,58.846,58.493,58.129,57.755,57.379,56.995,56.604,56.207,55.804,55.398,54.984,54.574,54.157,53.872
