Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,70.148,70.050,69.778,69.381,68.934,68.455,67.908,67.323,66.730,66.162,65.542,65.006,64.714,64.433,64.186,63.914,63.593,63.334,63.097,62.830,62.523,62.297,62.190,62.110,62.023,61.913,61.798,61.644,61.476,61.271,61.006,60.770
ABNE_P,10.322,10.307,10.267,10.209,10.143,10.073,9.992,9.906,9.819,9.735,9.644,9.565,9.522,9.481,9.445,9.405,9.357,9.319,9.284,9.245,9.200,9.167,9.151,9.139,9.126,9.110,9.093,9.071,9.046,9.016,8.977,8.942
ABTH_1,84.511,84.392,84.065,83.587,83.048,82.471,81.812,81.107,80.392,79.709,78.962,78.316,77.964,77.625,77.329,77.000,76.614,76.302,76.016,75.694,75.324,75.052,74.923,74.827,74.722,74.589,74.451,74.266,74.064,73.816,73.497,73.212
ACTL_2;CBNK_H;GREE_H;PERI_H,37.414,37.361,37.216,37.004,36.767,36.510,36.218,35.906,35.590,35.288,34.956,34.671,34.515,34.366,34.233,34.088,33.917,33.780,33.653,33.510,33.345,33.227,33.169,33.127,33.080,33.021,32.960,32.877,32.789,32.678,32.537,32.412
ALNE_P,9.728,9.714,9.676,9.621,9.559,9.493,9.417,9.336,9.254,9.175,9.089,9.015,8.974,8.935,8.901,8.863,8.819,8.783,8.750,8.713,8.670,8.639,8.624,8.613,8.601,8.586,8.570,8.548,8.525,8.497,8.460,8.427
ALVE1,69.612,69.514,69.245,68.851,68.407,67.931,67.389,66.809,66.220,65.657,65.041,64.510,64.220,63.940,63.696,63.425,63.108,62.851,62.615,62.350,62.045,61.821,61.715,61.636,61.549,61.439,61.326,61.173,61.007,60.802,60.540,60.305
AMEM_1,20.236,20.208,20.130,20.015,19.886,19.748,19.590,19.421,19.250,19.086,18.908,18.753,18.669,18.587,18.516,18.438,18.345,18.271,18.202,18.125,18.037,17.971,17.941,17.918,17.892,17.861,17.827,17.783,17.735,17.675,17.599,17.531
ARBR_P,10.063,10.048,10.010,9.953,9.888,9.820,9.741,9.657,9.572,9.491,9.402,9.325,9.283,9.243,9.207,9.168,9.122,9.085,9.051,9.013,8.969,8.936,8.921,8.910,8.897,8.881,8.865,8.843,8.819,8.789,8.751,8.717
ARDK_P;CLAC_P,1.096,1.095,1.091,1.084,1.077,1.070,1.061,1.052,1.043,1.034,1.024,1.016,1.011,1.007,1.003,0.999,0.994,0.990,0.986,0.982,0.977,0.974,0.972,0.971,0.969,0.968,0.966,0.963,0.961,0.958,0.953,0.950
ARMO_P,8.965,8.953,8.918,8.867,8.810,8.749,8.679,8.604,8.529,8.456,8.377,8.308,8.271,8.235,8.204,8.169,8.128,8.095,8.064,8.030,7.991,7.962,7.948,7.938,7.927,7.913,7.898,7.879,7.857,7.831,7.797,7.767
AXMI1,51.549,51.476,51.277,50.985,50.656,50.304,49.902,49.473,49.036,48.620,48.164,47.770,47.555,47.349,47.168,46.967,46.732,46.542,46.367,46.171,45.945,45.779,45.701,45.642,45.578,45.497,45.412,45.300,45.176,45.025,44.831,44.657
AYRR,15.734,15.712,15.651,15.562,15.462,15.354,15.232,15.101,14.968,14.840,14.701,14.581,14.515,14.452,14.397,14.336,14.264,14.206,14.153,14.093,14.024,13.973,13.949,13.931,13.912,13.887,13.861,13.827,13.789,13.743,13.684,13.631
BAGA,14.249,14.229,14.174,14.093,14.002,13.905,13.794,13.675,13.554,13.439,13.313,13.204,13.145,13.088,13.038,12.982,12.917,12.865,12.817,12.762,12.700,12.654,12.632,12.616,12.598,12.576,12.553,12.521,12.487,12.446,12.392,12.344
BAIN,8.342,8.330,8.298,8.251,8.198,8.141,8.076,8.006,7.935,7.868,7.794,7.730,7.696,7.662,7.633,7.601,7.562,7.532,7.503,7.472,7.435,7.408,7.396,7.386,7.376,7.363,7.349,7.331,7.311,7.286,7.255,7.227
BARKC1;BARKW3,112.317,112.159,111.725,111.089,110.372,109.605,108.730,107.793,106.844,105.935,104.942,104.084,103.617,103.166,102.772,102.335,101.822,101.408,101.027,100.600,100.108,99.746,99.575,99.447,99.307,99.131,98.947,98.702,98.432,98.103,97.680,97.301
BEAU_P;ORRI_P,9.269,9.256,9.221,9.168,9.109,9.046,8.973,8.896,8.818,8.743,8.661,8.590,8.551,8.514,8.482,8.446,8.403,8.369,8.338,8.302,8.262,8.232,8.218,8.207,8.196,8.181,8.166,8.146,8.124,8.096,8.061,8.030
BEDDT1,35.863,35.812,35.673,35.470,35.242,34.997,34.717,34.418,34.115,33.825,33.508,33.234,33.084,32.941,32.815,32.675,32.511,32.379,32.258,32.121,31.964,31.849,31.794,31.753,31.708,31.652,31.593,31.515,31.429,31.324,31.189,31.068
BEDD_1,133.524,133.336,132.819,132.064,131.211,130.300,129.259,128.146,127.016,125.936,124.756,123.736,123.180,122.644,122.176,121.657,121.047,120.554,120.102,119.593,119.009,118.579,118.375,118.224,118.057,117.847,117.629,117.337,117.017,116.625,116.122,115.672
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,18.321,18.295,18.224,18.120,18.003,17.878,17.736,17.583,17.428,17.280,17.118,16.978,16.901,16.828,16.764,16.692,16.609,16.541,16.479,16.409,16.329,16.270,16.242,16.221,16.199,16.170,16.140,16.100,16.056,16.002,15.933,15.871
