Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.337,1.733,1.911,2.225,2.535,2.874,3.533,4.193,5.026,5.774,6.575,7.317,7.996,9.052,9.961,10.765,12.051,13.170,14.690,15.707,16.679,17.492,19.102,22.544,24.468,25.447,27.264,30.006,32.170,33.043,33.273,34.388
ABNE_P,0.262,0.340,0.375,0.437,0.497,0.564,0.693,0.823,0.986,1.133,1.290,1.435,1.569,1.776,1.954,2.112,2.364,2.584,2.882,3.081,3.272,3.431,3.747,4.422,4.800,4.992,5.348,5.886,6.311,6.482,6.527,6.746
ABTH_1,1.822,2.360,2.602,3.031,3.452,3.915,4.812,5.711,6.845,7.865,8.955,9.966,10.891,12.329,13.567,14.661,16.413,17.937,20.007,21.392,22.716,23.824,26.016,30.705,33.324,34.658,37.133,40.867,43.815,45.004,45.317,46.836
ACTL_2;CBNK_H;GREE_H;PERI_H,0.631,0.818,0.902,1.051,1.198,1.359,1.671,1.981,2.375,2.729,3.108,3.458,3.780,4.278,4.707,5.088,5.697,6.225,6.942,7.423,7.883,8.267,9.028,10.655,11.563,12.027,12.886,14.181,15.203,15.617,15.726,16.252
ALNE_P,0.161,0.209,0.231,0.269,0.306,0.347,0.427,0.506,0.607,0.697,0.794,0.884,0.966,1.093,1.203,1.300,1.455,1.590,1.774,1.897,2.014,2.112,2.306,2.722,2.954,3.073,3.292,3.623,3.884,3.990,4.018,4.152
ALVE1,1.199,1.554,1.714,1.996,2.273,2.578,3.169,3.761,4.508,5.179,5.897,6.563,7.172,8.119,8.934,9.655,10.808,11.812,13.175,14.087,14.959,15.688,17.132,20.219,21.944,22.823,24.452,26.912,28.853,29.636,29.842,30.842
AMEM_1,0.413,0.535,0.590,0.687,0.783,0.888,1.091,1.295,1.553,1.784,2.031,2.260,2.470,2.796,3.077,3.325,3.723,4.068,4.538,4.852,5.152,5.403,5.901,6.964,7.558,7.861,8.422,9.269,9.938,10.207,10.278,10.623
ARBR_P,0.161,0.208,0.230,0.267,0.304,0.345,0.424,0.504,0.604,0.694,0.790,0.879,0.961,1.087,1.197,1.293,1.448,1.582,1.765,1.887,2.004,2.101,2.295,2.708,2.939,3.057,3.275,3.604,3.864,3.969,3.997,4.131
ARDK_P;CLAC_P,0.017,0.022,0.025,0.029,0.033,0.037,0.046,0.054,0.065,0.075,0.085,0.095,0.104,0.117,0.129,0.140,0.156,0.171,0.190,0.204,0.216,0.227,0.248,0.292,0.317,0.330,0.354,0.389,0.417,0.428,0.431,0.446
ARMO_P,0.210,0.273,0.301,0.350,0.399,0.452,0.556,0.660,0.791,0.908,1.034,1.151,1.258,1.424,1.567,1.693,1.896,2.072,2.311,2.471,2.624,2.752,3.005,3.546,3.849,4.003,4.289,4.720,5.060,5.198,5.234,5.409
AXMI1,1.030,1.334,1.472,1.714,1.952,2.214,2.721,3.230,3.871,4.447,5.064,5.636,6.159,6.972,7.672,8.291,9.282,10.144,11.314,12.098,12.846,13.472,14.712,17.364,18.845,19.599,20.999,23.111,24.778,25.450,25.627,26.486
AYRR,0.209,0.271,0.298,0.347,0.396,0.449,0.552,0.655,0.785,0.902,1.027,1.143,1.249,1.414,1.556,1.681,1.882,2.057,2.294,2.453,2.605,2.732,2.983,3.521,3.821,3.974,4.258,4.686,5.024,5.160,5.196,5.370
BAGA,0.205,0.266,0.293,0.341,0.389,0.441,0.542,0.643,0.771,0.886,1.009,1.123,1.227,1.389,1.528,1.651,1.849,2.020,2.254,2.410,2.559,2.683,2.930,3.458,3.753,3.904,4.182,4.603,4.935,5.069,5.104,5.275
BAIN,0.149,0.192,0.212,0.247,0.282,0.319,0.392,0.466,0.558,0.641,0.730,0.813,0.888,1.006,1.107,1.196,1.339,1.463,1.632,1.745,1.853,1.943,2.122,2.504,2.718,2.827,3.029,3.333,3.574,3.671,3.696,3.820
