Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,87.102,84.751,81.239,78.479,76.702,75.245,74.236,74.099,74.218,74.378,74.507,74.614,74.773,74.996,75.137,75.083,75.094,74.971,74.813,74.657,74.437,73.944,73.893,74.106,73.839,73.079,72.402,72.190,71.884,71.331,70.724,70.363
ABNE_P,16.817,16.363,15.685,15.152,14.809,14.527,14.333,14.306,14.329,14.360,14.385,14.406,14.436,14.479,14.507,14.496,14.498,14.475,14.444,14.414,14.371,14.276,14.266,14.308,14.256,14.109,13.979,13.938,13.879,13.772,13.655,13.585
ABTH_1,118.630,115.429,110.646,106.887,104.466,102.482,101.108,100.920,101.083,101.301,101.477,101.622,101.839,102.142,102.335,102.260,102.276,102.109,101.894,101.680,101.381,100.709,100.640,100.930,100.566,99.531,98.610,98.321,97.904,97.151,96.325,95.833
ACTL_2;CBNK_H;GREE_H;PERI_H,41.400,40.282,38.613,37.301,36.456,35.764,35.284,35.219,35.276,35.352,35.414,35.463,35.540,35.645,35.713,35.687,35.691,35.634,35.559,35.483,35.380,35.145,35.122,35.222,35.095,34.735,34.412,34.312,34.167,33.904,33.616,33.443
ALNE_P,10.351,10.072,9.654,9.326,9.115,8.942,8.822,8.806,8.820,8.839,8.854,8.867,8.886,8.912,8.929,8.923,8.924,8.909,8.891,8.872,8.846,8.787,8.781,8.807,8.775,8.685,8.604,8.579,8.543,8.477,8.405,8.362
ALVE1,78.119,76.011,72.861,70.386,68.792,67.485,66.581,66.457,66.564,66.708,66.823,66.919,67.062,67.262,67.389,67.340,67.350,67.240,67.098,66.957,66.760,66.318,66.273,66.463,66.224,65.542,64.936,64.745,64.471,63.975,63.431,63.107
AMEM_1,26.906,26.180,25.095,24.243,23.694,23.243,22.932,22.889,22.926,22.976,23.015,23.048,23.098,23.166,23.210,23.193,23.197,23.159,23.110,23.062,22.994,22.841,22.826,22.891,22.809,22.574,22.365,22.300,22.205,22.034,21.847,21.735
ARBR_P,10.298,10.020,9.605,9.278,9.068,8.896,8.777,8.760,8.775,8.794,8.809,8.821,8.840,8.867,8.883,8.877,8.878,8.864,8.845,8.826,8.800,8.742,8.736,8.761,8.730,8.640,8.560,8.535,8.499,8.433,8.362,8.319
ARDK_P;CLAC_P,1.112,1.082,1.037,1.002,0.979,0.960,0.947,0.946,0.947,0.949,0.951,0.952,0.954,0.957,0.959,0.958,0.958,0.957,0.955,0.953,0.950,0.944,0.943,0.946,0.942,0.933,0.924,0.921,0.917,0.910,0.903,0.898
ARMO_P,13.462,13.098,12.556,12.129,11.854,11.629,11.473,11.452,11.470,11.495,11.515,11.532,11.556,11.591,11.613,11.604,11.606,11.587,11.563,11.538,11.504,11.428,11.420,11.453,11.412,11.294,11.190,11.157,11.110,11.024,10.931,10.875
AXMI1,67.086,65.276,62.571,60.445,59.076,57.954,57.177,57.071,57.163,57.286,57.386,57.468,57.591,57.762,57.871,57.829,57.838,57.743,57.621,57.501,57.331,56.952,56.913,57.076,56.871,56.285,55.764,55.601,55.365,54.940,54.472,54.194
AYRR,13.387,13.026,12.486,12.062,11.789,11.565,11.410,11.389,11.407,11.432,11.451,11.468,11.492,11.527,11.548,11.540,11.542,11.523,11.498,11.474,11.441,11.365,11.357,11.390,11.349,11.232,11.128,11.095,11.048,10.963,10.870,10.814
BAGA,13.151,12.796,12.266,11.849,11.581,11.361,11.208,11.188,11.206,11.230,11.249,11.265,11.289,11.323,11.344,11.336,11.338,11.319,11.295,11.272,11.239,11.164,11.156,11.189,11.148,11.034,10.931,10.899,10.853,10.770,10.678,10.624
BAIN,8.794,8.556,8.202,7.923,7.744,7.597,7.495,7.481,7.493,7.509,7.522,7.533,7.549,7.571,7.586,7.580,7.581,7.569,7.553,7.537,7.515,7.465,7.460,7.481,7.455,7.378,7.309,7.288,7.257,7.201,7.140,7.104
BARKC1;BARKW3,127.291,123.856,118.724,114.690,112.094,109.963,108.489,108.288,108.463,108.697,108.886,109.040,109.274,109.600,109.806,109.727,109.742,109.563,109.333,109.103,108.782,108.062,107.987,108.299,107.908,106.797,105.809,105.499,105.051,104.244,103.357,102.829
BEAU_P;ORRI_P,10.096,9.824,9.417,9.097,8.891,8.722,8.605,8.589,8.603,8.621,8.636,8.649,8.667,8.693,8.709,8.703,8.704,8.690,8.672,8.653,8.628,8.571,8.565,8.590,8.559,8.471,8.392,8.368,8.332,8.268,8.198,8.156
BEDDT1,47.507,46.225,44.309,42.804,41.835,41.040,40.490,40.414,40.479,40.567,40.637,40.695,40.782,40.904,40.981,40.951,40.957,40.890,40.804,40.719,40.599,40.330,40.302,40.418,40.273,39.858,39.489,39.373,39.206,38.905,38.574,38.377
BEDD_1,203.201,197.717,189.524,183.085,178.940,175.540,173.187,172.865,173.143,173.518,173.818,174.067,174.439,174.959,175.288,175.161,175.187,174.901,174.533,174.167,173.654,172.504,172.385,172.882,172.259,170.485,168.908,168.412,167.698,166.409,164.993,164.150
