Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,254.323,252.750,252.633,255.215,261.825,265.068,269.400,280.427,295.893,315.749,335.760,350.928,372.925,393.538,412.298,426.080,434.156,451.400,469.781,490.648,503.501,515.029,534.620,551.294,566.589,570.834,567.735,573.929,579.998,586.165,590.686
ABNE_P,37.277,36.391,35.696,35.396,35.437,35.551,35.876,36.223,36.885,37.723,38.580,39.861,41.059,42.286,43.498,44.456,46.304,47.694,49.136,50.640,51.668,53.123,54.756,56.119,57.423,58.042,59.061,59.759,60.441,61.123,61.582
ABTH_1,262.625,256.251,249.337,245.934,246.365,243.141,244.909,247.236,250.853,256.676,262.373,270.705,278.185,285.220,291.414,295.950,301.685,307.819,314.524,322.267,327.501,336.069,344.925,352.299,359.748,363.475,363.695,367.676,371.685,375.859,378.392
ACTL_2;CBNK_H;GREE_H;PERI_H,112.135,110.105,108.385,108.059,109.367,108.905,109.616,111.612,114.668,119.280,123.929,127.063,133.143,139.320,145.431,150.008,152.474,158.614,165.008,171.727,175.827,178.150,184.918,190.633,196.004,197.638,196.358,198.603,200.895,203.307,204.987
ALNE_P,22.516,22.165,22.023,22.056,22.281,22.578,22.835,23.222,23.815,24.522,25.255,26.189,27.057,27.908,28.705,29.379,30.584,31.458,32.378,33.388,34.172,35.397,36.492,37.400,38.274,38.829,40.000,40.522,41.018,41.498,41.803
ALVE1,209.817,207.901,206.705,207.523,211.328,211.940,213.702,219.921,229.170,241.625,254.213,263.640,278.106,292.031,305.058,314.864,320.606,333.016,346.142,360.664,369.840,378.448,392.625,404.631,415.783,419.431,417.574,422.339,427.046,431.855,435.252
AMEM_1,80.073,80.482,82.224,85.452,90.610,95.266,101.027,108.759,118.565,130.582,142.797,154.169,167.581,180.087,191.507,199.955,206.960,217.648,228.965,241.761,249.432,256.344,267.758,277.553,286.208,287.785,284.990,288.044,290.987,293.925,296.342
ARBR_P,30.895,30.490,30.498,30.774,31.354,32.061,33.028,34.093,35.578,37.371,39.195,41.319,43.556,45.733,47.799,49.375,51.740,53.897,56.156,58.603,60.190,61.927,64.324,66.349,68.212,68.872,69.661,70.496,71.306,72.114,72.697
ARDK_P;CLAC_P,7.777,7.616,7.505,7.443,7.433,7.438,7.434,7.460,7.528,7.609,7.691,7.796,7.905,8.010,8.099,8.174,8.286,8.379,8.485,8.612,8.728,8.905,9.083,9.226,9.382,9.525,9.671,9.786,9.900,10.017,10.079
ARMO_P,20.775,20.437,20.352,20.534,20.976,21.523,22.133,22.902,23.949,25.199,26.474,27.821,29.284,30.682,31.985,32.984,34.363,35.688,37.080,38.611,39.616,40.720,42.198,43.449,44.594,45.016,45.679,46.216,46.727,47.228,47.593
AXMI1,196.529,193.498,191.205,191.698,195.441,196.633,199.876,205.693,213.679,224.478,235.402,245.489,258.360,270.762,282.379,291.144,298.639,310.020,322.039,335.288,343.626,353.051,366.117,377.181,387.450,390.734,388.932,393.323,397.659,402.083,405.233
AYRR,47.020,46.535,46.682,47.119,47.973,49.020,50.452,52.092,54.374,57.079,59.816,62.917,66.175,69.265,72.096,74.225,77.152,79.989,83.002,86.376,88.584,90.855,94.161,96.954,99.557,100.545,101.254,102.439,103.594,104.753,105.557
BAGA,36.398,36.070,36.290,36.809,37.732,38.870,40.426,42.123,44.352,46.955,49.585,52.571,55.530,58.260,60.687,62.499,65.106,67.465,69.994,72.903,74.820,76.845,79.617,81.967,84.139,84.956,85.756,86.748,87.698,88.639,89.300
BAIN,25.947,25.681,25.809,26.248,27.052,28.062,29.401,30.860,32.691,34.790,36.905,39.233,41.461,43.442,45.115,46.341,48.049,49.577,51.247,53.268,54.602,55.987,57.856,59.444,60.914,61.479,62.032,62.719,63.365,63.999,64.441
BARKC1;BARKW3,342.096,335.764,329.314,326.533,328.269,324.426,325.450,329.072,335.497,345.820,356.194,365.401,379.368,393.503,407.295,417.792,425.955,440.101,454.951,470.733,480.845,489.162,505.817,519.789,533.242,538.473,536.550,542.766,549.079,555.678,560.027
BEAU_P;ORRI_P,32.105,31.551,31.288,31.282,31.556,31.936,32.365,32.966,33.853,34.903,35.967,37.149,38.404,39.590,40.656,41.483,42.621,43.691,44.845,46.157,47.097,48.204,49.597,50.761,51.899,52.516,53.178,53.803,54.410,55.019,55.401
BEDDT1,119.179,119.748,121.295,123.625,127.648,129.985,134.379,141.786,152.707,166.605,180.683,194.171,211.048,227.390,242.991,254.369,265.350,280.776,296.867,314.256,324.210,333.207,349.121,362.773,374.836,376.422,372.055,376.038,380.005,384.091,387.511
BEDD_1,456.698,448.140,441.759,443.351,453.477,458.797,471.874,488.670,510.282,538.584,567.066,594.670,627.592,658.656,687.100,707.910,726.890,754.141,783.103,815.632,835.404,854.174,885.299,911.756,936.191,942.818,937.155,947.151,957.040,967.177,974.553
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,47.949,47.296,47.134,47.203,47.598,48.134,48.720,49.552,50.822,52.324,53.847,55.575,57.425,59.192,60.788,62.049,63.767,65.386,67.132,69.113,70.575,72.315,74.465,76.251,78.015,79.040,80.065,81.042,82.000,82.962,83.550
BERW,23.570,23.395,23.536,23.694,23.967,24.298,24.754,25.304,26.139,27.137,28.151,29.352,30.641,31.895,33.061,33.961,35.205,36.403,37.682,39.093,40.068,41.120,42.581,43.809,44.981,45.530,45.894,46.462,47.025,47.594,47.964
BESW_1,316.912,311.861,307.358,306.238,309.732,308.351,313.024,320.341,330.695,345.018,359.241,373.924,390.981,406.996,421.395,431.830,443.256,457.141,472.091,489.138,499.940,512.808,530.128,544.747,558.708,563.784,562.362,568.607,574.865,581.357,585.674
BICF_1,211.872,207.980,204.528,203.516,205.533,204.264,204.552,208.276,213.948,222.226,230.454,233.869,243.430,252.706,261.350,267.645,268.127,276.025,284.462,293.835,299.783,302.602,312.188,320.236,328.065,331.199,330.492,334.180,337.916,341.820,344.336
BIRK_1,227.849,223.680,219.878,219.352,222.589,223.045,228.289,234.619,243.161,254.557,265.979,279.755,293.348,306.084,317.581,326.019,335.386,346.511,358.413,371.933,380.376,390.242,403.577,414.871,425.466,428.911,426.556,431.169,435.730,440.406,443.660
BISW_1,462.640,457.089,452.888,453.725,461.528,462.943,471.754,486.947,508.666,537.263,565.945,593.726,627.133,658.653,687.476,708.481,729.111,756.839,786.345,819.507,839.758,862.586,894.691,921.976,947.209,954.251,949.242,959.545,969.766,980.269,987.848
BLYTB1,520.402,505.907,489.285,479.861,477.654,468.188,466.860,466.434,467.611,472.163,476.474,482.392,489.099,495.799,501.819,506.477,510.890,517.238,524.256,532.180,538.266,546.697,557.627,566.495,576.281,583.227,584.554,591.017,597.583,604.453,608.224
BLYTH132,69.167,68.108,67.189,67.108,68.048,67.952,68.917,70.414,72.633,75.807,79.034,82.536,86.677,90.800,94.799,97.875,100.404,104.457,108.693,113.226,116.095,119.122,123.680,127.529,131.112,132.307,131.384,132.923,134.455,136.027,137.136
BOAG_P,25.908,25.493,25.290,25.193,25.237,25.330,25.422,25.618,26.010,26.489,26.977,27.579,28.260,28.940,29.578,30.093,30.823,31.511,32.247,33.057,33.677,34.457,35.412,36.196,36.996,37.513,37.973,38.444,38.908,39.385,39.662
BOLN_1,857.623,842.143,827.770,823.861,832.800,829.511,840.301,858.798,885.318,922.227,958.991,998.660,1043.522,1086.116,1125.009,1153.343,1186.773,1225.182,1266.207,1312.249,1340.990,1377.504,1424.357,1463.932,1501.480,1514.224,1509.297,1525.853,1542.447,1559.652,1571.350
BONN,60.855,59.810,59.366,59.467,60.130,60.949,62.291,63.781,66.067,68.885,71.752,75.261,78.996,82.722,86.353,89.106,93.345,97.242,101.290,105.571,108.271,111.224,115.479,119.075,122.384,123.457,124.574,126.034,127.465,128.909,129.964
BOTW_1,156.663,153.873,151.410,151.313,153.859,154.513,157.444,161.628,167.212,174.733,182.331,190.508,199.312,207.618,215.169,220.899,226.896,234.260,242.121,251.016,256.786,264.259,273.179,280.711,287.799,290.437,289.589,292.833,296.011,299.235,301.448
BRAC_P,24.019,23.790,23.934,24.311,24.971,25.775,26.870,28.033,29.566,31.367,33.198,35.338,37.424,39.383,41.167,42.524,44.653,46.450,48.353,50.492,51.907,53.526,55.564,57.290,58.866,59.453,60.337,61.058,61.746,62.416,62.902
BRAI_1,230.030,226.981,225.510,227.658,234.091,237.868,243.760,253.537,266.096,282.350,298.730,311.970,330.004,346.853,362.085,373.362,380.615,394.651,409.665,426.815,437.600,447.776,464.097,477.957,490.787,494.831,492.582,498.016,503.332,508.722,512.564
BRAP,31.904,31.623,31.677,31.822,32.159,32.544,33.168,33.996,35.332,36.954,38.602,40.519,42.612,44.670,46.633,48.122,50.223,52.274,54.424,56.740,58.227,59.760,62.058,63.997,65.793,66.419,66.872,67.665,68.444,69.233,69.795
BRAW_1,394.767,387.258,380.286,378.469,382.793,381.570,390.532,399.694,412.256,429.718,447.140,469.479,491.456,512.399,531.640,545.747,562.940,582.103,602.516,625.305,639.530,655.527,678.446,697.813,716.105,722.215,718.829,726.792,734.760,743.011,748.665
BRED_1,265.507,261.200,258.249,260.299,268.014,273.727,285.966,299.559,315.707,335.417,355.087,377.753,397.973,415.322,429.237,439.086,450.145,461.795,474.908,491.766,502.645,515.634,531.227,544.495,556.986,561.540,559.735,565.443,570.884,576.301,579.977
BRFO_1;CLT03,775.520,760.100,745.575,741.259,748.832,745.579,752.320,766.953,787.634,817.016,846.238,871.946,906.339,938.832,968.161,989.651,1007.161,1035.051,1065.095,1099.295,1121.364,1145.262,1180.695,1210.474,1239.339,1251.086,1248.930,1262.708,1276.489,1290.750,1299.993
BRID_P,23.977,23.684,23.729,24.014,24.577,25.278,26.256,27.258,28.577,30.129,31.706,33.631,35.434,37.127,38.666,39.853,41.836,43.404,45.069,46.939,48.206,49.763,51.577,53.108,54.519,55.105,56.071,56.753,57.396,58.024,58.468
BRIM_1,320.530,314.200,306.866,303.174,303.715,299.567,299.489,301.602,306.038,313.315,320.677,327.544,336.626,345.561,353.907,360.579,364.815,373.133,382.030,391.884,398.865,405.954,416.958,426.088,435.233,440.208,440.010,445.063,450.089,455.242,458.397
BROA_P,12.108,11.936,11.892,11.941,12.102,12.321,12.566,12.878,13.299,13.781,14.269,14.796,15.328,15.806,16.207,16.517,16.919,17.294,17.707,18.211,18.582,19.014,19.538,19.975,20.408,20.663,20.917,21.161,21.397,21.630,21.773
BROR_P,7.216,7.108,7.075,7.083,7.147,7.235,7.319,7.440,7.620,7.825,8.036,8.295,8.531,8.751,8.939,9.097,9.359,9.549,9.758,10.006,10.210,10.516,10.796,11.025,11.257,11.427,11.697,11.845,11.987,12.126,12.208
BROX,49.500,48.781,48.642,48.848,49.446,50.157,51.243,52.499,54.454,56.885,59.362,62.297,65.608,68.946,72.242,74.738,78.338,81.877,85.545,89.388,91.793,94.266,98.082,101.309,104.267,105.180,105.860,107.117,108.363,109.628,110.555
