Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.000,0.782,1.626,2.526,3.486,4.509,4.768,5.206,5.851,6.687,7.724,8.328,9.313,10.475,11.827,13.336,13.049,14.486,15.894,17.241,18.473,19.725,20.992,22.048,22.921,23.613,23.524,24.048,24.480,24.825,25.108
ABNE_P,0.000,0.051,0.106,0.165,0.228,0.295,0.548,0.598,0.672,0.768,0.887,1.477,1.652,1.858,2.098,2.365,3.550,3.941,4.324,4.691,5.026,5.943,6.325,6.643,6.906,7.115,8.298,8.482,8.635,8.757,8.857
ABTH_1,0.000,0.176,0.366,0.568,0.784,1.015,0.939,1.025,1.152,1.317,1.521,1.609,1.800,2.024,2.286,2.577,2.398,2.662,2.921,3.168,3.395,3.724,3.963,4.163,4.328,4.458,4.378,4.475,4.556,4.620,4.673
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.325,0.678,1.051,1.451,1.876,1.552,1.694,1.905,2.177,2.514,2.173,2.429,2.732,3.086,3.479,2.739,3.042,3.336,3.619,3.878,3.246,3.455,3.629,3.772,3.886,3.667,3.750,3.817,3.871,3.915
ALNE_P,0.000,0.066,0.138,0.214,0.295,0.381,0.612,0.668,0.751,0.858,0.991,1.533,1.714,1.928,2.177,2.454,3.517,3.905,4.284,4.648,4.980,5.819,6.192,6.504,6.761,6.966,8.084,8.264,8.412,8.531,8.628
ALVE1,0.000,0.723,1.503,2.334,3.220,4.166,4.405,4.810,5.406,6.178,7.136,7.694,8.604,9.678,10.927,12.321,12.056,13.384,14.684,15.929,17.067,18.223,19.394,20.370,21.176,21.816,21.734,22.218,22.617,22.936,23.197
AMEM_1,0.000,0.732,1.522,2.363,3.261,4.219,4.259,4.650,5.226,5.972,6.899,6.992,7.819,8.795,9.930,11.197,10.333,11.471,12.586,13.653,14.628,14.769,15.718,16.508,17.162,17.681,17.417,17.805,18.125,18.380,18.590
ARBR_P,0.000,0.051,0.106,0.165,0.228,0.295,0.548,0.599,0.673,0.769,0.888,1.479,1.654,1.860,2.100,2.368,3.554,3.945,4.329,4.696,5.031,5.950,6.332,6.650,6.914,7.123,8.307,8.492,8.644,8.766,8.866
ARDK_P;CLAC_P,0.000,0.007,0.014,0.021,0.030,0.038,0.057,0.062,0.070,0.080,0.093,0.135,0.151,0.170,0.191,0.216,0.297,0.330,0.362,0.393,0.421,0.485,0.517,0.543,0.564,0.581,0.671,0.686,0.698,0.708,0.716
ARMO_P,0.000,0.055,0.114,0.176,0.243,0.315,0.519,0.566,0.636,0.727,0.840,1.278,1.430,1.608,1.816,2.047,2.906,3.226,3.540,3.840,4.114,4.778,5.085,5.341,5.552,5.720,6.615,6.762,6.884,6.981,7.060
AXMI1,0.000,0.727,1.513,2.349,3.242,4.194,4.437,4.845,5.445,6.223,7.188,7.761,8.679,9.762,11.022,12.427,12.195,13.538,14.854,16.113,17.264,18.464,19.650,20.638,21.456,22.104,22.029,22.519,22.924,23.247,23.512
AYRR,0.000,0.054,0.112,0.174,0.241,0.312,0.564,0.615,0.691,0.790,0.913,1.493,1.670,1.878,2.121,2.391,3.545,3.935,4.317,4.683,5.018,5.920,6.301,6.618,6.880,7.088,8.234,8.418,8.569,8.690,8.789
BAGA,0.000,0.049,0.103,0.160,0.220,0.285,0.537,0.587,0.659,0.753,0.870,1.454,1.626,1.829,2.065,2.328,3.502,3.888,4.266,4.627,4.958,5.864,6.241,6.555,6.815,7.020,8.186,8.369,8.519,8.639,8.738
BAIN,0.000,0.033,0.069,0.107,0.147,0.191,0.359,0.392,0.441,0.504,0.582,0.972,1.087,1.223,1.381,1.557,2.342,2.600,2.852,3.094,3.315,3.921,4.173,4.383,4.557,4.694,5.474,5.596,5.697,5.777,5.843
BARKC1;BARKW3,0.000,0.845,1.756,2.727,3.763,4.869,4.480,4.891,5.498,6.283,7.257,6.794,7.598,8.546,9.650,10.880,9.331,10.358,11.366,12.328,13.209,12.317,13.108,13.768,14.313,14.745,14.282,14.601,14.863,15.073,15.244
BEAU_P;ORRI_P,0.000,0.041,0.085,0.132,0.183,0.236,0.389,0.425,0.477,0.545,0.630,0.959,1.072,1.206,1.362,1.535,2.180,2.420,2.655,2.880,3.086,3.583,3.814,4.005,4.164,4.290,4.961,5.072,5.163,5.235,5.295
BEDDT1,0.000,0.545,1.134,1.761,2.430,3.144,3.164,3.454,3.882,4.437,5.125,5.182,5.794,6.517,7.359,8.297,7.661,8.505,9.332,10.123,10.846,10.935,11.638,12.223,12.707,13.091,12.889,13.176,13.413,13.602,13.757
BEDD_1,0.000,1.289,2.682,4.164,5.747,7.434,7.482,8.169,9.181,10.493,12.120,12.254,13.703,15.414,17.403,19.623,18.118,20.114,22.069,23.940,25.650,25.861,27.523,28.907,30.051,30.959,30.482,31.161,31.721,32.168,32.535
