Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ALNE_P,4.000,4.090,4.210,4.330,4.450,4.570,4.720,4.880,5.030,5.200,5.370,5.510,5.660,5.820,5.980,6.140,6.270,6.410,6.550,6.690,6.840,6.950,7.070,7.190,7.310,7.430,7.550,7.680,7.800,7.930,8.060
ARDK_P;CLAC_P,15.550,15.910,16.360,16.830,17.290,17.770,18.360,18.960,19.580,20.210,20.870,21.440,22.010,22.610,23.230,23.860,24.380,24.920,25.470,26.020,26.590,27.030,27.480,27.940,28.410,28.880,29.360,29.840,30.330,30.830,31.340
ARMO_P,1.200,1.230,1.260,1.300,1.330,1.370,1.420,1.460,1.510,1.560,1.610,1.650,1.700,1.750,1.790,1.840,1.880,1.920,1.970,2.010,2.050,2.090,2.120,2.160,2.190,2.230,2.270,2.300,2.340,2.380,2.420
BEAU_P;ORRI_P,1.990,2.030,2.090,2.150,2.210,2.270,2.340,2.420,2.500,2.580,2.660,2.740,2.810,2.890,2.970,3.050,3.110,3.180,3.250,3.320,3.390,3.450,3.510,3.570,3.630,3.690,3.750,3.810,3.870,3.940,4.000
BOAG_P,6.950,7.110,7.310,7.520,7.730,7.940,8.200,8.470,8.750,9.030,9.320,9.580,9.840,10.110,10.380,10.660,10.900,11.140,11.380,11.630,11.880,12.080,12.280,12.490,12.700,12.910,13.120,13.340,13.560,13.780,14.010
BRAC_P,3.000,3.070,3.160,3.250,3.340,3.430,3.540,3.660,3.780,3.900,4.020,4.130,4.250,4.360,4.480,4.600,4.700,4.810,4.910,5.020,5.130,5.220,5.300,5.390,5.480,5.570,5.660,5.760,5.850,5.950,6.050
BROA_P,1.200,1.230,1.260,1.300,1.330,1.370,1.420,1.460,1.510,1.560,1.610,1.650,1.700,1.750,1.790,1.840,1.880,1.920,1.970,2.010,2.050,2.090,2.120,2.160,2.190,2.230,2.270,2.300,2.340,2.380,2.420
CAAD_P,2.400,2.460,2.530,2.600,2.670,2.740,2.830,2.930,3.020,3.120,3.220,3.310,3.400,3.490,3.590,3.680,3.760,3.850,3.930,4.020,4.100,4.170,4.240,4.310,4.380,4.460,4.530,4.610,4.680,4.760,4.840
CASS_P,4.500,4.610,4.740,4.870,5.000,5.140,5.310,5.490,5.660,5.850,6.040,6.200,6.370,6.540,6.720,6.900,7.060,7.210,7.370,7.530,7.690,7.820,7.950,8.090,8.220,8.360,8.500,8.640,8.780,8.920,9.070
CEAN_P,3.250,3.320,3.410,3.510,3.610,3.710,3.830,3.960,4.080,4.220,4.350,4.470,4.590,4.720,4.850,4.980,5.090,5.200,5.310,5.430,5.550,5.640,5.740,5.830,5.930,6.030,6.130,6.230,6.330,6.440,6.540
DUGR_P,1.840,1.880,1.940,1.990,2.050,2.100,2.170,2.240,2.320,2.390,2.470,2.540,2.610,2.680,2.750,2.820,2.890,2.950,3.010,3.080,3.150,3.200,3.250,3.310,3.360,3.420,3.470,3.530,3.590,3.650,3.710
DUNO_P,7.800,7.980,8.210,8.440,8.670,8.920,9.210,9.510,9.820,10.140,10.460,10.750,11.040,11.340,11.650,11.970,12.230,12.500,12.770,13.050,13.340,13.560,13.790,14.020,14.250,14.490,14.730,14.970,15.220,15.470,15.720
ELLA_1,2.000,2.050,2.100,2.160,2.220,2.290,2.360,2.440,2.520,2.600,2.680,2.760,2.830,2.910,2.990,3.070,3.140,3.200,3.280,3.350,3.420,3.480,3.540,3.590,3.650,3.710,3.780,3.840,3.900,3.970,4.030
FASN_P,2.500,2.560,2.630,2.700,2.780,2.860,2.950,3.050,3.150,3.250,3.350,3.450,3.540,3.640,3.730,3.840,3.920,4.010,4.090,4.180,4.270,4.350,4.420,4.490,4.570,4.640,4.720,4.800,4.880,4.960,5.040
FAUG_P,8.390,8.590,8.830,9.080,9.330,9.590,9.900,10.230,10.560,10.900,11.260,11.560,11.880,12.200,12.530,12.870,13.160,13.440,13.740,14.040,14.350,14.590,14.830,15.080,15.330,15.580,15.840,16.100,16.370,16.640,16.910
FOUR_1,6.000,6.140,6.310,6.490,6.670,6.860,7.080,7.310,7.550,7.800,8.050,8.270,8.490,8.730,8.960,9.210,9.410,9.610,9.830,10.040,10.260,10.430,10.610,10.780,10.960,11.140,11.330,11.520,11.710,11.900,12.090
FWIL_P,25.840,26.440,27.190,27.950,28.730,29.540,30.500,31.500,32.520,33.580,34.670,35.620,36.590,37.580,38.600,39.640,40.520,41.410,42.310,43.240,44.180,44.920,45.670,46.430,47.210,47.990,48.790,49.590,50.410,51.240,52.080
GRUB_P,29.210,29.890,30.740,31.600,32.480,33.390,34.480,35.610,36.770,37.960,39.190,40.260,41.360,42.480,43.640,44.820,45.800,46.810,47.840,48.880,49.950,50.780,51.630,52.490,53.370,54.250,55.150,56.060,56.990,57.930,58.880
HARK_1;HUTT_1;RRIG,5.600,5.730,5.890,6.060,6.230,6.400,6.610,6.830,7.050,7.280,7.510,7.720,7.930,8.140,8.370,8.590,8.780,8.970,9.170,9.370,9.570,9.740,9.900,10.060,10.230,10.400,10.570,10.750,10.930,11.110,11.290
INDQ1,1.200,1.230,1.260,1.300,1.330,1.370,1.420,1.460,1.510,1.560,1.610,1.650,1.700,1.750,1.790,1.840,1.880,1.920,1.970,2.010,2.050,2.090,2.120,2.160,2.190,2.230,2.270,2.300,2.340,2.380,2.420
INNE_P,5.000,5.120,5.260,5.410,5.560,5.720,5.900,6.100,6.290,6.500,6.710,6.890,7.080,7.270,7.470,7.670,7.840,8.010,8.190,8.370,8.550,8.690,8.840,8.980,9.130,9.290,9.440,9.600,9.750,9.920,10.080
KIIN_P,13.500,13.810,14.200,14.600,15.010,15.430,15.930,16.450,16.990,17.540,18.110,18.600,19.110,19.630,20.160,20.700,21.160,21.620,22.100,22.580,23.070,23.460,23.850,24.250,24.650,25.060,25.480,25.900,26.330,26.760,27.200
KINL_P,7.000,7.160,7.360,7.570,7.780,8.000,8.260,8.530,8.800,9.090,9.380,9.640,9.900,10.170,10.450,10.730,10.970,11.210,11.450,11.700,11.960,12.160,12.360,12.570,12.780,12.990,13.210,13.420,13.650,13.870,14.100
LAIR_P,3.700,3.790,3.890,4.000,4.110,4.230,4.370,4.510,4.660,4.810,4.960,5.100,5.240,5.380,5.530,5.680,5.800,5.930,6.060,6.190,6.330,6.430,6.540,6.650,6.760,6.870,6.990,7.100,7.220,7.340,7.460
LAND1,2.900,2.970,3.050,3.140,3.220,3.310,3.420,3.530,3.650,3.770,3.890,4.000,4.110,4.220,4.330,4.450,4.550,4.650,4.750,4.850,4.960,5.040,5.130,5.210,5.300,5.390,5.480,5.570,5.660,5.750,5.850
LINM,17.000,17.400,17.890,18.390,18.900,19.430,20.070,20.720,21.400,22.090,22.810,23.430,24.070,24.720,25.400,26.080,26.660,27.240,27.840,28.450,29.070,29.550,30.050,30.550,31.060,31.570,32.100,32.630,33.170,33.710,34.270
PENT_1,1.070,1.090,1.130,1.160,1.190,1.220,1.260,1.300,1.350,1.390,1.440,1.470,1.510,1.560,1.600,1.640,1.680,1.710,1.750,1.790,1.830,1.860,1.890,1.920,1.950,1.990,2.020,2.050,2.090,2.120,2.160
PORA_P,9.150,9.360,9.630,9.900,10.180,10.460,10.800,11.150,11.520,11.890,12.280,12.610,12.960,13.310,13.670,14.040,14.350,14.660,14.980,15.310,15.640,15.910,16.170,16.440,16.720,16.990,17.280,17.560,17.850,18.140,18.440
QUOI_P,3.450,3.530,3.630,3.730,3.840,3.940,4.070,4.210,4.340,4.480,4.630,4.760,4.880,5.020,5.150,5.290,5.410,5.530,5.650,5.770,5.900,6.000,6.100,6.200,6.300,6.410,6.510,6.620,6.730,6.840,6.950
RANN_P,15.200,15.560,15.990,16.440,16.900,17.370,17.940,18.530,19.130,19.750,20.390,20.950,21.520,22.110,22.710,23.320,23.830,24.360,24.890,25.430,25.990,26.420,26.870,27.310,27.770,28.230,28.700,29.170,29.650,30.140,30.640
RASS_1,8.000,8.190,8.420,8.650,8.900,9.140,9.440,9.750,10.070,10.400,10.730,11.030,11.330,11.630,11.950,12.270,12.540,12.820,13.100,13.390,13.680,13.910,14.140,14.380,14.610,14.860,15.100,15.350,15.610,15.860,16.130
