Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,40.960,52.710,56.500,64.330,69.250,74.970,79.970,84.680,88.790,92.570,94.620,95.640,95.780,95.220,92.450,88.640,83.810,79.260,75.210,71.170,67.670,64.820,62.900,61.580,61.200,61.650,63.400,66.540,71.330,78.080,86.350
ABNE_P,5.630,5.650,5.670,5.700,5.750,5.820,5.910,5.990,6.070,6.150,6.130,6.110,6.050,5.980,5.940,5.960,5.810,5.650,5.570,5.540,5.520,5.490,5.470,5.460,5.470,5.480,5.490,5.510,5.530,5.560,5.590
ABTH_1,116.940,125.140,128.940,135.050,137.370,140.140,142.600,144.310,143.140,142.950,143.820,144.410,143.640,143.320,141.920,139.960,136.600,133.030,129.260,125.760,122.410,118.620,114.180,109.800,105.440,101.640,98.810,97.390,97.470,98.400,97.670
ALNE_P,6.950,8.850,8.850,8.260,8.260,8.260,8.260,8.260,7.040,7.040,6.320,6.320,6.320,5.090,5.090,4.000,4.000,3.360,3.360,2.710,2.710,2.070,2.070,1.430,1.430,0.780,0.780,0.780,0.780,0.780,0.780
ALVE1,9.770,9.920,10.070,10.270,10.530,10.870,11.270,11.670,12.070,12.470,12.750,13.000,13.130,13.210,13.390,13.760,13.720,13.580,13.720,13.990,14.250,14.430,14.630,14.830,15.010,15.200,15.370,15.540,15.720,15.900,16.090
AMEM_1,28.920,29.080,29.250,29.510,29.900,23.420,24.070,24.690,25.300,25.900,26.060,26.210,26.310,26.390,26.550,26.920,26.610,26.290,26.180,26.200,26.190,26.130,26.130,26.190,26.280,26.390,26.540,26.730,26.950,27.180,27.430
ARMO_P,5.000,4.720,4.720,4.560,4.200,3.750,3.260,2.620,1.300,0.320,,,,,,,,,,,,,,,,,,,,,
AXMI1,2.960,2.940,2.910,2.880,2.850,2.820,2.780,2.740,2.700,2.660,2.550,2.440,2.330,2.230,2.130,2.030,1.890,1.760,1.630,1.510,1.400,1.300,1.220,1.160,1.100,1.050,1.010,0.970,0.940,0.910,0.880
BARKC1;BARKW3,136.350,133.590,134.840,138.550,138.280,137.600,136.770,135.200,128.150,125.050,122.440,120.950,117.410,113.080,111.860,108.580,107.080,103.570,100.570,97.160,95.210,91.200,87.410,82.090,77.650,72.650,68.660,66.720,65.170,63.840,61.490
BEDDT1,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.150,1.140,1.110,1.090,1.070,1.040,1.010,0.980,0.940,0.900,0.860,0.820,0.770,0.720,0.670,0.610,0.540,0.480,0.420,0.350,0.270,0.100
BEDD_1,102.660,102.490,102.690,99.230,99.070,98.800,93.360,92.840,91.570,85.530,84.610,83.400,76.350,75.050,63.790,62.810,41.200,39.630,37.830,36.430,35.120,33.610,31.760,29.910,27.940,26.290,24.570,23.640,22.880,22.190,21.070
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,10.070,12.270,12.280,11.610,11.640,11.670,11.720,11.760,10.400,10.440,9.630,9.630,9.620,8.180,8.170,6.950,6.900,6.110,6.090,5.360,5.360,4.620,4.620,3.890,3.900,3.170,3.180,3.190,3.210,3.220,3.240
BESW_1,17.670,17.580,17.480,17.390,17.300,17.200,17.090,16.960,16.830,16.610,16.170,15.670,15.170,14.670,14.160,13.630,12.930,12.260,11.600,10.930,10.280,9.630,9.010,8.410,7.790,7.150,6.600,6.060,5.500,4.830,3.550
BICF_1,50.320,52.150,54.060,56.020,58.060,60.180,62.370,64.560,66.610,68.650,70.540,72.400,74.190,75.950,77.770,79.750,81.350,82.890,84.620,86.450,88.260,90.360,92.500,94.680,96.870,99.480,102.150,104.880,108.110,111.420,114.820
