Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,85.470,86.660,90.200,96.610,103.670,111.360,119.010,126.620,136.180,147.690,163.630,181.530,200.640,217.370,238.370,251.010,252.690,251.760,253.420,264.110,274.710,285.240,295.700,306.090,313.850,321.560,329.220,336.810,344.350,351.830,359.250
ABNE_P,9.900,11.310,13.100,13.600,14.150,14.760,15.410,16.100,16.910,17.860,18.530,19.950,21.540,23.120,25.050,26.620,27.620,28.460,29.480,31.140,32.870,34.670,36.540,38.480,40.260,42.100,43.990,45.930,47.920,49.970,52.070
ABTH_1,62.280,63.150,65.730,66.120,66.540,67.010,67.470,67.930,68.500,69.200,70.160,71.240,72.400,73.410,74.680,75.440,75.540,75.480,75.580,76.230,76.870,77.510,78.140,78.760,79.230,79.700,80.160,80.620,81.080,81.530,81.970
ACTL_2;CBNK_H;GREE_H;PERI_H,,,,0.840,1.760,2.800,3.800,4.800,6.080,7.560,9.680,12.040,14.560,16.760,19.520,21.200,21.400,21.280,21.520,22.920,24.320,25.680,27.080,28.440,29.480,30.480,31.480,32.480,33.480,34.480,35.440
ALNE_P,0.490,0.560,0.640,1.140,1.700,2.310,2.960,3.660,4.470,5.410,6.090,7.510,9.100,10.690,12.620,14.200,15.190,16.040,17.060,18.730,20.460,22.260,24.130,26.070,27.860,29.700,31.600,33.540,35.540,37.590,39.700
ALVE1,182.360,184.910,192.450,198.870,205.920,213.610,221.260,228.870,238.430,249.940,265.880,283.780,302.890,319.620,340.620,353.260,354.950,354.020,355.680,366.360,376.970,387.500,397.960,408.340,416.110,423.820,431.470,439.070,446.600,454.080,461.500
AMEM_1,36.450,36.960,38.470,38.730,39.010,39.320,39.630,39.930,40.320,40.780,41.420,42.150,42.910,43.590,44.430,44.940,45.010,44.970,45.040,45.470,45.900,46.320,46.740,47.160,47.470,47.780,48.090,48.400,48.700,49.000,49.300
ARBR_P,24.230,27.670,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040,32.040
ARDK_P;CLAC_P,,,,0.500,1.050,1.670,2.330,3.020,3.830,4.780,5.450,6.870,8.460,10.050,11.970,13.550,14.560,15.400,16.420,18.090,19.820,21.620,23.500,25.430,27.220,29.060,30.950,32.900,34.900,36.950,39.050
ARMO_P,,,,1.080,2.280,3.590,5.000,6.490,8.240,10.280,11.740,14.800,18.230,21.650,25.800,29.200,31.350,33.170,35.360,38.950,42.690,46.580,50.610,54.780,58.630,62.600,66.680,70.870,75.180,79.600,84.130
AXMI1,93.080,94.380,98.230,106.760,116.130,126.340,136.510,146.610,159.320,174.600,195.780,219.560,244.950,267.180,295.070,311.860,314.100,312.870,315.080,329.270,343.360,357.350,371.240,385.040,395.360,405.600,415.770,425.860,435.870,445.810,455.660
BAGA,,,,0.600,1.270,2.010,2.800,3.650,4.630,5.770,6.490,8.340,10.420,12.550,15.120,17.320,18.850,20.190,21.760,24.140,26.630,29.230,31.940,34.760,37.400,40.120,42.920,45.810,48.780,51.840,54.980
BAIN,,,,0.600,1.270,2.010,2.800,3.650,4.630,5.770,6.490,8.340,10.420,12.550,15.120,17.320,18.850,20.190,21.760,24.140,26.630,29.230,31.940,34.760,37.400,40.120,42.920,45.810,48.780,51.840,54.980
