Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,79.609,76.676,75.716,75.364,74.928,74.951,74.943,74.828,74.760,74.643,74.435,74.345,74.659,74.972,75.414,75.892,77.000,77.845,78.573,78.659,77.868,78.500,78.933,78.913,78.984,78.829,78.917,79.138,79.359,79.503,79.379
ABNE_P,10.421,10.037,9.911,9.865,9.808,9.811,9.810,9.795,9.786,9.771,9.744,9.732,9.773,9.814,9.872,9.934,10.079,10.190,10.285,10.296,10.193,10.276,10.332,10.330,10.339,10.319,10.330,10.359,10.388,10.407,10.391
ABTH_1,81.136,78.146,77.168,76.809,76.365,76.388,76.380,76.263,76.193,76.074,75.862,75.770,76.091,76.410,76.860,77.347,78.476,79.338,80.080,80.167,79.361,80.005,80.447,80.426,80.499,80.340,80.430,80.655,80.881,81.028,80.901
ACTL_2;CBNK_H;GREE_H;PERI_H,37.623,36.237,35.784,35.617,35.412,35.422,35.418,35.363,35.332,35.276,35.178,35.135,35.284,35.432,35.640,35.866,36.391,36.789,37.134,37.175,36.800,37.099,37.305,37.294,37.328,37.255,37.297,37.400,37.505,37.573,37.515
ALNE_P,7.490,7.214,7.124,7.091,7.050,7.052,7.051,7.040,7.034,7.023,7.003,6.995,7.024,7.054,7.095,7.140,7.244,7.324,7.392,7.400,7.326,7.386,7.426,7.424,7.431,7.416,7.425,7.446,7.466,7.480,7.468
ALVE1,68.592,66.065,65.237,64.934,64.559,64.578,64.572,64.472,64.414,64.313,64.134,64.056,64.327,64.597,64.977,65.389,66.344,67.072,67.700,67.773,67.092,67.636,68.010,67.992,68.054,67.919,67.995,68.186,68.376,68.501,68.394
AMEM_1,24.470,23.569,23.274,23.165,23.032,23.038,23.036,23.001,22.980,22.944,22.880,22.852,22.949,23.045,23.181,23.328,23.668,23.928,24.152,24.178,23.935,24.129,24.263,24.256,24.278,24.230,24.257,24.325,24.393,24.438,24.400
ARBR_P,10.418,10.034,9.909,9.863,9.806,9.809,9.808,9.792,9.784,9.768,9.741,9.729,9.770,9.811,9.869,9.932,10.077,10.187,10.283,10.294,10.190,10.273,10.330,10.327,10.336,10.316,10.328,10.356,10.385,10.404,10.388
ARDK_P;CLAC_P,2.631,2.534,2.502,2.491,2.476,2.477,2.477,2.473,2.471,2.467,2.460,2.457,2.467,2.478,2.492,2.508,2.545,2.573,2.597,2.600,2.574,2.594,2.609,2.608,2.610,2.605,2.608,2.615,2.623,2.628,2.623
ARMO_P,6.018,5.797,5.724,5.697,5.664,5.666,5.666,5.657,5.652,5.643,5.627,5.620,5.644,5.668,5.701,5.737,5.821,5.885,5.940,5.946,5.887,5.934,5.967,5.966,5.971,5.959,5.966,5.983,5.999,6.010,6.001
AXMI1,61.943,59.661,58.914,58.640,58.301,58.318,58.312,58.223,58.170,58.079,57.917,57.847,58.091,58.335,58.679,59.051,59.913,60.570,61.137,61.203,60.588,61.080,61.417,61.401,61.457,61.336,61.404,61.576,61.748,61.860,61.764
AYRR,16.799,16.180,15.978,15.904,15.812,15.816,15.815,15.790,15.776,15.751,15.708,15.688,15.755,15.821,15.914,16.015,16.249,16.427,16.581,16.599,16.432,16.565,16.657,16.652,16.668,16.635,16.653,16.700,16.747,16.777,16.751
