Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.000,0.642,1.333,2.073,2.859,3.700,4.393,4.767,5.320,5.977,6.813,7.800,8.718,9.743,10.881,12.125,13.662,15.195,16.685,18.117,19.473,20.468,21.605,22.480,23.261,23.867,23.389,23.992,24.579,25.081,25.523
ABNE_P,0.000,0.110,0.229,0.356,0.491,0.635,0.693,0.752,0.839,0.942,1.074,1.496,1.672,1.869,2.087,2.325,2.907,3.234,3.550,3.855,4.144,5.075,5.357,5.574,5.768,5.918,7.321,7.510,7.694,7.851,7.989
ABTH_1,0.000,0.122,0.253,0.394,0.543,0.703,0.713,0.774,0.864,0.970,1.106,1.199,1.340,1.498,1.673,1.864,1.834,2.040,2.240,2.432,2.614,2.796,2.952,3.071,3.178,3.261,3.189,3.271,3.351,3.420,3.480
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.325,0.674,1.049,1.446,1.871,1.592,1.727,1.927,2.166,2.467,2.329,2.604,2.910,3.249,3.621,2.875,3.198,3.513,3.813,4.098,3.916,4.133,4.300,4.450,4.565,4.297,4.407,4.516,4.608,4.689
ALNE_P,0.000,0.049,0.102,0.159,0.219,0.284,0.263,0.286,0.319,0.358,0.408,0.478,0.534,0.597,0.667,0.743,0.772,0.859,0.943,1.024,1.101,1.504,1.587,1.651,1.709,1.753,2.112,2.166,2.219,2.264,2.304
ALVE1,0.000,0.608,1.264,1.964,2.709,3.507,4.164,4.518,5.042,5.664,6.456,7.392,8.262,9.234,10.311,11.491,12.947,14.401,15.812,17.169,18.454,19.397,20.475,21.304,22.044,22.619,22.166,22.737,23.293,23.769,24.188
AMEM_1,0.000,0.564,1.173,1.823,2.514,3.254,3.451,3.745,4.179,4.695,5.352,5.747,6.424,7.179,8.017,8.934,9.092,10.113,11.104,12.057,12.959,13.213,13.947,14.511,15.016,15.407,14.927,15.312,15.687,16.007,16.289
ARBR_P,0.000,0.110,0.228,0.354,0.489,0.633,0.690,0.748,0.835,0.938,1.069,1.490,1.665,1.861,2.078,2.316,2.895,3.220,3.536,3.839,4.126,5.054,5.335,5.551,5.744,5.893,7.291,7.479,7.662,7.818,7.956
ARDK_P;CLAC_P,0.000,0.012,0.024,0.038,0.052,0.067,0.070,0.076,0.085,0.095,0.109,0.138,0.154,0.172,0.192,0.214,0.244,0.271,0.298,0.323,0.348,0.417,0.440,0.458,0.474,0.486,0.596,0.612,0.627,0.639,0.651
ARMO_P,0.000,0.041,0.085,0.132,0.182,0.236,0.223,0.242,0.270,0.304,0.346,0.403,0.450,0.503,0.562,0.626,0.645,0.717,0.787,0.855,0.919,1.247,1.316,1.369,1.417,1.454,1.749,1.794,1.838,1.876,1.909
AXMI1,0.000,0.555,1.153,1.792,2.472,3.200,3.797,4.120,4.598,5.166,5.888,6.752,7.547,8.434,9.418,10.495,11.876,13.209,14.503,15.748,16.927,17.824,18.814,19.575,20.256,20.784,20.391,20.916,21.428,21.866,22.251
AYRR,0.000,0.103,0.215,0.334,0.460,0.596,0.640,0.695,0.775,0.871,0.993,1.358,1.518,1.696,1.894,2.111,2.600,2.892,3.175,3.448,3.706,4.585,4.839,5.035,5.210,5.346,6.584,6.753,6.919,7.060,7.184
BAGA,0.000,0.106,0.221,0.343,0.473,0.612,0.671,0.728,0.812,0.912,1.040,1.453,1.624,1.815,2.027,2.259,2.832,3.150,3.459,3.756,4.037,4.946,5.221,5.432,5.621,5.767,7.136,7.320,7.499,7.653,7.787
BAIN,0.000,0.071,0.147,0.229,0.316,0.409,0.448,0.487,0.543,0.610,0.695,0.972,1.086,1.214,1.356,1.511,1.894,2.106,2.313,2.511,2.699,3.307,3.491,3.632,3.758,3.856,4.772,4.895,5.015,5.117,5.207
BARKC1;BARKW3,0.000,0.888,1.846,2.870,3.959,5.124,4.831,5.241,5.849,6.571,7.490,7.533,8.419,9.410,10.507,11.709,10.666,11.863,13.026,14.144,15.203,15.014,15.849,16.490,17.063,17.507,16.760,17.191,17.612,17.972,18.289
BEAU_P;ORRI_P,0.000,0.031,0.064,0.099,0.137,0.177,0.167,0.182,0.203,0.228,0.259,0.302,0.337,0.377,0.421,0.469,0.484,0.538,0.591,0.641,0.689,0.935,0.987,1.027,1.063,1.090,1.312,1.346,1.379,1.407,1.432
BEDDT1,0.000,0.581,1.208,1.878,2.590,3.353,3.358,3.644,4.066,4.568,5.207,5.440,6.081,6.796,7.589,8.457,8.178,9.096,9.988,10.845,11.657,11.809,12.465,12.969,13.420,13.769,13.307,13.650,13.984,14.270,14.521
BEDD_1,0.000,1.232,2.561,3.980,5.490,7.106,7.117,7.723,8.618,9.682,11.036,11.530,12.888,14.403,16.084,17.924,17.334,19.280,21.169,22.986,24.706,25.028,26.419,27.488,28.443,29.185,28.204,28.930,29.638,30.244,30.777
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.000,0.044,0.091,0.141,0.194,0.252,0.238,0.258,0.288,0.323,0.369,0.429,0.480,0.536,0.599,0.667,0.687,0.764,0.839,0.911,0.979,1.329,1.403,1.459,1.510,1.549,1.864,1.912,1.959,1.999,2.034
BERW,0.000,0.040,0.084,0.131,0.180,0.233,0.250,0.272,0.303,0.341,0.388,0.531,0.594,0.664,0.741,0.826,1.017,1.131,1.242,1.349,1.450,1.794,1.893,1.970,2.038,2.092,2.576,2.642,2.707,2.762,2.811
BESW_1,0.000,0.329,0.684,1.064,1.467,1.899,2.107,2.287,2.552,2.867,3.268,3.597,4.021,4.494,5.018,5.592,5.806,6.457,7.090,7.699,8.275,8.696,9.180,9.551,9.883,10.141,10.008,10.266,10.517,10.732,10.921
BICF_1,0.000,0.594,1.234,1.918,2.646,3.424,4.079,4.426,4.939,5.549,6.325,7.210,8.059,9.007,10.058,11.208,12.490,13.892,15.253,16.562,17.802,18.636,19.672,20.468,21.179,21.731,21.269,21.817,22.351,22.808,23.209
BIRK_1,0.000,0.354,0.736,1.144,1.577,2.042,2.093,2.272,2.535,2.848,3.246,3.422,3.825,4.275,4.774,5.320,5.306,5.902,6.480,7.037,7.563,8.045,8.492,8.836,9.143,9.381,9.550,9.796,10.036,10.241,10.421
BISW_1,0.000,0.785,1.632,2.537,3.499,4.528,4.836,5.248,5.857,6.580,7.500,8.042,8.989,10.046,11.219,12.502,12.207,13.578,14.908,16.188,17.399,18.235,19.248,20.027,20.723,21.263,21.041,21.583,22.111,22.563,22.961
BLYTB1,0.000,0.454,0.944,1.467,2.023,2.618,2.642,2.867,3.200,3.595,4.097,4.210,4.706,5.259,5.873,6.545,6.395,7.113,7.810,8.480,9.115,9.324,9.842,10.240,10.596,10.872,10.810,11.089,11.360,11.592,11.796
BLYTH132,0.000,0.347,0.722,1.122,1.548,2.004,2.022,2.194,2.449,2.751,3.136,3.222,3.602,4.025,4.495,5.009,4.894,5.444,5.977,6.490,6.976,7.136,7.532,7.837,8.110,8.321,8.274,8.487,8.694,8.872,9.028
BOAG_P,0.000,0.017,0.036,0.056,0.077,0.100,0.095,0.103,0.115,0.129,0.147,0.171,0.191,0.214,0.238,0.266,0.274,0.304,0.334,0.363,0.390,0.529,0.559,0.581,0.601,0.617,0.743,0.762,0.780,0.796,0.810
BOLN_1,0.000,0.693,1.440,2.239,3.088,3.997,4.600,4.991,5.570,6.258,7.133,8.150,9.110,10.181,11.369,12.670,14.321,15.928,17.490,18.991,20.412,21.659,22.863,23.788,24.615,25.256,24.858,25.498,26.122,26.656,27.126
BONN,0.000,0.176,0.367,0.570,0.786,1.017,1.115,1.210,1.350,1.516,1.728,2.416,2.700,3.017,3.370,3.755,4.707,5.236,5.749,6.242,6.710,8.221,8.678,9.029,9.343,9.586,11.862,12.167,12.465,12.720,12.944
BOTW_1,0.000,0.527,1.095,1.702,2.348,3.038,3.610,3.917,4.371,4.911,5.597,6.417,7.172,8.015,8.951,9.975,11.306,12.574,13.807,14.992,16.114,16.949,17.890,18.614,19.261,19.763,19.387,19.886,20.373,20.789,21.155
BRAC_P,0.000,0.110,0.230,0.357,0.492,0.637,0.694,0.753,0.841,0.945,1.077,1.500,1.676,1.874,2.092,2.332,2.915,3.242,3.560,3.865,4.155,5.089,5.371,5.589,5.783,5.934,7.341,7.530,7.714,7.872,8.010
BRAI_1,0.000,0.571,1.186,1.844,2.543,3.291,3.936,4.271,4.766,5.355,6.103,7.008,7.834,8.755,9.776,10.895,12.316,13.699,15.041,16.332,17.555,18.461,19.487,20.276,20.980,21.527,21.101,21.645,22.175,22.628,23.026
BRAP,0.000,0.075,0.156,0.242,0.334,0.432,0.464,0.504,0.562,0.631,0.720,0.984,1.100,1.230,1.373,1.530,1.885,2.096,2.302,2.499,2.686,3.324,3.508,3.650,3.777,3.876,4.773,4.896,5.016,5.118,5.208
BRAW_1,0.000,0.626,1.300,2.021,2.787,3.608,3.588,3.893,4.345,4.881,5.563,5.750,6.427,7.183,8.021,8.938,8.632,9.601,10.542,11.447,12.303,12.750,13.458,14.003,14.489,14.867,14.837,15.220,15.592,15.911,16.191
BRED_1,0.000,0.113,0.236,0.366,0.505,0.654,0.679,0.736,0.822,0.923,1.052,1.135,1.269,1.418,1.584,1.765,1.835,2.041,2.241,2.434,2.616,2.778,2.933,3.051,3.157,3.240,3.247,3.331,3.412,3.482,3.543
BRFO_1;CLT03,0.000,0.652,1.357,2.108,2.908,3.764,4.394,4.768,5.321,5.978,6.813,7.816,8.736,9.764,10.903,12.151,13.760,15.304,16.804,18.246,19.611,20.789,21.944,22.832,23.626,24.242,23.843,24.458,25.057,25.568,26.019
BRID_P,0.000,0.117,0.244,0.379,0.523,0.677,0.738,0.801,0.894,1.004,1.144,1.594,1.782,1.991,2.224,2.478,3.098,3.446,3.784,4.109,4.416,5.409,5.709,5.940,6.147,6.307,7.802,8.003,8.199,8.367,8.514
BRIM_1,0.000,1.016,2.111,3.281,4.526,5.858,6.157,6.681,7.456,8.376,9.547,10.151,11.346,12.680,14.160,15.779,15.828,17.604,19.330,20.989,22.560,22.763,24.028,25.000,25.869,26.543,25.640,26.300,26.944,27.495,27.979
BROA_P,0.000,0.010,0.022,0.034,0.047,0.060,0.057,0.062,0.069,0.078,0.089,0.103,0.115,0.129,0.144,0.160,0.165,0.184,0.202,0.219,0.235,0.319,0.337,0.351,0.363,0.372,0.448,0.459,0.471,0.480,0.489
BROR_P,0.000,0.010,0.021,0.032,0.044,0.057,0.053,0.057,0.064,0.072,0.082,0.096,0.107,0.120,0.134,0.149,0.155,0.173,0.189,0.206,0.221,0.302,0.319,0.332,0.343,0.352,0.424,0.435,0.446,0.455,0.463
BROX,0.000,0.131,0.271,0.422,0.582,0.753,0.809,0.878,0.980,1.101,1.254,1.716,1.918,2.143,2.393,2.667,3.285,3.654,4.012,4.357,4.683,5.793,6.115,6.363,6.584,6.755,8.319,8.534,8.743,8.921,9.078
BRWA1,0.000,0.578,1.201,1.867,2.576,3.334,3.992,4.331,4.834,5.430,6.190,7.095,7.931,8.863,9.898,11.030,12.420,13.814,15.168,16.470,17.702,18.577,19.609,20.402,21.111,21.661,21.218,21.764,22.297,22.753,23.153
BUMU_P,0.000,0.112,0.233,0.362,0.499,0.646,0.705,0.765,0.853,0.959,1.093,1.522,1.702,1.902,2.124,2.367,2.959,3.291,3.613,3.923,4.217,5.165,5.452,5.672,5.870,6.023,7.451,7.643,7.830,7.990,8.130
BURM_1,0.000,0.621,1.290,2.005,2.766,3.580,4.209,4.567,5.097,5.726,6.527,7.465,8.344,9.325,10.413,11.604,13.078,14.546,15.972,17.343,18.641,19.644,20.736,21.575,22.325,22.906,22.460,23.039,23.602,24.085,24.509
BUSH_1,0.000,0.298,0.620,0.964,1.329,1.720,1.837,1.994,2.225,2.500,2.849,3.055,3.415,3.816,4.262,4.749,4.638,5.158,5.664,6.150,6.610,6.927,7.312,7.608,7.873,8.078,7.993,8.199,8.400,8.572,8.723
BUST_1,0.000,0.292,0.606,0.943,1.300,1.683,1.868,2.027,2.262,2.541,2.896,3.188,3.564,3.983,4.447,4.956,5.145,5.723,6.284,6.823,7.334,7.707,8.136,8.465,8.759,8.987,8.870,9.098,9.321,9.511,9.679
CAAD_P,0.000,0.063,0.131,0.203,0.280,0.362,0.377,0.409,0.456,0.513,0.584,0.741,0.828,0.926,1.034,1.152,1.312,1.459,1.602,1.740,1.870,2.242,2.366,2.462,2.547,2.614,3.208,3.290,3.371,3.440,3.500
CAMB_01,0.000,0.166,0.345,0.536,0.740,0.957,0.912,0.990,1.105,1.241,1.415,1.425,1.592,1.780,1.987,2.215,1.950,2.169,2.382,2.586,2.780,2.826,2.983,3.104,3.212,3.295,3.244,3.328,3.409,3.479,3.540
CANTN1;RICH1;RICH_J,0.000,0.126,0.263,0.408,0.563,0.729,0.732,0.794,0.887,0.996,1.135,1.277,1.427,1.595,1.782,1.986,2.156,2.398,2.633,2.860,3.073,3.427,3.617,3.764,3.894,3.997,4.016,4.119,4.220,4.306,4.382
CAPEA1,0.000,0.068,0.141,0.220,0.303,0.392,0.402,0.436,0.487,0.547,0.623,0.657,0.735,0.821,0.917,1.022,1.019,1.133,1.244,1.351,1.452,1.545,1.631,1.697,1.756,1.801,1.834,1.881,1.927,1.967,2.001
CARE_1,0.000,0.046,0.095,0.148,0.204,0.264,0.268,0.291,0.325,0.365,0.416,0.451,0.504,0.563,0.629,0.700,0.689,0.767,0.842,0.914,0.982,1.051,1.109,1.154,1.194,1.225,1.199,1.229,1.260,1.285,1.308
CARR_1,0.000,0.511,1.062,1.651,2.277,2.947,3.059,3.319,3.704,4.161,4.743,5.116,5.719,6.391,7.137,7.954,8.271,9.200,10.101,10.968,11.789,12.521,13.217,13.752,14.230,14.601,14.633,15.010,15.377,15.692,15.968
CASS_P,0.000,0.001,0.003,0.004,0.005,0.007,0.007,0.007,0.008,0.009,0.010,0.012,0.013,0.015,0.017,0.019,0.019,0.022,0.024,0.026,0.028,0.038,0.040,0.041,0.043,0.044,0.053,0.054,0.056,0.057,0.058
CATY,0.000,0.050,0.105,0.163,0.225,0.291,0.312,0.339,0.378,0.425,0.484,0.663,0.741,0.828,0.924,1.030,1.269,1.411,1.549,1.682,1.808,2.237,2.361,2.457,2.542,2.609,3.213,3.295,3.376,3.445,3.506
CEAN_P,0.000,0.002,0.003,0.005,0.007,0.009,0.009,0.009,0.010,0.012,0.013,0.015,0.017,0.019,0.021,0.024,0.025,0.027,0.030,0.033,0.035,0.048,0.050,0.052,0.054,0.055,0.067,0.068,0.070,0.072,0.073
CELL_1,0.000,0.352,0.732,1.138,1.569,2.031,2.121,2.302,2.569,2.886,3.290,3.476,3.885,4.342,4.849,5.403,5.071,5.640,6.192,6.724,7.227,7.579,8.000,8.324,8.613,8.838,8.779,9.005,9.226,9.414,9.580
CHAP,0.000,0.098,0.204,0.317,0.438,0.567,0.609,0.661,0.737,0.828,0.944,1.291,1.443,1.613,1.801,2.007,2.472,2.750,3.019,3.279,3.524,4.360,4.602,4.788,4.955,5.084,6.261,6.422,6.579,6.714,6.832
CHAR_P,0.000,0.108,0.224,0.348,0.479,0.620,0.676,0.734,0.819,0.920,1.049,1.461,1.633,1.825,2.038,2.271,2.839,3.158,3.468,3.765,4.047,4.957,5.232,5.444,5.633,5.780,7.150,7.335,7.514,7.668,7.803
CHAS,0.000,0.050,0.105,0.162,0.224,0.290,0.311,0.338,0.377,0.424,0.483,0.661,0.738,0.825,0.922,1.027,1.265,1.407,1.545,1.678,1.803,2.231,2.355,2.450,2.535,2.601,3.203,3.286,3.366,3.435,3.496
CHIC_1,0.000,0.588,1.222,1.899,2.620,3.391,4.024,4.366,4.872,5.474,6.239,7.154,7.997,8.937,9.980,11.122,12.584,13.997,15.368,16.688,17.937,18.887,19.937,20.743,21.464,22.024,21.608,22.164,22.707,23.171,23.579
CHSI_1,0.000,1.153,2.397,3.726,5.139,6.651,6.661,7.229,8.067,9.063,10.330,10.793,12.064,13.482,15.056,16.778,16.225,18.047,19.815,21.516,23.126,23.428,24.729,25.730,26.624,27.318,26.400,27.080,27.743,28.310,28.809
CHTE_1,0.000,0.921,1.914,2.975,4.104,5.312,5.627,6.106,6.814,7.656,8.726,9.305,10.401,11.624,12.980,14.465,14.629,16.271,17.866,19.400,20.852,21.617,22.818,23.741,24.567,25.207,24.909,25.550,26.176,26.711,27.181
CITR_1,0.000,0.888,1.846,2.869,3.958,5.122,4.355,4.726,5.274,5.925,6.753,6.376,7.126,7.964,8.894,9.911,7.870,8.754,9.612,10.437,11.218,10.716,11.312,11.769,12.178,12.496,11.760,12.063,12.358,12.611,12.833
CLAY_P,0.000,0.018,0.037,0.058,0.080,0.104,0.098,0.107,0.119,0.134,0.153,0.189,0.211,0.235,0.263,0.293,0.324,0.360,0.395,0.429,0.461,0.641,0.677,0.704,0.729,0.748,0.909,0.932,0.955,0.974,0.992
CLYM,0.000,0.167,0.347,0.540,0.745,0.964,1.036,1.124,1.254,1.409,1.606,2.197,2.455,2.744,3.064,3.415,4.206,4.678,5.136,5.577,5.995,7.417,7.829,8.145,8.429,8.648,10.650,10.925,11.192,11.421,11.622
COAT,0.000,0.141,0.293,0.456,0.629,0.814,0.874,0.949,1.059,1.190,1.356,1.855,2.073,2.317,2.587,2.883,3.551,3.950,4.337,4.709,5.061,6.262,6.610,6.877,7.117,7.302,8.993,9.224,9.450,9.643,9.813
COCK,0.000,0.117,0.242,0.376,0.519,0.672,0.722,0.783,0.874,0.982,1.119,1.531,1.711,1.912,2.136,2.380,2.931,3.260,3.580,3.887,4.178,5.169,5.457,5.677,5.875,6.028,7.423,7.615,7.801,7.960,8.101
CONQA1;SASA,0.000,0.034,0.072,0.113,0.155,0.200,0.221,0.239,0.267,0.300,0.341,0.404,0.451,0.504,0.563,0.627,0.652,0.725,0.795,0.864,0.928,1.075,1.134,1.180,1.221,1.253,1.286,1.320,1.352,1.379,1.403
COUA_P,0.000,0.109,0.226,0.352,0.485,0.628,0.685,0.743,0.829,0.932,1.062,1.479,1.653,1.848,2.063,2.299,2.875,3.197,3.510,3.812,4.097,5.018,5.297,5.511,5.703,5.851,7.239,7.425,7.607,7.763,7.899
COVE_1,0.000,0.861,1.789,2.780,3.835,4.963,5.508,5.977,6.670,7.493,8.541,9.403,10.510,11.745,13.116,14.617,15.175,16.878,18.532,20.123,21.629,22.730,23.993,24.964,25.832,26.505,26.158,26.832,27.489,28.051,28.545
COWL_1;ECLA_H,0.000,0.638,1.326,2.061,2.842,3.679,4.334,4.703,5.248,5.896,6.720,7.714,8.622,9.636,10.760,11.991,13.602,15.129,16.611,18.037,19.387,20.495,21.633,22.509,23.291,23.898,23.488,24.093,24.683,25.188,25.631
COYL,0.000,0.094,0.195,0.303,0.417,0.540,0.580,0.630,0.703,0.789,0.900,1.231,1.376,1.537,1.717,1.913,2.357,2.621,2.878,3.125,3.359,4.156,4.387,4.564,4.723,4.846,5.968,6.121,6.271,6.399,6.512
CRAI_P,0.000,0.053,0.110,0.171,0.235,0.304,0.288,0.313,0.349,0.392,0.447,0.553,0.618,0.690,0.771,0.859,0.949,1.056,1.159,1.259,1.353,1.880,1.984,2.064,2.136,2.192,2.664,2.732,2.799,2.856,2.907
CREB_1,0.000,0.254,0.528,0.820,1.132,1.465,1.555,1.688,1.884,2.116,2.412,2.611,2.919,3.262,3.642,4.059,4.144,4.609,5.061,5.496,5.907,6.158,6.501,6.764,6.999,7.181,7.073,7.255,7.432,7.584,7.718
CROO,0.000,0.110,0.228,0.354,0.488,0.632,0.694,0.753,0.841,0.944,1.076,1.500,1.677,1.874,2.092,2.331,2.914,3.241,3.559,3.864,4.154,5.084,5.367,5.583,5.777,5.928,7.341,7.530,7.714,7.872,8.010
CUMB,0.000,0.096,0.199,0.310,0.427,0.553,0.606,0.657,0.733,0.824,0.939,1.312,1.467,1.639,1.831,2.040,2.557,2.844,3.123,3.391,3.645,4.466,4.714,4.905,5.075,5.208,6.444,6.610,6.772,6.910,7.032
CUPA,0.000,0.118,0.245,0.381,0.526,0.681,0.746,0.809,0.903,1.015,1.157,1.616,1.807,2.019,2.255,2.512,3.150,3.503,3.847,4.177,4.489,5.501,5.806,6.041,6.251,6.414,7.937,8.141,8.340,8.511,8.661
CURR,0.000,0.039,0.080,0.125,0.172,0.223,0.239,0.260,0.290,0.325,0.371,0.507,0.567,0.634,0.708,0.788,0.971,1.080,1.186,1.288,1.384,1.713,1.808,1.881,1.946,1.997,2.459,2.523,2.584,2.637,2.684
DALM3,0.000,0.072,0.151,0.234,0.323,0.418,0.449,0.487,0.543,0.610,0.696,0.952,1.064,1.189,1.327,1.479,1.822,2.026,2.225,2.416,2.597,3.213,3.391,3.529,3.651,3.746,4.614,4.733,4.848,4.948,5.035
DEVM,0.000,0.045,0.094,0.145,0.201,0.260,0.279,0.303,0.338,0.380,0.433,0.592,0.661,0.739,0.825,0.920,1.133,1.260,1.384,1.503,1.615,1.998,2.109,2.194,2.271,2.330,2.869,2.943,3.015,3.077,3.131
DEVO,0.000,0.168,0.348,0.541,0.747,0.967,1.059,1.149,1.283,1.441,1.642,2.295,2.565,2.867,3.202,3.568,4.473,4.975,5.463,5.931,6.375,7.811,8.245,8.579,8.877,9.109,11.271,11.561,11.844,12.086,12.299
DEWP,0.000,0.082,0.171,0.265,0.366,0.474,0.509,0.552,0.616,0.692,0.789,1.079,1.206,1.348,1.505,1.678,2.066,2.298,2.524,2.740,2.945,3.644,3.846,4.002,4.141,4.249,5.233,5.368,5.499,5.611,5.710
DOUN_P,0.000,0.011,0.023,0.036,0.050,0.065,0.060,0.065,0.073,0.082,0.093,0.110,0.122,0.137,0.153,0.170,0.177,0.197,0.216,0.235,0.252,0.344,0.363,0.378,0.391,0.402,0.484,0.496,0.508,0.519,0.528
DRAK_1,0.000,0.294,0.612,0.951,1.311,1.697,1.813,1.967,2.195,2.466,2.811,3.014,3.369,3.765,4.204,4.685,4.575,5.088,5.587,6.067,6.521,6.834,7.214,7.505,7.766,7.969,7.885,8.089,8.286,8.456,8.605
DRAX_1,0.000,0.206,0.428,0.665,0.917,1.187,1.131,1.228,1.370,1.539,1.754,1.766,1.974,2.206,2.464,2.745,2.418,2.689,2.953,3.206,3.446,3.504,3.698,3.848,3.982,4.085,4.022,4.126,4.227,4.313,4.389
DRCR,0.000,0.052,0.108,0.167,0.231,0.299,0.327,0.355,0.397,0.446,0.508,0.710,0.793,0.886,0.990,1.103,1.383,1.538,1.689,1.834,1.971,2.415,2.549,2.653,2.745,2.816,3.485,3.575,3.662,3.737,3.803
DRUM,0.000,0.262,0.545,0.846,1.167,1.511,1.656,1.797,2.005,2.252,2.567,3.588,4.010,4.482,5.005,5.577,6.992,7.777,8.539,9.272,9.966,12.210,12.889,13.410,13.876,14.238,17.618,18.072,18.514,18.893,19.225
DUBE_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DUDH_P,0.000,0.114,0.238,0.369,0.510,0.659,0.719,0.780,0.871,0.978,1.115,1.553,1.736,1.940,2.166,2.414,3.018,3.357,3.686,4.002,4.302,5.269,5.562,5.787,5.988,6.144,7.601,7.796,7.987,8.150,8.294
