Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.923,1.544,3.012,5.222,8.292,12.097,16.807,22.367,28.474,35.076,42.018,48.728,54.586,59.019,61.770,62.862,62.616,61.943,61.363,61.258,61.605,59.997,60.326,60.499,60.506,60.374,60.057,59.532,58.794,57.748,55.941,53.924
ABNE_P,0.000,0.000,0.034,0.094,0.185,0.303,0.450,0.620,0.798,0.983,1.177,1.365,1.530,1.654,1.731,1.761,1.754,1.736,1.719,1.717,1.726,1.681,1.690,1.695,1.695,1.692,1.683,1.668,1.647,1.618,1.568,1.511
ABTH_1,0.430,0.720,1.319,2.200,3.406,4.886,6.716,8.884,11.288,13.906,16.658,19.318,21.640,23.398,24.488,24.921,24.823,24.557,24.327,24.285,24.423,23.785,23.916,23.985,23.987,23.935,23.809,23.601,23.308,22.894,22.178,21.377
ACTL_2;CBNK_H;GREE_H;PERI_H,0.184,0.308,0.496,0.752,1.086,1.482,1.970,2.557,3.228,3.976,4.763,5.524,6.188,6.691,7.003,7.126,7.098,7.022,6.956,6.944,6.984,6.802,6.839,6.858,6.859,6.844,6.808,6.749,6.665,6.547,6.342,6.113
ALNE_P,0.000,0.000,0.049,0.134,0.263,0.431,0.640,0.882,1.135,1.399,1.675,1.943,2.176,2.353,2.463,2.506,2.496,2.470,2.446,2.442,2.456,2.392,2.405,2.412,2.412,2.407,2.394,2.374,2.344,2.302,2.230,2.150
ALVE1,0.000,0.000,0.679,1.872,3.672,6.015,8.933,12.312,15.847,19.522,23.386,27.120,30.380,32.847,34.379,34.986,34.849,34.474,34.152,34.093,34.287,33.392,33.575,33.671,33.675,33.601,33.425,33.133,32.722,32.140,31.134,30.011
AMEM_1,0.521,0.872,1.760,3.114,5.007,7.363,10.281,13.720,17.481,21.535,25.797,29.916,33.512,36.234,37.923,38.593,38.442,38.029,37.673,37.608,37.822,36.834,37.036,37.143,37.147,37.066,36.871,36.549,36.096,35.454,34.344,33.105
ARBR_P,0.000,0.000,0.095,0.263,0.515,0.844,1.254,1.728,2.225,2.740,3.283,3.807,4.265,4.611,4.826,4.911,4.892,4.840,4.794,4.786,4.813,4.687,4.713,4.727,4.727,4.717,4.692,4.651,4.593,4.512,4.371,4.213
ARDK_P;CLAC_P,0.000,0.000,0.010,0.027,0.053,0.087,0.128,0.178,0.229,0.282,0.337,0.391,0.438,0.474,0.496,0.504,0.502,0.497,0.493,0.492,0.494,0.482,0.484,0.485,0.485,0.484,0.482,0.478,0.472,0.464,0.449,0.433
ARMO_P,0.030,0.050,0.135,0.269,0.461,0.704,1.007,1.361,1.741,2.145,2.570,2.980,3.338,3.609,3.777,3.844,3.829,3.788,3.753,3.746,3.768,3.669,3.689,3.700,3.700,3.692,3.673,3.641,3.595,3.532,3.421,3.298
