Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,74.087,70.985,66.913,64.441,63.392,58.061,57.143,55.634,53.628,52.944,52.453,52.164,52.187,52.196,52.373,52.713,53.503,54.639,55.757,56.978,58.242,59.853,61.765,63.816,65.826,67.959,69.933,71.798,73.479,75.058,76.315
ABNE_P,9.744,9.431,9.267,9.163,9.045,8.928,8.810,8.692,8.587,8.483,8.420,8.384,8.389,8.392,8.417,8.463,8.569,8.719,8.868,9.030,9.198,9.411,9.663,9.934,10.200,10.482,10.743,10.990,11.212,11.422,11.590
ABTH_1,75.508,72.346,68.196,65.676,64.608,59.174,58.238,56.701,54.657,53.959,53.459,53.165,53.188,53.196,53.377,53.724,54.529,55.687,56.826,58.070,59.359,61.001,62.949,65.039,67.089,69.262,71.274,73.175,74.888,76.497,77.779
ACTL_2;CBNK_H;GREE_H;PERI_H,35.014,33.548,31.622,30.455,29.959,27.439,27.007,26.292,25.345,25.020,24.790,24.653,24.664,24.668,24.752,24.912,25.286,25.823,26.351,26.928,27.525,28.287,29.189,30.159,31.109,32.117,33.050,33.931,34.726,35.472,36.067
ALNE_P,7.003,6.778,6.661,6.586,6.501,6.417,6.332,6.247,6.172,6.097,6.052,6.026,6.030,6.032,6.050,6.083,6.159,6.267,6.374,6.490,6.611,6.764,6.945,7.140,7.331,7.534,7.721,7.899,8.059,8.210,8.330
ALVE1,63.834,61.161,57.653,55.523,54.619,50.026,49.235,47.935,46.207,45.617,45.194,44.945,44.965,44.972,45.125,45.418,46.099,47.078,48.041,49.092,50.182,51.570,53.217,54.984,56.717,58.554,60.255,61.862,63.310,64.670,65.754
AMEM_1,22.773,21.819,20.568,19.808,19.486,17.847,17.565,17.101,16.484,16.274,16.123,16.034,16.041,16.044,16.098,16.203,16.446,16.795,17.139,17.514,17.902,18.398,18.985,19.616,20.234,20.889,21.496,22.069,22.586,23.071,23.458
ARBR_P,9.741,9.428,9.265,9.161,9.042,8.926,8.807,8.690,8.584,8.481,8.418,8.382,8.387,8.390,8.415,8.461,8.567,8.717,8.865,9.028,9.195,9.408,9.661,9.932,10.197,10.479,10.740,10.987,11.209,11.419,11.587
ARDK_P;CLAC_P,2.460,2.381,2.340,2.313,2.284,2.254,2.224,2.195,2.168,2.142,2.126,2.117,2.118,2.119,2.125,2.137,2.164,2.202,2.239,2.280,2.322,2.376,2.440,2.508,2.575,2.646,2.712,2.775,2.831,2.884,2.926
ARMO_P,5.627,5.446,5.352,5.292,5.223,5.156,5.088,5.020,4.959,4.899,4.863,4.842,4.845,4.846,4.861,4.888,4.949,5.036,5.121,5.215,5.312,5.435,5.581,5.737,5.891,6.053,6.204,6.347,6.475,6.597,6.694
AXMI1,57.646,55.233,52.064,50.140,49.325,45.177,44.462,43.288,41.728,41.195,40.813,40.588,40.606,40.613,40.751,41.015,41.630,42.514,43.384,44.334,45.317,46.571,48.058,49.654,51.219,52.878,54.414,55.865,57.173,58.402,59.380
AYRR,15.708,15.203,14.940,14.771,14.581,14.393,14.202,14.012,13.843,13.675,13.574,13.516,13.524,13.528,13.569,13.644,13.814,14.057,14.296,14.557,14.828,15.171,15.578,16.015,16.443,16.897,17.318,17.717,18.075,18.414,18.685
BAGA,11.849,11.468,11.269,11.142,10.999,10.857,10.713,10.570,10.442,10.316,10.239,10.196,10.202,10.205,10.236,10.292,10.420,10.603,10.783,10.981,11.185,11.444,11.751,12.080,12.403,12.746,13.064,13.364,13.635,13.890,14.094
BAIN,7.847,7.594,7.463,7.379,7.284,7.190,7.095,7.000,6.915,6.831,6.781,6.752,6.756,6.758,6.778,6.816,6.901,7.022,7.141,7.272,7.407,7.579,7.782,8.000,8.214,8.441,8.651,8.850,9.029,9.198,9.334
BARKC1;BARKW3,105.655,101.231,95.424,91.898,90.404,82.800,81.491,79.340,76.479,75.502,74.803,74.392,74.424,74.436,74.689,75.173,76.301,77.920,79.515,81.256,83.058,85.356,88.082,91.007,93.874,96.916,99.730,102.391,104.788,107.040,108.833
BEAU_P;ORRI_P,9.896,9.578,9.412,9.306,9.186,9.068,8.948,8.828,8.721,8.616,8.552,8.515,8.520,8.523,8.549,8.596,8.703,8.856,9.006,9.171,9.341,9.558,9.814,10.089,10.359,10.645,10.911,11.162,11.388,11.601,11.771
BEDDT1,32.882,31.505,29.697,28.600,28.135,25.769,25.361,24.692,23.802,23.498,23.280,23.152,23.162,23.166,23.244,23.395,23.746,24.250,24.746,25.288,25.849,26.564,27.413,28.323,29.215,30.162,31.038,31.866,32.612,33.312,33.871
BEDD_1,126.764,121.456,114.488,110.259,108.465,99.343,97.772,95.190,91.759,90.587,89.748,89.254,89.292,89.307,89.611,90.192,91.545,93.488,95.401,97.489,99.653,102.409,105.680,109.189,112.630,116.279,119.655,122.847,125.724,128.425,130.576
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,16.450,15.921,15.646,15.470,15.270,15.074,14.873,14.674,14.497,14.322,14.215,14.155,14.163,14.168,14.210,14.288,14.467,14.721,14.971,15.245,15.528,15.888,16.314,16.771,17.220,17.696,18.137,18.554,18.929,19.284,19.567
BERW,9.040,8.750,8.598,8.502,8.392,8.284,8.174,8.064,7.967,7.871,7.812,7.779,7.784,7.786,7.810,7.852,7.951,8.090,8.228,8.378,8.534,8.732,8.966,9.217,9.464,9.725,9.967,10.197,10.403,10.598,10.754
BESW_1,100.788,96.568,91.028,87.665,86.239,78.986,77.737,75.684,72.956,72.024,71.357,70.964,70.995,71.007,71.248,71.710,72.786,74.331,75.852,77.512,79.232,81.424,84.024,86.814,89.550,92.451,95.136,97.674,99.961,102.108,103.819
BICF_1,64.853,62.138,58.573,56.409,55.491,50.825,50.021,48.700,46.944,46.345,45.916,45.663,45.683,45.690,45.846,46.143,46.835,47.829,48.808,49.876,50.983,52.393,54.067,55.862,57.622,59.489,61.217,62.849,64.321,65.703,66.804
BIRK_1,64.601,61.896,58.345,56.190,55.276,50.627,49.826,48.511,46.762,46.165,45.737,45.485,45.505,45.513,45.668,45.964,46.653,47.643,48.618,49.682,50.785,52.190,53.856,55.645,57.398,59.258,60.979,62.605,64.071,65.448,66.544
BISW_1,134.876,129.229,121.815,117.315,115.406,105.700,104.029,101.282,97.631,96.384,95.492,94.966,95.007,95.022,95.346,95.964,97.403,99.471,101.506,103.728,106.030,108.963,112.443,116.177,119.837,123.720,127.313,130.709,133.769,136.643,138.933
BLYTB1,142.087,136.138,128.328,123.587,121.576,111.352,109.591,106.697,102.851,101.537,100.597,100.043,100.086,100.103,100.443,101.095,102.611,104.789,106.933,109.274,111.699,114.788,118.455,122.388,126.244,130.335,134.120,137.697,140.921,143.949,146.361
