Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,5.387,6.752,8.605,10.322,12.310,14.537,17.111,20.045,23.452,27.430,32.089,36.579,43.668,51.503,59.929,68.734,78.411,87.985,97.004,105.081,111.563,116.461,120.633,123.786,126.164,127.887,129.911,131.729,133.400,134.992,136.553
ABNE_P,0.100,0.137,0.179,0.223,0.276,0.338,0.413,0.502,0.607,0.731,0.876,1.033,1.233,1.454,1.692,1.941,2.214,2.484,2.739,2.967,3.150,3.288,3.406,3.495,3.562,3.610,3.668,3.719,3.766,3.811,3.855
ABTH_1,0.628,0.965,1.385,1.916,2.608,3.478,4.572,5.914,7.547,9.500,11.785,14.523,17.338,20.449,23.794,27.290,31.132,34.933,38.514,41.721,44.294,46.239,47.895,49.147,50.091,50.775,51.579,52.301,52.964,53.596,54.216
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.072,0.154,0.287,0.472,0.717,1.036,1.439,1.936,2.534,3.235,4.126,4.925,5.809,6.760,7.753,8.844,9.924,10.941,11.852,12.583,13.136,13.607,13.962,14.230,14.425,14.653,14.858,15.047,15.226,15.402
ALNE_P,0.040,0.067,0.103,0.153,0.221,0.307,0.417,0.554,0.721,0.922,1.157,1.446,1.727,2.036,2.369,2.717,3.100,3.479,3.835,4.154,4.411,4.604,4.769,4.894,4.988,5.056,5.136,5.208,5.274,5.337,5.399
ALVE1,3.459,4.279,5.405,6.404,7.537,8.777,10.182,11.754,13.555,15.645,18.093,20.284,24.215,28.560,33.232,38.115,43.481,48.791,53.792,58.270,61.865,64.581,66.895,68.643,69.962,70.917,72.040,73.048,73.974,74.857,75.723
AMEM_1,1.162,1.708,2.394,3.232,4.309,5.650,7.325,9.369,11.847,14.804,18.267,22.358,26.691,31.480,36.630,42.012,47.927,53.779,59.292,64.229,68.191,71.185,73.735,75.662,77.115,78.168,79.406,80.517,81.538,82.511,83.466
ARBR_P,0.050,0.111,0.179,0.277,0.408,0.578,0.797,1.069,1.403,1.805,2.274,2.857,3.410,4.022,4.680,5.368,6.124,6.872,7.576,8.207,8.713,9.096,9.421,9.668,9.853,9.988,10.146,10.288,10.418,10.543,10.665
ARDK_P;CLAC_P,0.010,0.012,0.018,0.029,0.042,0.060,0.081,0.109,0.143,0.184,0.232,0.290,0.347,0.409,0.475,0.545,0.622,0.698,0.770,0.833,0.885,0.924,0.957,0.982,1.001,1.014,1.031,1.045,1.059,1.071,1.083
ARMO_P,0.060,0.102,0.157,0.235,0.338,0.470,0.639,0.849,1.106,1.414,1.775,2.219,2.649,3.125,3.636,4.170,4.757,5.338,5.885,6.375,6.769,7.066,7.319,7.510,7.654,7.759,7.882,7.992,8.093,8.190,8.285
AXMI1,0.871,1.302,1.843,2.513,3.379,4.461,5.818,7.477,9.491,11.896,14.713,18.061,21.561,25.430,29.590,33.937,38.716,43.443,47.896,51.884,55.084,57.503,59.563,61.119,62.294,63.144,64.144,65.041,65.866,66.652,67.423
AYRR,0.250,0.372,0.528,0.722,0.973,1.288,1.683,2.166,2.752,3.453,4.274,5.251,6.269,7.393,8.603,9.867,11.256,12.630,13.925,15.084,16.015,16.718,17.317,17.770,18.111,18.358,18.649,18.910,19.150,19.378,19.602
BAGA,0.200,0.331,0.487,0.692,0.962,1.304,1.738,2.271,2.923,3.703,4.616,5.722,6.831,8.057,9.375,10.752,12.266,13.763,15.174,16.438,17.452,18.218,18.871,19.364,19.736,20.005,20.322,20.606,20.868,21.117,21.361
BAIN,0.140,0.247,0.380,0.565,0.812,1.128,1.532,2.033,2.646,3.382,4.243,5.301,6.328,7.464,8.684,9.960,11.363,12.750,14.057,15.228,16.167,16.877,17.481,17.938,18.283,18.533,18.826,19.089,19.331,19.562,19.788
BARKC1;BARKW3,1.719,2.164,2.766,3.331,3.988,4.730,5.593,6.580,7.731,9.076,10.653,12.199,14.563,17.176,19.986,22.922,26.149,29.342,32.350,35.043,37.205,38.839,40.230,41.281,42.074,42.649,43.324,43.930,44.487,45.018,45.539
BEAU_P;ORRI_P,0.080,0.127,0.189,0.273,0.384,0.525,0.704,0.926,1.197,1.521,1.900,2.363,2.821,3.327,3.871,4.440,5.065,5.683,6.266,6.787,7.206,7.523,7.792,7.996,8.149,8.261,8.391,8.509,8.617,8.719,8.820
BEDDT1,4.788,5.765,7.143,8.231,9.389,10.562,11.800,13.086,14.480,16.048,17.885,18.948,22.620,26.679,31.043,35.605,40.618,45.577,50.249,54.432,57.790,60.328,62.489,64.122,65.354,66.246,67.295,68.236,69.102,69.927,70.735
BEDD_1,0.000,0.910,1.949,3.641,5.989,9.102,13.158,18.265,24.574,32.173,41.069,52.373,62.524,73.742,85.806,98.413,112.269,125.977,138.890,150.454,159.735,166.748,172.722,177.236,180.641,183.108,186.006,188.608,191.001,193.280,195.516
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.110,0.187,0.278,0.399,0.559,0.762,1.021,1.339,1.728,2.195,2.740,3.404,4.064,4.793,5.577,6.396,7.297,8.188,9.027,9.778,10.382,10.837,11.226,11.519,11.740,11.901,12.089,12.258,12.414,12.562,12.707
BERW,0.120,0.166,0.228,0.301,0.392,0.505,0.645,0.814,1.019,1.262,1.547,1.878,2.241,2.643,3.076,3.528,4.025,4.516,4.979,5.394,5.726,5.977,6.192,6.354,6.476,6.564,6.668,6.761,6.847,6.929,7.009
BESW_1,2.582,3.440,4.562,5.766,7.247,9.015,11.162,13.718,16.771,20.388,24.623,29.320,35.002,41.282,48.036,55.093,62.850,70.524,77.753,84.227,89.423,93.349,96.693,99.220,101.126,102.507,104.130,105.586,106.926,108.202,109.454
BICF_1,1.223,1.609,2.116,2.647,3.293,4.058,4.979,6.070,7.368,8.903,10.700,12.659,15.113,17.824,20.740,23.787,27.136,30.450,33.571,36.366,38.610,40.305,41.749,42.840,43.663,44.259,44.960,45.589,46.167,46.718,47.258
BIRK_1,1.366,1.961,2.716,3.615,4.763,6.182,7.947,10.092,12.686,15.779,19.400,23.639,28.221,33.284,38.729,44.420,50.673,56.861,62.689,67.909,72.098,75.264,77.960,79.997,81.534,82.648,83.956,85.130,86.210,87.239,88.248
BISW_1,7.589,9.535,12.172,14.636,17.498,20.717,24.450,28.718,33.683,39.487,46.284,52.906,63.160,74.492,86.678,99.413,113.410,127.258,140.302,151.984,161.360,168.444,174.478,179.038,182.477,184.970,187.897,190.526,192.943,195.246,197.504
BLYTB1,0.520,0.801,1.151,1.594,2.171,2.896,3.810,4.931,6.294,7.924,9.833,12.120,14.469,17.065,19.856,22.774,25.980,29.152,32.141,34.817,36.964,38.587,39.970,41.014,41.802,42.373,43.044,43.646,44.200,44.727,45.244
BLYTH132,0.314,0.430,0.579,0.747,0.957,1.212,1.525,1.901,2.353,2.890,3.518,4.234,5.054,5.961,6.936,7.955,9.076,10.184,11.228,12.162,12.913,13.480,13.962,14.327,14.603,14.802,15.036,15.247,15.440,15.624,15.805
BOAG_P,0.040,0.060,0.088,0.123,0.170,0.228,0.303,0.394,0.505,0.638,0.794,0.983,1.173,1.383,1.610,1.846,2.106,2.363,2.605,2.822,2.997,3.128,3.240,3.325,3.389,3.435,3.489,3.538,3.583,3.626,3.668
BOLN_1,6.167,8.231,10.926,13.826,17.398,21.667,26.853,33.032,40.416,49.165,59.411,70.792,84.513,99.676,115.982,133.023,151.752,170.281,187.736,203.367,215.912,225.392,233.466,239.568,244.170,247.505,251.422,254.939,258.174,261.254,264.277
BONN,0.290,0.394,0.525,0.668,0.845,1.057,1.315,1.624,1.993,2.431,2.944,3.518,4.200,4.954,5.764,6.611,7.542,8.462,9.330,10.107,10.730,11.201,11.602,11.906,12.134,12.300,12.495,12.669,12.830,12.983,13.134
BOTW_1,0.477,0.809,1.213,1.756,2.475,3.391,4.557,5.997,7.757,9.865,12.333,15.343,18.317,21.604,25.138,28.831,32.890,36.906,40.689,44.077,46.796,48.851,50.601,51.923,52.920,53.643,54.492,55.255,55.956,56.623,57.278
BRAC_P,0.100,0.178,0.271,0.398,0.568,0.784,1.060,1.402,1.820,2.322,2.909,3.628,4.331,5.108,5.944,6.817,7.777,8.726,9.621,10.422,11.065,11.551,11.964,12.277,12.513,12.684,12.885,13.065,13.231,13.389,13.543
BRAI_1,0.644,1.278,2.038,3.120,4.574,6.454,8.863,11.860,15.536,19.949,25.116,31.510,37.617,44.367,51.625,59.210,67.546,75.794,83.563,90.520,96.104,100.323,103.917,106.633,108.682,110.166,111.910,113.475,114.915,116.286,117.631
BRAP,0.500,0.605,0.757,0.884,1.025,1.173,1.337,1.514,1.714,1.942,2.210,2.418,2.887,3.405,3.962,4.544,5.184,5.817,6.414,6.948,7.376,7.700,7.976,8.184,8.341,8.455,8.589,8.709,8.820,8.925,9.028
BRAW_1,1.217,1.964,2.885,4.090,5.673,7.680,10.221,13.350,17.167,21.737,27.086,33.561,40.066,47.254,54.985,63.064,71.943,80.727,89.002,96.412,102.360,106.854,110.682,113.574,115.756,117.337,119.194,120.862,122.395,123.856,125.288
BRED_1,0.883,1.974,3.268,5.162,7.727,11.060,15.348,20.698,27.271,35.168,44.413,55.926,66.765,78.744,91.626,105.089,119.884,134.523,148.312,160.660,170.571,178.060,184.438,189.259,192.894,195.529,198.624,201.402,203.958,206.391,208.779
BRFO_1;CLT03,3.025,4.455,6.254,8.454,11.285,14.809,19.217,24.594,31.114,38.898,48.011,58.788,70.181,82.774,96.315,110.466,126.019,141.406,155.901,168.881,179.299,187.171,193.876,198.943,202.764,205.534,208.787,211.708,214.394,216.952,219.462
BRID_P,0.040,0.104,0.177,0.285,0.432,0.624,0.872,1.181,1.561,2.019,2.554,3.223,3.847,4.537,5.279,6.055,6.908,7.751,8.546,9.257,9.828,10.260,10.627,10.905,11.114,11.266,11.444,11.605,11.752,11.892,12.030
BRIM_1,3.120,3.786,4.717,5.481,6.311,7.175,8.112,9.113,10.224,11.490,12.972,14.027,16.746,19.751,22.982,26.358,30.069,33.741,37.199,40.297,42.783,44.661,46.261,47.470,48.381,49.042,49.819,50.516,51.157,51.767,52.366
BROA_P,0.020,0.044,0.074,0.118,0.179,0.257,0.358,0.485,0.641,0.828,1.046,1.320,1.575,1.858,2.162,2.480,2.829,3.174,3.500,3.791,4.025,4.202,4.352,4.466,4.552,4.614,4.687,4.753,4.813,4.870,4.927
