Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,90.668,89.702,91.613,91.780,91.439,90.730,88.863,87.266,85.915,84.645,83.721,83.545,83.377,83.216,83.061,82.879,82.764,82.772,82.802,82.810,82.828,83.083,83.335,83.577,83.803,84.001,84.186,84.333,84.439,84.510,84.552
ABNE_P,16.862,16.682,17.037,17.069,17.005,16.873,16.526,16.230,15.979,15.742,15.571,15.538,15.507,15.477,15.448,15.414,15.393,15.394,15.400,15.401,15.405,15.452,15.499,15.544,15.586,15.623,15.657,15.684,15.704,15.717,15.725
ABTH_1,104.086,102.977,105.171,105.362,104.971,104.157,102.013,100.180,98.630,97.172,96.111,95.909,95.716,95.532,95.353,95.145,95.012,95.022,95.056,95.065,95.086,95.379,95.668,95.945,96.205,96.432,96.645,96.813,96.935,97.017,97.064
ACTL_2;CBNK_H;GREE_H;PERI_H,38.325,37.917,38.725,38.796,38.651,38.351,37.563,36.887,36.316,35.780,35.389,35.315,35.244,35.175,35.111,35.033,34.984,34.988,35.000,35.004,35.011,35.119,35.225,35.329,35.424,35.507,35.585,35.648,35.692,35.722,35.740
ALNE_P,7.858,7.775,7.940,7.955,7.925,7.864,7.702,7.564,7.447,7.337,7.257,7.241,7.227,7.213,7.199,7.184,7.174,7.174,7.177,7.178,7.179,7.201,7.223,7.244,7.264,7.281,7.297,7.309,7.319,7.325,7.328
ALVE1,70.794,70.040,71.531,71.662,71.396,70.842,69.384,68.137,67.083,66.091,65.370,65.232,65.101,64.975,64.854,64.712,64.622,64.629,64.652,64.658,64.672,64.872,65.068,65.257,65.433,65.588,65.732,65.847,65.930,65.986,66.018
AMEM_1,29.784,29.466,30.094,30.149,30.037,29.804,29.191,28.666,28.222,27.805,27.502,27.444,27.389,27.336,27.285,27.225,27.187,27.190,27.200,27.202,27.208,27.292,27.375,27.454,27.529,27.594,27.654,27.703,27.738,27.761,27.775
ARBR_P,10.454,10.343,10.563,10.582,10.543,10.461,10.246,10.062,9.906,9.760,9.653,9.633,9.614,9.595,9.577,9.556,9.543,9.544,9.547,9.548,9.550,9.580,9.609,9.637,9.663,9.686,9.707,9.724,9.736,9.744,9.749
ARDK_P;CLAC_P,2.663,2.635,2.691,2.696,2.686,2.665,2.610,2.563,2.523,2.486,2.459,2.454,2.449,2.444,2.440,2.434,2.431,2.431,2.432,2.432,2.433,2.440,2.448,2.455,2.461,2.467,2.473,2.477,2.480,2.482,2.483
ARMO_P,8.877,8.783,8.970,8.986,8.953,8.883,8.701,8.545,8.412,8.288,8.198,8.180,8.164,8.148,8.133,8.115,8.104,8.105,8.108,8.108,8.110,8.135,8.160,8.184,8.206,8.225,8.243,8.257,8.268,8.275,8.279
