Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ALNE_P,4.000,4.010,4.030,4.040,4.050,4.060,4.070,4.080,4.090,4.100,4.110,4.120,4.130,4.140,4.150,4.160,4.170,4.180,4.180,4.190,4.200,4.210,4.210,4.220,4.230,4.230,4.240,4.250,4.250,4.260,4.270
ARDK_P;CLAC_P,15.550,15.600,15.650,15.700,15.750,15.790,15.840,15.880,15.920,15.960,16.000,16.030,16.070,16.110,16.140,16.170,16.210,16.240,16.270,16.300,16.330,16.360,16.380,16.410,16.440,16.470,16.490,16.510,16.540,16.570,16.590
ARMO_P,1.200,1.200,1.210,1.210,1.220,1.220,1.220,1.230,1.230,1.230,1.230,1.240,1.240,1.240,1.250,1.250,1.250,1.250,1.260,1.260,1.260,1.260,1.260,1.270,1.270,1.270,1.270,1.270,1.280,1.280,1.280
BEAU_P;ORRI_P,1.990,1.990,2.000,2.000,2.010,2.020,2.020,2.030,2.030,2.040,2.040,2.050,2.050,2.060,2.060,2.060,2.070,2.070,2.080,2.080,2.080,2.090,2.090,2.090,2.100,2.100,2.100,2.110,2.110,2.110,2.120
BOAG_P,6.950,6.970,7.000,7.020,7.040,7.060,7.080,7.100,7.110,7.130,7.150,7.170,7.180,7.200,7.210,7.230,7.240,7.260,7.270,7.280,7.300,7.310,7.320,7.330,7.350,7.360,7.370,7.380,7.390,7.400,7.410
BRAC_P,3.000,3.010,3.020,3.030,3.040,3.050,3.060,3.060,3.070,3.080,3.090,3.090,3.100,3.110,3.110,3.120,3.130,3.130,3.140,3.140,3.150,3.160,3.160,3.170,3.170,3.180,3.180,3.190,3.190,3.200,3.200
BROA_P,1.200,1.200,1.210,1.210,1.220,1.220,1.220,1.230,1.230,1.230,1.230,1.240,1.240,1.240,1.250,1.250,1.250,1.250,1.260,1.260,1.260,1.260,1.260,1.270,1.270,1.270,1.270,1.270,1.280,1.280,1.280
CAAD_P,2.400,2.410,2.420,2.420,2.430,2.440,2.440,2.450,2.460,2.460,2.470,2.470,2.480,2.490,2.490,2.500,2.500,2.510,2.510,2.520,2.520,2.520,2.530,2.530,2.540,2.540,2.550,2.550,2.550,2.560,2.560
CASS_P,4.500,4.520,4.530,4.540,4.560,4.570,4.580,4.590,4.610,4.620,4.630,4.640,4.650,4.660,4.670,4.680,4.690,4.700,4.710,4.720,4.720,4.730,4.740,4.750,4.760,4.760,4.770,4.780,4.790,4.790,4.800
CEAN_P,3.250,3.260,3.270,3.280,3.290,3.300,3.300,3.310,3.320,3.330,3.340,3.350,3.350,3.360,3.370,3.370,3.380,3.390,3.390,3.400,3.410,3.410,3.420,3.420,3.430,3.440,3.440,3.450,3.450,3.460,3.460
DUGR_P,1.840,1.850,1.850,1.860,1.860,1.870,1.870,1.880,1.880,1.890,1.890,1.900,1.900,1.910,1.910,1.910,1.920,1.920,1.920,1.930,1.930,1.940,1.940,1.940,1.940,1.950,1.950,1.950,1.960,1.960,1.960
DUNO_P,7.800,7.830,7.850,7.880,7.900,7.920,7.940,7.960,7.980,8.000,8.020,8.040,8.060,8.080,8.090,8.110,8.130,8.140,8.160,8.170,8.190,8.200,8.220,8.230,8.250,8.260,8.270,8.280,8.300,8.310,8.320
ELLA_1,2.000,2.010,2.010,2.020,2.030,2.030,2.040,2.040,2.050,2.050,2.060,2.060,2.070,2.070,2.080,2.080,2.080,2.090,2.090,2.100,2.100,2.100,2.110,2.110,2.110,2.120,2.120,2.120,2.130,2.130,2.130
FASN_P,2.500,2.510,2.520,2.520,2.530,2.540,2.550,2.550,2.560,2.570,2.570,2.580,2.580,2.590,2.590,2.600,2.610,2.610,2.620,2.620,2.620,2.630,2.630,2.640,2.640,2.650,2.650,2.660,2.660,2.660,2.670
FAUG_P,8.390,8.420,8.450,8.470,8.500,8.520,8.540,8.570,8.590,8.610,8.630,8.650,8.670,8.690,8.710,8.730,8.740,8.760,8.780,8.790,8.810,8.820,8.840,8.850,8.870,8.880,8.900,8.910,8.920,8.940,8.950
FOUR_1,6.000,6.020,6.040,6.060,6.080,6.090,6.110,6.130,6.140,6.160,6.170,6.190,6.200,6.210,6.230,6.240,6.250,6.260,6.280,6.290,6.300,6.310,6.320,6.330,6.340,6.350,6.360,6.370,6.380,6.390,6.400
FWIL_P,25.840,25.930,26.010,26.090,26.170,26.240,26.310,26.380,26.450,26.520,26.580,26.640,26.700,26.760,26.820,26.870,26.930,26.980,27.030,27.080,27.130,27.180,27.220,27.270,27.310,27.360,27.400,27.440,27.490,27.530,27.570
GRUB_P,29.210,29.310,29.400,29.500,29.580,29.670,29.750,29.830,29.900,29.980,30.050,30.120,30.190,30.250,30.320,30.380,30.440,30.500,30.560,30.620,30.670,30.720,30.780,30.830,30.880,30.930,30.980,31.020,31.070,31.120,31.160
HARK_1;HUTT_1;RRIG,5.600,5.620,5.640,5.650,5.670,5.690,5.700,5.720,5.730,5.750,5.760,5.770,5.790,5.800,5.810,5.820,5.840,5.850,5.860,5.870,5.880,5.890,5.900,5.910,5.920,5.930,5.940,5.950,5.960,5.960,5.970
INDQ1,1.200,1.200,1.210,1.210,1.220,1.220,1.220,1.230,1.230,1.230,1.230,1.240,1.240,1.240,1.250,1.250,1.250,1.250,1.260,1.260,1.260,1.260,1.260,1.270,1.270,1.270,1.270,1.270,1.280,1.280,1.280
INNE_P,5.000,5.020,5.030,5.050,5.060,5.080,5.090,5.110,5.120,5.130,5.140,5.160,5.170,5.180,5.190,5.200,5.210,5.220,5.230,5.240,5.250,5.260,5.270,5.280,5.290,5.290,5.300,5.310,5.320,5.330,5.330
KIIN_P,13.500,13.540,13.580,13.630,13.670,13.710,13.740,13.780,13.810,13.850,13.880,13.910,13.950,13.980,14.010,14.030,14.060,14.090,14.120,14.140,14.170,14.190,14.220,14.240,14.260,14.290,14.310,14.330,14.350,14.380,14.400
KINL_P,7.000,7.020,7.040,7.060,7.080,7.100,7.120,7.140,7.160,7.180,7.200,7.210,7.230,7.240,7.260,7.270,7.290,7.300,7.320,7.330,7.340,7.360,7.370,7.380,7.390,7.410,7.420,7.430,7.440,7.450,7.460
LAIR_P,3.700,3.710,3.720,3.740,3.750,3.760,3.770,3.780,3.790,3.800,3.810,3.810,3.820,3.830,3.840,3.850,3.860,3.860,3.870,3.880,3.880,3.890,3.900,3.900,3.910,3.920,3.920,3.930,3.940,3.940,3.950
LAND1,2.900,2.910,2.920,2.930,2.940,2.950,2.950,2.960,2.970,2.980,2.980,2.990,3.000,3.000,3.010,3.020,3.020,3.030,3.030,3.040,3.040,3.050,3.060,3.060,3.070,3.070,3.080,3.080,3.080,3.090,3.090
LINM,17.000,17.060,17.110,17.160,17.220,17.270,17.310,17.360,17.400,17.450,17.490,17.530,17.570,17.610,17.640,17.680,17.710,17.750,17.780,17.820,17.850,17.880,17.910,17.940,17.970,18.000,18.030,18.060,18.080,18.110,18.130
PENT_1,1.070,1.070,1.080,1.080,1.080,1.090,1.090,1.090,1.100,1.100,1.100,1.100,1.110,1.110,1.110,1.110,1.120,1.120,1.120,1.120,1.120,1.130,1.130,1.130,1.130,1.130,1.130,1.140,1.140,1.140,1.140
PORA_P,9.150,9.180,9.210,9.240,9.270,9.290,9.320,9.340,9.370,9.390,9.410,9.430,9.460,9.480,9.500,9.520,9.530,9.550,9.570,9.590,9.610,9.620,9.640,9.660,9.670,9.690,9.700,9.720,9.730,9.750,9.760
QUOI_P,3.450,3.460,3.470,3.480,3.490,3.500,3.510,3.520,3.530,3.540,3.550,3.560,3.570,3.570,3.580,3.590,3.600,3.600,3.610,3.620,3.620,3.630,3.630,3.640,3.650,3.650,3.660,3.660,3.670,3.680,3.680
RANN_P,15.200,15.250,15.300,15.350,15.390,15.440,15.480,15.520,15.560,15.600,15.640,15.670,15.710,15.740,15.780,15.810,15.840,15.870,15.900,15.930,15.960,15.990,16.010,16.040,16.070,16.090,16.120,16.140,16.170,16.190,16.220
