Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,85.470,85.980,86.720,88.130,89.530,91.250,92.970,96.010,99.710,104.720,111.700,120.500,131.220,141.600,155.620,164.610,163.960,163.320,162.680,165.910,170.400,174.860,179.290,183.680,188.040,192.370,196.660,200.920,205.150,209.350,213.510
ABNE_P,9.900,11.090,12.340,12.650,12.980,13.330,13.680,14.090,14.540,15.060,15.690,16.530,17.530,18.570,19.880,20.990,21.570,22.160,22.740,23.600,24.570,25.570,26.600,27.660,28.750,29.870,31.020,32.210,33.420,34.660,35.930
ABTH_1,62.280,62.650,63.200,63.280,63.370,63.470,63.570,63.760,63.980,64.280,64.700,65.240,65.880,66.510,67.360,67.900,67.860,67.820,67.780,67.980,68.250,68.520,68.790,69.050,69.310,69.580,69.840,70.090,70.350,70.600,70.850
ACTL_2;CBNK_H;GREE_H;PERI_H,,,,0.200,0.360,0.600,0.840,1.240,1.720,2.360,3.280,4.440,5.880,7.240,9.080,10.280,10.160,10.080,10.000,10.440,11.040,11.600,12.200,12.760,13.360,13.920,14.480,15.040,15.600,16.160,16.720
ALNE_P,0.490,0.540,0.610,0.930,1.250,1.600,1.950,2.360,2.810,3.330,3.970,4.810,5.810,6.860,8.170,9.280,9.860,10.450,11.030,11.890,12.860,13.860,14.900,15.960,17.050,18.180,19.330,20.520,21.730,22.970,24.250
ALVE1,182.360,183.450,185.040,186.450,187.840,189.570,191.280,194.330,198.030,203.040,210.010,218.810,229.540,239.910,253.940,262.920,262.280,261.640,261.000,264.230,268.720,273.180,277.600,282.000,286.360,290.680,294.980,299.240,303.470,307.660,311.820
AMEM_1,36.450,36.670,36.990,37.040,37.100,37.170,37.240,37.360,37.510,37.710,37.990,38.350,38.780,39.200,39.760,40.120,40.100,40.070,40.040,40.170,40.360,40.540,40.710,40.890,41.070,41.240,41.410,41.580,41.750,41.920,42.090
ARBR_P,24.230,27.140,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180,30.180
ARDK_P;CLAC_P,,,,0.320,0.650,0.990,1.350,1.760,2.210,2.730,3.360,4.210,5.200,6.250,7.560,8.670,9.260,9.840,10.430,11.280,12.260,13.250,14.290,15.350,16.450,17.580,18.720,19.910,21.120,22.370,23.650
ARMO_P,,,,0.690,1.390,2.140,2.900,3.780,4.750,5.880,7.240,9.060,11.210,13.460,16.290,18.680,19.940,21.200,22.460,24.300,26.400,28.560,30.790,33.080,35.430,37.850,40.340,42.890,45.510,48.190,50.930
AXMI1,93.080,93.640,94.450,96.310,98.170,100.460,102.740,106.790,111.700,118.350,127.620,139.320,153.560,167.340,185.980,197.910,197.060,196.210,195.350,199.650,205.610,211.540,217.420,223.260,229.050,234.800,240.500,246.160,251.780,257.350,262.880
BAGA,,,,0.420,0.850,1.300,1.760,2.280,2.850,3.500,4.270,5.410,6.740,8.160,9.910,11.460,12.390,13.320,14.250,15.520,16.950,18.430,19.960,21.530,23.150,24.820,26.540,28.300,30.110,31.970,33.880
BAIN,,,,0.420,0.850,1.300,1.760,2.280,2.850,3.500,4.270,5.410,6.740,8.160,9.910,11.460,12.390,13.320,14.250,15.520,16.950,18.430,19.960,21.530,23.150,24.820,26.540,28.300,30.110,31.970,33.880
BARKC1;BARKW3,2.660,2.670,2.700,2.820,2.950,3.110,3.260,3.540,3.880,4.330,4.960,5.760,6.730,7.670,8.940,9.750,9.700,9.640,9.580,9.870,10.280,10.680,11.080,11.480,11.880,12.270,12.660,13.040,13.420,13.800,14.180
BEDDT1,,,,0.070,0.150,0.230,0.320,0.480,0.670,0.930,1.290,1.750,2.300,2.840,3.570,4.030,4.000,3.970,3.930,4.100,4.330,4.560,4.790,5.020,5.240,5.470,5.690,5.910,6.130,6.350,6.560
