Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ALVE1,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,3.800,53.800,53.800,53.800,53.800,53.800,53.800
AMEM_1,12.600,12.600,59.600,59.600,59.600,59.600,106.600,106.600,106.600,106.600,106.600,106.600,106.600,106.600,106.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600,146.600
ARMO_P,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400
AXMI1,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000
BICF_1,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700,6.700
BISW_1,38.000,38.000,38.000,38.000,38.000,66.000,66.000,66.000,66.000,66.000,66.000,66.000,66.000,66.000,66.000,66.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000,106.000
BOLN_1,9.500,9.500,15.800,15.800,15.800,15.800,48.100,48.100,48.100,48.100,48.100,48.100,48.100,48.100,82.300,82.300,82.300,82.300,89.200,89.200,185.700,185.700,233.100,233.100,233.100,233.100,233.100,233.100,233.100,233.100,233.100
BONN,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900
BRAC_P,,,,,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
BRAI_1,,,,,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600,12.600
BRAW_1,,,,,,,,,,,,,,,,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,99.900,99.900,99.900,99.900,99.900
BRED_1,,,,,50.000,50.000,50.000,50.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000
