Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.134,0.304,0.478,0.657,0.840,1.027,1.231,1.469,1.722,1.996,2.298,2.638,2.991,3.370,3.766,4.183,4.622,5.081,5.563,6.602,7.147,7.692,8.265,8.859,9.485,10.114,10.765,11.450,12.143,12.858,13.593
ABNE_P,0.012,0.027,0.042,0.058,0.074,0.091,0.109,0.130,0.152,0.177,0.203,0.233,0.265,0.298,0.333,0.370,0.409,0.450,0.492,0.584,0.632,0.680,0.731,0.784,0.839,0.895,0.952,1.013,1.074,1.138,1.203
ABTH_1,0.027,0.061,0.096,0.132,0.168,0.206,0.247,0.294,0.345,0.400,0.460,0.528,0.599,0.675,0.754,0.838,0.926,1.018,1.114,1.322,1.432,1.541,1.655,1.774,1.900,2.026,2.156,2.293,2.432,2.575,2.723
ACTL_2;CBNK_H;GREE_H;PERI_H,0.007,0.016,0.025,0.035,0.044,0.054,0.065,0.077,0.091,0.105,0.121,0.139,0.158,0.178,0.198,0.220,0.244,0.268,0.293,0.348,0.377,0.405,0.436,0.467,0.500,0.533,0.567,0.603,0.640,0.678,0.716
ALNE_P,0.004,0.010,0.016,0.022,0.028,0.034,0.040,0.048,0.057,0.066,0.075,0.087,0.098,0.111,0.124,0.137,0.152,0.167,0.183,0.217,0.235,0.253,0.271,0.291,0.311,0.332,0.353,0.376,0.399,0.422,0.446
ALVE1,0.115,0.262,0.412,0.566,0.724,0.885,1.061,1.266,1.485,1.721,1.981,2.274,2.579,2.905,3.246,3.606,3.984,4.380,4.795,5.691,6.161,6.630,7.124,7.636,8.176,8.719,9.280,9.870,10.468,11.083,11.718
AMEM_1,0.013,0.029,0.046,0.063,0.081,0.099,0.119,0.142,0.166,0.192,0.222,0.254,0.288,0.325,0.363,0.403,0.446,0.490,0.536,0.637,0.689,0.742,0.797,0.854,0.915,0.975,1.038,1.104,1.171,1.240,1.311
ARBR_P,0.012,0.026,0.042,0.057,0.073,0.089,0.107,0.128,0.150,0.174,0.200,0.230,0.261,0.294,0.328,0.364,0.403,0.443,0.485,0.575,0.623,0.670,0.720,0.772,0.826,0.881,0.938,0.997,1.058,1.120,1.184
ARDK_P;CLAC_P,0.000,0.001,0.002,0.002,0.003,0.003,0.004,0.005,0.005,0.006,0.007,0.008,0.009,0.011,0.012,0.013,0.015,0.016,0.017,0.021,0.022,0.024,0.026,0.028,0.030,0.032,0.034,0.036,0.038,0.040,0.043
ARMO_P,0.003,0.007,0.011,0.015,0.019,0.023,0.027,0.033,0.038,0.044,0.051,0.058,0.066,0.075,0.083,0.093,0.102,0.113,0.123,0.146,0.158,0.171,0.183,0.196,0.210,0.224,0.239,0.254,0.269,0.285,0.301
AXMI1,0.066,0.151,0.237,0.326,0.416,0.509,0.610,0.728,0.854,0.990,1.139,1.308,1.483,1.671,1.867,2.074,2.291,2.519,2.758,3.273,3.543,3.813,4.098,4.392,4.702,5.015,5.337,5.677,6.020,6.375,6.739
AYRR,0.003,0.006,0.010,0.014,0.018,0.022,0.026,0.031,0.037,0.042,0.049,0.056,0.064,0.072,0.080,0.089,0.098,0.108,0.118,0.140,0.152,0.164,0.176,0.188,0.202,0.215,0.229,0.243,0.258,0.273,0.289
BAGA,0.008,0.018,0.028,0.038,0.049,0.060,0.072,0.086,0.101,0.117,0.134,0.154,0.175,0.197,0.220,0.245,0.270,0.297,0.325,0.386,0.418,0.450,0.483,0.518,0.555,0.592,0.630,0.670,0.710,0.752,0.795
BAIN,0.002,0.005,0.008,0.011,0.014,0.018,0.021,0.025,0.030,0.034,0.039,0.045,0.051,0.058,0.065,0.072,0.079,0.087,0.095,0.113,0.123,0.132,0.142,0.152,0.163,0.174,0.185,0.196,0.208,0.221,0.233
BARKC1;BARKW3,0.026,0.058,0.092,0.126,0.161,0.197,0.236,0.282,0.331,0.384,0.441,0.507,0.575,0.647,0.723,0.804,0.888,0.976,1.069,1.268,1.373,1.477,1.588,1.702,1.822,1.943,2.068,2.199,2.333,2.470,2.611
BEAU_P;ORRI_P,0.007,0.016,0.025,0.035,0.045,0.055,0.065,0.078,0.091,0.106,0.122,0.140,0.159,0.179,0.200,0.222,0.245,0.270,0.295,0.351,0.380,0.408,0.439,0.470,0.504,0.537,0.572,0.608,0.645,0.683,0.722
