Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,226.391,224.270,221.098,218.680,217.796,217.458,218.249,220.401,223.607,227.563,232.368,238.378,246.086,254.663,264.065,274.028,284.152,294.448,304.865,313.525,320.694,326.467,332.402,339.873,344.486,346.223,349.001,352.538,355.226,356.398,355.944,356.486
ABNE_P,37.337,36.890,36.175,35.592,35.234,34.935,34.783,34.805,34.928,35.069,35.238,35.471,35.803,36.220,36.633,37.021,37.502,37.966,38.516,38.922,39.266,39.543,40.051,41.003,41.540,41.754,42.149,42.775,43.267,43.436,43.411,43.600
ABTH_1,286.082,282.943,278.001,273.965,271.632,269.717,268.900,269.386,270.680,272.241,274.128,276.699,280.177,284.557,289.112,293.667,298.793,303.871,309.512,313.889,317.560,320.553,324.936,332.275,336.546,338.289,341.313,345.814,349.356,350.659,350.431,351.663
ACTL_2;CBNK_H;GREE_H;PERI_H,115.336,114.188,112.385,110.864,109.944,109.136,108.682,108.651,108.879,109.176,109.552,110.185,111.113,112.404,113.741,115.069,116.597,118.130,119.885,121.217,122.337,123.295,124.777,127.352,128.875,129.565,130.688,132.310,133.609,134.100,134.049,134.497
ALNE_P,29.596,29.297,28.839,28.450,28.220,28.027,27.932,27.953,28.053,28.184,28.349,28.596,28.961,29.372,29.805,30.245,30.731,31.222,31.768,32.192,32.545,32.843,33.261,33.951,34.362,34.547,34.842,35.259,35.591,35.721,35.702,35.808
ALVE1,215.414,213.120,209.851,207.116,205.715,204.701,204.572,205.497,207.197,209.358,212.027,215.536,220.394,225.454,230.933,236.655,242.641,248.713,255.061,260.215,264.495,268.004,272.094,277.919,281.466,282.929,285.274,288.423,290.884,291.892,291.644,292.314
AMEM_1,67.338,66.790,66.045,65.592,65.722,66.138,67.053,68.568,70.614,73.133,76.181,79.877,84.533,89.514,95.048,100.988,106.874,112.884,118.793,123.809,127.951,131.248,134.220,137.366,139.369,140.045,141.088,142.241,143.066,143.490,143.218,143.224
ARBR_P,30.199,29.897,29.462,29.095,28.905,28.768,28.749,28.869,29.097,29.389,29.751,30.233,30.908,31.607,32.366,33.163,33.993,34.839,35.720,36.437,37.033,37.522,38.087,38.884,39.373,39.580,39.903,40.331,40.665,40.803,40.771,40.857
ARDK_P;CLAC_P,3.280,3.247,3.201,3.160,3.139,3.123,3.119,3.131,3.154,3.183,3.221,3.270,3.340,3.411,3.490,3.573,3.657,3.746,3.838,3.912,3.972,4.025,4.084,4.169,4.219,4.245,4.279,4.323,4.360,4.375,4.370,4.381
ARMO_P,31.296,30.944,30.393,29.951,29.708,29.522,29.474,29.586,29.804,30.066,30.384,30.794,31.341,31.968,32.627,33.300,34.033,34.761,35.546,36.168,36.689,37.106,37.664,38.542,39.056,39.256,39.606,40.123,40.522,40.672,40.638,40.768
