Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.134,0.306,0.489,0.689,0.912,1.185,1.508,1.898,2.352,2.858,3.414,4.033,4.717,5.457,6.252,7.102,8.010,8.971,9.986,11.057,12.183,13.371,14.608,15.899,17.246,18.648,20.105,21.617,23.184,24.807,26.484
ABNE_P,0.012,0.027,0.043,0.061,0.081,0.105,0.133,0.168,0.208,0.253,0.302,0.357,0.417,0.483,0.553,0.628,0.709,0.794,0.884,0.978,1.078,1.183,1.292,1.407,1.526,1.650,1.779,1.912,2.051,2.195,2.343
ABTH_1,0.027,0.061,0.098,0.138,0.183,0.237,0.302,0.380,0.471,0.572,0.684,0.808,0.945,1.093,1.252,1.422,1.605,1.797,2.000,2.215,2.440,2.678,2.926,3.185,3.454,3.735,4.027,4.330,4.644,4.969,5.305
ACTL_2;CBNK_H;GREE_H;PERI_H,0.007,0.016,0.026,0.036,0.048,0.062,0.079,0.100,0.124,0.151,0.180,0.213,0.249,0.288,0.329,0.374,0.422,0.473,0.526,0.583,0.642,0.705,0.770,0.838,0.909,0.983,1.059,1.139,1.222,1.307,1.396
ALNE_P,0.004,0.010,0.016,0.023,0.030,0.039,0.049,0.062,0.077,0.094,0.112,0.132,0.155,0.179,0.205,0.233,0.263,0.295,0.328,0.363,0.400,0.439,0.480,0.522,0.566,0.612,0.660,0.710,0.761,0.814,0.869
ALVE1,0.115,0.263,0.421,0.594,0.786,1.021,1.300,1.636,2.028,2.463,2.943,3.476,4.066,4.704,5.389,6.122,6.905,7.733,8.608,9.531,10.502,11.526,12.592,13.705,14.866,16.075,17.331,18.634,19.985,21.384,22.830
AMEM_1,0.013,0.029,0.047,0.066,0.088,0.114,0.145,0.183,0.227,0.276,0.329,0.389,0.455,0.526,0.603,0.685,0.772,0.865,0.963,1.066,1.175,1.289,1.408,1.533,1.663,1.798,1.938,2.084,2.235,2.392,2.554
ARBR_P,0.012,0.027,0.043,0.060,0.079,0.103,0.131,0.165,0.205,0.249,0.297,0.351,0.411,0.475,0.545,0.619,0.698,0.782,0.870,0.963,1.061,1.165,1.273,1.385,1.502,1.625,1.751,1.883,2.020,2.161,2.307
ARDK_P;CLAC_P,0.000,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.007,0.009,0.011,0.013,0.015,0.017,0.020,0.022,0.025,0.028,0.031,0.035,0.038,0.042,0.046,0.050,0.054,0.059,0.063,0.068,0.073,0.078,0.083
ARMO_P,0.003,0.007,0.011,0.015,0.020,0.026,0.033,0.042,0.052,0.063,0.076,0.089,0.105,0.121,0.139,0.157,0.178,0.199,0.221,0.245,0.270,0.296,0.324,0.352,0.382,0.413,0.446,0.479,0.514,0.550,0.587
AXMI1,0.066,0.152,0.242,0.342,0.452,0.587,0.747,0.941,1.166,1.417,1.693,1.999,2.339,2.705,3.100,3.521,3.972,4.448,4.951,5.482,6.040,6.629,7.242,7.883,8.550,9.245,9.968,10.718,11.495,12.299,13.131
AYRR,0.003,0.006,0.010,0.015,0.019,0.025,0.032,0.040,0.050,0.061,0.073,0.086,0.100,0.116,0.133,0.151,0.170,0.191,0.212,0.235,0.259,0.284,0.311,0.338,0.367,0.397,0.428,0.460,0.493,0.528,0.563
BAGA,0.008,0.018,0.029,0.040,0.053,0.069,0.088,0.111,0.138,0.167,0.200,0.236,0.276,0.319,0.366,0.415,0.468,0.525,0.584,0.647,0.712,0.782,0.854,0.930,1.009,1.091,1.176,1.264,1.356,1.451,1.549
BAIN,0.002,0.005,0.008,0.012,0.016,0.020,0.026,0.033,0.040,0.049,0.059,0.069,0.081,0.094,0.107,0.122,0.137,0.154,0.171,0.190,0.209,0.229,0.251,0.273,0.296,0.320,0.345,0.371,0.398,0.426,0.454
BARKC1;BARKW3,0.026,0.059,0.094,0.132,0.175,0.228,0.290,0.365,0.452,0.549,0.656,0.775,0.906,1.048,1.201,1.364,1.539,1.723,1.918,2.124,2.340,2.568,2.806,3.054,3.313,3.582,3.862,4.152,4.453,4.765,5.087
BEAU_P;ORRI_P,0.007,0.016,0.026,0.037,0.048,0.063,0.080,0.101,0.125,0.152,0.181,0.214,0.251,0.290,0.332,0.377,0.425,0.476,0.530,0.587,0.647,0.710,0.776,0.844,0.916,0.990,1.068,1.148,1.231,1.317,1.407
BEDDT1,0.007,0.017,0.027,0.038,0.050,0.066,0.083,0.105,0.130,0.158,0.189,0.223,0.261,0.302,0.346,0.393,0.443,0.496,0.553,0.612,0.674,0.740,0.808,0.880,0.954,1.032,1.112,1.196,1.283,1.373,1.465
BEDD_1,0.032,0.072,0.115,0.162,0.215,0.279,0.355,0.447,0.554,0.673,0.805,0.950,1.112,1.286,1.473,1.674,1.888,2.114,2.353,2.606,2.871,3.151,3.442,3.747,4.064,4.395,4.738,5.094,5.464,5.846,6.241
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.009,0.021,0.034,0.048,0.063,0.082,0.104,0.131,0.162,0.197,0.235,0.278,0.325,0.376,0.431,0.490,0.552,0.619,0.689,0.762,0.840,0.922,1.007,1.096,1.189,1.286,1.386,1.490,1.599,1.710,1.826
BERW,0.010,0.023,0.036,0.051,0.067,0.087,0.111,0.140,0.174,0.211,0.252,0.297,0.348,0.402,0.461,0.524,0.591,0.662,0.737,0.816,0.899,0.986,1.077,1.173,1.272,1.375,1.483,1.594,1.710,1.830,1.953
BESW_1,0.043,0.098,0.157,0.222,0.294,0.382,0.485,0.611,0.758,0.920,1.099,1.299,1.519,1.757,2.013,2.287,2.579,2.889,3.216,3.561,3.923,4.306,4.704,5.120,5.553,6.005,6.474,6.961,7.466,7.988,8.528
BICF_1,0.041,0.094,0.150,0.211,0.279,0.363,0.461,0.581,0.720,0.875,1.045,1.234,1.444,1.670,1.914,2.174,2.452,2.746,3.057,3.385,3.729,4.093,4.471,4.867,5.279,5.708,6.154,6.617,7.097,7.593,8.107
BIRK_1,0.021,0.049,0.078,0.110,0.146,0.189,0.241,0.303,0.376,0.456,0.545,0.644,0.753,0.871,0.998,1.134,1.279,1.432,1.594,1.765,1.945,2.135,2.332,2.538,2.753,2.977,3.210,3.451,3.701,3.960,4.228
BISW_1,0.190,0.434,0.695,0.980,1.297,1.685,2.143,2.699,3.345,4.063,4.854,5.733,6.706,7.758,8.888,10.097,11.389,12.754,14.198,15.720,17.321,19.010,20.768,22.604,24.519,26.512,28.583,30.733,32.961,35.268,37.654
BLYTB1,0.047,0.108,0.173,0.244,0.322,0.419,0.533,0.671,0.831,1.010,1.206,1.425,1.667,1.928,2.209,2.509,2.830,3.170,3.528,3.907,4.305,4.724,5.161,5.618,6.093,6.589,7.103,7.638,8.192,8.765,9.358
BLYTH132,0.014,0.031,0.049,0.070,0.092,0.120,0.152,0.192,0.238,0.289,0.345,0.408,0.477,0.552,0.632,0.718,0.810,0.907,1.010,1.118,1.232,1.352,1.477,1.607,1.743,1.885,2.032,2.185,2.344,2.508,2.677
BOAG_P,0.005,0.011,0.018,0.025,0.033,0.043,0.054,0.069,0.085,0.103,0.123,0.146,0.170,0.197,0.226,0.256,0.289,0.324,0.360,0.399,0.440,0.483,0.527,0.574,0.622,0.673,0.726,0.780,0.837,0.895,0.956
BOLN_1,0.126,0.287,0.459,0.647,0.855,1.111,1.414,1.780,2.206,2.680,3.202,3.782,4.424,5.117,5.863,6.660,7.512,8.413,9.365,10.370,11.425,12.540,13.699,14.910,16.173,17.488,18.854,20.272,21.742,23.264,24.837
