Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,248.532,249.573,249.972,254.379,259.762,261.857,270.600,285.095,303.032,320.701,335.652,355.954,378.377,401.200,421.530,439.870,464.924,488.866,511.725,526.411,537.083,551.746,562.532,571.053,569.493,560.280,560.336,560.077,559.533,557.269
ABNE_P,43.516,43.160,42.702,42.839,43.083,43.085,43.529,44.740,46.344,47.997,49.736,51.762,54.229,56.817,59.308,62.068,65.096,67.900,70.534,72.417,74.826,76.767,78.248,79.434,79.736,80.133,80.237,80.252,80.238,79.909
ABTH_1,193.765,193.272,192.097,193.579,195.600,198.264,202.688,211.121,221.785,232.138,245.483,258.159,272.499,287.295,300.269,316.439,333.724,350.411,366.513,376.310,387.471,398.489,406.961,413.806,412.595,403.686,404.029,404.144,404.067,402.768
ACTL_2;CBNK_H;GREE_H;PERI_H,112.544,113.092,112.933,114.155,115.233,115.197,117.708,122.492,128.558,134.433,139.666,146.495,154.381,162.621,170.167,177.543,187.298,196.669,205.718,211.392,216.293,222.677,227.681,231.788,231.697,228.743,229.133,229.355,229.491,228.817
ALNE_P,30.830,30.757,30.486,30.613,30.738,30.385,30.578,31.262,32.187,33.139,33.850,35.012,36.515,38.135,39.763,41.528,43.489,45.286,46.967,48.217,50.178,51.537,52.616,53.505,53.914,54.842,54.965,55.005,55.028,54.809
ALVE1,219.578,220.869,221.236,225.209,230.393,233.862,241.917,254.806,270.485,286.300,301.214,319.770,340.118,360.509,379.279,397.288,418.886,439.125,458.092,471.487,481.804,493.217,500.924,506.734,505.856,499.089,498.282,497.161,495.737,492.874
AMEM_1,70.201,71.674,73.255,76.111,78.936,81.546,86.669,94.347,103.896,113.317,122.900,133.908,145.845,158.187,169.562,181.025,195.946,210.431,224.521,233.073,240.117,250.045,257.942,264.434,263.643,258.249,259.843,261.319,262.875,263.008
ARBR_P,33.015,33.104,33.023,33.417,33.778,34.136,35.020,36.643,38.728,40.781,42.661,45.132,47.996,51.024,53.786,56.245,59.806,63.211,66.478,68.541,70.770,73.226,75.216,76.865,77.038,77.102,77.434,77.683,77.920,77.790
ARDK_P;CLAC_P,3.680,3.676,3.647,3.669,3.696,3.672,3.709,3.805,3.932,4.064,4.165,4.328,4.528,4.739,4.950,5.159,5.393,5.605,5.801,5.955,6.155,6.299,6.405,6.489,6.533,6.605,6.605,6.596,6.583,6.542
ARMO_P,32.536,32.388,32.186,32.472,32.839,32.880,33.485,34.747,36.381,38.031,39.390,41.330,43.616,46.012,48.250,50.156,52.898,55.477,57.922,59.571,61.324,63.102,64.484,65.600,65.761,65.926,66.071,66.146,66.201,65.985
AXMI1,168.859,169.169,168.954,171.336,174.427,176.479,181.647,190.492,201.450,212.320,222.979,235.729,249.902,264.307,277.303,290.584,306.537,321.702,336.133,345.619,353.272,362.509,369.217,374.480,373.646,367.613,367.511,367.191,366.682,365.060
AYRR,44.880,45.071,44.952,45.452,45.873,46.481,47.698,49.902,52.730,55.501,58.171,61.560,65.485,69.641,73.378,76.575,81.389,86.006,90.438,93.181,95.748,99.033,101.706,103.922,104.086,103.489,103.874,104.148,104.382,104.180
BAGA,34.939,35.275,35.477,36.346,37.406,39.011,40.894,43.733,47.214,50.761,54.521,58.841,63.570,68.375,72.825,77.054,82.295,87.231,91.873,95.072,98.113,101.193,103.457,105.240,105.254,104.819,105.020,105.132,105.212,104.834
BAIN,16.788,16.930,17.051,17.483,17.967,18.693,19.637,21.090,22.899,24.698,26.521,28.676,31.041,33.479,35.685,37.678,40.456,43.117,45.665,47.290,48.869,50.662,52.060,53.194,53.170,52.969,53.209,53.405,53.603,53.530
BARKC1;BARKW3,325.222,325.753,324.066,326.357,328.829,329.757,335.096,346.312,360.541,374.517,389.824,406.643,426.368,446.914,466.212,488.384,512.715,535.786,557.841,572.490,586.584,601.924,613.609,623.075,623.462,615.918,616.176,615.930,615.393,612.856
BEAU_P;ORRI_P,29.059,29.003,28.777,28.937,29.087,28.959,29.314,30.190,31.344,32.499,33.422,34.822,36.536,38.367,40.085,41.557,43.668,45.649,47.525,48.786,50.154,51.571,52.701,53.631,53.848,53.969,54.067,54.099,54.101,53.903
BEDDT1,115.133,116.304,117.374,120.258,123.127,126.464,132.423,141.858,153.682,165.170,177.599,191.176,206.041,221.464,235.185,250.528,269.179,287.403,305.183,315.575,324.993,337.547,347.603,355.894,354.531,347.242,348.975,350.556,352.148,352.127
BEDD_1,443.602,443.067,441.367,445.707,450.884,455.068,465.806,486.030,511.654,536.738,564.316,594.041,627.713,662.501,693.813,729.468,770.402,809.760,847.720,871.332,893.245,919.209,939.160,955.282,953.194,937.797,939.112,939.879,940.339,937.586
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,49.716,49.795,49.427,49.697,49.914,49.800,50.406,51.845,53.720,55.613,57.232,59.608,62.534,65.652,68.607,71.257,74.762,78.024,81.078,83.212,85.493,87.768,89.563,91.035,91.486,91.602,91.675,91.622,91.495,91.066
BERW,37.720,37.975,37.757,38.025,38.245,38.615,39.299,40.624,42.295,43.996,45.795,48.015,50.662,53.444,56.061,58.571,61.586,64.387,66.986,68.832,70.583,72.420,73.830,74.971,75.291,74.917,74.897,74.776,74.576,74.160
BESW_1,307.930,310.513,310.926,315.533,320.462,323.314,332.638,348.276,367.458,386.789,406.969,430.077,455.906,482.127,506.932,532.314,561.406,588.688,614.391,632.518,647.800,664.282,675.985,685.108,685.041,676.211,675.898,675.079,673.942,670.542
BICF_1,136.123,137.295,138.079,141.183,144.999,146.506,151.527,159.707,169.789,179.985,188.110,199.745,212.712,225.940,238.736,248.613,263.403,277.285,290.424,299.700,305.406,313.978,320.194,325.094,325.300,320.759,321.066,321.128,321.127,319.808
BIRK_1,222.181,221.669,220.499,222.542,225.505,228.857,234.161,244.062,256.510,268.771,281.694,296.179,312.574,329.401,344.622,361.299,380.580,398.976,416.589,427.936,437.060,448.720,457.432,464.375,463.559,455.812,455.939,455.781,455.422,453.633
BISW_1,498.533,500.139,499.825,506.906,515.640,521.244,536.125,561.706,593.396,625.007,656.326,693.497,734.991,777.226,816.134,854.656,901.709,946.252,988.556,1016.994,1040.030,1067.336,1087.137,1102.689,1101.151,1085.044,1084.955,1084.161,1082.887,1078.086
BLYTB1,510.897,505.487,497.737,495.774,495.134,489.701,488.429,494.112,502.227,510.084,517.711,526.837,539.818,553.637,566.854,581.544,597.742,612.552,626.473,636.736,645.800,655.316,662.078,667.358,669.018,662.776,660.425,657.424,653.847,649.218
BLYTH132,58.801,59.182,59.359,60.510,61.950,63.458,65.893,69.752,74.484,79.207,83.896,89.458,95.547,101.713,107.344,113.101,119.932,126.423,132.592,136.690,139.652,143.572,146.410,148.636,148.295,145.694,145.740,145.701,145.604,145.008
BOAG_P,22.963,23.061,22.979,23.267,23.646,24.049,24.659,25.702,26.991,28.339,29.707,31.391,33.320,35.287,37.180,39.009,41.070,42.954,44.678,46.006,47.319,48.434,49.205,49.796,49.953,49.918,49.854,49.732,49.569,49.250
BOLN_1,840.253,840.216,835.610,842.075,850.251,854.269,870.948,903.407,944.084,984.130,1026.844,1074.681,1129.401,1185.479,1236.227,1293.038,1356.074,1415.834,1472.658,1510.245,1543.526,1580.623,1607.749,1629.180,1627.314,1602.990,1601.506,1598.904,1595.277,1587.377
BONN,59.651,59.778,59.814,60.887,62.210,64.051,66.492,70.461,75.421,80.423,85.587,91.612,98.315,105.198,111.509,117.378,125.100,132.417,139.366,143.973,148.425,153.211,156.853,159.768,159.784,159.142,159.581,159.883,160.157,159.717
BOTW_1,154.463,154.270,153.456,154.709,156.380,156.919,159.532,165.031,172.026,178.998,186.265,194.498,204.109,214.064,223.590,233.737,245.474,256.530,267.074,274.277,280.521,287.743,293.147,297.473,297.706,293.761,293.895,293.793,293.593,292.369
