Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,75.598,78.086,78.132,78.546,78.731,79.560,80.619,82.324,84.028,85.134,86.055,87.115,88.313,89.464,90.570,92.090,93.657,95.177,96.697,98.033,99.323,100.152,100.521,100.889,101.304,100.521,99.784,99.001,98.125,97.112
ABNE_P,7.358,7.600,7.604,7.645,7.663,7.743,7.847,8.012,8.178,8.286,8.376,8.479,8.595,8.707,8.815,8.963,9.115,9.263,9.411,9.541,9.667,9.748,9.784,9.819,9.860,9.784,9.712,9.636,9.550,9.452
ABTH_1,56.560,58.421,58.455,58.765,58.903,59.524,60.316,61.592,62.867,63.694,64.383,65.176,66.072,66.934,67.761,68.899,70.070,71.208,72.345,73.345,74.310,74.930,75.206,75.482,75.792,75.206,74.655,74.069,73.414,72.655
ACTL_2;CBNK_H;GREE_H;PERI_H,35.970,37.153,37.174,37.372,37.460,37.854,38.358,39.169,39.980,40.506,40.945,41.449,42.019,42.568,43.092,43.816,44.563,45.285,46.008,46.643,47.257,47.652,47.828,48.003,48.200,47.828,47.477,47.104,46.687,46.205
ALNE_P,6.198,6.402,6.405,6.439,6.455,6.523,6.609,6.749,6.889,6.980,7.055,7.142,7.240,7.335,7.425,7.550,7.678,7.803,7.928,8.037,8.143,8.211,8.241,8.271,8.305,8.241,8.181,8.116,8.045,7.962
ALVE1,69.661,71.953,71.996,72.378,72.547,73.312,74.288,75.859,77.429,78.448,79.297,80.273,81.377,82.438,83.457,84.858,86.301,87.702,89.103,90.334,91.523,92.287,92.626,92.966,93.348,92.626,91.947,91.226,90.419,89.485
AMEM_1,19.996,20.654,20.666,20.776,20.825,21.044,21.324,21.775,22.226,22.518,22.762,23.042,23.359,23.664,23.956,24.358,24.773,25.175,25.577,25.930,26.271,26.491,26.588,26.686,26.795,26.588,26.393,26.186,25.955,25.687
ARBR_P,6.729,6.950,6.954,6.991,7.007,7.081,7.175,7.327,7.479,7.577,7.659,7.754,7.860,7.963,8.061,8.196,8.336,8.471,8.606,8.725,8.840,8.914,8.947,8.980,9.016,8.947,8.881,8.811,8.734,8.643
ARDK_P;CLAC_P,0.752,0.777,0.778,0.782,0.784,0.792,0.802,0.819,0.836,0.847,0.856,0.867,0.879,0.890,0.901,0.917,0.932,0.947,0.962,0.976,0.988,0.997,1.000,1.004,1.008,1.000,0.993,0.985,0.977,0.966
ARMO_P,5.702,5.889,5.893,5.924,5.938,6.001,6.081,6.209,6.338,6.421,6.491,6.570,6.661,6.748,6.831,6.946,7.064,7.179,7.293,7.394,7.491,7.554,7.582,7.609,7.641,7.582,7.526,7.467,7.401,7.324
AXMI1,50.600,52.265,52.295,52.573,52.696,53.251,53.961,55.101,56.242,56.982,57.599,58.308,59.110,59.881,60.621,61.638,62.687,63.704,64.722,65.616,66.479,67.034,67.281,67.528,67.805,67.281,66.788,66.264,65.678,64.999
AYRR,9.715,10.035,10.041,10.094,10.118,10.224,10.360,10.579,10.798,10.941,11.059,11.195,11.349,11.497,11.639,11.834,12.036,12.231,12.426,12.598,12.764,12.870,12.918,12.965,13.018,12.918,12.823,12.722,12.610,12.480
BAGA,7.372,7.614,7.619,7.659,7.677,7.758,7.861,8.027,8.194,8.301,8.391,8.495,8.611,8.724,8.831,8.980,9.132,9.281,9.429,9.559,9.685,9.766,9.802,9.838,9.878,9.802,9.730,9.654,9.568,9.469
BAIN,3.290,3.398,3.400,3.418,3.426,3.462,3.508,3.582,3.656,3.704,3.745,3.791,3.843,3.893,3.941,4.007,4.075,4.141,4.208,4.266,4.322,4.358,4.374,4.390,4.408,4.374,4.342,4.308,4.270,4.226
BARKC1;BARKW3,103.703,107.116,107.179,107.747,108.001,109.138,110.591,112.930,115.268,116.785,118.049,119.502,121.145,122.725,124.242,126.327,128.476,130.561,132.647,134.480,136.249,137.386,137.892,138.397,138.967,137.892,136.881,135.807,134.606,133.215
BEAU_P;ORRI_P,5.793,5.984,5.987,6.019,6.033,6.097,6.178,6.309,6.439,6.524,6.594,6.676,6.767,6.856,6.940,7.057,7.177,7.293,7.410,7.512,7.611,7.675,7.703,7.731,7.763,7.703,7.646,7.586,7.519,7.442
BEDDT1,33.567,34.671,34.692,34.876,34.958,35.326,35.797,36.553,37.310,37.801,38.210,38.681,39.213,39.724,40.215,40.890,41.585,42.260,42.935,43.529,44.101,44.470,44.633,44.797,44.981,44.633,44.306,43.958,43.569,43.119
BEDD_1,124.095,128.178,128.254,128.934,129.237,130.598,132.337,135.135,137.933,139.748,141.261,143.000,144.966,146.857,148.672,151.167,153.738,156.234,158.729,160.922,163.040,164.401,165.006,165.611,166.291,165.006,163.796,162.510,161.074,159.410
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,11.030,11.393,11.400,11.461,11.488,11.609,11.763,12.012,12.261,12.422,12.556,12.711,12.886,13.054,13.215,13.437,13.665,13.887,14.109,14.304,14.492,14.613,14.667,14.721,14.781,14.667,14.559,14.445,14.317,14.170
BERW,9.374,9.682,9.688,9.739,9.762,9.865,9.996,10.208,10.419,10.556,10.670,10.802,10.950,11.093,11.230,11.419,11.613,11.801,11.990,12.155,12.315,12.418,12.464,12.510,12.561,12.464,12.372,12.275,12.167,12.041
BESW_1,100.958,104.281,104.342,104.896,105.142,106.249,107.664,109.941,112.217,113.694,114.924,116.339,117.939,119.477,120.953,122.984,125.075,127.106,129.136,130.920,132.643,133.750,134.242,134.734,135.288,134.242,133.258,132.212,131.043,129.690
BICF_1,42.631,44.034,44.060,44.294,44.398,44.865,45.463,46.424,47.385,48.009,48.528,49.126,49.801,50.451,51.074,51.931,52.815,53.672,54.529,55.283,56.010,56.478,56.685,56.893,57.127,56.685,56.270,55.828,55.335,54.763
BIRK_1,64.392,66.511,66.550,66.903,67.060,67.766,68.669,70.121,71.572,72.514,73.299,74.201,75.222,76.203,77.144,78.439,79.773,81.068,82.363,83.501,84.600,85.306,85.620,85.934,86.287,85.620,84.992,84.325,83.580,82.716
BISW_1,150.696,155.655,155.747,156.573,156.940,158.593,160.706,164.103,167.501,169.705,171.542,173.654,176.041,178.337,180.541,183.572,186.694,189.724,192.755,195.418,197.989,199.642,200.377,201.112,201.938,200.377,198.908,197.346,195.602,193.581
BLYTB1,141.997,146.669,146.756,147.535,147.881,149.438,151.428,154.630,157.832,159.908,161.639,163.629,165.879,168.042,170.119,172.974,175.917,178.772,181.628,184.137,186.560,188.117,188.810,189.502,190.281,188.810,187.425,185.954,184.310,182.406
BLYTH132,18.425,19.031,19.042,19.143,19.188,19.390,19.648,20.064,20.479,20.749,20.973,21.231,21.523,21.804,22.074,22.444,22.826,23.196,23.567,23.892,24.207,24.409,24.499,24.589,24.690,24.499,24.319,24.128,23.915,23.668
BOAG_P,5.080,5.248,5.251,5.279,5.291,5.347,5.418,5.532,5.647,5.721,5.783,5.854,5.935,6.012,6.087,6.189,6.294,6.396,6.498,6.588,6.675,6.731,6.755,6.780,6.808,6.755,6.706,6.653,6.594,6.526
BOLN_1,258.490,266.996,267.153,268.571,269.201,272.036,275.659,281.487,287.316,291.096,294.247,297.870,301.965,305.903,309.684,314.882,320.237,325.435,330.634,335.202,339.612,342.448,343.708,344.968,346.386,343.708,341.187,338.510,335.517,332.051
BONN,11.079,11.444,11.451,11.512,11.539,11.660,11.815,12.065,12.315,12.477,12.612,12.767,12.943,13.112,13.274,13.497,13.726,13.949,14.172,14.368,14.557,14.678,14.732,14.786,14.847,14.732,14.624,14.509,14.381,14.233
BOTW_1,45.130,46.615,46.643,46.890,47.000,47.495,48.128,49.145,50.163,50.823,51.373,52.006,52.721,53.408,54.068,54.976,55.911,56.818,57.726,58.523,59.293,59.788,60.008,60.229,60.476,60.008,59.568,59.101,58.578,57.973
BRAC_P,5.529,5.711,5.714,5.744,5.758,5.818,5.896,6.020,6.145,6.226,6.293,6.371,6.458,6.543,6.624,6.735,6.849,6.960,7.072,7.169,7.264,7.324,7.351,7.378,7.409,7.351,7.297,7.240,7.176,7.102
BRAI_1,65.815,67.981,68.021,68.382,68.542,69.264,70.186,71.670,73.154,74.117,74.919,75.841,76.884,77.887,78.849,80.173,81.537,82.860,84.184,85.347,86.470,87.192,87.512,87.833,88.194,87.512,86.871,86.189,85.427,84.545
BRAP,6.297,6.504,6.508,6.542,6.557,6.626,6.715,6.857,6.999,7.091,7.168,7.256,7.356,7.451,7.544,7.670,7.801,7.927,8.054,8.165,8.273,8.342,8.372,8.403,8.438,8.372,8.311,8.246,8.173,8.088
BRAW_1,126.373,130.531,130.608,131.302,131.610,132.996,134.767,137.616,140.466,142.314,143.854,145.625,147.628,149.553,151.401,153.942,156.561,159.102,161.643,163.877,166.033,167.419,168.035,168.651,169.344,168.035,166.803,165.494,164.031,162.336
BRED_1,86.799,89.655,89.708,90.184,90.395,91.348,92.564,94.521,96.478,97.748,98.806,100.022,101.397,102.720,103.989,105.735,107.533,109.279,111.024,112.558,114.039,114.991,115.414,115.837,116.313,115.414,114.568,113.669,112.664,111.500
BRFO_1;CLT03,253.439,261.778,261.932,263.323,263.940,266.720,270.272,275.987,281.701,285.407,288.496,292.049,296.064,299.924,303.631,308.728,313.979,319.076,324.172,328.651,332.976,335.756,336.991,338.227,339.616,336.991,334.520,331.894,328.960,325.563
BRID_P,5.625,5.810,5.814,5.844,5.858,5.920,5.999,6.125,6.252,6.335,6.403,6.482,6.571,6.657,6.739,6.852,6.969,7.082,7.195,7.294,7.390,7.452,7.479,7.507,7.538,7.479,7.425,7.366,7.301,7.226
BRIM_1,93.590,96.670,96.727,97.240,97.468,98.495,99.807,101.917,104.027,105.396,106.536,107.848,109.331,110.757,112.126,114.008,115.947,117.829,119.711,121.365,122.962,123.988,124.445,124.901,125.414,124.445,123.532,122.563,121.479,120.224
BROA_P,3.265,3.372,3.374,3.392,3.400,3.436,3.481,3.555,3.629,3.676,3.716,3.762,3.814,3.863,3.911,3.977,4.044,4.110,4.176,4.233,4.289,4.325,4.341,4.357,4.375,4.341,4.309,4.275,4.237,4.194
BROR_P,1.631,1.685,1.686,1.695,1.699,1.717,1.739,1.776,1.813,1.837,1.857,1.880,1.905,1.930,1.954,1.987,2.021,2.053,2.086,2.115,2.143,2.161,2.169,2.177,2.186,2.169,2.153,2.136,2.117,2.095
BROX,10.094,10.426,10.432,10.488,10.512,10.623,10.764,10.992,11.220,11.367,11.490,11.632,11.792,11.945,12.093,12.296,12.505,12.708,12.911,13.090,13.262,13.373,13.422,13.471,13.526,13.422,13.323,13.219,13.102,12.967
BRWA1,59.300,61.252,61.288,61.613,61.758,62.408,63.239,64.576,65.913,66.781,67.503,68.335,69.274,70.178,71.045,72.237,73.466,74.659,75.851,76.899,77.911,78.561,78.850,79.139,79.465,78.850,78.272,77.658,76.971,76.176
BUMU_P,8.705,8.991,8.996,9.044,9.065,9.161,9.283,9.479,9.675,9.803,9.909,10.031,10.169,10.301,10.429,10.604,10.784,10.959,11.134,11.288,11.436,11.532,11.574,11.617,11.664,11.574,11.489,11.399,11.298,11.182
BURM_1,95.576,98.721,98.780,99.304,99.537,100.585,101.925,104.080,106.235,107.632,108.797,110.137,111.651,113.107,114.505,116.427,118.407,120.329,122.251,123.940,125.571,126.620,127.085,127.551,128.076,127.085,126.154,125.163,124.057,122.776
BUSH_1,48.052,49.633,49.662,49.926,50.043,50.570,51.244,52.327,53.411,54.113,54.699,55.372,56.134,56.866,57.569,58.535,59.530,60.497,61.463,62.312,63.132,63.659,63.894,64.128,64.391,63.894,63.425,62.927,62.371,61.727
BUST_1,68.798,71.062,71.104,71.482,71.649,72.404,73.368,74.919,76.471,77.477,78.315,79.280,80.370,81.418,82.424,83.808,85.233,86.616,88.000,89.216,90.390,91.144,91.480,91.815,92.192,91.480,90.809,90.096,89.300,88.377
CAAD_P,4.053,4.186,4.189,4.211,4.221,4.265,4.322,4.413,4.505,4.564,4.613,4.670,4.734,4.796,4.855,4.937,5.021,5.102,5.184,5.255,5.325,5.369,5.389,5.409,5.431,5.389,5.349,5.307,5.260,5.206
CAMB_01,10.739,11.092,11.099,11.158,11.184,11.302,11.452,11.694,11.937,12.094,12.224,12.375,12.545,12.709,12.866,13.082,13.304,13.520,13.736,13.926,14.109,14.227,14.279,14.332,14.391,14.279,14.175,14.063,13.939,13.795
CANTN1;RICH1;RICH_J,64.939,67.076,67.116,67.472,67.630,68.343,69.253,70.717,72.181,73.131,73.922,74.832,75.861,76.851,77.800,79.106,80.452,81.758,83.064,84.211,85.319,86.032,86.348,86.665,87.021,86.348,85.715,85.042,84.290,83.420
CAPEA1,105.794,109.276,109.340,109.920,110.178,111.339,112.822,115.207,117.592,119.140,120.429,121.912,123.588,125.200,126.747,128.874,131.066,133.194,135.321,137.191,138.996,140.157,140.672,141.188,141.768,140.672,139.641,138.545,137.320,135.902
