Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.121,0.243,0.381,0.537,0.693,0.664,0.727,0.822,0.948,1.106,1.236,1.409,1.628,1.878,2.285,2.625,3.080,3.489,3.884,4.233,4.596,4.971,5.287,5.557,5.752,5.733,5.893,6.038,6.211,6.269
ABNE_P,0.041,0.082,0.130,0.183,0.236,0.355,0.389,0.439,0.507,0.591,0.876,0.998,1.153,1.331,1.619,2.713,3.184,3.607,4.015,4.376,5.819,6.295,6.694,7.036,7.283,8.538,8.775,8.991,9.250,9.336
ABTH_1,0.087,0.175,0.275,0.387,0.499,0.448,0.491,0.555,0.640,0.747,0.840,0.957,1.106,1.276,1.553,1.736,2.037,2.308,2.569,2.800,3.027,3.274,3.482,3.660,3.788,3.740,3.844,3.938,4.052,4.089
ACTL_2;CBNK_H;GREE_H;PERI_H,0.254,0.508,0.799,1.125,1.452,1.442,1.580,1.786,2.061,2.404,2.579,2.939,3.395,3.918,4.767,5.201,6.102,6.914,7.695,8.387,8.652,9.358,9.952,10.461,10.828,10.749,11.046,11.317,11.644,11.752
ALNE_P,0.044,0.088,0.139,0.195,0.252,0.373,0.408,0.461,0.532,0.621,0.888,1.011,1.169,1.349,1.641,2.650,3.110,3.523,3.922,4.274,5.590,6.047,6.430,6.759,6.997,8.135,8.361,8.566,8.813,8.895
ALVE1,0.112,0.224,0.353,0.497,0.641,0.614,0.672,0.760,0.877,1.023,1.144,1.303,1.506,1.737,2.114,2.427,2.848,3.227,3.592,3.915,4.251,4.598,4.890,5.140,5.320,5.303,5.450,5.584,5.745,5.798
AMEM_1,0.601,1.202,1.889,2.661,3.434,3.454,3.783,4.277,4.935,5.757,6.205,7.069,8.168,9.425,11.467,12.584,14.767,16.731,18.622,20.295,21.055,22.775,24.220,25.459,26.353,26.209,26.937,27.599,28.393,28.658
ARBR_P,0.042,0.084,0.133,0.187,0.241,0.363,0.398,0.450,0.519,0.606,0.897,1.022,1.181,1.363,1.658,2.779,3.260,3.694,4.112,4.481,5.959,6.446,6.855,7.206,7.459,8.744,8.987,9.207,9.472,9.561
ARDK_P;CLAC_P,0.004,0.008,0.013,0.018,0.023,0.034,0.037,0.042,0.049,0.057,0.079,0.090,0.104,0.120,0.146,0.229,0.269,0.304,0.339,0.369,0.475,0.514,0.547,0.575,0.595,0.685,0.704,0.722,0.743,0.749
ARMO_P,0.035,0.070,0.110,0.155,0.200,0.296,0.324,0.367,0.423,0.494,0.701,0.799,0.923,1.065,1.296,2.089,2.451,2.778,3.092,3.369,4.391,4.749,5.051,5.309,5.495,6.369,6.546,6.707,6.900,6.964
AXMI1,0.109,0.218,0.343,0.483,0.623,0.628,0.688,0.778,0.897,1.047,1.156,1.317,1.522,1.756,2.136,2.429,2.850,3.229,3.595,3.917,4.176,4.517,4.804,5.049,5.227,5.216,5.361,5.493,5.651,5.704
AYRR,0.044,0.089,0.140,0.197,0.254,0.369,0.405,0.457,0.528,0.616,0.902,1.028,1.188,1.370,1.667,2.781,3.264,3.698,4.116,4.485,5.948,6.434,6.842,7.192,7.445,8.706,8.948,9.167,9.431,9.519
BAGA,0.042,0.083,0.131,0.185,0.238,0.353,0.386,0.437,0.504,0.588,0.869,0.990,1.144,1.320,1.606,2.697,3.165,3.586,3.991,4.350,5.787,6.259,6.656,6.997,7.243,8.487,8.722,8.937,9.194,9.280
BAIN,0.028,0.056,0.088,0.123,0.159,0.236,0.258,0.292,0.337,0.393,0.581,0.662,0.765,0.883,1.074,1.804,2.116,2.398,2.669,2.909,3.869,4.186,4.451,4.679,4.843,5.675,5.833,5.976,6.148,6.205
BARKC1;BARKW3,0.653,1.307,2.054,2.894,3.734,3.756,4.114,4.651,5.366,6.261,6.733,7.670,8.863,10.228,12.443,13.622,15.983,18.109,20.157,21.968,22.705,24.560,26.118,27.454,28.418,28.260,29.045,29.758,30.615,30.900
