Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.485,2.313,3.473,5.365,8.303,12.701,16.440,20.862,25.851,31.336,37.973,44.658,51.280,57.439,63.493,70.019,75.551,80.429,84.674,88.709,91.984,93.476,93.635,93.344,92.809,92.157,91.437,90.701,89.927,88.825
ABNE_P,0.175,0.262,0.374,0.542,0.784,1.121,1.451,1.842,2.282,2.766,3.352,3.943,4.527,5.071,5.605,6.182,6.670,7.101,7.475,7.831,8.121,8.252,8.266,8.241,8.193,8.136,8.072,8.007,7.939,7.842
ABTH_1,0.641,0.991,1.470,2.242,3.424,5.173,6.696,8.497,10.529,12.763,15.466,18.188,20.885,23.394,25.859,28.518,30.771,32.757,34.486,36.129,37.463,38.071,38.136,38.017,37.799,37.534,37.241,36.941,36.626,36.177
ACTL_2;CBNK_H;GREE_H;PERI_H,0.804,1.120,1.400,1.668,1.824,1.720,2.224,2.824,3.500,4.240,5.136,6.040,6.940,7.772,8.592,9.472,10.220,10.880,11.456,12.004,12.444,12.648,12.668,12.628,12.556,12.468,12.372,12.272,12.168,12.016
ALNE_P,0.027,0.043,0.066,0.106,0.170,0.268,0.346,0.439,0.544,0.660,0.800,0.940,1.080,1.209,1.337,1.475,1.591,1.694,1.783,1.868,1.937,1.968,1.972,1.966,1.954,1.941,1.925,1.910,1.894,1.871
ALVE1,2.373,3.618,5.266,7.848,11.703,17.276,22.362,28.376,35.162,42.623,51.650,60.742,69.750,78.127,86.362,95.239,102.763,109.398,115.171,120.659,125.115,127.144,127.360,126.964,126.236,125.350,124.371,123.370,122.317,120.817
AMEM_1,1.026,1.466,1.922,2.481,3.089,3.665,4.744,6.020,7.459,9.042,10.957,12.886,14.797,16.573,18.320,20.204,21.800,23.207,24.432,25.596,26.541,26.972,27.018,26.934,26.779,26.591,26.384,26.171,25.948,25.630
ARBR_P,0.042,0.065,0.096,0.146,0.222,0.336,0.434,0.551,0.683,0.828,1.003,1.180,1.355,1.517,1.677,1.850,1.996,2.125,2.237,2.343,2.430,2.469,2.473,2.466,2.452,2.435,2.416,2.396,2.376,2.346
ARDK_P;CLAC_P,0.014,0.021,0.031,0.047,0.072,0.110,0.142,0.180,0.224,0.271,0.328,0.386,0.443,0.497,0.549,0.606,0.653,0.695,0.732,0.767,0.796,0.808,0.810,0.807,0.803,0.797,0.791,0.784,0.778,0.768
ARMO_P,0.063,0.105,0.172,0.293,0.495,0.814,1.054,1.338,1.657,2.009,2.434,2.863,3.288,3.683,4.071,4.489,4.844,5.156,5.429,5.687,5.897,5.993,6.003,5.984,5.950,5.908,5.862,5.815,5.765,5.695
AXMI1,1.144,1.756,2.583,3.897,5.886,8.800,11.390,14.454,17.910,21.711,26.309,30.940,35.528,39.795,43.989,48.511,52.344,55.723,58.664,61.459,63.729,64.762,64.872,64.670,64.300,63.849,63.350,62.840,62.304,61.540
AYRR,0.033,0.052,0.079,0.122,0.190,0.293,0.380,0.482,0.597,0.724,0.877,1.032,1.184,1.326,1.466,1.617,1.745,1.857,1.956,2.049,2.124,2.159,2.163,2.156,2.143,2.128,2.112,2.095,2.077,2.051
BAGA,0.348,0.548,0.834,1.310,2.059,3.196,4.136,5.249,6.504,7.884,9.554,11.236,12.902,14.451,15.975,17.617,19.008,20.236,21.304,22.319,23.143,23.518,23.558,23.485,23.350,23.186,23.005,22.820,22.625,22.348
BAIN,0.104,0.164,0.252,0.399,0.631,0.985,1.275,1.618,2.005,2.430,2.944,3.463,3.976,4.454,4.923,5.429,5.858,6.236,6.565,6.878,7.132,7.248,7.260,7.237,7.196,7.145,7.090,7.032,6.973,6.887
BARKC1;BARKW3,1.918,2.750,3.620,4.708,5.924,7.138,9.240,11.724,14.528,17.610,21.340,25.096,28.818,32.280,35.682,39.350,42.458,45.200,47.584,49.852,51.694,52.532,52.620,52.456,52.156,51.790,51.386,50.972,50.538,49.918
BEAU_P;ORRI_P,0.024,0.037,0.058,0.093,0.149,0.235,0.304,0.386,0.479,0.580,0.703,0.827,0.950,1.063,1.176,1.297,1.399,1.489,1.568,1.642,1.703,1.731,1.734,1.728,1.718,1.706,1.693,1.679,1.665,1.645
BEDDT1,0.885,1.267,1.666,2.162,2.710,3.248,4.204,5.335,6.611,8.014,9.711,11.421,13.114,14.689,16.238,17.907,19.321,20.569,21.654,22.686,23.524,23.905,23.946,23.872,23.735,23.568,23.384,23.196,22.998,22.716
BEDD_1,2.941,4.263,5.724,7.665,10.048,12.807,16.577,21.036,26.067,31.598,38.290,45.030,51.707,57.918,64.022,70.603,76.181,81.100,85.380,89.448,92.752,94.256,94.415,94.122,93.582,92.926,92.200,91.458,90.677,89.566
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.064,0.100,0.152,0.237,0.369,0.568,0.735,0.933,1.156,1.402,1.698,1.997,2.293,2.569,2.840,3.131,3.379,3.597,3.787,3.967,4.114,4.180,4.187,4.174,4.151,4.121,4.089,4.056,4.022,3.972
BERW,0.121,0.186,0.274,0.412,0.621,0.926,1.199,1.521,1.885,2.285,2.769,3.256,3.739,4.188,4.630,5.106,5.509,5.865,6.174,6.469,6.707,6.816,6.828,6.806,6.768,6.720,6.668,6.614,6.557,6.477
BESW_1,4.701,6.761,8.953,11.746,14.965,18.356,23.760,30.150,37.360,45.288,54.880,64.540,74.111,83.011,91.761,101.194,109.188,116.238,122.372,128.204,132.938,135.094,135.323,134.902,134.129,133.187,132.147,131.083,129.965,128.371
BICF_1,0.862,1.374,2.129,3.405,5.447,8.584,11.111,14.100,17.471,21.179,25.664,30.182,34.658,38.820,42.912,47.323,51.061,54.358,57.227,59.954,62.168,63.176,63.283,63.086,62.725,62.285,61.798,61.301,60.778,60.032
BIRK_1,0.756,1.221,1.925,3.133,5.095,8.143,10.540,13.374,16.573,20.089,24.344,28.629,32.875,36.823,40.704,44.888,48.435,51.562,54.283,56.870,58.970,59.926,60.028,59.841,59.498,59.080,58.619,58.147,57.651,56.944
BISW_1,4.531,6.737,9.431,13.379,18.871,26.276,34.012,43.160,53.481,64.829,78.560,92.389,106.089,118.830,131.356,144.858,156.302,166.394,175.174,183.522,190.300,193.386,193.714,193.111,192.004,190.657,189.167,187.645,186.044,183.762
BLYTB1,0.565,0.876,1.306,2.002,3.074,4.668,6.042,7.667,9.500,11.516,13.955,16.411,18.845,21.108,23.333,25.731,27.764,29.556,31.116,32.599,33.803,34.351,34.409,34.302,34.106,33.866,33.602,33.332,33.047,32.642
BLYTH132,0.524,0.805,1.185,1.790,2.706,4.048,5.240,6.650,8.240,9.988,12.103,14.234,16.345,18.308,20.237,22.318,24.081,25.636,26.988,28.275,29.319,29.794,29.845,29.752,29.581,29.374,29.144,28.910,28.663,28.312
BOAG_P,0.154,0.246,0.381,0.610,0.977,1.541,1.995,2.531,3.136,3.802,4.607,5.418,6.221,6.969,7.703,8.495,9.166,9.758,10.273,10.762,11.160,11.341,11.360,11.325,11.260,11.181,11.093,11.004,10.910,10.776
BOLN_1,5.899,8.654,11.853,16.326,22.208,29.652,38.382,48.706,60.352,73.159,88.653,104.259,119.719,134.098,148.232,163.469,176.384,187.772,197.681,207.102,214.749,218.232,218.602,217.922,216.673,215.153,213.472,211.754,209.947,207.373
BONN,0.373,0.589,0.902,1.424,2.251,3.509,4.542,5.764,7.142,8.658,10.491,12.338,14.168,15.869,17.542,19.345,20.874,22.221,23.394,24.509,25.414,25.826,25.870,25.790,25.642,25.462,25.263,25.059,24.846,24.541
BOTW_1,0.777,1.158,1.629,2.327,3.307,4.644,6.011,7.628,9.452,11.457,13.884,16.328,18.749,21.001,23.214,25.600,27.623,29.406,30.958,32.434,33.631,34.177,34.235,34.128,33.933,33.694,33.431,33.162,32.879,32.476
BRAC_P,0.946,1.321,1.660,2.002,2.230,2.185,2.828,3.589,4.447,5.391,6.533,7.683,8.822,9.881,10.923,12.046,12.997,13.836,14.567,15.261,15.824,16.081,16.108,16.058,15.966,15.854,15.730,15.604,15.471,15.281
