Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,74.241,73.114,70.389,68.042,67.138,61.945,61.090,59.625,57.622,56.947,56.452,56.840,57.451,58.410,59.252,60.135,61.613,62.925,64.524,66.269,68.368,71.171,74.382,77.720,81.612,85.731,88.838,92.357,95.998,99.888,102.403
ABNE_P,9.744,9.688,9.700,9.611,9.510,9.411,9.300,9.186,9.079,8.976,8.911,8.961,9.041,9.167,9.276,9.392,9.585,9.755,9.964,10.192,10.466,10.831,11.250,11.686,12.194,12.732,13.138,13.596,14.072,14.579,14.908
ABTH_1,75.673,74.524,71.747,69.354,68.433,63.140,62.269,60.775,58.733,58.045,57.540,57.936,58.559,59.537,60.395,61.295,62.802,64.139,65.769,67.547,69.686,72.544,75.816,79.219,83.186,87.385,90.552,94.138,97.849,101.814,104.379
ACTL_2;CBNK_H;GREE_H;PERI_H,35.083,34.550,33.263,32.154,31.726,29.273,28.869,28.177,27.230,26.911,26.675,26.860,27.149,27.602,28.000,28.417,29.116,29.736,30.491,31.316,32.308,33.632,35.150,36.727,38.567,40.513,41.982,43.644,45.365,47.203,48.392
ALNE_P,7.003,6.963,6.972,6.908,6.835,6.764,6.684,6.602,6.526,6.451,6.405,6.441,6.498,6.588,6.667,6.750,6.889,7.012,7.162,7.325,7.522,7.785,8.086,8.399,8.764,9.151,9.443,9.772,10.114,10.479,10.715
ALVE1,63.961,62.990,60.643,58.620,57.842,53.368,52.632,51.369,49.643,49.062,48.635,48.970,49.496,50.323,51.048,51.809,53.082,54.213,55.590,57.093,58.901,61.316,64.083,66.958,70.312,73.860,76.537,79.569,82.706,86.057,88.224
AMEM_1,22.822,22.475,21.638,20.916,20.638,19.042,18.779,18.329,17.713,17.505,17.353,17.473,17.660,17.955,18.214,18.485,18.940,19.343,19.835,20.371,21.016,21.878,22.865,23.891,25.087,26.354,27.309,28.390,29.510,30.705,31.479
ARBR_P,9.741,9.686,9.697,9.608,9.508,9.409,9.297,9.184,9.077,8.974,8.909,8.959,9.039,9.164,9.274,9.389,9.582,9.753,9.962,10.189,10.463,10.829,11.248,11.683,12.191,12.729,13.134,13.593,14.068,14.576,14.904
ARDK_P;CLAC_P,2.460,2.446,2.449,2.427,2.401,2.376,2.348,2.319,2.292,2.266,2.250,2.263,2.283,2.314,2.342,2.371,2.420,2.463,2.516,2.573,2.642,2.735,2.841,2.951,3.079,3.215,3.317,3.433,3.553,3.681,3.764
ARMO_P,5.627,5.595,5.602,5.551,5.492,5.435,5.371,5.305,5.244,5.184,5.146,5.175,5.222,5.294,5.357,5.424,5.535,5.634,5.755,5.886,6.044,6.256,6.497,6.749,7.042,7.353,7.587,7.852,8.127,8.420,8.610
