Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,90.710,85.443,79.242,76.084,74.826,73.899,73.159,72.671,72.242,71.770,71.232,70.565,69.629,68.608,67.521,66.398,65.191,64.036,62.832,61.552,60.298,59.150,58.091,57.178,56.490,55.932,55.522,55.491,55.477,55.481,55.501
ABNE_P,16.828,15.852,14.702,14.116,13.883,13.711,13.574,13.483,13.404,13.317,13.217,13.093,12.920,12.730,12.529,12.321,12.097,11.883,11.659,11.422,11.190,10.977,10.781,10.611,10.484,10.381,10.305,10.299,10.296,10.297,10.301
ABTH_1,104.134,98.088,90.969,87.344,85.900,84.835,83.986,83.425,82.933,82.392,81.774,81.008,79.934,78.762,77.514,76.224,74.839,73.513,72.131,70.661,69.221,67.904,66.687,65.640,64.850,64.210,63.739,63.703,63.687,63.692,63.715
ACTL_2;CBNK_H;GREE_H;PERI_H,38.343,36.116,33.496,32.161,31.630,31.237,30.925,30.717,30.536,30.337,30.109,29.828,29.433,29.001,28.541,28.066,27.556,27.068,26.560,26.019,25.488,25.003,24.554,24.170,23.879,23.643,23.470,23.456,23.450,23.453,23.460
ALNE_P,7.873,7.416,6.878,6.604,6.495,6.415,6.350,6.308,6.271,6.230,6.183,6.125,6.044,5.956,5.861,5.764,5.659,5.559,5.455,5.344,5.235,5.135,5.044,4.964,4.905,4.856,4.821,4.818,4.817,4.817,4.819
ALVE1,70.826,66.714,61.872,59.406,58.425,57.700,57.123,56.741,56.406,56.038,55.618,55.097,54.367,53.570,52.721,51.844,50.901,49.999,49.059,48.060,47.081,46.185,45.357,44.645,44.108,43.672,43.352,43.327,43.316,43.320,43.335
AMEM_1,29.797,28.067,26.030,24.993,24.580,24.275,24.032,23.872,23.731,23.576,23.399,23.180,22.873,22.537,22.180,21.811,21.415,21.035,20.640,20.219,19.807,19.430,19.082,18.783,18.557,18.373,18.239,18.228,18.224,18.225,18.232
ARBR_P,10.392,9.789,9.079,8.718,8.574,8.468,8.383,8.327,8.278,8.224,8.162,8.086,7.979,7.862,7.737,7.609,7.471,7.338,7.201,7.054,6.910,6.779,6.658,6.553,6.475,6.411,6.364,6.360,6.359,6.359,6.361
ARDK_P;CLAC_P,2.666,2.511,2.329,2.236,2.199,2.172,2.150,2.136,2.123,2.109,2.094,2.074,2.046,2.016,1.985,1.952,1.916,1.882,1.847,1.809,1.772,1.739,1.708,1.681,1.661,1.644,1.632,1.631,1.631,1.631,1.632
ARMO_P,8.865,8.351,7.745,7.436,7.314,7.223,7.151,7.103,7.061,7.015,6.962,6.897,6.806,6.706,6.600,6.490,6.373,6.260,6.142,6.017,5.895,5.783,5.679,5.590,5.523,5.468,5.428,5.425,5.424,5.424,5.426
AXMI1,73.876,69.587,64.536,61.964,60.940,60.185,59.583,59.185,58.835,58.451,58.013,57.470,56.707,55.876,54.991,54.076,53.093,52.152,51.172,50.129,49.108,48.173,47.310,46.567,46.007,45.552,45.218,45.193,45.182,45.185,45.201
AYRR,13.852,13.048,12.101,11.618,11.426,11.285,11.172,11.097,11.032,10.960,10.878,10.776,10.633,10.477,10.311,10.139,9.955,9.779,9.595,9.399,9.208,9.033,8.871,8.731,8.626,8.541,8.479,8.474,8.472,8.472,8.475
BAGA,11.331,10.674,9.899,9.504,9.347,9.231,9.139,9.078,9.024,8.966,8.898,8.815,8.698,8.571,8.435,8.294,8.144,7.999,7.849,7.689,7.532,7.389,7.257,7.143,7.057,6.987,6.936,6.932,6.930,6.931,6.933
BAIN,9.343,8.801,8.162,7.837,7.707,7.612,7.536,7.485,7.441,7.393,7.337,7.268,7.172,7.067,6.955,6.839,6.715,6.596,6.472,6.340,6.211,6.093,5.984,5.890,5.819,5.761,5.719,5.716,5.714,5.715,5.717
BARKC1;BARKW3,118.381,111.509,103.415,99.294,97.653,96.442,95.477,94.839,94.279,93.665,92.962,92.091,90.870,89.537,88.119,86.653,85.079,83.570,81.999,80.329,78.692,77.194,75.811,74.621,73.723,72.995,72.459,72.418,72.401,72.406,72.432
BEAU_P;ORRI_P,11.389,10.728,9.950,9.554,9.396,9.279,9.187,9.125,9.071,9.012,8.945,8.861,8.744,8.616,8.479,8.338,8.187,8.042,7.891,7.730,7.573,7.429,7.296,7.182,7.095,7.025,6.974,6.970,6.968,6.969,6.971
BEDDT1,42.870,40.381,37.450,35.958,35.364,34.925,34.576,34.345,34.142,33.919,33.665,33.350,32.907,32.425,31.911,31.380,30.810,30.264,29.695,29.090,28.497,27.955,27.454,27.023,26.698,26.434,26.240,26.225,26.219,26.221,26.230
BEDD_1,189.031,178.057,165.133,158.552,155.932,153.998,152.458,151.439,150.546,149.563,148.442,147.052,145.101,142.974,140.708,138.368,135.853,133.446,130.937,128.270,125.656,123.264,121.056,119.154,117.720,116.558,115.703,115.638,115.609,115.618,115.659
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,13.568,12.781,11.854,11.381,11.193,11.055,10.944,10.871,10.807,10.737,10.656,10.557,10.417,10.264,10.102,9.934,9.753,9.581,9.401,9.209,9.022,8.850,8.692,8.556,8.453,8.369,8.308,8.303,8.301,8.302,8.305
BERW,4.576,4.310,3.997,3.838,3.775,3.728,3.691,3.666,3.644,3.620,3.593,3.560,3.512,3.461,3.406,3.349,3.289,3.230,3.170,3.105,3.042,2.984,2.930,2.884,2.850,2.822,2.801,2.799,2.799,2.799,2.800
BESW_1,102.204,96.270,89.283,85.725,84.308,83.263,82.430,81.879,81.396,80.865,80.258,79.507,78.452,77.302,76.077,74.812,73.452,72.150,70.794,69.352,67.939,66.646,65.451,64.424,63.648,63.020,62.558,62.522,62.507,62.512,62.534
BICF_1,73.788,69.504,64.459,61.890,60.868,60.113,59.512,59.114,58.765,58.382,57.944,57.401,56.640,55.810,54.925,54.012,53.030,52.090,51.111,50.070,49.049,48.116,47.254,46.512,45.952,45.498,45.165,45.139,45.128,45.131,45.147
BIRK_1,90.488,85.235,79.049,75.898,74.644,73.718,72.981,72.493,72.066,71.595,71.058,70.393,69.459,68.441,67.356,66.236,65.032,63.880,62.679,61.402,60.151,59.006,57.949,57.039,56.352,55.796,55.387,55.355,55.342,55.346,55.366
BISW_1,168.903,159.097,147.550,141.669,139.328,137.600,136.224,135.314,134.515,133.638,132.635,131.393,129.651,127.750,125.725,123.634,121.387,119.236,116.994,114.611,112.276,110.139,108.165,106.467,105.185,104.147,103.383,103.324,103.299,103.307,103.344
BLYTB1,223.471,210.498,195.220,187.439,184.341,182.056,180.235,179.031,177.974,176.813,175.487,173.844,171.538,169.023,166.345,163.578,160.605,157.759,154.792,151.639,148.549,145.722,143.111,140.864,139.168,137.794,136.784,136.706,136.673,136.683,136.732
BLYTH132,24.163,22.760,21.108,20.267,19.932,19.685,19.488,19.358,19.244,19.118,18.975,18.797,18.548,18.276,17.986,17.687,17.365,17.058,16.737,16.396,16.062,15.756,15.474,15.231,15.048,14.899,14.790,14.781,14.778,14.779,14.784
BOAG_P,7.429,6.998,6.490,6.232,6.129,6.053,5.993,5.953,5.917,5.879,5.835,5.780,5.704,5.620,5.531,5.439,5.340,5.246,5.147,5.043,4.940,4.846,4.759,4.685,4.628,4.583,4.549,4.547,4.545,4.546,4.547
BOLN_1,312.666,294.514,273.138,262.253,257.918,254.721,252.173,250.488,249.010,247.385,245.530,243.230,240.004,236.486,232.738,228.867,224.707,220.725,216.575,212.164,207.840,203.885,200.232,197.087,194.715,192.792,191.379,191.270,191.223,191.238,191.306
BONN,23.894,22.507,20.873,20.041,19.710,19.466,19.271,19.142,19.029,18.905,18.763,18.588,18.341,18.072,17.786,17.490,17.172,16.868,16.551,16.214,15.883,15.581,15.302,15.061,14.880,14.733,14.625,14.617,14.613,14.614,14.620
BOTW_1,61.796,58.208,53.983,51.832,50.975,50.343,49.840,49.507,49.215,48.894,48.527,48.072,47.435,46.739,45.999,45.234,44.412,43.625,42.804,41.932,41.078,40.296,39.574,38.953,38.484,38.104,37.824,37.803,37.794,37.797,37.810
BRAC_P,8.003,7.539,6.992,6.714,6.603,6.521,6.456,6.413,6.375,6.333,6.286,6.227,6.144,6.054,5.959,5.859,5.753,5.651,5.545,5.432,5.322,5.221,5.127,5.047,4.986,4.937,4.901,4.898,4.897,4.897,4.899
BRAI_1,83.236,78.403,72.713,69.815,68.661,67.810,67.132,66.683,66.290,65.857,65.363,64.751,63.892,62.956,61.958,60.927,59.820,58.760,57.655,56.481,55.330,54.277,53.304,52.467,51.836,51.324,50.948,50.919,50.906,50.910,50.928
BRAP,9.818,9.248,8.577,8.235,8.099,7.999,7.919,7.866,7.819,7.768,7.710,7.638,7.536,7.426,7.308,7.187,7.056,6.931,6.801,6.662,6.527,6.402,6.288,6.189,6.114,6.054,6.010,6.006,6.005,6.005,6.007
