Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABNE_P,1.420,1.620,1.660,1.710,1.750,1.810,1.870,1.930,2.000,2.060,2.120,2.170,2.230,2.290,2.360,2.410,2.460,2.510,2.570,2.630,2.670,2.710,2.760,2.800,2.850,2.900,2.950,3.000,3.040,3.090
ALNE_P,3.800,4.310,4.430,4.550,4.680,4.830,4.990,5.150,5.320,5.490,5.640,5.800,5.950,6.120,6.280,6.420,6.560,6.700,6.850,7.000,7.120,7.240,7.360,7.480,7.600,7.730,7.860,7.990,8.120,8.250
ARDK_P;CLAC_P,1.350,1.530,1.570,1.620,1.660,1.720,1.770,1.830,1.890,1.950,2.000,2.060,2.120,2.170,2.230,2.280,2.330,2.380,2.430,2.490,2.530,2.570,2.610,2.660,2.700,2.750,2.790,2.840,2.880,2.930
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,16.800,19.040,19.580,20.120,20.680,21.360,22.060,22.780,23.520,24.280,24.940,25.620,26.320,27.030,27.760,28.370,29.000,29.630,30.280,30.940,31.460,31.990,32.520,33.060,33.610,34.170,34.730,35.300,35.890,36.480
BOAG_P,2.370,2.690,2.770,2.850,2.920,3.020,3.120,3.220,3.330,3.430,3.530,3.620,3.720,3.820,3.930,4.010,4.100,4.190,4.280,4.380,4.450,4.520,4.600,4.670,4.750,4.830,4.910,4.990,5.070,5.160
BRAC_P,1.520,1.720,1.770,1.820,1.870,1.930,2.000,2.060,2.130,2.200,2.260,2.320,2.380,2.450,2.510,2.570,2.620,2.680,2.740,2.800,2.850,2.890,2.940,2.990,3.040,3.090,3.140,3.190,3.250,3.300
CAAD_P,12.110,13.730,14.120,14.510,14.920,15.410,15.910,16.430,16.960,17.510,17.990,18.480,18.980,19.490,20.020,20.460,20.910,21.370,21.840,22.310,22.690,23.070,23.450,23.840,24.240,24.640,25.050,25.460,25.880,26.300
CASS_P,10.880,12.330,12.680,13.030,13.400,13.830,14.290,14.750,15.230,15.720,16.150,16.590,17.040,17.510,17.980,18.380,18.780,19.190,19.610,20.040,20.370,20.710,21.060,21.410,21.770,22.130,22.490,22.860,23.240,23.620
CEAN_P,1.900,2.150,2.210,2.280,2.340,2.420,2.500,2.580,2.660,2.750,2.820,2.900,2.980,3.060,3.140,3.210,3.280,3.350,3.430,3.500,3.560,3.620,3.680,3.740,3.800,3.860,3.930,3.990,4.060,4.130
CHAR_P,1.420,1.620,1.660,1.710,1.750,1.810,1.870,1.930,2.000,2.060,2.120,2.170,2.230,2.290,2.360,2.410,2.460,2.510,2.570,2.630,2.670,2.710,2.760,2.800,2.850,2.900,2.950,3.000,3.040,3.090
CONQA1;SASA,1.130,1.000,1.020,1.050,1.080,1.120,1.150,1.190,1.230,1.270,1.300,1.340,1.380,1.410,1.450,1.480,1.520,1.550,1.580,1.620,1.640,1.670,1.700,1.730,1.760,1.790,1.810,1.840,1.880,1.910
DOUN_P,5.000,5.670,5.830,5.990,6.160,6.360,6.570,6.780,7.000,7.230,7.420,7.630,7.830,8.050,8.260,8.450,8.630,8.820,9.010,9.210,9.360,9.520,9.680,9.840,10.000,10.170,10.340,10.510,10.680,10.860
DUNO_P,34.960,32.180,33.090,34.010,34.960,36.110,37.290,38.500,39.750,41.040,42.160,43.310,44.480,45.690,46.930,47.960,49.010,50.090,51.180,52.300,53.170,54.060,54.960,55.880,56.810,57.750,58.700,59.670,60.660,61.650
FASN_P,1.350,1.530,1.580,1.620,1.670,1.720,1.780,1.840,1.900,1.960,2.010,2.070,2.120,2.180,2.240,2.290,2.340,2.390,2.440,2.490,2.540,2.580,2.620,2.660,2.710,2.750,2.800,2.850,2.890,2.940
FAUG_P,3.440,3.910,4.020,4.130,4.240,4.380,4.520,4.670,4.820,4.980,5.120,5.260,5.400,5.540,5.690,5.820,5.950,6.080,6.210,6.350,6.450,6.560,6.670,6.780,6.890,7.010,7.120,7.240,7.360,7.480
FAWL_1,4.750,4.200,4.310,4.430,4.560,4.710,4.860,5.020,5.180,5.350,5.500,5.650,5.800,5.960,6.120,6.250,6.390,6.530,6.670,6.820,6.930,7.050,7.170,7.290,7.410,7.530,7.650,7.780,7.910,8.040
FLEE_1;BRLE_1,14.250,12.590,12.940,13.300,13.680,14.120,14.580,15.060,15.550,16.050,16.490,16.940,17.400,17.870,18.360,18.760,19.170,19.590,20.020,20.460,20.800,21.150,21.500,21.860,22.220,22.590,22.960,23.340,23.730,24.120
FWIL_P,10.640,12.070,12.410,12.750,13.110,13.540,13.980,14.440,14.900,15.390,15.810,16.240,16.680,17.130,17.600,17.980,18.380,18.780,19.190,19.610,19.940,20.270,20.610,20.950,21.300,21.650,22.010,22.380,22.740,23.120
GRUB_P,15.960,18.090,18.600,19.120,19.650,20.290,20.960,21.640,22.340,23.070,23.700,24.340,25.000,25.680,26.380,26.960,27.550,28.150,28.770,29.390,29.890,30.390,30.890,31.410,31.930,32.460,33.000,33.540,34.090,34.650
HARK_1;HUTT_1;RRIG,9.500,8.390,8.630,8.870,9.120,9.420,9.720,10.040,10.370,10.700,10.990,11.290,11.600,11.910,12.240,12.510,12.780,13.060,13.350,13.640,13.870,14.100,14.330,14.570,14.810,15.060,15.310,15.560,15.820,16.080
INNE_P,2.660,3.020,3.100,3.190,3.280,3.380,3.490,3.610,3.720,3.850,3.950,4.060,4.170,4.280,4.400,4.490,4.590,4.690,4.800,4.900,4.980,5.070,5.150,5.240,5.320,5.410,5.500,5.590,5.680,5.780
KIIN_P,5.040,5.710,5.870,6.040,6.210,6.410,6.620,6.830,7.060,7.290,7.480,7.690,7.900,8.110,8.330,8.510,8.700,8.890,9.090,9.280,9.440,9.600,9.760,9.920,10.090,10.250,10.420,10.590,10.770,10.950
KINL_P,20.900,23.690,24.360,25.040,25.740,26.580,27.450,28.340,29.260,30.210,31.040,31.880,32.750,33.640,34.550,35.310,36.080,36.870,37.680,38.500,39.150,39.800,40.460,41.140,41.820,42.510,43.220,43.930,44.650,45.390
LAND1,2.490,2.200,2.260,2.330,2.390,2.470,2.550,2.630,2.720,2.810,2.880,2.960,3.040,3.120,3.210,3.280,3.350,3.420,3.500,3.580,3.640,3.700,3.760,3.820,3.880,3.950,4.010,4.080,4.150,4.220
LINM,17.890,16.470,16.940,17.410,17.900,18.480,19.080,19.710,20.350,21.010,21.580,22.170,22.770,23.390,24.020,24.550,25.090,25.640,26.200,26.770,27.220,27.670,28.130,28.600,29.080,29.560,30.050,30.540,31.050,31.560
MILC_P,1.190,1.350,1.380,1.420,1.460,1.510,1.560,1.610,1.660,1.720,1.760,1.810,1.860,1.910,1.960,2.010,2.050,2.100,2.140,2.190,2.220,2.260,2.300,2.340,2.380,2.420,2.460,2.500,2.540,2.580
MITY_1,3.800,3.360,3.450,3.550,3.650,3.770,3.890,4.020,4.150,4.280,4.400,4.520,4.640,4.770,4.890,5.000,5.110,5.220,5.340,5.460,5.550,5.640,5.730,5.830,5.930,6.020,6.120,6.220,6.330,6.430
NURS_1,5.980,5.290,5.440,5.590,5.740,5.930,6.130,6.320,6.530,6.740,6.930,7.110,7.310,7.510,7.710,7.880,8.050,8.230,8.410,8.590,8.740,8.880,9.030,9.180,9.330,9.490,9.640,9.800,9.960,10.130
OSBA_1,5.300,4.680,4.810,4.950,5.090,5.250,5.420,5.600,5.780,5.970,6.130,6.300,6.470,6.650,6.830,6.980,7.130,7.290,7.450,7.610,7.740,7.870,8.000,8.130,8.260,8.400,8.540,8.680,8.820,8.970
PORA_P,5.890,6.680,6.870,7.060,7.260,7.500,7.740,7.990,8.250,8.520,8.750,8.990,9.240,9.490,9.740,9.960,10.180,10.400,10.630,10.860,11.040,11.230,11.410,11.600,11.800,11.990,12.190,12.390,12.600,12.800
RANN_P,45.600,51.700,53.150,54.640,56.160,58.000,59.890,61.840,63.850,65.920,67.720,69.560,71.450,73.390,75.380,77.040,78.730,80.450,82.210,84.000,85.410,86.840,88.290,89.760,91.250,92.760,94.290,95.850,97.430,99.030
RASS_1,5.030,4.450,4.570,4.700,4.830,4.990,5.150,5.320,5.490,5.670,5.830,5.990,6.150,6.310,6.490,6.630,6.770,6.920,7.070,7.230,7.350,7.470,7.600,7.720,7.850,7.980,8.110,8.250,8.380,8.520
SACO,1.410,1.300,1.340,1.370,1.410,1.460,1.500,1.550,1.600,1.660,1.700,1.750,1.790,1.840,1.890,1.940,1.980,2.020,2.060,2.110,2.150,2.180,2.220,2.250,2.290,2.330,2.370,2.410,2.450,2.490
SWAN_1,5.180,4.570,4.700,4.830,4.970,5.130,5.300,5.470,5.650,5.830,5.990,6.160,6.320,6.490,6.670,6.820,6.970,7.120,7.270,7.430,7.560,7.680,7.810,7.940,8.070,8.210,8.340,8.480,8.620,8.760
TARL_P,2.000,2.270,2.330,2.400,2.460,2.540,2.630,2.710,2.800,2.890,2.970,3.050,3.130,3.220,3.310,3.380,3.450,3.530,3.610,3.680,3.750,3.810,3.870,3.940,4.000,4.070,4.140,4.200,4.270,4.340
TAYN_P,39.410,44.680,45.940,47.220,48.540,50.120,51.760,53.450,55.180,56.970,58.530,60.120,61.760,63.430,65.150,66.580,68.040,69.530,71.050,72.600,73.820,75.050,76.300,77.570,78.860,80.170,81.490,82.840,84.200,85.590
TONG;CAFA;EAST;GLLE;KEOO,83.580,76.940,79.110,81.320,83.580,86.310,89.140,92.040,95.030,98.100,100.790,103.530,106.350,109.230,112.190,114.650,117.180,119.740,122.360,125.030,127.120,129.250,131.410,133.590,135.810,138.060,140.340,142.660,145.010,147.390
TRAW_1,24.220,21.400,22.000,22.610,23.240,24.000,24.790,25.590,26.420,27.280,28.030,28.790,29.570,30.370,31.200,31.880,32.580,33.300,34.020,34.770,35.350,35.940,36.540,37.150,37.760,38.390,39.020,39.670,40.320,40.990
TUMB_P,37.290,42.280,43.470,44.680,45.930,47.430,48.980,50.580,52.220,53.910,55.380,56.890,58.440,60.020,61.650,63.010,64.390,65.800,67.240,68.700,69.850,71.020,72.210,73.410,74.630,75.860,77.120,78.390,79.680,80.990
WIOW_P,2.660,3.020,3.100,3.190,3.280,3.380,3.490,3.610,3.720,3.850,3.950,4.060,4.170,4.280,4.400,4.490,4.590,4.690,4.800,4.900,4.980,5.070,5.150,5.240,5.320,5.410,5.500,5.590,5.680,5.780
