Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,60.570,63.100,62.850,61.450,59.410,57.100,53.840,46.280,40.120,36.590,34.490,28.300,27.750,26.910,25.970,24.760,23.850,23.140,22.510,21.900,21.380,20.990,21.270,21.860,22.590,23.460,23.640,23.490,23.340,23.190
ABNE_P,3.040,4.660,4.690,4.740,4.810,4.900,4.990,5.070,5.160,5.140,5.130,5.070,5.010,4.980,5.000,4.870,4.710,4.640,4.620,4.600,4.590,4.570,4.580,4.580,4.590,4.610,4.630,4.660,4.690,4.720
ABTH_1,45.430,51.720,53.370,55.430,56.950,58.180,58.830,55.990,54.860,53.440,52.990,50.070,49.470,48.810,46.540,45.410,44.590,45.200,45.430,45.990,45.920,46.570,49.240,53.760,58.130,63.660,65.330,65.330,65.340,65.340
ALNE_P,7.000,8.140,7.690,7.690,7.690,7.690,7.690,6.770,6.770,6.220,6.220,6.220,5.280,5.280,4.460,4.460,3.970,3.970,3.480,3.480,2.990,2.990,2.500,2.500,2.010,2.010,2.010,2.010,2.010,2.010
ALVE1,7.250,7.320,7.250,7.180,7.110,7.020,13.930,13.840,13.740,18.480,18.220,22.970,30.230,35.000,34.770,34.430,34.120,33.820,33.540,33.290,33.060,32.870,32.710,32.580,32.460,32.360,32.280,32.210,32.140,32.070
AMEM_1,6.840,6.820,6.660,6.270,5.790,5.280,4.590,3.110,1.910,1.310,1.030,,,,,,,,,,,,,,,,,,,
AXMI1,1.920,1.910,1.870,1.760,1.620,1.480,1.290,0.870,0.530,0.370,0.290,,,,,,,,,,,,,,,,,,,
BAIN,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,,,,,,,,,,,,,,,
BARKC1;BARKW3,119.050,134.150,136.700,136.000,134.910,133.650,131.710,126.370,122.460,119.670,116.860,109.910,108.000,106.560,105.260,103.360,101.040,98.260,96.180,94.250,91.890,88.870,85.790,82.490,79.760,74.820,69.330,60.110,55.120,51.620
BEDD_1,97.490,99.710,97.240,97.160,96.880,94.120,93.510,91.970,88.430,86.880,85.580,81.200,80.240,74.430,73.310,32.550,31.120,29.880,28.730,27.610,26.660,25.870,25.590,25.570,25.700,25.960,25.790,25.460,25.140,24.830
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,9.690,11.970,11.370,11.410,11.450,11.510,11.570,10.340,10.400,9.690,9.730,9.760,8.480,8.510,7.430,7.430,6.750,6.780,6.150,6.190,5.560,5.590,4.940,4.970,4.320,4.350,4.380,4.400,4.430,4.460
BESW_1,9.480,9.530,9.520,9.510,9.500,9.480,9.470,9.460,9.330,9.160,8.660,8.110,7.520,6.890,6.220,5.490,4.870,4.290,3.770,3.340,2.960,2.630,2.280,1.920,1.560,1.150,1.140,1.130,1.120,1.110
BICF_1,4.080,3.910,4.130,4.440,4.840,5.310,5.780,6.250,6.720,7.090,7.460,7.790,8.100,8.450,8.920,9.100,9.250,9.500,9.810,10.130,10.340,10.550,10.750,10.950,11.140,11.340,11.540,11.750,11.960,12.180
BIRK_1,52.210,51.990,50.360,50.300,50.240,48.600,48.530,48.450,46.640,46.270,45.470,43.040,42.140,38.030,37.040,9.760,8.770,7.850,7.030,6.310,5.690,5.150,4.610,4.070,3.540,2.960,2.890,2.830,2.780,2.720
BISW_1,81.990,86.830,94.280,104.180,114.060,123.920,133.750,143.000,152.660,160.630,157.350,152.840,149.100,146.510,144.180,143.220,141.940,140.090,137.240,133.640,129.380,125.390,121.810,119.270,116.720,113.500,110.150,105.550,102.180,99.040
BLYTB1,38.850,36.920,35.660,35.710,35.760,35.800,35.850,32.590,32.640,30.680,30.530,30.250,26.720,26.600,23.540,23.410,21.470,21.240,19.330,19.190,17.250,16.980,14.950,14.650,12.650,12.170,11.630,10.710,10.220,9.890
BOLN_1,62.630,67.440,68.290,69.330,70.110,70.350,70.850,70.540,70.340,69.580,68.440,66.140,65.130,63.100,61.720,53.660,52.130,50.770,49.720,48.690,47.630,46.530,46.380,46.630,47.230,47.420,46.230,43.470,41.910,40.770
BONN,1.180,0.670,0.670,0.670,0.670,0.670,0.670,0.670,0.660,0.650,0.610,0.570,0.530,0.480,0.430,0.370,0.330,0.290,0.250,0.220,0.190,0.170,0.140,0.110,0.090,0.050,0.050,0.050,0.050,0.050
BOTW_1,51.080,53.640,56.620,59.240,60.840,61.860,62.230,60.120,58.530,56.830,55.310,51.090,50.710,48.810,46.310,43.810,42.560,42.360,42.590,42.600,42.670,43.120,46.930,52.320,58.310,64.990,66.860,66.600,66.410,66.250
BRAI_1,6.430,7.200,8.050,8.990,9.820,10.570,11.290,11.970,12.600,12.850,12.940,12.850,12.930,12.720,12.470,12.080,11.900,12.070,12.380,12.630,12.860,13.150,14.130,15.440,16.870,18.430,18.970,19.060,19.160,19.260
BRAW_1,31.730,39.470,42.820,46.430,49.360,51.860,54.230,56.410,58.160,58.460,57.580,56.100,55.360,53.160,50.360,47.650,46.180,45.680,45.610,45.420,45.300,45.540,48.670,53.170,58.150,63.640,65.430,65.290,65.220,65.170
BRED_1,56.800,63.270,69.180,75.450,80.320,84.320,87.890,90.380,92.580,92.270,90.870,87.780,87.150,83.800,79.380,75.070,72.980,72.740,73.240,73.360,73.580,74.490,81.210,90.670,101.140,112.820,116.320,116.200,116.080,115.970
BRFO_1;CLT03,297.700,287.940,283.710,283.750,283.440,283.350,281.460,258.290,250.070,241.720,241.640,230.330,221.160,222.940,218.310,214.640,207.590,209.260,207.630,211.140,208.440,210.320,207.340,209.660,206.870,208.170,208.250,205.930,205.860,206.750
BRID_P,,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.120,1.110,1.040,0.970,0.900,0.820,0.730,0.640,0.560,0.490,0.420,0.370,0.320,0.280,0.240,0.190,0.140,0.090,0.090,0.090,0.090,0.090
BRIM_1,28.890,25.640,23.830,23.990,24.200,23.540,23.790,23.220,22.550,22.760,22.950,22.150,22.240,20.550,20.800,5.650,5.620,5.750,5.950,6.150,6.320,6.460,6.600,6.740,6.860,6.980,7.100,7.210,7.330,7.450
BRWA1,13.450,13.060,12.880,12.560,12.160,11.740,11.190,10.090,9.150,8.480,7.930,6.880,6.520,6.160,5.800,5.320,4.880,4.480,4.100,3.770,3.470,3.220,3.000,2.790,2.600,2.410,2.330,2.270,2.210,2.140
BURM_1,14.580,10.810,9.810,9.800,9.790,9.770,9.740,8.780,8.750,8.580,8.350,8.030,7.790,7.580,7.380,7.100,6.800,6.490,6.230,5.990,5.740,5.470,5.210,4.950,4.730,4.380,4.010,3.410,3.080,2.830
BUSH_1,61.490,63.700,64.480,63.230,61.520,59.650,56.940,50.340,45.100,42.530,40.500,34.300,33.590,33.070,32.620,32.140,31.480,30.610,29.940,29.290,28.440,27.340,26.230,25.060,24.090,22.300,20.280,16.870,15.020,13.700
BUST_1,8.190,8.130,8.230,8.250,8.190,8.080,7.880,7.310,6.850,6.480,6.190,5.550,5.420,5.200,4.940,4.630,4.410,4.260,4.150,4.030,3.930,3.870,4.030,4.290,4.600,4.960,5.040,5.000,4.960,4.920
CAMB_01,14.740,15.730,16.680,17.720,18.560,19.260,19.930,20.550,20.950,20.920,20.310,19.510,18.880,17.790,16.490,15.190,14.340,13.820,13.470,13.140,12.860,12.740,13.480,14.630,15.920,17.350,17.920,17.920,17.920,17.920
CANTN1;RICH1;RICH_J,121.020,103.610,97.170,96.950,96.630,94.390,93.850,87.710,84.770,83.810,82.600,78.100,77.080,72.550,71.810,39.830,38.650,37.260,36.220,35.290,34.150,32.680,31.210,29.620,28.320,25.940,23.300,18.840,16.440,14.770
