Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,83.170,86.620,90.970,98.020,105.700,113.340,120.930,130.480,141.970,157.910,175.820,194.930,211.670,232.680,245.430,254.940,257.890,260.820,265.010,275.610,286.120,296.570,306.940,314.690,322.390,330.030,337.610,345.130,352.600,360.000
ABNE_P,14.750,17.250,20.110,20.670,21.290,21.950,22.650,23.470,24.430,25.110,26.520,28.100,29.680,31.600,33.170,34.630,35.740,36.870,38.120,39.860,41.670,43.550,45.500,47.300,49.150,51.050,53.010,55.010,57.070,59.190
ABTH_1,60.610,63.120,66.290,66.720,67.180,67.640,68.100,68.680,69.370,70.330,71.410,72.570,73.580,74.850,75.620,76.190,76.370,76.550,76.800,77.440,78.070,78.710,79.330,79.800,80.260,80.730,81.180,81.640,82.090,82.540
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.000,0.000,0.920,1.960,2.960,3.960,5.200,6.720,8.800,11.160,13.680,15.920,18.680,20.360,21.600,22.000,22.360,22.920,24.320,25.720,27.080,28.440,29.480,30.480,31.480,32.480,33.480,34.480,35.440
ALNE_P,0.490,0.570,0.660,1.220,1.840,2.500,3.210,4.030,4.990,5.670,7.080,8.670,10.250,12.170,13.750,15.210,16.320,17.460,18.700,20.450,22.270,24.150,26.100,27.900,29.750,31.660,33.620,35.630,37.700,39.810
ALVE1,168.220,175.200,183.990,191.040,198.720,206.360,213.950,223.500,234.990,250.930,268.840,287.950,304.690,325.700,338.450,347.960,350.910,353.840,358.030,368.620,379.140,389.590,399.960,407.710,415.410,423.050,430.630,438.150,445.610,453.020
AMEM_1,35.470,36.940,38.800,39.080,39.390,39.700,40.000,40.390,40.850,41.490,42.210,42.980,43.660,44.500,45.020,45.400,45.520,45.640,45.800,46.230,46.650,47.070,47.490,47.800,48.110,48.420,48.730,49.030,49.330,49.630
ARBR_P,24.230,28.350,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050,33.050
ARDK_P;CLAC_P,0.000,0.000,0.000,0.560,1.170,1.840,2.540,3.370,4.330,5.000,6.420,8.010,9.590,11.510,13.090,14.550,15.660,16.800,18.040,19.790,21.600,23.480,25.440,27.240,29.090,31.000,32.960,34.960,37.030,39.150
ARMO_P,0.000,0.000,0.000,1.210,2.540,3.960,5.480,7.250,9.320,10.780,13.830,17.240,20.650,24.790,28.190,31.340,33.740,36.180,38.860,42.630,46.540,50.600,54.800,58.680,62.670,66.780,71.000,75.330,79.780,84.340
