Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,,,,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,120.000
ALVE1,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,53.750,53.750,53.750,53.750,53.750,62.250
AMEM_1,13.300,13.300,13.300,53.300,53.300,102.800,102.800,102.800,102.800,152.300,152.300,152.300,152.300,152.300,152.300,152.300,152.300,152.300,152.300,159.500,159.500,159.500,159.500,159.500,159.500,159.500,159.500,159.500,159.500,159.500
ARMO_P,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300
AXMI1,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040,50.040
BESW_1,,,,,,,,,,,,,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000
BICF_1,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650,6.650
BISW_1,39.240,39.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,107.240,135.740,135.740,135.740,135.740,135.740,135.740,135.740,135.740,135.740,135.740
BOLN_1,16.300,16.300,16.300,16.300,16.300,16.300,16.300,66.200,66.200,102.200,103.800,113.800,113.800,113.800,147.800,147.800,155.080,155.080,160.580,209.580,209.580,209.580,261.980,261.980,261.980,261.980,261.980,261.980,261.980,261.980
BONN,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900,19.900
BOTW_1,,40.000,40.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,109.900,109.900,109.900,109.900,109.900,109.900,109.900,109.900,109.900,109.900,109.900,109.900
BRAC_P,,,,,,,,,,,,,,,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900,9.900
BRAI_1,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
BRAW_1,,,,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,85.000,85.000,85.000,85.000,85.000
BRED_1,,,,20.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000
BRFO_1;CLT03,70.000,120.000,120.000,120.000,170.000,170.000,170.000,170.000,170.000,170.000,170.000,170.000,170.000,220.000,220.000,220.000,220.000,220.000,220.000,220.000,220.000,220.000,220.000,220.000,220.000,319.990,319.990,319.990,319.990,319.990
BRWA1,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,59.400,59.400
BUMU_P,,,,,,,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900
BURM_1,,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,54.900,104.800,104.800,110.800,110.800,110.800,110.800,110.800,110.800,110.800,110.800
BUSH_1,,,,,,,,,,,,,,,,,,,,,,,,,49.900,49.900,49.900,49.900,49.900,49.900
BUST_1,,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,150.000
CAMB_01,,,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000
CAPEA1,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,19.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020,44.020
CARE_1,,,,,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900
CELL_1,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,4.920,24.920,37.920,57.920,57.920,57.920,107.270,107.270,107.270,107.270,107.270
CHIC_1,,,,,,,,,,,,,,,,,,3.500,3.500,3.500,3.500,3.500,3.500,23.500,23.500,23.500,23.500,23.500,23.500,23.500
CHTE_1,8.000,79.300,79.300,79.300,79.300,79.300,79.300,79.300,79.300,79.300,79.300,79.300,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200,129.200
CLYM,,,,,,,,,,,,,,,,,,,,,,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900
CONQA1;SASA,,,,,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,104.900,104.900,104.900,104.900,104.900,104.900,104.900,104.900,104.900,104.900,104.900,104.900
COUA_P,,,,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,16.500,66.400,66.400,66.400,66.400,66.400
COVE_1,,,,,,,,,,,,,,,,,,,,50.000,54.000,103.500,103.500,103.500,103.500,103.500,103.500,153.000,153.000,153.000
COWL_1;ECLA_H,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,49.920,49.920,49.920,110.870,110.870,110.870,110.870,110.870,110.870,110.870,110.870,160.870,160.870,160.870,160.870,160.870,160.870,160.870,160.870
CREB_1,49.900,49.900,49.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900,99.900
DRAK_1,9.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,49.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500
DRCR,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900
DUMF,,,,,,,,,,,,,,,,,20.000,20.000,26.000,26.000,26.000,26.000,26.000,26.000,26.000,26.000,26.000,26.000,26.000,26.000
DYCE_P,,,,,,,,,,,,,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000
EASO_1,,,,,,,,,,,,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990
ECLA_1,,5.000,5.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000,85.000
ELLA_1,,,,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000
ELST_1,,,,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900
ENDE_1,9.500,34.450,34.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450,51.450
ERSK,,,,,,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900,48.900
EXET1,,,,,,,,,,,,,,,,,,,,,,,,35.000,135.000,135.000,135.000,135.000,135.000,135.000
