Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABNE_P,37.880,28.230,28.740,30.260,31.410,32.740,34.120,35.790,37.520,39.540,41.630,43.780,46.010,48.300,50.880,53.530,56.260,59.070,61.960,66.150,70.260,74.400,78.580,82.150,85.680,87.310,87.710,88.110,88.470,88.470
ALNE_P,14.150,10.550,10.740,11.310,11.740,12.230,12.750,13.380,14.020,14.780,15.560,16.360,17.190,18.050,19.010,20.000,21.030,22.070,23.150,24.720,26.260,27.810,29.360,30.700,32.020,32.630,32.780,32.930,33.060,33.060
ALVE1,128.490,136.090,138.540,145.890,154.470,164.320,174.800,187.210,200.400,215.710,232.000,249.330,267.770,287.390,309.570,333.170,358.280,384.990,413.410,441.390,468.780,496.460,524.290,548.140,571.710,582.570,585.240,587.910,590.310,590.310
ARBR_P,3.990,2.970,3.030,3.190,3.310,3.450,3.590,3.770,3.950,4.170,4.390,4.610,4.850,5.090,5.360,5.640,5.930,6.220,6.530,6.970,7.400,7.840,8.280,8.650,9.030,9.200,9.240,9.280,9.320,9.320
ARMO_P,32.250,24.040,24.480,25.770,26.740,27.880,29.050,30.480,31.950,33.670,35.450,37.280,39.180,41.130,43.320,45.580,47.910,50.300,52.760,56.330,59.830,63.360,66.910,69.960,72.960,74.350,74.690,75.030,75.340,75.340
BAGA,52.550,51.160,52.080,54.840,56.910,59.320,61.820,64.850,67.990,71.650,75.430,79.330,83.360,87.520,92.190,97.000,101.940,107.030,112.270,119.860,127.300,134.820,142.380,148.850,155.250,158.200,158.930,159.650,160.300,160.300
BEAU_P;ORRI_P,1.000,0.750,0.760,0.800,0.830,0.860,0.900,0.950,0.990,1.040,1.100,1.160,1.220,1.280,1.340,1.410,1.490,1.560,1.640,1.750,1.860,1.970,2.080,2.170,2.260,2.310,2.320,2.330,2.340,2.340
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,21.360,15.920,16.210,17.070,17.710,18.460,19.240,20.180,21.160,22.300,23.480,24.690,25.940,27.240,28.690,30.190,31.730,33.310,34.940,37.300,39.620,41.960,44.310,46.330,48.320,49.240,49.460,49.690,49.890,49.890
BERW,106.210,103.400,105.260,110.840,115.020,119.900,124.960,131.080,137.420,144.820,152.460,160.350,168.490,176.890,186.330,196.050,206.050,216.340,226.920,242.270,257.310,272.500,287.770,300.870,313.810,319.770,321.230,322.700,324.010,324.010
BICF_1,197.530,198.290,198.530,199.270,216.030,217.010,218.060,219.300,220.620,222.150,223.780,225.510,227.360,229.320,231.540,233.900,236.410,239.080,241.920,244.720,247.460,250.230,253.010,255.390,257.750,258.840,259.100,259.370,259.610,259.610
BISW_1,32.120,34.020,34.640,36.470,38.620,41.080,43.700,46.800,50.100,53.930,58.000,62.330,66.940,71.850,77.390,83.290,89.570,96.250,103.350,110.350,117.200,124.110,131.070,137.040,142.930,145.640,146.310,146.980,147.580,147.580
