Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,3.116,3.135,3.149,3.157,3.348,3.711,4.366,5.448,7.315,10.323,14.972,21.759,31.039,42.879,56.726,72.845,89.639,105.875,120.221,130.917,130.863,130.844,130.847,130.853,130.868,130.886,130.910,130.936,130.966,130.850
ABNE_P,0.000,0.000,0.000,0.000,0.008,0.023,0.050,0.097,0.177,0.307,0.513,0.813,1.221,1.740,2.345,3.051,3.784,4.492,5.118,5.585,5.585,5.585,5.585,5.585,5.585,5.585,5.585,5.585,5.585,5.585
ABTH_1,1.946,1.957,1.967,1.972,2.035,2.149,2.353,2.686,3.258,4.176,5.550,7.571,10.350,13.904,18.068,22.915,27.979,32.875,37.201,40.426,40.392,40.380,40.382,40.386,40.396,40.407,40.422,40.438,40.457,40.385
ACTL_2;CBNK_H;GREE_H;PERI_H,0.385,0.387,0.389,0.390,0.436,0.478,0.584,0.758,1.056,1.542,2.296,3.394,4.895,6.809,9.047,11.653,14.365,16.986,19.304,21.032,21.025,21.023,21.023,21.024,21.026,21.028,21.031,21.034,21.038,21.024
ALNE_P,0.132,0.132,0.133,0.133,0.136,0.142,0.152,0.167,0.194,0.237,0.299,0.391,0.518,0.682,0.873,1.096,1.329,1.555,1.755,1.903,1.901,1.900,1.900,1.901,1.901,1.902,1.903,1.904,1.905,1.900
ALVE1,1.581,1.590,1.598,1.602,1.807,2.180,2.875,4.028,6.026,9.248,14.309,21.669,31.708,44.497,59.442,76.842,94.946,112.445,127.907,139.437,139.410,139.400,139.401,139.404,139.412,139.421,139.433,139.447,139.462,139.403
AMEM_1,0.000,0.000,0.000,0.000,0.045,0.105,0.233,0.446,0.817,1.416,2.370,3.752,5.633,8.027,10.823,14.078,17.460,20.730,23.619,25.773,25.773,25.773,25.773,25.773,25.773,25.773,25.773,25.773,25.773,25.773
ARBR_P,2.600,2.615,2.627,2.634,2.649,2.671,2.697,2.734,2.788,2.867,2.874,2.926,3.033,3.195,3.401,3.638,3.923,4.199,4.444,4.625,4.580,4.564,4.567,4.572,4.584,4.599,4.619,4.641,4.666,4.570
ARDK_P;CLAC_P,0.000,0.000,0.000,0.000,0.002,0.006,0.014,0.028,0.050,0.088,0.146,0.232,0.348,0.496,0.668,0.870,1.078,1.280,1.458,1.592,1.592,1.592,1.592,1.592,1.592,1.592,1.592,1.592,1.592,1.592
ARMO_P,0.390,0.392,0.394,0.395,0.408,0.434,0.479,0.552,0.678,0.881,1.186,1.635,2.250,3.038,3.960,5.033,6.153,7.237,8.194,8.908,8.901,8.899,8.899,8.900,8.902,8.904,8.907,8.911,8.914,8.900
AXMI1,3.493,3.514,3.530,3.539,3.653,3.854,4.215,4.805,5.818,7.443,9.872,13.449,18.365,24.655,32.024,40.599,49.561,58.226,65.882,71.591,71.530,71.508,71.512,71.519,71.536,71.556,71.582,71.612,71.645,71.516
AYRR,0.001,0.001,0.001,0.001,0.005,0.011,0.023,0.043,0.077,0.133,0.221,0.349,0.524,0.746,1.005,1.308,1.621,1.925,2.193,2.393,2.393,2.393,2.393,2.393,2.393,2.393,2.393,2.393,2.393,2.393
BAGA,0.000,0.000,0.000,0.000,0.031,0.092,0.205,0.392,0.718,1.244,2.082,3.296,4.949,7.052,9.508,12.368,15.339,18.212,20.750,22.642,22.642,22.642,22.642,22.642,22.642,22.642,22.642,22.642,22.642,22.642
BAIN,0.000,0.000,0.000,0.000,0.010,0.030,0.067,0.128,0.235,0.407,0.682,1.080,1.621,2.310,3.115,4.052,5.026,5.967,6.798,7.418,7.418,7.418,7.418,7.418,7.418,7.418,7.418,7.418,7.418,7.418
BARKC1;BARKW3,1.637,1.647,1.654,1.659,1.794,1.979,2.359,2.988,4.074,5.823,8.536,12.493,17.900,24.797,32.863,42.252,52.032,61.487,69.840,76.070,76.041,76.031,76.033,76.036,76.044,76.053,76.066,76.080,76.095,76.034
BEAU_P;ORRI_P,0.000,0.000,0.000,0.000,0.004,0.012,0.028,0.056,0.100,0.174,0.292,0.464,0.696,0.992,1.336,1.738,2.156,2.560,2.916,3.182,3.182,3.182,3.182,3.182,3.182,3.182,3.182,3.182,3.182,3.182
BEDDT1,0.000,0.000,0.000,0.000,0.066,0.155,0.344,0.660,1.207,2.093,3.503,5.546,8.328,11.866,15.999,20.811,25.811,30.644,34.914,38.099,38.099,38.099,38.099,38.099,38.099,38.099,38.099,38.099,38.099,38.099
BEDD_1,1.783,1.793,1.801,1.806,2.074,2.472,3.275,4.606,6.911,10.630,16.473,24.970,36.558,51.321,68.573,88.657,109.554,129.754,147.602,160.910,160.879,160.868,160.870,160.873,160.882,160.892,160.906,160.921,160.938,160.872
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.145,1.152,1.157,1.160,1.200,1.271,1.397,1.603,1.959,2.535,3.393,4.660,6.393,8.615,11.217,14.242,17.406,20.462,23.163,25.180,25.160,25.153,25.154,25.156,25.162,25.168,25.177,25.187,25.198,25.155
BERW,0.421,0.424,0.426,0.427,0.439,0.460,0.498,0.559,0.664,0.832,1.081,1.448,1.954,2.602,3.362,4.245,5.170,6.063,6.853,7.442,7.435,7.432,7.432,7.433,7.435,7.438,7.441,7.445,7.449,7.433
BESW_1,0.992,0.998,1.002,1.005,1.226,1.527,2.159,3.207,5.026,7.960,12.591,19.316,28.484,40.157,53.797,69.677,86.193,102.158,116.264,126.782,126.765,126.759,126.760,126.762,126.767,126.772,126.780,126.788,126.798,126.761
BICF_1,4.884,4.912,4.935,4.948,5.074,5.309,5.717,6.381,7.517,9.338,12.015,15.972,21.426,28.415,36.608,46.143,56.121,65.769,74.294,80.650,80.565,80.535,80.540,80.549,80.573,80.602,80.638,80.680,80.727,80.545
BIRK_1,2.401,2.415,2.426,2.432,2.565,2.827,3.293,4.062,5.388,7.524,10.817,15.627,22.208,30.604,40.426,51.859,63.774,75.292,85.470,93.058,93.016,93.002,93.004,93.009,93.020,93.034,93.052,93.073,93.096,93.007
BISW_1,22.971,23.106,23.213,23.274,23.704,24.382,25.577,27.492,30.740,35.919,43.115,53.915,68.930,88.267,110.998,137.440,165.249,192.147,215.911,233.627,233.226,233.085,233.109,233.153,233.265,233.399,233.571,233.768,233.987,233.134
BLYTB1,2.914,2.931,2.945,2.952,3.018,3.136,3.340,3.670,4.233,5.135,6.438,8.373,11.047,14.478,18.504,23.189,28.099,32.847,37.043,40.170,40.119,40.102,40.105,40.110,40.124,40.141,40.163,40.188,40.216,40.108
BLYTH132,0.000,0.000,0.000,0.000,0.044,0.126,0.280,0.537,0.984,1.705,2.853,4.518,6.784,9.666,13.033,16.952,21.026,24.963,28.441,31.035,31.035,31.035,31.035,31.035,31.035,31.035,31.035,31.035,31.035,31.035
BOAG_P,0.148,0.149,0.150,0.150,0.167,0.200,0.261,0.361,0.535,0.816,1.256,1.896,2.769,3.881,5.181,6.694,8.269,9.791,11.136,12.139,12.137,12.136,12.136,12.136,12.137,12.138,12.139,12.140,12.142,12.136
BOLN_1,4.670,4.697,4.719,4.731,5.143,5.799,7.074,9.181,12.825,18.698,27.842,41.166,59.366,82.569,109.698,141.279,174.164,205.953,234.041,254.985,254.903,254.874,254.879,254.888,254.911,254.938,254.973,255.013,255.058,254.884
BONN,0.790,0.794,0.798,0.800,0.839,0.912,1.044,1.260,1.634,2.234,3.155,4.502,6.347,8.702,11.457,14.664,18.008,21.240,24.097,26.227,26.213,26.208,26.209,26.210,26.214,26.219,26.225,26.231,26.239,26.210
BOTW_1,0.002,0.002,0.002,0.002,0.068,0.183,0.405,0.774,1.416,2.452,4.103,6.496,9.753,13.896,18.735,24.369,30.224,35.883,40.883,44.612,44.612,44.612,44.612,44.612,44.612,44.612,44.612,44.612,44.612,44.612
BRAC_P,0.245,0.246,0.247,0.248,0.277,0.303,0.369,0.478,0.667,0.971,1.444,2.133,3.075,4.276,5.679,7.314,9.015,10.660,12.114,13.197,13.193,13.192,13.192,13.192,13.194,13.195,13.197,13.199,13.201,13.192
BRAI_1,0.418,0.420,0.422,0.423,0.495,0.623,0.863,1.263,1.956,3.073,4.835,7.395,10.885,15.329,20.522,26.568,32.856,38.935,44.306,48.311,48.304,48.301,48.302,48.302,48.304,48.307,48.310,48.314,48.317,48.302
BRAP,0.000,0.000,0.000,0.000,0.012,0.017,0.038,0.072,0.132,0.228,0.382,0.604,0.907,1.293,1.743,2.267,2.812,3.339,3.804,4.151,4.151,4.151,4.151,4.151,4.151,4.151,4.151,4.151,4.151,4.151
BRAW_1,1.129,1.136,1.141,1.144,1.386,1.777,2.544,3.818,6.026,9.590,15.217,23.389,34.527,48.709,65.280,84.572,104.636,124.029,141.165,153.943,153.923,153.916,153.918,153.920,153.925,153.932,153.940,153.950,153.961,153.919
BRED_1,0.133,0.134,0.135,0.135,0.896,0.888,1.809,3.342,6.005,10.305,17.152,27.074,40.581,57.768,77.841,101.212,125.499,148.974,169.717,185.184,185.182,185.181,185.181,185.182,185.182,185.183,185.184,185.185,185.186,185.181
BRFO_1;CLT03,12.180,12.251,12.308,12.340,12.792,13.616,15.092,17.510,21.668,28.349,38.435,53.247,73.574,99.560,129.987,165.402,202.378,238.127,269.714,293.265,293.053,292.978,292.991,293.014,293.073,293.144,293.236,293.340,293.456,293.004
BRID_P,1.417,1.425,1.432,1.435,1.457,1.494,1.557,1.656,1.824,2.090,2.450,2.994,3.754,4.735,5.891,7.234,8.651,10.021,11.232,12.134,12.110,12.101,12.102,12.105,12.112,12.120,12.131,12.143,12.157,12.104
BRIM_1,1.631,1.640,1.648,1.652,1.850,2.097,2.630,3.513,5.040,7.502,11.351,16.954,24.603,34.351,45.746,59.012,72.821,86.169,97.963,106.757,106.729,106.719,106.720,106.723,106.731,106.741,106.753,106.767,106.783,106.722
BROA_P,0.002,0.002,0.002,0.002,0.006,0.015,0.032,0.059,0.107,0.185,0.309,0.487,0.731,1.041,1.403,1.825,2.263,2.686,3.060,3.339,3.339,3.339,3.339,3.339,3.339,3.339,3.339,3.339,3.339,3.339
BROR_P,0.000,0.000,0.000,0.000,0.003,0.009,0.021,0.039,0.072,0.125,0.209,0.331,0.497,0.708,0.954,1.241,1.539,1.828,2.082,2.272,2.272,2.272,2.272,2.272,2.272,2.272,2.272,2.272,2.272,2.272
BROX,0.566,0.569,0.572,0.573,0.613,0.676,0.798,1.000,1.348,1.908,2.775,4.040,5.769,7.975,10.556,13.559,16.689,19.714,22.387,24.380,24.370,24.366,24.367,24.368,24.371,24.374,24.378,24.383,24.389,24.368
BRWA1,4.986,5.015,5.038,5.051,5.232,5.546,6.117,7.051,8.657,11.236,15.116,20.819,28.651,38.665,50.393,64.042,78.298,92.081,104.259,113.339,113.251,113.221,113.226,113.236,113.260,113.289,113.326,113.369,113.417,113.232
BUMU_P,0.000,0.000,0.000,0.000,0.004,0.012,0.027,0.052,0.095,0.165,0.276,0.437,0.656,0.934,1.260,1.638,2.032,2.413,2.749,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
BURM_1,0.854,0.859,0.863,0.865,0.975,1.149,1.491,2.058,3.039,4.621,7.102,10.712,15.637,21.912,29.246,37.783,46.667,55.255,62.843,68.501,68.487,68.481,68.482,68.484,68.488,68.493,68.499,68.507,68.515,68.483
BUSH_1,1.976,1.988,1.997,2.002,2.081,2.228,2.490,2.921,3.662,4.854,6.662,9.314,12.950,17.597,23.037,29.368,35.976,42.364,48.009,52.217,52.183,52.171,52.173,52.177,52.186,52.198,52.213,52.230,52.248,52.175
BUST_1,2.401,2.415,2.426,2.433,2.586,2.882,3.416,4.296,5.817,8.267,12.061,17.597,25.164,34.817,46.106,59.247,72.937,86.172,97.865,106.584,106.542,106.528,106.530,106.535,106.546,106.560,106.578,106.599,106.622,106.533
CAAD_P,0.000,0.000,0.000,0.000,0.023,0.071,0.158,0.303,0.555,0.962,1.611,2.550,3.829,5.456,7.356,9.569,11.868,14.090,16.053,17.518,17.518,17.518,17.518,17.518,17.518,17.518,17.518,17.518,17.518,17.518
CAMB_01,0.151,0.152,0.153,0.153,0.172,0.207,0.273,0.381,0.568,0.869,1.343,2.032,2.971,4.168,5.567,7.196,8.890,10.528,11.976,13.055,13.052,13.051,13.052,13.052,13.053,13.054,13.055,13.056,13.057,13.052
CANTN1;RICH1;RICH_J,1.983,1.994,2.004,2.008,2.170,2.454,2.984,3.862,5.379,7.823,11.628,17.172,24.747,34.403,45.693,58.837,72.523,85.754,97.443,106.160,106.126,106.113,106.116,106.119,106.129,106.140,106.155,106.172,106.191,106.118
CAPEA1,0.897,0.902,0.906,0.909,0.978,1.109,1.349,1.745,2.430,3.533,5.251,7.753,11.172,15.531,20.627,26.560,32.738,38.710,43.987,47.922,47.906,47.900,47.901,47.903,47.908,47.913,47.919,47.927,47.936,47.902
CARE_1,0.005,0.005,0.005,0.005,0.070,0.196,0.429,0.818,1.493,2.583,4.321,6.839,10.265,14.625,19.717,25.646,31.806,37.761,43.022,46.946,46.946,46.946,46.946,46.946,46.946,46.946,46.946,46.946,46.946,46.946
CARR_1,0.002,0.002,0.002,0.002,0.106,0.294,0.651,1.246,2.279,3.948,6.608,10.461,15.706,22.380,30.174,39.248,48.678,57.792,65.845,71.850,71.850,71.850,71.850,71.850,71.850,71.850,71.850,71.850,71.850,71.850
CASS_P,0.000,0.000,0.000,0.000,0.005,0.016,0.036,0.069,0.126,0.219,0.367,0.580,0.872,1.242,1.674,2.178,2.701,3.207,3.654,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987
CATY,0.000,0.000,0.000,0.000,0.010,0.029,0.065,0.124,0.228,0.395,0.661,1.046,1.571,2.238,3.017,3.925,4.868,5.779,6.585,7.185,7.185,7.185,7.185,7.185,7.185,7.185,7.185,7.185,7.185,7.185
CEAN_P,0.000,0.000,0.000,0.000,0.001,0.004,0.009,0.018,0.032,0.056,0.094,0.148,0.223,0.317,0.428,0.557,0.690,0.820,0.934,1.019,1.019,1.019,1.019,1.019,1.019,1.019,1.019,1.019,1.019,1.019
CELL_1,3.649,3.670,3.687,3.697,3.992,4.555,5.579,7.272,10.201,14.922,22.277,32.994,47.629,66.287,88.101,113.495,139.936,165.496,188.080,204.920,204.856,204.834,204.838,204.845,204.862,204.884,204.911,204.942,204.977,204.842
CHAP,1.674,1.684,1.692,1.696,1.721,1.767,1.841,1.959,2.159,2.477,2.906,3.555,4.461,5.632,7.009,8.612,10.301,11.935,13.378,14.454,14.425,14.415,14.417,14.420,14.428,14.438,14.450,14.465,14.481,14.418
CHAR_P,0.000,0.000,0.000,0.000,0.007,0.019,0.043,0.082,0.150,0.260,0.436,0.690,1.036,1.476,1.990,2.589,3.211,3.812,4.344,4.740,4.740,4.740,4.740,4.740,4.740,4.740,4.740,4.740,4.740,4.740
CHAS,0.000,0.000,0.000,0.000,0.011,0.030,0.067,0.129,0.236,0.408,0.683,1.082,1.625,2.315,3.122,4.061,5.036,5.979,6.813,7.434,7.434,7.434,7.434,7.434,7.434,7.434,7.434,7.434,7.434,7.434
CHIC_1,2.713,2.729,2.742,2.749,2.803,2.893,3.049,3.301,3.729,4.412,5.376,6.817,8.816,11.386,14.405,17.917,21.607,25.175,28.327,30.677,30.630,30.613,30.616,30.621,30.634,30.650,30.670,30.694,30.720,30.619
CHSI_1,1.260,1.268,1.274,1.277,1.428,1.606,1.999,2.651,3.778,5.595,8.432,12.564,18.205,25.395,33.800,43.585,53.771,63.617,72.317,78.804,78.782,78.774,78.776,78.778,78.784,78.792,78.801,78.812,78.824,78.777
