Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,59.171,64.123,70.490,78.979,96.664,114.349,132.035,149.720,167.405,185.091,204.191,223.291,242.391,261.492,280.592,299.692,318.792,337.892,356.992,376.800,396.608,416.415,436.223,456.030,475.838,495.646,515.453,535.261,555.068,574.876
ABNE_P,5.235,5.673,6.236,6.987,8.552,10.117,11.681,13.246,14.811,16.375,18.065,19.755,21.445,23.135,24.825,26.514,28.204,29.894,31.584,33.336,35.089,36.841,38.593,40.346,42.098,43.851,45.603,47.356,49.108,50.860
ABTH_1,11.852,12.844,14.119,15.820,19.362,22.905,26.447,29.989,33.532,37.074,40.900,44.726,48.552,52.378,56.204,60.029,63.855,67.681,71.507,75.474,79.442,83.409,87.377,91.345,95.312,99.280,103.247,107.215,111.182,115.150
ACTL_2;CBNK_H;GREE_H;PERI_H,3.118,3.379,3.715,4.162,5.094,6.026,6.958,7.890,8.822,9.754,10.761,11.767,12.774,13.780,14.787,15.793,16.800,17.806,18.813,19.857,20.901,21.944,22.988,24.032,25.076,26.120,27.164,28.207,29.251,30.295
ALNE_P,1.943,2.105,2.314,2.593,3.173,3.754,4.335,4.915,5.496,6.077,6.704,7.331,7.958,8.585,9.212,9.839,10.466,11.093,11.720,12.370,13.021,13.671,14.321,14.971,15.622,16.272,16.922,17.573,18.223,18.873
ALVE1,51.007,55.275,60.763,68.081,83.326,98.571,113.816,129.062,144.307,159.552,176.016,192.481,208.946,225.411,241.875,258.340,274.805,291.269,307.734,324.809,341.883,358.958,376.032,393.107,410.181,427.256,444.330,461.405,478.479,495.554
AMEM_1,5.705,6.183,6.797,7.615,9.320,11.026,12.731,14.436,16.141,17.846,19.688,21.530,23.371,25.213,27.054,28.896,30.738,32.579,34.421,36.331,38.241,40.151,42.060,43.970,45.880,47.790,49.700,51.610,53.519,55.429
ARBR_P,5.155,5.586,6.141,6.881,8.421,9.962,11.503,13.043,14.584,16.125,17.789,19.453,21.117,22.781,24.445,26.109,27.773,29.437,31.101,32.826,34.552,36.277,38.003,39.729,41.454,43.180,44.905,46.631,48.357,50.082
ARDK_P;CLAC_P,0.186,0.202,0.222,0.248,0.304,0.359,0.415,0.471,0.526,0.582,0.642,0.702,0.762,0.822,0.882,0.942,1.002,1.062,1.122,1.185,1.247,1.309,1.371,1.434,1.496,1.558,1.620,1.683,1.745,1.807
ARMO_P,1.312,1.421,1.563,1.751,2.143,2.535,2.927,3.319,3.711,4.103,4.526,4.950,5.373,5.797,6.220,6.644,7.067,7.490,7.914,8.353,8.792,9.231,9.670,10.109,10.548,10.987,11.427,11.866,12.305,12.744
AXMI1,29.337,31.792,34.949,39.157,47.926,56.694,65.462,74.231,82.999,91.767,101.237,110.707,120.177,129.647,139.117,148.586,158.056,167.526,176.996,186.816,196.637,206.457,216.278,226.098,235.919,245.740,255.560,265.381,275.201,285.022
AYRR,1.258,1.364,1.499,1.680,2.056,2.432,2.808,3.184,3.560,3.936,4.342,4.748,5.155,5.561,5.967,6.373,6.779,7.186,7.592,8.013,8.434,8.855,9.277,9.698,10.119,10.540,10.961,11.383,11.804,12.225
BAGA,3.460,3.750,4.122,4.619,5.653,6.687,7.722,8.756,9.790,10.824,11.941,13.058,14.175,15.292,16.409,17.526,18.643,19.760,20.877,22.036,23.194,24.353,25.511,26.669,27.828,28.986,30.145,31.303,32.461,33.620
BAIN,1.015,1.100,1.209,1.355,1.658,1.962,2.265,2.569,2.872,3.175,3.503,3.831,4.158,4.486,4.814,5.141,5.469,5.797,6.124,6.464,6.804,7.144,7.484,7.823,8.163,8.503,8.843,9.183,9.523,9.862
BARKC1;BARKW3,11.366,12.317,13.540,15.171,18.568,21.965,25.363,28.760,32.157,35.554,39.223,42.892,46.561,50.230,53.899,57.568,61.237,64.906,68.575,72.380,76.184,79.989,83.794,87.599,91.404,95.209,99.013,102.818,106.623,110.428
BEAU_P;ORRI_P,3.143,3.406,3.744,4.195,5.134,6.073,7.012,7.952,8.891,9.830,10.845,11.859,12.873,13.888,14.902,15.917,16.931,17.945,18.960,20.012,21.064,22.116,23.168,24.220,25.272,26.324,27.376,28.428,29.480,30.532
BEDDT1,3.274,3.548,3.900,4.370,5.348,6.327,7.305,8.284,9.262,10.241,11.298,12.354,13.411,14.468,15.525,16.582,17.638,18.695,19.752,20.848,21.944,23.040,24.136,25.232,26.328,27.424,28.520,29.615,30.711,31.807
BEDD_1,13.944,15.111,16.612,18.612,22.780,26.948,31.115,35.283,39.451,43.619,48.120,52.621,57.122,61.623,66.125,70.626,75.127,79.628,84.129,88.797,93.465,98.133,102.801,107.469,112.136,116.804,121.472,126.140,130.808,135.476
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,4.080,4.421,4.860,5.446,6.665,7.884,9.104,10.323,11.542,12.762,14.079,15.396,16.713,18.030,19.347,20.664,21.980,23.297,24.614,25.980,27.346,28.712,30.077,31.443,32.809,34.174,35.540,36.906,38.272,39.637
BERW,4.364,4.730,5.199,5.825,7.130,8.434,9.739,11.043,12.348,13.652,15.061,16.470,17.879,19.287,20.696,22.105,23.514,24.923,26.331,27.792,29.253,30.714,32.175,33.636,35.097,36.558,38.019,39.480,40.941,42.402
