Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.333,0.781,1.260,1.842,2.683,3.857,5.233,6.825,8.625,10.637,12.916,15.459,18.231,21.233,24.463,27.930,31.650,35.575,39.723,44.156,48.853,53.802,58.985,64.395,70.043,75.929,82.052,88.413,95.012,101.848
ABNE_P,0.029,0.069,0.111,0.163,0.237,0.341,0.463,0.604,0.763,0.941,1.143,1.368,1.613,1.879,2.164,2.471,2.800,3.147,3.514,3.907,4.322,4.760,5.219,5.697,6.197,6.718,7.259,7.822,8.406,9.011
ABTH_1,0.067,0.156,0.252,0.369,0.537,0.773,1.048,1.367,1.728,2.131,2.587,3.096,3.652,4.253,4.900,5.595,6.340,7.126,7.957,8.845,9.785,10.777,11.815,12.899,14.030,15.209,16.435,17.709,19.031,20.401
ACTL_2;CBNK_H;GREE_H;PERI_H,0.018,0.041,0.066,0.097,0.141,0.203,0.276,0.360,0.455,0.561,0.681,0.815,0.961,1.119,1.289,1.472,1.668,1.875,2.093,2.327,2.574,2.835,3.108,3.394,3.691,4.001,4.324,4.659,5.007,5.367
ALNE_P,0.011,0.026,0.041,0.060,0.088,0.127,0.172,0.224,0.283,0.349,0.424,0.508,0.599,0.697,0.803,0.917,1.039,1.168,1.304,1.450,1.604,1.766,1.936,2.114,2.300,2.493,2.694,2.903,3.119,3.344
ALVE1,0.287,0.673,1.086,1.588,2.313,3.325,4.511,5.883,7.435,9.170,11.134,13.326,15.716,18.303,21.088,24.076,27.283,30.666,34.242,38.063,42.112,46.378,50.846,55.510,60.379,65.452,70.730,76.214,81.902,87.795
AMEM_1,0.032,0.075,0.121,0.178,0.259,0.372,0.505,0.658,0.832,1.026,1.245,1.491,1.758,2.047,2.359,2.693,3.052,3.430,3.830,4.257,4.710,5.188,5.687,6.209,6.754,7.321,7.911,8.525,9.161,9.820
ARBR_P,0.029,0.068,0.110,0.160,0.234,0.336,0.456,0.595,0.751,0.927,1.125,1.347,1.588,1.850,2.131,2.433,2.757,3.099,3.461,3.847,4.256,4.687,5.139,5.610,6.102,6.615,7.148,7.702,8.277,8.873
ARDK_P;CLAC_P,0.001,0.002,0.004,0.006,0.008,0.012,0.016,0.021,0.027,0.033,0.041,0.049,0.057,0.067,0.077,0.088,0.099,0.112,0.125,0.139,0.154,0.169,0.185,0.202,0.220,0.239,0.258,0.278,0.299,0.320
ARMO_P,0.007,0.017,0.028,0.041,0.059,0.086,0.116,0.151,0.191,0.236,0.286,0.343,0.404,0.471,0.542,0.619,0.702,0.789,0.881,0.979,1.083,1.193,1.308,1.428,1.553,1.683,1.819,1.960,2.106,2.258
