Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,76.592,76.914,78.711,80.140,81.569,82.675,83.689,84.103,84.472,85.578,86.500,87.421,88.527,89.449,90.140,90.647,90.970,91.154,91.338,91.477,91.891,92.306,92.767,93.090,93.320,93.643,93.919,94.150,94.380,94.472
ABNE_P,7.358,7.389,7.561,7.699,7.836,7.942,8.040,8.079,8.115,8.221,8.310,8.398,8.504,8.593,8.659,8.708,8.739,8.757,8.775,8.788,8.828,8.867,8.912,8.943,8.965,8.996,9.022,9.045,9.067,9.076
ABTH_1,57.066,57.306,58.645,59.710,60.774,61.598,62.353,62.662,62.937,63.761,64.448,65.135,65.959,66.645,67.160,67.538,67.778,67.916,68.053,68.156,68.465,68.774,69.117,69.358,69.530,69.770,69.976,70.148,70.319,70.388
ACTL_2;CBNK_H;GREE_H;PERI_H,36.567,36.721,37.579,38.260,38.943,39.471,39.954,40.152,40.329,40.856,41.297,41.737,42.265,42.704,43.034,43.277,43.431,43.520,43.608,43.673,43.871,44.069,44.289,44.442,44.553,44.707,44.839,44.950,45.059,45.104
ALNE_P,6.198,6.224,6.369,6.485,6.600,6.690,6.772,6.806,6.835,6.925,6.999,7.074,7.164,7.238,7.294,7.335,7.361,7.376,7.391,7.402,7.436,7.469,7.507,7.533,7.551,7.577,7.600,7.619,7.637,7.645
ALVE1,70.791,71.089,72.750,74.070,75.391,76.413,77.350,77.734,78.074,79.097,79.948,80.800,81.823,82.674,83.313,83.782,84.080,84.250,84.421,84.549,84.932,85.315,85.741,86.039,86.252,86.550,86.806,87.019,87.232,87.317
AMEM_1,20.213,20.299,20.773,21.150,21.527,21.819,22.086,22.196,22.293,22.585,22.828,23.071,23.363,23.607,23.789,23.923,24.008,24.057,24.105,24.142,24.251,24.361,24.482,24.567,24.628,24.713,24.786,24.847,24.908,24.932
ARBR_P,6.729,6.757,6.915,7.040,7.166,7.263,7.352,7.388,7.421,7.518,7.599,7.680,7.777,7.858,7.919,7.963,7.992,8.008,8.024,8.036,8.073,8.109,8.150,8.178,8.198,8.226,8.251,8.271,8.291,8.299
ARDK_P;CLAC_P,0.752,0.756,0.773,0.787,0.801,0.812,0.822,0.826,0.830,0.841,0.850,0.859,0.870,0.879,0.885,0.890,0.894,0.895,0.897,0.899,0.903,0.907,0.911,0.914,0.917,0.920,0.923,0.925,0.927,0.928
ARMO_P,5.702,5.726,5.860,5.966,6.072,6.155,6.230,6.261,6.288,6.371,6.439,6.508,6.590,6.659,6.710,6.748,6.772,6.786,6.800,6.810,6.841,6.872,6.906,6.930,6.947,6.971,6.992,7.009,7.026,7.033
