Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.445,1.888,2.523,3.438,4.708,6.515,8.997,12.405,17.013,20.996,25.143,29.832,35.035,40.661,46.569,53.523,60.763,67.763,74.528,80.788,86.734,92.554,98.162,103.432,108.608,112.152,114.431,115.167,115.912,116.697
ABNE_P,0.171,0.220,0.286,0.377,0.496,0.658,0.868,1.145,1.502,1.854,2.220,2.634,3.093,3.590,4.111,4.725,5.365,5.982,6.580,7.132,7.657,8.171,8.666,9.131,9.588,9.901,10.102,10.167,10.233,10.302
ABTH_1,0.625,0.813,1.080,1.462,1.985,2.722,3.726,5.094,6.929,8.551,10.240,12.150,14.269,16.561,18.967,21.799,24.748,27.599,30.354,32.904,35.325,37.695,39.980,42.126,44.234,45.678,46.606,46.905,47.209,47.529
ACTL_2;CBNK_H;GREE_H;PERI_H,0.800,0.992,1.220,1.484,1.756,2.024,2.244,2.364,2.304,2.840,3.400,4.036,4.740,5.500,6.300,7.240,8.220,9.168,10.084,10.932,11.736,12.524,13.280,13.992,14.696,15.176,15.484,15.580,15.684,15.788
ALNE_P,0.026,0.034,0.047,0.065,0.091,0.129,0.182,0.256,0.358,0.442,0.530,0.628,0.738,0.856,0.981,1.127,1.280,1.427,1.569,1.701,1.826,1.949,2.067,2.178,2.287,2.362,2.410,2.425,2.441,2.457
ALVE1,2.318,2.999,3.946,5.273,7.057,9.530,12.838,17.274,23.141,28.559,34.200,40.577,47.654,55.306,63.342,72.801,82.649,92.170,101.371,109.886,117.974,125.890,133.518,140.686,147.727,152.547,155.646,156.647,157.662,158.729
AMEM_1,1.014,1.275,1.599,2.001,2.465,3.013,3.614,4.258,4.909,6.058,7.255,8.608,10.109,11.733,13.437,15.444,17.533,19.553,21.505,23.311,25.027,26.706,28.324,29.845,31.338,32.361,33.018,33.231,33.446,33.672
ARBR_P,0.041,0.053,0.070,0.095,0.129,0.177,0.242,0.331,0.449,0.555,0.664,0.788,0.926,1.074,1.230,1.414,1.605,1.790,1.969,2.134,2.291,2.445,2.593,2.732,2.869,2.963,3.023,3.042,3.062,3.083
ARDK_P;CLAC_P,0.013,0.017,0.023,0.031,0.042,0.057,0.079,0.108,0.147,0.182,0.218,0.258,0.303,0.352,0.403,0.463,0.526,0.586,0.644,0.699,0.750,0.800,0.849,0.895,0.939,0.970,0.990,0.996,1.002,1.009
ARMO_P,0.060,0.081,0.114,0.165,0.241,0.356,0.521,0.758,1.091,1.346,1.612,1.913,2.246,2.607,2.986,3.431,3.896,4.344,4.778,5.179,5.561,5.934,6.293,6.631,6.963,7.190,7.336,7.383,7.431,7.482
AXMI1,1.116,1.449,1.916,2.577,3.475,4.732,6.429,8.725,11.787,14.547,17.420,20.668,24.273,28.171,32.264,37.082,42.098,46.948,51.635,55.972,60.091,64.124,68.009,71.660,75.246,77.702,79.280,79.790,80.307,80.850
