Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,6.351,8.256,10.252,12.066,13.972,16.842,19.879,23.652,28.069,33.315,36.858,42.325,48.409,55.023,61.901,64.115,72.150,81.168,91.499,101.502,104.666,113.710,122.291,130.407,137.210,138.049,145.194,153.529,162.757,172.655
ABNE_P,0.387,0.503,0.625,0.736,0.852,1.164,1.374,1.634,1.940,2.302,2.847,3.269,3.739,4.250,4.781,5.288,5.951,6.695,7.547,8.372,8.779,9.537,10.257,10.938,11.508,11.417,12.008,12.698,13.461,14.279
ABTH_1,2.854,3.710,4.607,5.422,6.278,7.796,9.202,10.949,12.993,15.422,18.030,20.704,23.680,26.915,30.279,32.601,36.687,41.272,46.525,51.611,57.034,61.963,66.638,71.061,74.768,80.547,84.716,89.579,94.963,100.738
ACTL_2;CBNK_H;GREE_H;PERI_H,1.719,2.235,2.776,3.267,3.783,4.259,5.027,5.981,7.098,8.425,9.322,10.705,12.243,13.916,15.655,17.709,19.929,22.420,25.274,28.037,31.476,34.196,36.776,39.218,41.264,44.590,46.898,49.590,52.571,55.768
ALNE_P,0.370,0.481,0.597,0.703,0.814,0.879,1.038,1.235,1.466,1.740,1.818,2.088,2.388,2.714,3.054,2.999,3.375,3.797,4.280,4.748,4.526,4.917,5.288,5.639,5.933,5.530,5.816,6.150,6.520,6.916
ALVE1,3.819,4.965,6.165,7.257,8.402,10.129,11.955,14.224,16.881,20.036,22.167,25.454,29.113,33.091,37.227,38.559,43.391,48.815,55.028,61.043,62.946,68.386,73.546,78.427,82.518,83.023,87.320,92.332,97.882,103.835
AMEM_1,2.919,3.794,4.711,5.545,6.421,7.303,8.620,10.257,12.172,14.447,16.250,18.660,21.342,24.258,27.290,31.308,35.232,39.636,44.681,49.565,55.726,60.542,65.110,69.431,73.053,78.766,82.843,87.598,92.864,98.511
ARBR_P,0.664,0.863,1.072,1.261,1.460,1.995,2.355,2.802,3.325,3.947,4.881,5.605,6.410,7.286,8.197,9.066,10.202,11.477,12.938,14.352,15.050,16.350,17.584,18.751,19.729,19.574,20.587,21.769,23.077,24.480
ARDK_P;CLAC_P,0.038,0.049,0.061,0.072,0.083,0.084,0.099,0.118,0.140,0.166,0.163,0.187,0.214,0.243,0.274,0.255,0.287,0.323,0.364,0.404,0.367,0.399,0.429,0.457,0.481,0.433,0.456,0.482,0.511,0.542
ARMO_P,0.540,0.703,0.873,1.027,1.189,1.470,1.735,2.064,2.450,2.907,3.374,3.875,4.432,5.037,5.667,6.016,6.770,7.617,8.586,9.524,9.678,10.515,11.308,12.058,12.687,12.342,12.980,13.725,14.550,15.435
AXMI1,3.311,4.304,5.344,6.290,7.283,8.324,9.825,11.690,13.873,16.466,18.213,20.915,23.921,27.189,30.588,32.929,37.056,41.688,46.993,52.131,55.940,60.773,65.359,69.697,73.333,76.229,80.174,84.776,89.872,95.337
AYRR,0.844,1.097,1.363,1.604,1.857,2.672,3.154,3.753,4.454,5.286,6.719,7.715,8.824,10.030,11.284,12.686,14.276,16.060,18.104,20.083,21.286,23.126,24.871,26.521,27.905,27.857,29.299,30.981,32.843,34.840
BAGA,0.692,0.900,1.117,1.315,1.523,2.196,2.592,3.084,3.660,4.344,5.529,6.349,7.262,8.254,9.286,10.450,11.759,13.229,14.913,16.543,17.546,19.062,20.501,21.862,23.002,22.973,24.162,25.549,27.085,28.732
BAIN,0.463,0.602,0.747,0.879,1.018,1.469,1.733,2.062,2.448,2.905,3.697,4.246,4.856,5.520,6.210,6.988,7.863,8.846,9.972,11.062,11.733,12.747,13.709,14.619,15.381,15.362,16.157,17.084,18.111,19.213
BARKC1;BARKW3,3.977,5.171,6.421,7.557,8.750,9.666,11.409,13.575,16.110,19.122,21.198,24.342,27.841,31.645,35.601,40.593,45.679,51.390,57.930,64.263,72.034,78.258,84.163,89.749,94.431,101.804,107.072,113.218,120.024,127.322
BEAU_P;ORRI_P,0.405,0.527,0.654,0.770,0.892,1.102,1.301,1.548,1.837,2.181,2.531,2.906,3.324,3.778,4.250,4.512,5.078,5.712,6.439,7.143,7.258,7.886,8.481,9.044,9.515,9.256,9.735,10.294,10.913,11.576
BEDDT1,4.188,5.444,6.760,7.957,9.213,10.790,12.735,15.153,17.983,21.344,24.317,27.923,31.937,36.300,40.838,47.302,53.230,59.884,67.505,74.885,84.272,91.554,98.463,104.998,110.475,119.154,125.320,132.515,140.480,149.023
BEDD_1,7.520,9.777,12.140,14.289,16.545,19.376,22.870,27.211,32.293,38.328,43.666,50.143,57.351,65.186,73.334,84.943,95.588,107.536,121.223,134.474,151.332,164.408,176.814,188.550,198.385,213.970,225.043,237.962,252.266,267.607
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.576,0.749,0.930,1.095,1.267,1.567,1.849,2.200,2.611,3.099,3.596,4.130,4.723,5.369,6.040,6.412,7.216,8.118,9.151,10.152,10.315,11.207,12.052,12.852,13.523,13.154,13.835,14.629,15.508,16.451
BERW,0.330,0.429,0.533,0.627,0.727,1.046,1.234,1.468,1.743,2.068,2.629,3.019,3.453,3.924,4.415,4.963,5.585,6.283,7.083,7.857,8.328,9.048,9.730,10.376,10.918,10.899,11.463,12.121,12.850,13.631
BESW_1,4.240,5.512,6.845,8.056,9.328,10.421,12.300,14.635,17.368,20.614,22.919,26.319,30.102,34.214,38.491,43.047,48.441,54.496,61.432,68.148,75.716,82.259,88.466,94.338,99.259,106.127,111.619,118.027,125.121,132.730
BICF_1,2.783,3.617,4.492,5.287,6.122,7.516,8.871,10.555,12.526,14.867,16.552,19.007,21.739,24.709,27.797,28.278,31.822,35.800,40.356,44.768,45.921,49.889,53.654,57.215,60.200,60.315,63.437,67.078,71.110,75.435
BIRK_1,3.215,4.180,5.191,6.109,7.074,8.392,9.905,11.785,13.986,16.600,19.864,22.810,26.089,29.653,33.360,38.080,42.852,48.209,54.344,60.285,67.058,72.853,78.350,83.550,87.908,91.665,96.409,101.944,108.071,114.644
BISW_1,8.143,10.586,13.145,15.472,17.915,20.250,23.901,28.438,33.750,40.057,44.564,51.174,58.530,66.526,74.842,81.989,92.263,103.796,117.007,129.798,142.333,154.632,166.301,177.338,186.589,197.375,207.589,219.506,232.700,246.851
BLYTB1,1.657,2.154,2.674,3.148,3.645,4.554,5.375,6.395,7.589,9.008,10.873,12.485,14.280,16.231,18.260,20.389,22.944,25.812,29.097,32.277,35.128,38.164,41.043,43.768,46.051,47.139,49.578,52.424,55.576,58.955
BLYTH132,1.081,1.405,1.745,2.053,2.377,2.970,3.506,4.171,4.951,5.876,7.092,8.144,9.315,10.588,11.911,13.300,14.966,16.837,18.980,21.055,22.915,24.895,26.773,28.550,30.039,30.749,32.341,34.197,36.253,38.457
BOAG_P,0.229,0.298,0.370,0.436,0.505,0.624,0.736,0.876,1.040,1.234,1.432,1.645,1.881,2.138,2.406,2.554,2.874,3.233,3.645,4.043,4.109,4.464,4.801,5.119,5.386,5.239,5.511,5.827,6.177,6.553
BOLN_1,11.299,14.689,18.240,21.469,24.858,28.078,33.141,39.432,46.796,55.542,61.622,70.762,80.934,91.991,103.490,114.747,129.127,145.268,163.757,181.659,199.183,216.395,232.724,248.170,261.115,276.455,290.762,307.454,325.934,345.755
BONN,1.151,1.496,1.857,2.186,2.531,3.650,4.309,5.127,6.084,7.221,9.191,10.554,12.071,13.720,15.435,17.369,19.546,21.989,24.788,27.497,29.165,31.685,34.076,36.338,38.233,38.185,40.162,42.467,45.020,47.757
