Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,69.715,68.665,68.965,69.649,70.205,70.333,70.376,69.905,69.434,69.865,70.206,70.547,71.020,71.488,71.961,72.386,72.901,73.416,74.011,74.740,75.553,76.366,77.307,78.333,79.359,80.470,81.666,83.038,84.490,85.856
ABNE_P,16.223,15.986,16.055,16.213,16.342,16.372,16.381,16.273,16.164,16.263,16.342,16.421,16.530,16.639,16.747,16.846,16.965,17.084,17.222,17.390,17.578,17.766,17.984,18.221,18.459,18.716,18.993,19.309,19.646,19.962
ABTH_1,51.942,51.160,51.383,51.893,52.307,52.403,52.434,52.084,51.733,52.054,52.308,52.562,52.915,53.263,53.616,53.932,54.316,54.700,55.143,55.686,56.292,56.897,57.599,58.363,59.127,59.955,60.847,61.869,62.951,63.969
ACTL_2;CBNK_H;GREE_H;PERI_H,33.283,32.782,32.926,33.252,33.517,33.579,33.599,33.375,33.149,33.355,33.517,33.681,33.907,34.130,34.356,34.559,34.805,35.051,35.335,35.682,36.070,36.459,36.907,37.397,37.888,38.419,38.989,39.644,40.338,40.989
ALNE_P,13.665,13.465,13.524,13.657,13.765,13.790,13.799,13.707,13.615,13.699,13.765,13.832,13.924,14.015,14.107,14.190,14.290,14.390,14.507,14.648,14.807,14.965,15.148,15.348,15.548,15.765,15.998,16.265,16.548,16.815
ALVE1,64.435,63.465,63.742,64.374,64.888,65.006,65.046,64.611,64.175,64.574,64.889,65.204,65.641,66.074,66.511,66.904,67.380,67.856,68.406,69.079,69.831,70.582,71.452,72.400,73.348,74.375,75.481,76.749,78.091,79.354
AMEM_1,18.398,18.122,18.201,18.381,18.528,18.562,18.573,18.449,18.324,18.438,18.528,18.618,18.743,18.867,18.991,19.104,19.240,19.375,19.532,19.725,19.939,20.154,20.402,20.673,20.944,21.237,21.553,21.915,22.298,22.658
ARBR_P,14.836,14.618,14.682,14.826,14.944,14.971,14.980,14.881,14.781,14.872,14.944,15.016,15.116,15.215,15.315,15.405,15.514,15.623,15.749,15.903,16.075,16.247,16.446,16.663,16.880,17.115,17.368,17.658,17.965,18.255
ARDK_P;CLAC_P,1.659,1.635,1.642,1.658,1.671,1.674,1.675,1.664,1.653,1.663,1.671,1.679,1.690,1.701,1.712,1.723,1.735,1.747,1.761,1.778,1.797,1.817,1.839,1.863,1.887,1.914,1.942,1.974,2.009,2.041
ARMO_P,12.572,12.388,12.442,12.564,12.664,12.687,12.695,12.610,12.526,12.603,12.664,12.725,12.810,12.894,12.978,13.055,13.147,13.239,13.346,13.476,13.622,13.768,13.936,14.120,14.304,14.504,14.718,14.964,15.224,15.470
AXMI1,46.591,45.889,46.090,46.547,46.918,47.004,47.032,46.718,46.403,46.691,46.919,47.147,47.463,47.776,48.092,48.376,48.720,49.064,49.462,49.949,50.492,51.036,51.665,52.350,53.036,53.778,54.578,55.495,56.465,57.378
AYRR,21.420,21.107,21.198,21.407,21.577,21.616,21.629,21.486,21.342,21.473,21.577,21.682,21.825,21.969,22.113,22.243,22.400,22.557,22.740,22.962,23.210,23.458,23.745,24.059,24.372,24.712,25.078,25.496,25.940,26.358
BAGA,16.253,16.016,16.085,16.243,16.372,16.402,16.412,16.303,16.194,16.293,16.372,16.452,16.561,16.670,16.779,16.878,16.997,17.116,17.254,17.423,17.611,17.799,18.017,18.255,18.493,18.751,19.028,19.345,19.682,20.000
BAIN,7.253,7.147,7.178,7.249,7.306,7.319,7.324,7.275,7.226,7.271,7.306,7.341,7.390,7.439,7.487,7.532,7.585,7.638,7.700,7.775,7.859,7.943,8.040,8.146,8.252,8.367,8.491,8.633,8.783,8.925
BARKC1;BARKW3,95.887,94.443,94.855,95.797,96.561,96.737,96.796,96.149,95.501,96.094,96.563,97.031,97.682,98.326,98.977,99.562,100.269,100.978,101.797,102.798,103.917,105.035,106.329,107.741,109.151,110.679,112.325,114.212,116.209,118.088
BEAU_P;ORRI_P,12.773,12.586,12.641,12.765,12.867,12.890,12.898,12.812,12.726,12.804,12.867,12.929,13.015,13.100,13.186,13.264,13.357,13.451,13.560,13.692,13.840,13.988,14.159,14.346,14.533,14.736,14.954,15.203,15.468,15.717
BEDDT1,30.889,30.424,30.557,30.860,31.106,31.163,31.182,30.973,30.765,30.956,31.107,31.258,31.467,31.675,31.884,32.073,32.301,32.529,32.793,33.115,33.476,33.836,34.253,34.708,35.162,35.654,36.185,36.792,37.436,38.041
