Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,106.544,109.960,108.991,107.975,107.236,105.436,103.820,101.743,99.850,98.927,98.696,98.512,98.650,98.927,99.112,99.250,99.435,99.666,99.897,100.127,100.404,100.681,100.866,101.004,101.004,100.958,100.866,100.774,100.681,100.497
ABNE_P,19.354,19.974,19.798,19.614,19.480,19.154,18.861,18.484,18.141,17.974,17.932,17.899,17.924,17.974,18.007,18.032,18.066,18.108,18.150,18.191,18.242,18.292,18.325,18.350,18.350,18.342,18.325,18.309,18.292,18.258
ABTH_1,90.409,93.308,92.485,91.623,90.996,89.469,88.098,86.335,84.729,83.945,83.750,83.593,83.710,83.945,84.102,84.220,84.376,84.572,84.768,84.964,85.199,85.434,85.591,85.708,85.708,85.669,85.591,85.512,85.434,85.277
ACTL_2;CBNK_H;GREE_H;PERI_H,45.080,46.525,46.115,45.685,45.373,44.612,43.929,43.048,42.248,41.856,41.759,41.681,41.739,41.856,41.936,41.995,42.073,42.169,42.267,42.365,42.482,42.599,42.677,42.737,42.737,42.718,42.677,42.639,42.599,42.521
ALNE_P,10.548,10.885,10.789,10.689,10.616,10.438,10.279,10.073,9.886,9.795,9.772,9.754,9.768,9.795,9.813,9.827,9.845,9.868,9.891,9.914,9.941,9.968,9.987,10.000,10.000,9.996,9.987,9.978,9.968,9.950
ALVE1,88.517,91.356,90.550,89.706,89.093,87.597,86.255,84.529,82.956,82.189,81.998,81.844,81.959,82.189,82.343,82.458,82.611,82.803,82.995,83.186,83.417,83.647,83.800,83.915,83.915,83.877,83.800,83.723,83.647,83.493
AMEM_1,30.230,31.199,30.924,30.636,30.426,29.916,29.457,28.868,28.331,28.069,28.003,27.951,27.990,28.069,28.121,28.160,28.213,28.278,28.344,28.409,28.488,28.566,28.619,28.658,28.658,28.645,28.619,28.593,28.566,28.514
ARBR_P,10.723,11.066,10.969,10.867,10.793,10.612,10.450,10.241,10.051,9.958,9.935,9.916,9.930,9.958,9.977,9.991,10.009,10.032,10.056,10.079,10.107,10.134,10.153,10.167,10.167,10.162,10.153,10.144,10.134,10.116
ARDK_P;CLAC_P,1.216,1.254,1.243,1.232,1.223,1.203,1.185,1.161,1.139,1.129,1.126,1.124,1.126,1.129,1.131,1.133,1.135,1.137,1.140,1.142,1.146,1.149,1.151,1.152,1.152,1.152,1.151,1.150,1.149,1.147
ARMO_P,13.640,14.077,13.953,13.823,13.729,13.499,13.292,13.027,12.785,12.667,12.638,12.614,12.632,12.667,12.691,12.709,12.732,12.762,12.791,12.821,12.856,12.891,12.915,12.933,12.933,12.927,12.915,12.903,12.891,12.868
AXMI1,74.833,77.232,76.551,75.838,75.319,74.054,72.920,71.461,70.131,69.483,69.321,69.191,69.288,69.483,69.612,69.710,69.839,70.002,70.164,70.326,70.520,70.715,70.845,70.942,70.942,70.909,70.845,70.780,70.715,70.585
AYRR,12.844,13.255,13.139,13.016,12.927,12.710,12.515,12.265,12.037,11.925,11.898,11.875,11.892,11.925,11.948,11.964,11.987,12.015,12.042,12.070,12.104,12.137,12.159,12.176,12.176,12.170,12.159,12.148,12.137,12.115
BAGA,10.261,10.590,10.496,10.399,10.327,10.154,9.998,9.798,9.616,9.527,9.505,9.487,9.501,9.527,9.545,9.558,9.576,9.598,9.621,9.643,9.669,9.696,9.714,9.727,9.727,9.723,9.714,9.705,9.696,9.678
BAIN,5.665,5.847,5.795,5.741,5.702,5.606,5.520,5.410,5.309,5.260,5.248,5.238,5.245,5.260,5.270,5.277,5.287,5.299,5.312,5.324,5.339,5.353,5.363,5.371,5.371,5.368,5.363,5.358,5.353,5.344
BARKC1;BARKW3,133.578,137.861,136.646,135.372,134.446,132.190,130.164,127.559,125.187,124.029,123.740,123.508,123.681,124.029,124.260,124.434,124.665,124.955,125.244,125.533,125.881,126.228,126.459,126.634,126.634,126.575,126.459,126.344,126.228,125.996
BEAU_P;ORRI_P,10.049,10.371,10.279,10.184,10.114,9.945,9.793,9.597,9.419,9.332,9.311,9.293,9.306,9.332,9.350,9.363,9.380,9.402,9.423,9.445,9.471,9.497,9.515,9.528,9.528,9.523,9.515,9.506,9.497,9.480
BEDDT1,50.554,52.175,51.715,51.233,50.883,50.028,49.262,48.276,47.378,46.940,46.830,46.743,46.809,46.940,47.028,47.093,47.181,47.290,47.400,47.509,47.641,47.772,47.860,47.926,47.926,47.904,47.860,47.816,47.772,47.685
BEDD_1,215.565,222.476,220.515,218.460,216.966,213.323,210.054,205.851,202.022,200.154,199.687,199.313,199.593,200.154,200.527,200.808,201.181,201.648,202.115,202.582,203.143,203.703,204.077,204.357,204.357,204.263,204.077,203.890,203.703,203.329
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,13.705,14.144,14.019,13.889,13.794,13.563,13.356,13.089,12.846,12.728,12.698,12.674,12.692,12.728,12.751,12.769,12.793,12.822,12.852,12.882,12.917,12.953,12.976,12.994,12.994,12.988,12.976,12.965,12.953,12.929
BERW,7.220,7.451,7.386,7.317,7.267,7.145,7.035,6.895,6.766,6.704,6.688,6.676,6.685,6.704,6.716,6.726,6.738,6.754,6.769,6.785,6.804,6.823,6.835,6.844,6.844,6.841,6.835,6.829,6.823,6.810
BESW_1,116.754,120.498,119.436,118.323,117.513,115.540,113.770,111.493,109.419,108.408,108.155,107.952,108.104,108.408,108.610,108.762,108.964,109.217,109.470,109.723,110.026,110.330,110.532,110.684,110.684,110.633,110.532,110.431,110.330,110.128
BICF_1,55.619,57.402,56.896,56.366,55.980,55.040,54.197,53.112,52.124,51.642,51.522,51.425,51.498,51.642,51.739,51.811,51.907,52.028,52.148,52.269,52.414,52.558,52.654,52.727,52.727,52.703,52.654,52.606,52.558,52.462
BIRK_1,104.642,107.997,107.045,106.047,105.322,103.553,101.967,99.926,98.067,97.161,96.934,96.753,96.889,97.161,97.342,97.478,97.659,97.886,98.113,98.340,98.612,98.884,99.065,99.201,99.201,99.156,99.065,98.974,98.884,98.702
BISW_1,217.496,224.469,222.490,220.417,218.909,215.234,211.936,207.695,203.831,201.947,201.476,201.099,201.381,201.947,202.324,202.606,202.983,203.454,203.926,204.397,204.962,205.528,205.905,206.187,206.187,206.093,205.905,205.716,205.528,205.151
BLYTB1,261.112,269.484,267.108,264.619,262.809,258.396,254.437,249.346,244.707,242.445,241.879,241.426,241.766,242.445,242.897,243.237,243.689,244.255,244.820,245.386,246.065,246.744,247.196,247.536,247.536,247.423,247.196,246.970,246.744,246.291
BLYTH132,24.067,24.839,24.620,24.391,24.224,23.817,23.452,22.983,22.555,22.347,22.295,22.253,22.284,22.347,22.388,22.420,22.461,22.514,22.566,22.618,22.680,22.743,22.785,22.816,22.816,22.806,22.785,22.764,22.743,22.701
BOAG_P,6.293,6.495,6.437,6.378,6.334,6.228,6.133,6.010,5.899,5.844,5.831,5.820,5.828,5.844,5.855,5.863,5.874,5.888,5.901,5.915,5.931,5.948,5.959,5.967,5.967,5.964,5.959,5.953,5.948,5.937
