Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,83.170,83.920,84.980,86.390,88.120,89.840,92.900,96.610,101.630,108.290,117.090,127.820,138.200,152.230,161.320,168.500,167.840,167.180,170.390,171.000,175.450,179.870,184.250,188.600,192.920,197.210,201.460,205.680,209.860,214.020
ABNE_P,14.750,16.350,17.160,17.480,17.810,18.160,18.560,19.000,19.500,20.450,21.290,22.280,23.320,24.620,25.730,26.790,27.390,27.990,28.870,29.580,30.580,31.620,32.690,33.790,34.920,36.080,37.270,38.490,39.740,41.020
ABTH_1,60.610,61.150,61.930,62.010,62.120,62.220,62.410,62.630,62.930,63.340,63.870,64.510,65.140,65.990,66.540,66.970,66.930,66.890,67.080,67.120,67.390,67.660,67.920,68.180,68.450,68.700,68.960,69.220,69.470,69.720
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.000,0.000,0.200,0.400,0.640,1.040,1.520,2.200,3.080,4.240,5.640,7.000,8.880,10.040,11.000,10.920,10.840,11.240,11.320,11.920,12.520,13.080,13.640,14.240,14.800,15.360,15.920,16.440,17.000
ALNE_P,0.490,0.540,0.560,0.890,1.220,1.570,1.970,2.410,2.920,3.860,4.700,5.700,6.740,8.050,9.160,10.220,10.820,11.420,12.300,13.010,14.020,15.060,16.130,17.230,18.370,19.530,20.720,21.940,23.190,24.480
ALVE1,168.220,169.720,171.880,173.280,175.020,176.740,179.800,183.510,188.530,195.190,203.990,214.720,225.100,239.130,248.220,255.400,254.740,254.080,257.280,257.900,262.350,266.760,271.150,275.500,279.820,284.100,288.360,292.570,296.760,300.910
AMEM_1,35.470,35.790,36.240,36.300,36.370,36.440,36.560,36.710,36.910,37.180,37.540,37.970,38.390,38.950,39.320,39.610,39.580,39.550,39.680,39.710,39.890,40.060,40.240,40.420,40.590,40.760,40.930,41.100,41.270,41.440
ARBR_P,24.230,26.860,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190,28.190
ARDK_P;CLAC_P,0.000,0.000,0.000,0.320,0.660,1.010,1.400,1.850,2.350,3.290,4.130,5.140,6.170,7.480,8.590,9.650,10.260,10.860,11.730,12.440,13.460,14.500,15.570,16.660,17.800,18.960,20.150,21.380,22.630,23.910
ARMO_P,0.000,0.000,0.000,0.690,1.420,2.160,3.030,3.970,5.060,7.100,8.920,11.050,13.300,16.120,18.510,20.790,22.090,23.390,25.280,26.810,28.980,31.230,33.530,35.910,38.350,40.850,43.420,46.050,48.750,51.510
AXMI1,90.550,91.350,92.520,94.380,96.680,98.970,103.030,107.960,114.640,123.480,135.180,149.430,163.210,181.860,193.930,203.480,202.590,201.710,205.980,206.790,212.700,218.570,224.390,230.180,235.910,241.600,247.250,252.860,258.420,263.940
AYRR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BAGA,0.000,0.000,0.000,0.420,0.860,1.310,1.820,2.370,3.000,4.200,5.340,6.660,8.070,9.820,11.370,12.870,13.830,14.790,16.100,17.200,18.690,20.220,21.810,23.440,25.130,26.860,28.630,30.460,32.330,34.250
BAIN,0.000,0.000,0.000,0.420,0.860,1.310,1.820,2.370,3.000,4.200,5.340,6.660,8.070,9.820,11.370,12.870,13.830,14.790,16.100,17.200,18.690,20.220,21.810,23.440,25.130,26.860,28.630,30.460,32.330,34.250
BARKC1;BARKW3,2.590,2.610,2.640,2.770,2.920,3.080,3.360,3.700,4.150,4.760,5.550,6.520,7.460,8.740,9.560,10.210,10.150,10.090,10.380,10.440,10.840,11.240,11.640,12.030,12.420,12.810,13.200,13.580,13.960,14.330
BEAU_P;ORRI_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BEDDT1,0.000,0.000,0.000,0.070,0.160,0.250,0.410,0.600,0.860,1.210,1.660,2.220,2.750,3.480,3.950,4.320,4.290,4.250,4.420,4.450,4.680,4.910,5.140,5.360,5.590,5.810,6.030,6.250,6.460,6.680
