Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABNE_P,37.880,28.080,28.150,28.290,28.430,28.570,28.720,28.860,29.000,29.410,30.190,31.100,32.020,32.680,33.340,34.000,34.660,35.320,35.980,36.640,37.310,37.970,38.640,39.310,39.970,40.640,41.310,41.980,42.650,43.320
ALNE_P,14.150,10.490,10.520,10.570,10.630,10.680,10.730,10.790,10.840,10.990,11.280,11.620,11.960,12.210,12.460,12.700,12.950,13.200,13.450,13.690,13.940,14.190,14.440,14.690,14.940,15.190,15.440,15.690,15.940,16.190
ALVE1,128.490,135.350,135.690,136.370,137.050,137.740,138.420,139.120,139.810,141.740,145.520,149.930,154.330,157.510,160.690,163.870,167.060,170.250,173.440,176.640,179.840,183.050,186.260,189.470,192.690,195.910,199.130,202.360,205.590,208.830
ARBR_P,3.990,2.960,2.970,2.980,2.990,3.010,3.030,3.040,3.060,3.100,3.180,3.280,3.370,3.440,3.510,3.580,3.650,3.720,3.790,3.860,3.930,4.000,4.070,4.140,4.210,4.280,4.350,4.420,4.490,4.560
ARMO_P,32.250,23.910,23.970,24.090,24.210,24.330,24.450,24.580,24.700,25.040,25.710,26.490,27.260,27.830,28.390,28.950,29.510,30.080,30.640,31.210,31.770,32.340,32.900,33.470,34.040,34.610,35.180,35.750,36.320,36.890
BAGA,52.550,50.880,51.010,51.260,51.520,51.770,52.030,52.290,52.560,53.280,54.700,56.360,58.010,59.210,60.400,61.600,62.800,64.000,65.200,66.400,67.600,68.810,70.010,71.220,72.430,73.640,74.850,76.070,77.280,78.500
BEAU_P;ORRI_P,1.000,0.740,0.740,0.750,0.750,0.750,0.760,0.760,0.770,0.780,0.800,0.820,0.850,0.860,0.880,0.900,0.920,0.930,0.950,0.970,0.990,1.000,1.020,1.040,1.060,1.070,1.090,1.110,1.130,1.140
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,21.360,15.830,15.870,15.950,16.030,16.110,16.190,16.280,16.360,16.580,17.020,17.540,18.050,18.430,18.800,19.170,19.540,19.920,20.290,20.660,21.040,21.410,21.790,22.170,22.540,22.920,23.300,23.670,24.050,24.430
BERW,106.210,102.840,103.100,103.610,104.130,104.650,105.170,105.700,106.230,107.690,110.570,113.910,117.260,119.670,122.090,124.510,126.930,129.350,131.780,134.210,136.640,139.080,141.510,143.960,146.400,148.850,151.300,153.750,156.200,158.660
BICF_1,197.530,198.220,198.250,198.320,198.390,198.450,198.520,198.590,198.660,198.850,199.230,199.670,200.110,200.430,200.750,201.070,201.390,201.700,202.020,202.340,202.660,202.980,203.310,203.630,203.950,204.270,204.590,204.920,205.240,205.560
BISW_1,32.120,33.840,33.920,34.090,34.260,34.430,34.610,34.780,34.950,35.440,36.380,37.480,38.580,39.380,40.170,40.970,41.760,42.560,43.360,44.160,44.960,45.760,46.560,47.370,48.170,48.980,49.780,50.590,51.400,52.210
BLYTB1,93.960,96.560,96.690,96.950,97.200,97.460,97.720,97.990,98.250,98.980,100.410,102.080,103.750,104.950,106.150,107.360,108.570,109.780,110.990,112.200,113.410,114.620,115.840,117.060,118.270,119.490,120.710,121.940,123.160,124.390
BLYTH132,106.280,111.960,112.240,112.810,113.370,113.940,114.510,115.080,115.650,117.250,120.380,124.020,127.660,130.290,132.920,135.550,138.190,140.830,143.470,146.120,148.770,151.420,154.070,156.730,159.390,162.060,164.720,167.390,170.070,172.740
BONN,14.210,13.760,13.790,13.860,13.930,14.000,14.070,14.140,14.210,14.410,14.790,15.240,15.690,16.010,16.330,16.660,16.980,17.310,17.630,17.960,18.280,18.610,18.930,19.260,19.590,19.910,20.240,20.570,20.900,21.230
BRAW_1,22.380,23.570,23.630,23.750,23.870,23.990,24.110,24.230,24.350,24.680,25.340,26.110,26.880,27.430,27.980,28.540,29.090,29.650,30.200,30.760,31.320,31.880,32.440,33.000,33.560,34.120,34.680,35.240,35.800,36.370
BRFO_1;CLT03,52.670,54.850,54.950,55.170,55.390,55.600,55.820,56.040,56.260,56.870,58.070,59.460,60.860,61.860,62.870,63.880,64.880,65.890,66.910,67.920,68.930,69.950,70.960,71.980,73.000,74.020,75.040,76.060,77.080,78.110
BROA_P,9.500,7.040,7.060,7.100,7.130,7.170,7.200,7.240,7.270,7.380,7.570,7.800,8.030,8.200,8.360,8.530,8.690,8.860,9.020,9.190,9.360,9.520,9.690,9.860,10.030,10.190,10.360,10.530,10.700,10.870
BURM_1,30.590,32.220,32.310,32.470,32.630,32.790,32.960,33.120,33.290,33.750,34.650,35.690,36.740,37.500,38.260,39.010,39.770,40.530,41.290,42.050,42.820,43.580,44.340,45.110,45.870,46.640,47.410,48.180,48.950,49.720
BUSH_1,3.780,3.980,3.990,4.010,4.030,4.050,4.070,4.090,4.110,4.170,4.280,4.410,4.540,4.630,4.730,4.820,4.910,5.010,5.100,5.200,5.290,5.380,5.480,5.570,5.670,5.760,5.860,5.950,6.050,6.140
CAAD_P,35.360,26.210,26.280,26.410,26.540,26.680,26.810,26.940,27.080,27.450,28.180,29.040,29.890,30.510,31.120,31.740,32.360,32.970,33.590,34.210,34.830,35.450,36.070,36.700,37.320,37.940,38.570,39.190,39.820,40.440
CAMB_01,85.410,89.970,90.190,90.650,91.100,91.550,92.010,92.470,92.930,94.220,96.730,99.660,102.580,104.700,106.810,108.930,111.040,113.170,115.290,117.410,119.540,121.670,123.810,125.940,128.080,130.220,132.360,134.510,136.660,138.810
CANTN1;RICH1;RICH_J,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500,139.500
CARE_1,2.170,2.290,2.290,2.310,2.320,2.330,2.340,2.350,2.360,2.400,2.460,2.540,2.610,2.660,2.720,2.770,2.830,2.880,2.930,2.990,3.040,3.100,3.150,3.200,3.260,3.310,3.370,3.420,3.480,3.530
CHAP,22.950,22.220,22.270,22.390,22.500,22.610,22.720,22.840,22.950,23.270,23.890,24.610,25.330,25.860,26.380,26.900,27.420,27.950,28.470,29.000,29.520,30.050,30.570,31.100,31.630,32.160,32.690,33.220,33.750,34.280
CHAR_P,5.260,3.900,3.910,3.930,3.950,3.970,3.990,4.010,4.030,4.080,4.190,4.320,4.440,4.540,4.630,4.720,4.810,4.900,4.990,5.090,5.180,5.270,5.360,5.460,5.550,5.640,5.730,5.830,5.920,6.010
CHTE_1,20.170,21.250,21.300,21.410,21.510,21.620,21.730,21.840,21.950,22.250,22.840,23.540,24.230,24.730,25.220,25.720,26.220,26.730,27.230,27.730,28.230,28.740,29.240,29.740,30.250,30.750,31.260,31.770,32.270,32.780
CONQA1;SASA,176.660,180.930,181.140,181.560,181.980,182.410,182.840,183.270,183.700,184.900,187.250,189.980,192.720,194.690,196.670,198.640,200.620,202.610,204.590,206.580,208.570,210.560,212.550,214.550,216.550,218.550,220.550,222.550,224.560,226.570
COUA_P,36.480,27.040,27.110,27.250,27.380,27.520,27.660,27.800,27.930,28.320,29.080,29.960,30.840,31.470,32.110,32.740,33.380,34.020,34.650,35.290,35.930,36.570,37.210,37.860,38.500,39.140,39.790,40.430,41.080,41.720
COVE_1,86.440,91.060,91.290,91.750,92.210,92.670,93.130,93.600,94.070,95.360,97.910,100.870,103.830,105.970,108.110,110.250,112.400,114.540,116.690,118.840,121.000,123.150,125.310,127.470,129.640,131.810,133.970,136.150,138.320,140.500
COYL,38.740,37.510,37.600,37.790,37.980,38.170,38.360,38.550,38.740,39.280,40.330,41.550,42.770,43.650,44.530,45.410,46.290,47.180,48.060,48.950,49.840,50.720,51.610,52.500,53.390,54.290,55.180,56.070,56.970,57.870
CREB_1,133.890,141.050,141.400,142.110,142.820,143.530,144.250,144.970,145.690,147.710,151.650,156.230,160.820,164.130,167.450,170.760,174.080,177.410,180.740,184.070,187.410,190.750,194.090,197.440,200.790,204.150,207.510,210.870,214.240,217.610
CROO,23.820,23.060,23.120,23.240,23.350,23.470,23.590,23.710,23.820,24.150,24.800,25.550,26.300,26.840,27.380,27.920,28.470,29.010,29.560,30.100,30.650,31.190,31.740,32.290,32.830,33.380,33.930,34.480,35.030,35.580
CUMB,4.210,4.080,4.090,4.110,4.130,4.150,4.170,4.190,4.210,4.270,4.380,4.520,4.650,4.740,4.840,4.940,5.030,5.130,5.220,5.320,5.420,5.510,5.610,5.710,5.800,5.900,6.000,6.100,6.190,6.290
DEVM,1.890,1.830,1.840,1.850,1.860,1.870,1.880,1.890,1.900,1.920,1.970,2.030,2.090,2.130,2.180,2.220,2.260,2.310,2.350,2.390,2.440,2.480,2.520,2.570,2.610,2.660,2.700,2.740,2.790,2.830
DEVO,74.000,71.650,71.830,72.190,72.550,72.910,73.280,73.640,74.010,75.030,77.040,79.360,81.700,83.380,85.060,86.750,88.430,90.120,91.810,93.510,95.200,96.900,98.600,100.300,102.000,103.710,105.410,107.120,108.830,110.540
DOUN_P,5.260,3.900,3.910,3.930,3.950,3.970,3.990,4.010,4.030,4.090,4.190,4.320,4.450,4.540,4.630,4.720,4.820,4.910,5.000,5.090,5.180,5.280,5.370,5.460,5.550,5.650,5.740,5.830,5.930,6.020
DRAX_1,34.850,36.720,36.810,36.990,37.180,37.360,37.550,37.740,37.930,38.450,39.480,40.670,41.860,42.730,43.590,44.450,45.320,46.180,47.050,47.920,48.780,49.650,50.520,51.400,52.270,53.140,54.020,54.890,55.770,56.650
DUMF,20.210,19.570,19.620,19.720,19.810,19.910,20.010,20.110,20.210,20.490,21.040,21.680,22.310,22.770,23.230,23.690,24.150,24.610,25.080,25.540,26.000,26.460,26.930,27.390,27.860,28.320,28.790,29.260,29.720,30.190
