Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,3.116,3.105,3.106,3.106,3.108,3.109,3.110,3.111,3.112,3.114,3.116,3.120,3.255,3.338,3.533,3.805,4.210,4.745,5.484,6.430,7.642,9.148,11.009,13.261,15.932,18.754,21.999,25.670,29.740,34.128
ABNE_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.009,0.017,0.028,0.045,0.068,0.100,0.140,0.192,0.257,0.337,0.434,0.549,0.670,0.810,0.968,1.144,1.334
ABTH_1,1.946,1.939,1.939,1.940,1.941,1.942,1.942,1.943,1.943,1.945,1.946,1.948,1.991,2.018,2.080,2.166,2.292,2.459,2.687,2.979,3.351,3.814,4.384,5.073,5.889,6.752,7.743,8.863,10.106,11.444
ACTL_2;CBNK_H;GREE_H;PERI_H,0.385,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.385,0.385,0.385,0.385,0.406,0.419,0.452,0.494,0.559,0.644,0.765,0.916,1.110,1.352,1.653,2.016,2.446,2.900,3.423,4.014,4.669,5.376
ALNE_P,0.132,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.132,0.132,0.132,0.134,0.135,0.138,0.142,0.148,0.156,0.167,0.181,0.198,0.220,0.246,0.279,0.317,0.357,0.403,0.455,0.513,0.576
ALVE1,1.581,1.576,1.576,1.576,1.577,1.578,1.578,1.578,1.579,1.580,1.581,1.583,1.725,1.811,2.016,2.303,2.731,3.299,4.085,5.093,6.387,7.996,9.986,12.396,15.256,18.277,21.753,25.685,30.047,34.749
AMEM_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.041,0.079,0.131,0.210,0.315,0.460,0.646,0.886,1.184,1.553,2.001,2.532,3.093,3.738,4.469,5.280,6.154
ARBR_P,2.600,2.591,2.591,2.591,2.593,2.594,2.594,2.595,2.596,2.598,2.600,2.603,2.609,2.617,2.627,2.642,2.660,2.682,2.709,2.741,2.780,2.826,2.880,2.944,3.017,3.094,3.181,3.278,3.384,3.497
ARDK_P;CLAC_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.004,0.008,0.012,0.020,0.028,0.040,0.054,0.074,0.096,0.124,0.156,0.190,0.230,0.276,0.326,0.380
ARMO_P,0.390,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.390,0.390,0.390,0.400,0.406,0.419,0.438,0.466,0.503,0.553,0.617,0.699,0.801,0.927,1.079,1.259,1.450,1.669,1.916,2.190,2.486
AXMI1,3.493,3.481,3.481,3.481,3.483,3.485,3.486,3.487,3.488,3.491,3.493,3.497,3.572,3.621,3.730,3.883,4.107,4.401,4.806,5.323,5.982,6.801,7.810,9.030,10.476,12.003,13.757,15.741,17.940,20.309
AYRR,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.005,0.009,0.013,0.021,0.030,0.044,0.061,0.083,0.111,0.145,0.187,0.236,0.288,0.348,0.416,0.491,0.572
BAGA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.036,0.069,0.115,0.184,0.276,0.404,0.568,0.778,1.040,1.365,1.758,2.224,2.717,3.284,3.926,4.638,5.406
BAIN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.012,0.023,0.038,0.060,0.091,0.132,0.186,0.255,0.341,0.447,0.576,0.729,0.890,1.076,1.286,1.520,1.771
BARKC1;BARKW3,1.637,1.631,1.632,1.632,1.633,1.633,1.634,1.634,1.635,1.636,1.637,1.639,1.717,1.765,1.879,2.036,2.271,2.582,3.011,3.560,4.265,5.141,6.222,7.532,9.086,10.728,12.615,14.750,17.118,19.670
BEAU_P;ORRI_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.006,0.010,0.016,0.026,0.038,0.056,0.080,0.110,0.146,0.192,0.248,0.312,0.382,0.462,0.552,0.652,0.760
BEDDT1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.061,0.117,0.194,0.310,0.465,0.680,0.955,1.310,1.751,2.296,2.957,3.743,4.572,5.526,6.607,7.805,9.097
