Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,59.171,59.879,60.586,61.293,62.001,64.123,66.599,69.429,72.258,75.795,79.332,82.870,86.407,89.944,93.481,97.018,100.555,104.092,107.629,111.166,114.703,118.240,121.777,125.314,128.851,132.388,135.926,139.463,143.000,146.537
ABNE_P,5.235,5.298,5.360,5.423,5.485,5.673,5.892,6.142,6.393,6.706,7.019,7.332,7.645,7.957,8.270,8.583,8.896,9.209,9.522,9.835,10.148,10.461,10.774,11.087,11.400,11.713,12.026,12.339,12.651,12.964
ABTH_1,11.852,11.994,12.136,12.277,12.419,12.844,13.340,13.907,14.474,15.182,15.891,16.599,17.308,18.016,18.725,19.433,20.141,20.850,21.558,22.267,22.975,23.684,24.392,25.101,25.809,26.518,27.226,27.935,28.643,29.352
ACTL_2;CBNK_H;GREE_H;PERI_H,3.118,3.156,3.193,3.230,3.267,3.379,3.510,3.659,3.808,3.994,4.181,4.367,4.553,4.740,4.926,5.113,5.299,5.485,5.672,5.858,6.045,6.231,6.417,6.604,6.790,6.977,7.163,7.349,7.536,7.722
ALNE_P,1.943,1.966,1.989,2.012,2.035,2.105,2.186,2.279,2.372,2.488,2.604,2.721,2.837,2.953,3.069,3.185,3.301,3.417,3.533,3.650,3.766,3.882,3.998,4.114,4.230,4.346,4.462,4.579,4.695,4.811
ALVE1,51.007,51.616,52.226,52.836,53.446,55.275,57.410,59.849,62.288,65.337,68.386,71.435,74.484,77.533,80.582,83.631,86.680,89.729,92.778,95.827,98.876,101.925,104.974,108.023,111.072,114.121,117.170,120.219,123.268,126.317
AMEM_1,5.705,5.773,5.842,5.910,5.978,6.183,6.421,6.694,6.967,7.308,7.649,7.990,8.331,8.672,9.013,9.354,9.695,10.036,10.378,10.719,11.060,11.401,11.742,12.083,12.424,12.765,13.106,13.447,13.788,14.129
ARBR_P,5.155,5.217,5.278,5.340,5.401,5.586,5.802,6.049,6.295,6.603,6.911,7.219,7.528,7.836,8.144,8.452,8.760,9.068,9.376,9.685,9.993,10.301,10.609,10.917,11.225,11.533,11.842,12.150,12.458,12.766
ARDK_P;CLAC_P,0.186,0.188,0.190,0.193,0.195,0.202,0.209,0.218,0.227,0.238,0.249,0.261,0.272,0.283,0.294,0.305,0.316,0.327,0.338,0.349,0.361,0.372,0.383,0.394,0.405,0.416,0.427,0.438,0.450,0.461
ARMO_P,1.312,1.327,1.343,1.359,1.374,1.421,1.476,1.539,1.602,1.680,1.759,1.837,1.915,1.994,2.072,2.151,2.229,2.307,2.386,2.464,2.543,2.621,2.700,2.778,2.856,2.935,3.013,3.092,3.170,3.248
AXMI1,29.337,29.688,30.038,30.389,30.740,31.792,33.020,34.423,35.825,37.579,39.333,41.086,42.840,44.594,46.347,48.101,49.855,51.608,53.362,55.116,56.869,58.623,60.377,62.130,63.884,65.638,67.391,69.145,70.899,72.652
AYRR,1.258,1.273,1.288,1.303,1.318,1.364,1.416,1.476,1.537,1.612,1.687,1.762,1.837,1.913,1.988,2.063,2.138,2.214,2.289,2.364,2.439,2.514,2.590,2.665,2.740,2.815,2.891,2.966,3.041,3.116
BAGA,3.460,3.502,3.543,3.585,3.626,3.750,3.895,4.060,4.226,4.433,4.639,4.846,5.053,5.260,5.467,5.674,5.881,6.087,6.294,6.501,6.708,6.915,7.122,7.329,7.535,7.742,7.949,8.156,8.363,8.570
BAIN,1.015,1.027,1.039,1.052,1.064,1.100,1.143,1.191,1.240,1.300,1.361,1.422,1.482,1.543,1.604,1.664,1.725,1.786,1.846,1.907,1.968,2.028,2.089,2.150,2.211,2.271,2.332,2.393,2.453,2.514
BARKC1;BARKW3,11.366,11.502,11.638,11.774,11.910,12.317,12.793,13.337,13.880,14.560,15.239,15.918,16.598,17.277,17.957,18.636,19.316,19.995,20.674,21.354,22.033,22.713,23.392,24.072,24.751,25.431,26.110,26.789,27.469,28.148
BEAU_P;ORRI_P,3.143,3.180,3.218,3.255,3.293,3.406,3.537,3.687,3.838,4.025,4.213,4.401,4.589,4.777,4.965,5.153,5.340,5.528,5.716,5.904,6.092,6.280,6.468,6.655,6.843,7.031,7.219,7.407,7.595,7.783
BEDDT1,3.274,3.313,3.352,3.391,3.430,3.548,3.685,3.841,3.998,4.194,4.389,4.585,4.781,4.976,5.172,5.368,5.564,5.759,5.955,6.151,6.346,6.542,6.738,6.934,7.129,7.325,7.521,7.716,7.912,8.108
BEDD_1,13.944,14.111,14.278,14.444,14.611,15.111,15.695,16.362,17.028,17.862,18.696,19.529,20.363,21.196,22.030,22.863,23.697,24.530,25.364,26.198,27.031,27.865,28.698,29.532,30.365,31.199,32.032,32.866,33.699,34.533
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,4.080,4.129,4.177,4.226,4.275,4.421,4.592,4.787,4.982,5.226,5.470,5.714,5.958,6.202,6.445,6.689,6.933,7.177,7.421,7.665,7.909,8.153,8.396,8.640,8.884,9.128,9.372,9.616,9.860,10.104
BERW,4.364,4.417,4.469,4.521,4.573,4.730,4.912,5.121,5.330,5.591,5.851,6.112,6.373,6.634,6.895,7.156,7.417,7.678,7.939,8.200,8.460,8.721,8.982,9.243,9.504,9.765,10.026,10.287,10.548,10.808
BESW_1,19.054,19.282,19.509,19.737,19.965,20.648,21.446,22.357,23.268,24.407,25.546,26.685,27.824,28.963,30.102,31.241,32.380,33.519,34.658,35.797,36.936,38.075,39.214,40.353,41.491,42.630,43.769,44.908,46.047,47.186
BICF_1,18.112,18.329,18.545,18.762,18.979,19.628,20.386,21.252,22.118,23.201,24.284,25.366,26.449,27.532,28.615,29.697,30.780,31.863,32.945,34.028,35.111,36.193,37.276,38.359,39.442,40.524,41.607,42.690,43.772,44.855
BIRK_1,9.446,9.559,9.672,9.785,9.898,10.237,10.632,11.084,11.535,12.100,12.665,13.229,13.794,14.359,14.923,15.488,16.053,16.617,17.182,17.747,18.311,18.876,19.441,20.005,20.570,21.135,21.699,22.264,22.829,23.393
BISW_1,84.125,85.131,86.137,87.143,88.148,91.166,94.686,98.709,102.732,107.761,112.789,117.818,122.847,127.876,132.904,137.933,142.962,147.991,153.019,158.048,163.077,168.106,173.134,178.163,183.192,188.221,193.249,198.278,203.307,208.336
BLYTB1,20.907,21.157,21.407,21.657,21.906,22.656,23.531,24.531,25.531,26.780,28.030,29.280,30.530,31.779,33.029,34.279,35.529,36.778,38.028,39.278,40.528,41.777,43.027,44.277,45.527,46.776,48.026,49.276,50.526,51.775
BLYTH132,5.982,6.053,6.125,6.196,6.268,6.483,6.733,7.019,7.305,7.663,8.020,8.378,8.735,9.093,9.450,9.808,10.166,10.523,10.881,11.238,11.596,11.954,12.311,12.669,13.026,13.384,13.741,14.099,14.457,14.814
BOAG_P,2.135,2.161,2.186,2.212,2.237,2.314,2.403,2.505,2.608,2.735,2.863,2.991,3.118,3.246,3.373,3.501,3.629,3.756,3.884,4.012,4.139,4.267,4.395,4.522,4.650,4.777,4.905,5.033,5.160,5.288
BOLN_1,55.491,56.155,56.818,57.482,58.145,60.135,62.457,65.111,67.765,71.082,74.399,77.716,81.033,84.350,87.667,90.984,94.301,97.619,100.936,104.253,107.570,110.887,114.204,117.521,120.838,124.155,127.472,130.790,134.107,137.424
BONN,3.162,3.199,3.237,3.275,3.313,3.426,3.558,3.710,3.861,4.050,4.239,4.428,4.617,4.806,4.995,5.184,5.373,5.562,5.751,5.940,6.129,6.318,6.507,6.696,6.885,7.074,7.263,7.452,7.641,7.830
