Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,240.639,233.671,230.047,231.206,236.765,242.947,254.075,269.098,283.097,297.923,310.145,329.253,351.840,375.564,390.971,400.227,418.182,433.479,446.903,451.562,451.859,458.709,464.799,470.748,468.167,460.368,460.654,460.488,459.962,457.820
ABNE_P,43.515,41.863,40.378,39.539,39.162,39.584,40.140,41.283,42.281,43.579,45.457,47.277,49.661,52.253,53.743,56.102,58.002,59.658,61.102,61.839,63.898,64.888,65.729,66.497,66.533,67.064,67.275,67.401,67.513,67.309
ABTH_1,187.047,180.721,175.578,173.508,173.985,179.381,184.799,192.843,200.038,207.994,219.899,230.708,244.094,258.463,267.045,278.635,289.999,299.725,308.297,311.064,315.991,320.683,324.986,329.496,328.086,323.710,324.443,324.924,325.213,324.432
ACTL_2;CBNK_H;GREE_H;PERI_H,108.799,105.966,103.765,103.289,104.143,106.024,109.506,114.615,119.192,124.261,128.153,134.277,141.956,150.276,155.452,159.257,165.852,171.556,176.586,178.449,178.772,181.588,184.159,186.886,186.496,184.701,185.423,186.008,186.512,186.327
ALNE_P,30.830,29.916,28.952,28.442,28.220,28.199,28.489,29.194,29.784,30.609,31.451,32.498,33.968,35.606,36.508,37.894,39.082,40.140,41.061,41.621,43.321,44.043,44.655,45.229,45.442,46.306,46.578,46.787,47.002,46.970
ALVE1,211.645,206.168,202.009,201.714,204.903,210.253,218.259,229.683,240.356,252.058,263.861,280.056,299.225,319.116,331.849,340.695,353.665,364.701,374.123,377.994,379.060,383.417,386.943,389.586,387.312,382.053,380.945,379.378,377.375,374.146
AMEM_1,67.894,66.488,67.094,69.227,72.804,76.531,82.256,89.539,96.506,103.703,109.565,118.530,128.647,139.213,147.418,152.954,162.915,171.437,179.071,182.075,182.351,186.709,190.599,194.582,193.615,189.825,190.670,191.301,191.877,191.385
ARBR_P,33.015,32.045,31.190,30.882,30.962,31.732,32.640,34.008,35.245,36.664,38.590,40.453,42.802,45.341,46.827,48.187,50.176,51.886,53.409,53.935,54.658,55.565,56.429,57.367,57.268,56.602,56.848,57.039,57.209,57.205
ARDK_P;CLAC_P,3.680,3.576,3.462,3.402,3.379,3.387,3.426,3.515,3.594,3.702,3.814,3.959,4.155,4.366,4.485,4.622,4.754,4.870,4.969,5.030,5.178,5.247,5.302,5.348,5.363,5.426,5.439,5.446,5.449,5.428
ARMO_P,32.535,31.366,30.409,29.987,29.969,30.403,31.061,32.185,33.195,34.420,35.987,37.642,39.737,42.000,43.391,45.120,46.886,48.421,49.770,50.416,52.047,52.953,53.739,54.487,54.492,54.756,54.972,55.117,55.254,55.121
AXMI1,163.023,158.058,154.519,153.915,155.906,159.716,165.500,173.773,181.382,189.691,197.641,208.679,221.978,235.989,244.732,251.229,261.141,269.597,276.937,279.617,280.318,283.961,287.126,290.040,288.562,284.488,284.364,283.959,283.306,281.734
AYRR,44.880,43.768,42.743,42.461,42.697,43.970,45.329,47.362,49.211,51.333,54.387,57.166,60.633,64.387,66.756,70.022,73.301,76.150,78.686,79.757,82.392,84.091,85.639,87.268,87.311,87.427,88.000,88.472,88.942,88.985
BAGA,34.939,34.188,33.637,33.767,34.485,36.270,37.946,40.280,42.526,45.014,48.779,52.396,56.560,60.857,63.898,67.630,71.041,73.958,76.509,77.723,80.293,81.825,83.106,84.209,83.919,83.789,83.859,83.794,83.677,83.118
BAIN,16.788,16.355,16.133,16.248,16.652,17.578,18.484,19.707,20.876,22.138,24.081,25.846,27.882,30.010,31.547,33.617,35.548,37.203,38.674,39.325,40.938,41.883,42.703,43.497,43.387,43.397,43.583,43.708,43.820,43.672
BARKC1;BARKW3,315.047,306.412,298.768,296.007,297.019,301.029,308.880,321.256,332.178,344.703,355.218,370.770,390.688,412.312,425.174,434.888,450.517,464.071,475.891,480.573,481.901,488.358,494.104,499.899,499.005,494.886,496.153,497.014,497.614,496.510
BEAU_P;ORRI_P,29.059,28.175,27.304,26.876,26.746,26.993,27.440,28.282,29.013,29.942,31.063,32.263,33.867,35.635,36.632,37.914,39.251,40.424,41.453,41.951,43.200,43.921,44.562,45.207,45.301,45.600,45.843,46.032,46.219,46.204
BEDDT1,112.823,109.975,110.413,113.413,118.831,124.711,133.670,144.945,155.634,166.547,175.114,188.415,203.598,219.581,231.449,239.980,255.294,268.378,280.156,284.273,285.001,291.731,297.917,304.570,303.020,297.446,299.073,300.419,301.692,301.451
BEDD_1,429.914,415.535,406.061,403.935,408.006,416.875,431.619,452.816,472.084,493.106,511.260,537.790,570.231,604.949,626.825,643.735,671.008,694.384,715.006,722.241,724.142,735.269,745.310,755.615,752.560,743.332,745.023,746.094,746.766,744.731
