Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,73.455,74.513,73.179,72.719,72.995,74.743,76.307,78.698,80.400,82.102,83.482,85.046,87.760,90.979,91.945,93.187,94.521,95.809,96.775,96.959,97.005,97.097,97.143,97.327,97.557,98.017,98.431,98.891,99.258,99.396
ABNE_P,7.358,7.464,7.330,7.284,7.312,7.487,7.643,7.883,8.054,8.224,8.362,8.519,8.791,9.113,9.210,9.334,9.468,9.597,9.694,9.712,9.717,9.726,9.731,9.749,9.772,9.818,9.860,9.906,9.943,9.956
ABTH_1,54.991,55.783,54.784,54.440,54.647,55.955,57.126,58.917,60.191,61.465,62.498,63.668,65.700,68.110,68.834,69.763,70.762,71.726,72.449,72.587,72.621,72.690,72.725,72.862,73.034,73.379,73.689,74.033,74.309,74.412
ACTL_2;CBNK_H;GREE_H;PERI_H,34.931,35.434,34.800,34.581,34.713,35.545,36.288,37.424,38.234,39.043,39.699,40.443,41.734,43.264,43.724,44.315,44.950,45.561,46.020,46.108,46.131,46.174,46.195,46.283,46.392,46.610,46.808,47.027,47.202,47.268
ALNE_P,6.198,6.287,6.174,6.136,6.159,6.306,6.438,6.640,6.784,6.927,7.044,7.176,7.405,7.676,7.758,7.863,7.975,8.084,8.165,8.181,8.185,8.192,8.196,8.212,8.231,8.270,8.305,8.344,8.375,8.387
ALVE1,67.655,68.629,67.401,66.977,67.231,68.841,70.281,72.484,74.052,75.619,76.890,78.330,80.830,83.795,84.685,85.829,87.057,88.243,89.133,89.303,89.345,89.430,89.472,89.641,89.853,90.277,90.658,91.082,91.421,91.548
AMEM_1,19.436,19.716,19.363,19.241,19.314,19.777,20.190,20.823,21.274,21.724,22.089,22.503,23.221,24.073,24.328,24.657,25.010,25.351,25.606,25.655,25.667,25.691,25.704,25.752,25.813,25.935,26.044,26.166,26.263,26.300
ARBR_P,6.729,6.825,6.703,6.661,6.686,6.846,6.990,7.209,7.365,7.521,7.647,7.790,8.039,8.334,8.422,8.536,8.658,8.776,8.865,8.881,8.886,8.894,8.898,8.915,8.936,8.978,9.016,9.058,9.092,9.105
ARDK_P;CLAC_P,0.752,0.763,0.750,0.745,0.748,0.766,0.782,0.806,0.824,0.841,0.855,0.871,0.899,0.932,0.942,0.954,0.968,0.981,0.991,0.993,0.994,0.995,0.995,0.997,0.999,1.004,1.008,1.013,1.017,1.018
ARMO_P,5.702,5.784,5.680,5.645,5.666,5.802,5.923,6.109,6.241,6.373,6.480,6.602,6.812,7.062,7.137,7.234,7.337,7.437,7.512,7.526,7.530,7.537,7.541,7.555,7.573,7.608,7.641,7.676,7.705,7.716
AXMI1,49.177,49.885,48.992,48.684,48.869,50.039,51.086,52.687,53.826,54.966,55.890,56.937,58.753,60.909,61.555,62.387,63.280,64.142,64.789,64.912,64.943,65.004,65.035,65.158,65.312,65.620,65.897,66.205,66.452,66.544
AYRR,9.715,9.855,9.679,9.618,9.654,9.885,10.092,10.409,10.634,10.859,11.041,11.248,11.607,12.033,12.161,12.325,12.501,12.672,12.799,12.824,12.830,12.842,12.848,12.872,12.903,12.964,13.018,13.079,13.128,13.146
BAGA,7.372,7.478,7.344,7.298,7.325,7.501,7.658,7.898,8.069,8.239,8.378,8.535,8.807,9.130,9.227,9.352,9.486,9.615,9.712,9.730,9.735,9.744,9.749,9.767,9.790,9.836,9.878,9.924,9.961,9.975
BAIN,3.290,3.337,3.277,3.257,3.269,3.347,3.417,3.524,3.601,3.677,3.739,3.809,3.930,4.074,4.118,4.173,4.233,4.291,4.334,4.342,4.344,4.348,4.350,4.359,4.369,4.389,4.408,4.429,4.445,4.451
BARKC1;BARKW3,100.723,102.173,100.344,99.714,100.092,102.489,104.633,107.913,110.246,112.580,114.472,116.616,120.338,124.752,126.076,127.780,129.608,131.374,132.700,132.952,133.014,133.140,133.204,133.456,133.772,134.402,134.970,135.600,136.105,136.294
BEAU_P;ORRI_P,5.793,5.877,5.771,5.735,5.757,5.895,6.018,6.207,6.341,6.475,6.584,6.707,6.921,7.175,7.251,7.349,7.454,7.556,7.632,7.647,7.650,7.658,7.661,7.676,7.694,7.730,7.763,7.799,7.828,7.839
BEDDT1,32.626,33.096,32.503,32.299,32.422,33.198,33.893,34.955,35.711,36.467,37.080,37.774,38.980,40.410,40.839,41.390,41.983,42.555,42.984,43.065,43.086,43.127,43.147,43.229,43.331,43.535,43.719,43.923,44.087,44.148
BEDD_1,120.709,122.448,120.256,119.500,119.953,122.826,125.396,129.326,132.123,134.919,137.187,139.757,144.216,149.507,151.095,153.135,155.327,157.444,159.031,159.333,159.409,159.560,159.636,159.938,160.316,161.072,161.752,162.508,163.113,163.339
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,11.030,11.189,10.989,10.920,10.961,11.224,11.459,11.818,12.073,12.329,12.536,12.771,13.179,13.662,13.807,13.994,14.194,14.387,14.532,14.560,14.567,14.581,14.588,14.615,14.650,14.719,14.781,14.850,14.905,14.926
BERW,9.374,9.509,9.338,9.280,9.315,9.538,9.737,10.043,10.260,10.477,10.653,10.853,11.199,11.610,11.733,11.892,12.062,12.226,12.349,12.373,12.379,12.391,12.396,12.420,12.449,12.508,12.561,12.619,12.666,12.684
BESW_1,98.014,99.425,97.645,97.032,97.400,99.732,101.819,105.010,107.281,109.552,111.393,113.480,117.101,121.397,122.686,124.343,126.123,127.841,129.130,129.375,129.437,129.560,129.621,129.866,130.173,130.787,131.339,131.953,132.444,132.628
BICF_1,41.408,42.004,41.252,40.993,41.149,42.134,43.016,44.364,45.323,46.283,47.060,47.942,49.472,51.287,51.831,52.531,53.283,54.009,54.554,54.658,54.683,54.735,54.761,54.865,54.995,55.254,55.487,55.747,55.954,56.032
BIRK_1,62.612,63.513,62.376,61.984,62.219,63.709,65.042,67.081,68.532,69.982,71.158,72.491,74.804,77.549,78.372,79.431,80.568,81.665,82.489,82.646,82.685,82.763,82.802,82.959,83.155,83.547,83.900,84.292,84.606,84.724
BISW_1,146.441,148.550,145.891,144.974,145.524,149.008,152.126,156.894,160.287,163.680,166.431,169.548,174.959,181.377,183.303,185.779,188.438,191.006,192.931,193.298,193.390,193.573,193.665,194.032,194.490,195.407,196.232,197.149,197.883,198.158
BLYTB1,138.170,140.160,137.651,136.786,137.305,140.592,143.534,148.033,151.234,154.435,157.031,159.972,165.077,171.133,172.950,175.286,177.795,180.218,182.035,182.381,182.467,182.640,182.727,183.073,183.505,184.371,185.149,186.014,186.707,186.966
BLYTH132,17.896,18.154,17.829,17.717,17.784,18.210,18.591,19.174,19.588,20.003,20.339,20.720,21.381,22.166,22.401,22.703,23.028,23.342,23.578,23.622,23.634,23.656,23.667,23.712,23.768,23.880,23.981,24.093,24.183,24.216
BOAG_P,5.080,5.154,5.061,5.030,5.049,5.170,5.278,5.443,5.561,5.679,5.774,5.882,6.070,6.293,6.359,6.445,6.537,6.627,6.693,6.706,6.709,6.716,6.719,6.732,6.747,6.779,6.808,6.840,6.865,6.875
BOLN_1,251.160,254.777,250.216,248.644,249.587,255.564,260.911,269.089,274.908,280.727,285.445,290.792,300.071,311.080,314.383,318.629,323.190,327.593,330.896,331.525,331.682,331.997,332.154,332.783,333.570,335.142,336.558,338.130,339.389,339.860
BONN,11.079,11.239,11.038,10.968,11.010,11.274,11.510,11.870,12.127,12.384,12.592,12.828,13.237,13.723,13.868,14.056,14.257,14.451,14.597,14.625,14.632,14.645,14.652,14.680,14.715,14.784,14.847,14.916,14.972,14.992
BOTW_1,43.878,44.510,43.713,43.439,43.603,44.648,45.582,47.010,48.027,49.044,49.868,50.802,52.423,54.346,54.923,55.665,56.462,57.231,57.808,57.918,57.946,58.001,58.028,58.138,58.275,58.550,58.797,59.072,59.292,59.374
BRAC_P,5.529,5.608,5.508,5.473,5.494,5.626,5.743,5.923,6.051,6.179,6.283,6.401,6.605,6.848,6.920,7.014,7.114,7.211,7.284,7.298,7.301,7.308,7.311,7.325,7.343,7.377,7.408,7.443,7.471,7.481
BRAI_1,63.944,64.865,63.704,63.304,63.544,65.065,66.427,68.509,69.990,71.472,72.673,74.034,76.397,79.200,80.040,81.121,82.283,83.404,84.245,84.405,84.445,84.525,84.565,84.725,84.925,85.326,85.686,86.086,86.407,86.527
BRAP,6.297,6.387,6.273,6.233,6.257,6.407,6.541,6.746,6.892,7.038,7.156,7.290,7.523,7.799,7.881,7.988,8.102,8.213,8.295,8.311,8.315,8.323,8.327,8.343,8.362,8.402,8.437,8.477,8.508,8.520
BRAW_1,122.761,124.529,122.300,121.531,121.992,124.913,127.527,131.524,134.368,137.213,139.519,142.132,146.668,152.048,153.663,155.738,157.967,160.120,161.734,162.041,162.118,162.272,162.349,162.656,163.041,163.809,164.501,165.270,165.885,166.116
BRED_1,84.422,85.638,84.105,83.576,83.894,85.902,87.700,90.449,92.405,94.360,95.946,97.744,100.863,104.563,105.673,107.100,108.633,110.114,111.224,111.435,111.488,111.594,111.647,111.858,112.122,112.651,113.127,113.655,114.078,114.237
BRFO_1;CLT03,246.279,249.826,245.354,243.812,244.737,250.597,255.840,263.860,269.565,275.271,279.898,285.141,294.240,305.034,308.273,312.437,316.908,321.227,324.465,325.082,325.237,325.545,325.698,326.316,327.087,328.629,330.017,331.559,332.793,333.255
BRID_P,5.625,5.706,5.604,5.569,5.590,5.724,5.843,6.027,6.157,6.287,6.393,6.513,6.720,6.967,7.041,7.136,7.238,7.337,7.411,7.425,7.428,7.435,7.439,7.453,7.471,7.506,7.538,7.573,7.601,7.612
BRIM_1,91.018,92.329,90.676,90.106,90.448,92.614,94.552,97.516,99.624,101.733,103.443,105.381,108.743,112.733,113.930,115.469,117.121,118.717,119.914,120.142,120.199,120.313,120.370,120.598,120.883,121.453,121.966,122.536,122.992,123.163
BROA_P,3.265,3.312,3.252,3.232,3.244,3.322,3.391,3.498,3.573,3.649,3.710,3.780,3.900,4.043,4.086,4.141,4.201,4.258,4.301,4.309,4.311,4.315,4.317,4.325,4.336,4.356,4.374,4.395,4.411,4.417
BROR_P,1.631,1.655,1.625,1.615,1.621,1.660,1.694,1.748,1.785,1.823,1.854,1.888,1.949,2.020,2.042,2.069,2.099,2.127,2.149,2.153,2.154,2.156,2.157,2.161,2.166,2.176,2.186,2.196,2.204,2.207
BROX,10.094,10.239,10.056,9.993,10.031,10.271,10.486,10.815,11.048,11.282,11.472,11.687,12.060,12.502,12.635,12.806,12.989,13.166,13.299,13.324,13.330,13.343,13.349,13.374,13.406,13.469,13.526,13.589,13.640,13.659
BRWA1,57.610,58.440,57.394,57.033,57.250,58.621,59.847,61.723,63.058,64.392,65.475,66.701,68.829,71.355,72.112,73.086,74.132,75.142,75.900,76.044,76.080,76.153,76.189,76.333,76.513,76.874,77.199,77.559,77.848,77.956
BUMU_P,8.705,8.830,8.672,8.617,8.650,8.857,9.043,9.326,9.528,9.729,9.893,10.078,10.400,10.781,10.896,11.043,11.201,11.354,11.468,11.490,11.495,11.506,11.512,11.533,11.561,11.615,11.664,11.719,11.762,11.779
BURM_1,92.792,94.128,92.443,91.862,92.211,94.419,96.394,99.416,101.565,103.715,105.458,107.434,110.862,114.929,116.149,117.718,119.403,121.030,122.250,122.483,122.541,122.657,122.715,122.948,123.238,123.819,124.342,124.923,125.388,125.562
BUSH_1,46.755,47.429,46.579,46.287,46.462,47.575,48.570,50.093,51.176,52.259,53.138,54.133,55.860,57.910,58.524,59.315,60.164,60.984,61.599,61.716,61.745,61.803,61.833,61.950,62.096,62.389,62.652,62.945,63.179,63.267
BUST_1,67.082,68.048,66.830,66.410,66.662,68.258,69.687,71.871,73.425,74.979,76.239,77.668,80.146,83.086,83.968,85.103,86.321,87.497,88.379,88.547,88.589,88.673,88.715,88.883,89.093,89.513,89.891,90.311,90.647,90.773
CAAD_P,4.053,4.111,4.037,4.012,4.027,4.124,4.210,4.342,4.436,4.530,4.606,4.692,4.842,5.020,5.073,5.141,5.215,5.286,5.339,5.349,5.352,5.357,5.360,5.370,5.382,5.408,5.431,5.456,5.476,5.484
CAMB_01,10.435,10.585,10.396,10.330,10.370,10.618,10.840,11.180,11.422,11.663,11.859,12.082,12.467,12.924,13.062,13.238,13.428,13.611,13.748,13.774,13.780,13.794,13.800,13.826,13.859,13.924,13.983,14.048,14.101,14.120
CANTN1;RICH1;RICH_J,63.084,63.992,62.847,62.452,62.689,64.190,65.533,67.587,69.048,70.510,71.695,73.038,75.369,78.134,78.963,80.030,81.175,82.281,83.111,83.269,83.308,83.387,83.427,83.585,83.782,84.177,84.533,84.928,85.244,85.362
CAPEA1,102.739,104.218,102.353,101.709,102.095,104.540,106.727,110.073,112.453,114.833,116.763,118.950,122.746,127.249,128.600,130.337,132.203,134.004,135.355,135.613,135.677,135.806,135.870,136.127,136.449,137.092,137.671,138.315,138.829,139.022
CARE_1,41.143,41.735,40.988,40.731,40.885,41.864,42.740,44.080,45.033,45.986,46.759,47.635,49.155,50.958,51.499,52.195,52.942,53.664,54.205,54.308,54.333,54.385,54.411,54.514,54.643,54.900,55.132,55.390,55.596,55.673
CARR_1,90.599,91.904,90.259,89.692,90.032,92.188,94.117,97.067,99.166,101.265,102.967,104.896,108.243,112.214,113.405,114.937,116.582,118.171,119.362,119.589,119.646,119.759,119.816,120.043,120.326,120.894,121.404,121.972,122.425,122.596
CASS_P,0.340,0.345,0.339,0.337,0.338,0.346,0.354,0.365,0.372,0.380,0.387,0.394,0.407,0.422,0.426,0.432,0.438,0.444,0.448,0.449,0.449,0.450,0.450,0.451,0.452,0.454,0.456,0.458,0.460,0.460
CATY,3.925,3.981,3.910,3.885,3.900,3.993,4.077,4.205,4.296,4.387,4.460,4.544,4.689,4.861,4.912,4.979,5.050,5.119,5.170,5.180,5.183,5.188,5.190,5.200,5.212,5.237,5.259,5.283,5.303,5.311
CEAN_P,0.278,0.282,0.277,0.275,0.276,0.283,0.289,0.298,0.304,0.311,0.316,0.322,0.332,0.344,0.348,0.353,0.358,0.363,0.366,0.367,0.367,0.368,0.368,0.368,0.369,0.371,0.373,0.374,0.376,0.376
CELL_1,168.771,171.201,168.136,167.080,167.714,171.730,175.323,180.818,184.728,188.638,191.809,195.402,201.637,209.034,211.254,214.107,217.172,220.131,222.350,222.773,222.879,223.090,223.196,223.618,224.147,225.203,226.155,227.211,228.057,228.374
CHAP,9.752,9.893,9.716,9.655,9.691,9.923,10.131,10.448,10.674,10.900,11.084,11.291,11.651,12.079,12.207,12.372,12.549,12.720,12.848,12.873,12.879,12.891,12.897,12.922,12.952,13.013,13.068,13.129,13.178,13.196
CHAR_P,3.290,3.338,3.278,3.257,3.270,3.348,3.418,3.525,3.601,3.678,3.739,3.809,3.931,4.075,4.118,4.174,4.234,4.291,4.335,4.343,4.345,4.349,4.351,4.359,4.370,4.390,4.409,4.430,4.446,4.452
CHAS,15.801,16.029,15.742,15.643,15.702,16.078,16.414,16.929,17.295,17.661,17.958,18.294,18.878,19.571,19.778,20.046,20.333,20.610,20.817,20.857,20.867,20.887,20.897,20.936,20.986,21.085,21.174,21.273,21.352,21.381
