Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,6.078,8.618,11.493,14.671,17.889,21.797,26.932,33.806,42.457,51.446,59.820,66.506,71.215,73.338,73.329,71.946,70.417,69.426,69.566,70.837,71.098,71.127,71.011,70.717,70.211,69.480,68.497,67.260,65.546,63.061,60.073
ABNE_P,0.120,0.178,0.255,0.349,0.454,0.585,0.750,0.954,1.199,1.453,1.689,1.878,2.010,2.070,2.070,2.031,1.988,1.960,1.964,2.000,2.007,2.008,2.005,1.997,1.982,1.962,1.934,1.899,1.851,1.780,1.696
ABTH_1,0.709,1.358,2.347,3.744,5.487,7.688,10.375,13.422,16.857,20.426,23.751,26.405,28.275,29.118,29.114,28.565,27.958,27.564,27.620,28.125,28.228,28.240,28.194,28.077,27.876,27.586,27.196,26.705,26.024,25.037,23.851
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.142,0.405,0.818,1.368,2.070,2.910,3.813,4.789,5.803,6.747,7.501,8.032,8.272,8.271,8.115,7.942,7.831,7.847,7.990,8.019,8.023,8.010,7.976,7.919,7.837,7.726,7.586,7.393,7.113,6.776
ALNE_P,0.040,0.100,0.196,0.337,0.519,0.749,1.028,1.337,1.678,2.034,2.365,2.629,2.816,2.899,2.899,2.844,2.784,2.745,2.750,2.801,2.811,2.812,2.807,2.796,2.776,2.747,2.708,2.659,2.591,2.493,2.375
ALVE1,3.902,5.423,7.064,8.784,10.424,12.389,15.034,18.746,23.544,28.528,33.172,36.880,39.491,40.668,40.663,39.896,39.048,38.499,38.576,39.281,39.426,39.442,39.378,39.215,38.934,38.529,37.984,37.298,36.347,34.969,33.313
AMEM_1,1.311,2.356,3.900,6.032,8.656,11.961,16.013,20.663,25.951,31.445,36.564,40.651,43.529,44.826,44.821,43.976,43.041,42.435,42.521,43.298,43.457,43.475,43.404,43.224,42.915,42.468,41.868,41.111,40.064,38.545,36.719
ARBR_P,0.060,0.172,0.360,0.641,1.005,1.468,2.026,2.640,3.316,4.018,4.672,5.194,5.562,5.728,5.727,5.619,5.500,5.422,5.433,5.532,5.553,5.555,5.546,5.523,5.483,5.426,5.350,5.253,5.119,4.925,4.692
ARDK_P;CLAC_P,0.010,0.018,0.037,0.065,0.103,0.149,0.206,0.269,0.336,0.408,0.475,0.527,0.566,0.582,0.582,0.571,0.559,0.551,0.552,0.562,0.564,0.564,0.563,0.561,0.557,0.552,0.544,0.534,0.520,0.501,0.476
ARMO_P,0.060,0.152,0.300,0.517,0.795,1.149,1.577,2.051,2.576,3.121,3.629,4.035,4.321,4.449,4.449,4.365,4.272,4.212,4.221,4.298,4.314,4.315,4.308,4.291,4.260,4.215,4.156,4.081,3.977,3.826,3.645
