Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,93.347,85.028,79.176,74.513,70.856,68.342,66.514,65.416,63.999,63.039,61.988,60.891,60.434,60.342,58.971,57.874,56.914,56.045,55.268,54.582,54.079,53.577,53.119,52.662,52.205,51.702,51.337,51.017,50.697,50.422
ABNE_P,19.387,17.661,16.447,15.480,14.722,14.201,13.822,13.594,13.301,13.102,12.884,12.656,12.562,12.543,12.259,12.031,11.832,11.652,11.491,11.349,11.245,11.141,11.046,10.952,10.857,10.753,10.677,10.611,10.544,10.488
ABTH_1,79.211,72.151,67.186,63.229,60.126,57.992,56.441,55.510,54.307,53.492,52.600,51.669,51.281,51.204,50.040,49.109,48.295,47.557,46.898,46.316,45.889,45.463,45.075,44.687,44.299,43.872,43.562,43.291,43.019,42.786
ACTL_2;CBNK_H;GREE_H;PERI_H,39.497,35.977,33.501,31.528,29.980,28.916,28.143,27.679,27.079,26.673,26.228,25.764,25.570,25.532,24.951,24.487,24.081,23.714,23.385,23.095,22.882,22.669,22.476,22.282,22.089,21.877,21.722,21.586,21.451,21.335
ALNE_P,10.625,9.679,9.014,8.484,8.069,7.783,7.575,7.451,7.290,7.181,7.061,6.936,6.885,6.874,6.718,6.594,6.485,6.386,6.298,6.220,6.163,6.106,6.054,6.002,5.950,5.893,5.852,5.815,5.779,5.748
ALVE1,77.554,70.641,65.780,61.906,58.868,56.779,55.260,54.348,53.171,52.373,51.500,50.588,50.209,50.133,48.993,48.082,47.284,46.563,45.917,45.347,44.929,44.512,44.132,43.752,43.372,42.955,42.651,42.385,42.119,41.891
AMEM_1,26.486,24.125,22.465,21.142,20.104,19.391,18.872,18.561,18.159,17.886,17.588,17.277,17.147,17.121,16.732,16.421,16.148,15.902,15.681,15.487,15.344,15.201,15.072,14.942,14.812,14.670,14.566,14.475,14.384,14.306
ARBR_P,10.856,9.890,9.210,8.669,8.244,7.952,7.740,7.613,7.448,7.337,7.215,7.087,7.034,7.024,6.865,6.737,6.626,6.525,6.435,6.355,6.297,6.239,6.186,6.133,6.080,6.021,5.979,5.942,5.905,5.873
ARDK_P;CLAC_P,1.228,1.119,1.042,0.981,0.933,0.900,0.875,0.861,0.842,0.830,0.816,0.802,0.796,0.794,0.776,0.762,0.749,0.738,0.728,0.719,0.712,0.706,0.700,0.694,0.688,0.681,0.676,0.672,0.668,0.664
ARMO_P,13.728,12.506,11.647,10.962,10.425,10.056,9.788,9.627,9.419,9.278,9.123,8.962,8.895,8.882,8.681,8.520,8.379,8.251,8.137,8.037,7.963,7.889,7.822,7.755,7.688,7.614,7.561,7.514,7.467,7.427
