Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,40.960,50.580,53.690,60.100,64.130,66.680,68.790,69.820,71.020,73.120,73.940,76.970,81.460,89.930,80.570,82.840,86.040,85.550,85.840,86.400,92.960,103.630,115.830,129.370,141.660,152.490,162.050,170.260,177.090,182.540,187.990
ABNE_P,5.630,5.650,5.670,5.700,5.750,5.820,5.910,5.990,6.070,6.150,6.130,6.110,6.050,5.980,5.940,5.960,5.810,5.650,5.570,5.540,5.520,5.490,5.470,5.460,5.470,5.480,5.490,5.510,5.530,5.560,5.590
ABTH_1,116.940,123.830,125.220,127.990,127.160,124.320,123.060,125.650,128.080,131.520,133.270,135.260,136.880,140.900,133.260,123.240,126.290,126.970,127.390,128.290,132.370,138.410,144.480,151.060,156.720,161.980,166.350,170.670,174.400,177.500,180.260
ALNE_P,6.950,8.850,8.850,8.260,8.260,8.260,8.260,8.260,7.040,7.040,6.320,6.320,6.320,5.090,5.090,4.000,4.000,3.360,3.360,2.710,2.710,2.070,2.070,1.430,1.430,0.780,0.780,0.780,0.780,0.780,0.780
ALVE1,9.770,9.920,10.070,10.270,10.530,10.870,11.270,11.670,12.070,12.470,12.750,13.000,13.130,13.210,13.390,13.760,13.720,13.580,13.720,13.990,14.250,14.430,14.630,14.830,15.010,15.200,15.370,15.540,15.720,15.900,16.090
AMEM_1,28.920,29.080,29.250,29.510,29.900,23.420,24.070,24.690,25.300,25.900,26.060,26.210,26.310,26.390,26.550,26.920,26.610,26.290,26.180,26.200,26.190,26.130,26.130,26.190,26.280,26.390,26.540,26.730,26.950,27.180,27.430
ARMO_P,5.000,5.000,4.490,3.720,2.700,1.160,,,,,,,,,,,,,,,,,,,,,,,,,
AXMI1,2.960,2.940,2.910,2.880,2.850,2.820,2.780,2.740,2.700,2.660,2.550,2.440,2.330,2.230,2.130,2.030,1.890,1.760,1.630,1.510,1.400,1.300,1.220,1.160,1.100,1.050,1.010,0.970,0.940,0.910,0.880
BARKC1;BARKW3,136.350,133.530,132.610,133.750,130.780,125.640,122.040,123.270,122.050,123.440,122.270,120.860,117.400,113.170,112.070,107.880,106.470,103.060,100.170,96.870,95.040,91.160,87.520,82.360,78.090,73.290,69.460,67.700,66.340,65.240,63.370
BEDDT1,1.160,1.150,1.140,1.130,1.110,1.100,1.080,1.060,1.040,1.070,1.080,1.080,1.090,1.100,1.110,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760,0.760
BEDD_1,102.660,102.460,97.010,98.020,81.840,80.470,74.330,74.480,69.500,69.710,48.930,47.770,45.880,44.640,43.660,42.130,40.830,39.320,37.590,36.250,35.020,33.590,31.820,30.070,28.210,26.680,25.060,24.230,23.590,23.040,22.210
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,10.070,12.270,12.280,11.610,11.640,11.670,11.720,11.760,10.400,10.440,9.630,9.630,9.620,8.180,8.170,6.950,6.900,6.110,6.090,5.360,5.360,4.620,4.620,3.890,3.900,3.170,3.180,3.190,3.210,3.220,3.240
BESW_1,17.670,17.500,17.320,17.150,16.950,16.740,16.520,16.270,16.000,16.070,15.750,15.450,15.160,14.900,14.680,11.880,11.420,10.990,10.590,10.210,9.860,9.550,9.290,9.070,8.890,8.730,8.600,8.490,8.390,8.300,8.210
BICF_1,50.320,52.150,54.060,56.020,58.060,60.180,62.370,64.560,66.610,68.650,70.540,72.400,74.190,75.950,77.770,79.750,81.350,82.890,84.620,86.450,88.260,90.360,92.500,94.680,96.870,99.480,102.150,104.880,108.110,111.420,114.820
BIRK_1,43.760,50.310,52.270,56.550,59.100,60.630,61.850,62.290,62.970,64.750,65.370,67.440,70.530,76.510,70.230,67.340,69.420,69.070,69.180,69.550,73.960,81.260,89.540,98.830,107.190,114.630,121.140,126.720,131.370,135.080,138.790
BISW_1,27.970,28.310,28.700,30.300,30.820,31.410,32.060,32.710,33.360,34.010,34.300,34.120,33.340,32.990,32.850,32.890,32.540,31.950,31.300,30.990,30.710,30.160,29.340,28.470,27.490,26.700,25.830,25.520,25.330,25.210,24.880
BLYTB1,35.400,36.450,37.550,38.650,39.730,40.800,41.870,42.920,43.870,44.930,45.800,46.680,47.570,48.460,49.370,49.470,50.270,51.090,51.920,52.770,53.640,54.780,55.960,57.190,58.440,60.000,61.610,63.260,65.250,67.290,69.400
BOLN_1,71.010,70.450,70.400,72.180,71.880,71.250,70.810,71.010,70.670,70.960,69.910,68.320,65.720,63.490,62.150,59.570,57.800,55.450,53.060,50.950,49.270,47.020,44.590,41.900,39.340,36.940,34.710,33.570,32.690,31.940,30.790
BONN,1.060,1.050,1.040,1.030,1.020,1.000,0.990,0.970,0.960,0.980,0.970,0.960,0.960,0.940,0.930,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600
BOTW_1,46.310,43.740,39.480,33.100,24.600,11.850,2.170,2.140,2.110,2.070,1.990,1.900,1.820,1.740,1.660,1.590,1.470,1.370,1.270,1.180,1.090,1.020,0.950,0.900,0.860,0.820,0.780,0.760,0.730,0.710,0.690
BRAI_1,25.620,30.200,31.640,34.680,36.590,37.810,38.850,39.370,40.060,41.070,41.410,42.710,44.670,48.570,44.090,45.170,46.430,45.990,45.960,46.160,49.110,54.030,59.640,65.950,71.650,76.720,81.160,84.970,88.160,90.700,93.250
BRAW_1,21.320,20.770,19.760,18.150,15.970,12.620,10.090,10.170,10.260,10.430,10.470,10.520,10.580,10.640,10.720,10.200,10.200,10.210,10.210,10.200,10.170,10.150,10.120,10.090,10.060,10.030,10.000,9.970,9.940,9.910,9.880
BRED_1,5.660,5.780,5.890,6.010,6.160,6.330,6.520,6.700,6.880,7.120,7.310,7.480,7.610,7.730,7.890,7.670,7.740,7.780,7.900,8.070,8.210,8.320,8.430,8.530,8.620,8.700,8.770,8.840,8.910,8.980,9.060
BRFO_1;CLT03,227.610,221.410,214.200,202.290,186.390,162.640,144.860,145.380,142.360,141.530,137.110,131.950,124.630,113.430,100.390,72.570,72.310,70.560,69.990,68.640,68.420,66.620,65.680,63.560,62.510,60.530,59.610,59.360,59.260,59.240,58.980
BRID_P,1.160,1.150,1.140,1.130,1.120,1.100,1.090,1.070,1.050,1.070,1.060,1.050,1.040,1.020,1.000,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630
BRIM_1,13.590,13.510,13.420,13.350,13.240,13.150,13.080,12.960,12.850,13.240,13.360,13.480,13.590,13.720,13.920,10.340,10.350,10.340,10.390,10.450,10.520,10.570,10.620,10.660,10.710,10.750,10.790,10.830,10.870,10.900,10.950
BRWA1,54.410,68.460,73.330,82.860,89.030,93.190,96.780,98.910,101.500,105.080,107.310,112.390,119.430,132.160,120.250,124.500,129.900,130.330,131.710,133.610,143.530,159.230,176.830,196.350,213.980,229.830,243.790,255.870,266.200,274.640,283.110
BURM_1,127.840,128.990,130.140,129.890,130.160,130.940,132.250,133.530,133.090,132.880,130.070,126.070,120.110,111.250,97.050,65.030,66.670,68.070,70.150,72.530,74.690,76.350,77.970,79.520,80.990,82.370,83.760,85.160,86.580,88.020,89.490
BUSH_1,40.860,41.070,41.360,43.290,43.710,44.190,44.710,45.230,45.740,46.250,46.150,45.410,43.810,42.820,42.160,41.710,40.700,39.370,38.030,37.190,36.440,35.390,34.000,32.580,31.020,29.770,28.400,27.830,27.420,27.110,26.530
BUST_1,2.100,2.080,2.050,2.030,2.010,1.990,1.970,1.940,1.910,1.880,1.800,1.720,1.650,1.580,1.510,1.440,1.340,1.240,1.150,1.070,0.990,0.920,0.860,0.820,0.780,0.740,0.710,0.690,0.670,0.650,0.630
CAMB_01,10.000,9.900,9.800,9.710,9.570,9.440,9.310,9.150,8.990,9.240,9.280,9.330,9.390,9.470,9.600,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560,6.560
