Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,83.170,92.130,105.610,127.410,149.090,170.650,192.100,213.420,234.630,256.550,282.070,310.080,335.640,362.140,381.650,393.320,399.700,404.750,419.330,438.050,455.520,474.340,493.040,498.890,498.370,497.840,497.300,496.750,496.190,495.630
ABNE_P,14.750,18.350,23.350,24.400,25.550,26.830,28.210,29.710,31.330,32.260,34.330,36.680,39.080,41.700,44.080,46.110,47.880,49.620,52.060,54.910,57.780,60.890,64.120,66.380,68.120,69.860,71.620,73.380,75.150,76.920
ABTH_1,60.610,67.130,76.960,78.270,79.580,80.880,82.180,83.470,84.750,86.070,87.610,89.300,90.850,92.450,93.630,94.330,94.720,95.020,95.900,97.030,98.090,99.220,100.350,100.710,100.670,100.640,100.610,100.580,100.540,100.510
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.000,0.000,2.880,5.720,8.560,11.400,14.200,17.000,19.880,23.240,26.920,30.320,33.800,36.360,37.920,38.760,39.400,41.320,43.800,46.120,48.600,51.040,51.800,51.760,51.680,51.600,51.520,51.480,51.400
ALNE_P,0.490,0.600,0.770,1.820,2.980,4.250,5.640,7.150,8.760,9.700,11.770,14.130,16.530,19.150,21.530,23.570,25.350,27.090,29.540,32.390,35.270,38.390,41.620,43.880,45.620,47.370,49.130,50.900,52.670,54.450
ALVE1,168.220,186.330,213.590,235.390,257.070,278.640,300.080,321.410,342.620,364.540,390.060,418.060,443.630,470.120,489.640,501.300,507.690,512.730,527.320,546.030,563.510,582.330,601.020,606.880,606.360,605.830,605.290,604.740,604.180,603.620
AMEM_1,35.470,39.290,45.040,45.920,46.790,47.660,48.520,49.380,50.230,51.120,52.140,53.270,54.300,55.370,56.150,56.620,56.880,57.080,57.670,58.420,59.130,59.880,60.640,60.870,60.850,60.830,60.810,60.790,60.760,60.740
ARBR_P,24.230,30.150,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360,38.360
ARDK_P;CLAC_P,0.000,0.000,0.000,1.050,2.210,3.480,4.870,6.370,7.990,8.930,11.000,13.360,15.760,18.380,20.760,22.800,24.580,26.320,28.770,31.610,34.500,37.620,40.850,43.120,44.850,46.600,48.360,50.120,51.890,53.680
ARMO_P,0.000,0.000,0.000,2.250,4.760,7.500,10.500,13.740,17.220,19.230,23.700,28.780,33.960,39.600,44.730,49.120,52.950,56.700,61.970,68.110,74.330,81.030,88.000,92.870,96.630,100.400,104.180,107.980,111.800,115.630
