Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,3.116,3.159,3.179,3.190,3.513,4.096,5.135,7.127,10.479,16.122,24.984,37.782,55.782,78.812,105.958,135.782,150.202,150.243,150.285,150.330,150.378,150.428,150.481,150.536,150.594,150.655,150.719,150.785,150.855,150.928
ABNE_P,0.000,0.000,0.000,0.000,0.014,0.037,0.082,0.167,0.313,0.559,0.944,1.501,2.284,3.287,4.474,5.767,6.391,6.391,6.391,6.391,6.391,6.391,6.391,6.391,6.391,6.391,6.391,6.391,6.391,6.391
ABTH_1,1.946,1.972,1.985,1.992,2.098,2.281,2.603,3.214,4.227,5.934,8.615,12.488,17.933,24.892,33.060,42.120,46.508,46.533,46.559,46.588,46.617,46.649,46.682,46.716,46.753,46.791,46.830,46.872,46.915,46.961
ACTL_2;CBNK_H;GREE_H;PERI_H,0.385,0.390,0.393,0.394,0.473,0.539,0.706,1.025,1.567,2.477,3.907,5.974,8.877,12.594,16.980,21.789,24.113,24.118,24.123,24.129,24.135,24.141,24.148,24.154,24.162,24.169,24.177,24.185,24.194,24.203
ALNE_P,0.132,0.133,0.134,0.135,0.140,0.149,0.164,0.193,0.239,0.318,0.442,0.621,0.873,1.194,1.570,1.991,2.195,2.196,2.198,2.200,2.202,2.204,2.206,2.209,2.211,2.214,2.217,2.219,2.222,2.225
ALVE1,1.581,1.603,1.613,1.619,1.968,2.568,3.673,5.801,9.409,15.484,25.019,38.791,58.162,82.961,112.252,144.280,159.754,159.775,159.796,159.819,159.843,159.869,159.896,159.924,159.953,159.984,160.016,160.050,160.085,160.122
AMEM_1,0.000,0.000,0.000,0.000,0.077,0.173,0.377,0.771,1.445,2.578,4.357,6.926,10.540,15.169,20.647,26.611,29.490,29.490,29.490,29.490,29.490,29.490,29.490,29.490,29.490,29.490,29.490,29.490,29.490,29.490
ARBR_P,2.600,2.635,2.652,2.661,2.684,2.715,2.755,2.816,2.879,2.987,3.161,3.412,3.762,4.189,4.607,5.283,5.626,5.660,5.695,5.733,5.773,5.815,5.859,5.905,5.954,6.004,6.057,6.113,6.171,6.232
ARDK_P;CLAC_P,0.000,0.000,0.000,0.000,0.004,0.010,0.024,0.048,0.090,0.160,0.268,0.428,0.650,0.936,1.274,1.642,1.820,1.820,1.820,1.820,1.820,1.820,1.820,1.820,1.820,1.820,1.820,1.820,1.820,1.820
ARMO_P,0.390,0.395,0.398,0.399,0.421,0.462,0.533,0.668,0.892,1.270,1.863,2.719,3.924,5.463,7.272,9.274,10.243,10.248,10.254,10.259,10.265,10.272,10.278,10.285,10.292,10.300,10.308,10.316,10.325,10.334
AXMI1,3.493,3.541,3.563,3.576,3.766,4.087,4.657,5.740,7.533,10.554,15.299,22.153,31.791,44.107,58.563,74.600,82.366,82.412,82.458,82.510,82.563,82.620,82.679,82.741,82.806,82.874,82.945,83.020,83.098,83.180
AYRR,0.001,0.001,0.001,0.001,0.007,0.017,0.036,0.073,0.135,0.241,0.406,0.644,0.979,1.409,1.917,2.471,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738
BAGA,0.000,0.000,0.000,0.000,0.053,0.152,0.331,0.678,1.269,2.265,3.828,6.085,9.260,13.326,18.139,23.378,25.908,25.908,25.908,25.908,25.908,25.908,25.908,25.908,25.908,25.908,25.908,25.908,25.908,25.908
BAIN,0.000,0.000,0.000,0.000,0.017,0.050,0.108,0.222,0.416,0.742,1.254,1.993,3.034,4.366,5.943,7.659,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488
BARKC1;BARKW3,1.637,1.659,1.670,1.676,1.904,2.200,2.804,3.963,5.914,9.200,14.358,21.809,32.287,45.695,61.507,78.862,87.253,87.274,87.296,87.320,87.345,87.372,87.399,87.428,87.459,87.491,87.524,87.559,87.596,87.634
BEAU_P;ORRI_P,0.000,0.000,0.000,0.000,0.008,0.022,0.046,0.096,0.178,0.318,0.538,0.856,1.302,1.872,2.550,3.286,3.642,3.642,3.642,3.642,3.642,3.642,3.642,3.642,3.642,3.642,3.642,3.642,3.642,3.642
BEDDT1,0.000,0.000,0.000,0.000,0.113,0.256,0.557,1.140,2.136,3.811,6.441,10.238,15.581,22.424,30.521,39.337,43.594,43.594,43.594,43.594,43.594,43.594,43.594,43.594,43.594,43.594,43.594,43.594,43.594,43.594
BEDD_1,1.783,1.807,1.818,1.825,2.282,2.920,4.195,6.651,10.816,17.827,28.834,44.730,67.088,95.713,129.524,166.491,184.351,184.374,184.398,184.424,184.451,184.480,184.510,184.542,184.575,184.610,184.646,184.684,184.724,184.766
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.145,1.161,1.168,1.172,1.239,1.353,1.551,1.934,2.564,3.633,5.305,7.723,11.120,15.467,20.566,26.220,28.959,28.973,28.989,29.005,29.023,29.042,29.061,29.081,29.103,29.125,29.148,29.173,29.198,29.225
BERW,0.421,0.427,0.430,0.431,0.451,0.485,0.544,0.657,0.842,1.154,1.643,2.351,3.346,4.618,6.108,7.766,8.570,8.575,8.581,8.587,8.593,8.600,8.607,8.615,8.623,8.631,8.639,8.648,8.658,8.668
BESW_1,0.992,1.005,1.012,1.015,1.394,1.875,2.878,4.815,8.106,13.646,22.341,34.898,52.562,75.180,101.909,131.099,145.198,145.211,145.224,145.239,145.254,145.270,145.287,145.304,145.323,145.342,145.362,145.384,145.406,145.429
BICF_1,4.884,4.950,4.981,4.999,5.208,5.583,6.227,7.443,9.441,12.810,18.103,25.748,36.496,50.223,66.302,84.225,92.911,92.975,93.040,93.112,93.187,93.266,93.348,93.435,93.526,93.621,93.721,93.825,93.934,94.048
BIRK_1,2.401,2.433,2.449,2.457,2.682,3.103,3.842,5.257,7.635,11.640,17.928,27.011,39.784,56.126,75.381,96.553,106.790,106.821,106.854,106.889,106.926,106.964,107.005,107.048,107.092,107.139,107.188,107.239,107.293,107.349
BISW_1,22.971,23.282,23.432,23.515,24.219,25.285,27.161,30.649,36.241,45.679,60.513,81.949,112.070,150.464,195.123,245.704,270.279,270.576,270.884,271.221,271.573,271.944,272.333,272.741,273.169,273.617,274.086,274.576,275.090,275.627
BLYTB1,2.914,2.953,2.972,2.983,3.092,3.278,3.600,4.203,5.188,6.848,9.457,13.226,18.524,25.287,33.191,42.045,46.339,46.377,46.416,46.459,46.503,46.551,46.600,46.652,46.706,46.763,46.822,46.884,46.950,47.018
BLYTH132,0.000,0.000,0.000,0.000,0.075,0.208,0.454,0.929,1.740,3.105,5.247,8.340,12.692,18.266,24.862,32.044,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512
BOAG_P,0.148,0.150,0.151,0.152,0.180,0.234,0.331,0.516,0.830,1.358,2.188,3.386,5.071,7.228,9.776,12.563,13.909,13.911,13.913,13.915,13.918,13.920,13.923,13.925,13.928,13.931,13.934,13.937,13.940,13.944
BOLN_1,4.670,4.733,4.763,4.780,5.481,6.532,8.554,12.439,18.998,30.041,47.379,72.419,107.638,152.711,205.888,264.187,292.366,292.427,292.489,292.558,292.629,292.705,292.784,292.867,292.954,293.045,293.140,293.240,293.344,293.453
BONN,0.790,0.800,0.806,0.808,0.874,0.991,1.200,1.598,2.266,3.391,5.156,7.707,11.294,15.882,21.284,27.234,30.111,30.122,30.132,30.144,30.156,30.169,30.182,30.196,30.211,30.226,30.242,30.259,30.277,30.295
BOTW_1,0.002,0.002,0.002,0.002,0.115,0.301,0.654,1.337,2.502,4.464,7.543,11.990,18.246,26.258,35.739,46.063,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.048
BRAC_P,0.245,0.248,0.250,0.251,0.301,0.341,0.446,0.647,0.986,1.558,2.455,3.751,5.573,7.906,10.657,13.674,15.133,15.136,15.139,15.143,15.146,15.150,15.155,15.159,15.163,15.168,15.173,15.178,15.184,15.190
BRAI_1,0.418,0.424,0.426,0.428,0.550,0.756,1.138,1.876,3.129,5.238,8.550,13.331,20.058,28.670,38.847,49.963,55.334,55.339,55.345,55.351,55.357,55.364,55.371,55.378,55.386,55.394,55.403,55.412,55.421,55.431
BRAP,0.000,0.000,0.000,0.000,0.020,0.028,0.061,0.124,0.233,0.415,0.702,1.115,1.697,2.443,3.325,4.286,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749
BRAW_1,1.129,1.144,1.152,1.156,1.570,2.199,3.417,5.769,9.767,16.496,27.058,42.312,63.769,91.244,123.716,159.169,176.295,176.309,176.324,176.341,176.358,176.376,176.396,176.416,176.437,176.459,176.482,176.506,176.531,176.557
BRED_1,0.133,0.135,0.136,0.136,1.444,1.380,2.844,5.678,10.515,18.654,31.428,49.877,75.829,109.070,148.398,191.232,211.915,211.916,211.918,211.920,211.922,211.924,211.926,211.929,211.931,211.934,211.937,211.939,211.942,211.946
BRFO_1;CLT03,12.180,12.345,12.424,12.468,13.227,14.543,16.877,21.320,28.711,41.164,60.722,88.972,128.696,179.478,239.158,305.177,337.134,337.291,337.455,337.633,337.820,338.017,338.223,338.440,338.666,338.904,339.152,339.413,339.685,339.969
BRID_P,1.417,1.436,1.445,1.450,1.486,1.544,1.642,1.822,2.108,2.590,3.348,4.443,5.982,7.941,10.212,12.805,14.067,14.085,14.104,14.125,14.147,14.170,14.194,14.219,14.245,14.273,14.302,14.332,14.364,14.397
BRIM_1,1.631,1.653,1.663,1.669,2.006,2.400,3.246,4.874,7.627,12.263,19.540,30.050,44.832,63.754,86.089,110.547,122.366,122.388,122.409,122.433,122.458,122.485,122.512,122.541,122.572,122.603,122.637,122.671,122.708,122.746
BROA_P,0.002,0.002,0.002,0.002,0.009,0.024,0.051,0.102,0.189,0.336,0.566,0.899,1.367,1.966,2.675,3.448,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821
BROR_P,0.000,0.000,0.000,0.000,0.005,0.015,0.033,0.068,0.127,0.227,0.384,0.611,0.929,1.337,1.820,2.346,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600
