Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.333,0.847,1.397,2.076,3.057,4.415,6.023,7.876,9.987,12.335,14.992,17.966,21.200,24.702,28.471,32.508,36.812,41.383,46.222,51.377,56.857,62.622,68.656,74.975,81.565,88.442,95.598,103.019,110.728,118.718
ABNE_P,0.029,0.075,0.124,0.184,0.270,0.391,0.533,0.697,0.884,1.091,1.326,1.590,1.876,2.185,2.519,2.876,3.257,3.661,4.089,4.545,5.030,5.540,6.074,6.633,7.216,7.825,8.458,9.114,9.796,10.503
ABTH_1,0.067,0.170,0.280,0.416,0.612,0.884,1.207,1.578,2.000,2.471,3.003,3.599,4.247,4.948,5.703,6.511,7.374,8.289,9.258,10.291,11.389,12.543,13.752,15.018,16.338,17.715,19.149,20.635,22.179,23.780
ACTL_2;CBNK_H;GREE_H;PERI_H,0.018,0.045,0.074,0.109,0.161,0.233,0.317,0.415,0.526,0.650,0.790,0.947,1.117,1.302,1.500,1.713,1.940,2.181,2.436,2.708,2.996,3.300,3.618,3.951,4.298,4.661,5.038,5.429,5.835,6.256
ALNE_P,0.011,0.028,0.046,0.068,0.100,0.145,0.198,0.259,0.328,0.405,0.492,0.590,0.696,0.811,0.935,1.067,1.209,1.359,1.517,1.687,1.867,2.056,2.254,2.461,2.678,2.904,3.138,3.382,3.635,3.898
ALVE1,0.287,0.730,1.204,1.790,2.635,3.806,5.192,6.789,8.609,10.633,12.924,15.487,18.275,21.294,24.543,28.022,31.732,35.673,39.844,44.288,49.012,53.981,59.183,64.630,70.310,76.238,82.407,88.805,95.450,102.337
AMEM_1,0.032,0.082,0.135,0.200,0.295,0.426,0.581,0.759,0.963,1.189,1.446,1.732,2.044,2.382,2.745,3.134,3.549,3.990,4.457,4.954,5.482,6.038,6.620,7.229,7.864,8.527,9.218,9.933,10.676,11.447
ARBR_P,0.029,0.074,0.122,0.181,0.266,0.385,0.525,0.686,0.870,1.075,1.306,1.565,1.847,2.152,2.480,2.832,3.207,3.605,4.027,4.476,4.953,5.456,5.981,6.532,7.106,7.705,8.328,8.975,9.646,10.343
ARDK_P;CLAC_P,0.001,0.003,0.004,0.007,0.010,0.014,0.019,0.025,0.031,0.039,0.047,0.056,0.067,0.078,0.090,0.102,0.116,0.130,0.145,0.162,0.179,0.197,0.216,0.236,0.256,0.278,0.301,0.324,0.348,0.373
ARMO_P,0.007,0.019,0.031,0.046,0.068,0.098,0.134,0.175,0.221,0.273,0.332,0.398,0.470,0.548,0.631,0.721,0.816,0.917,1.025,1.139,1.260,1.388,1.522,1.662,1.808,1.961,2.119,2.284,2.455,2.632
AXMI1,0.165,0.420,0.693,1.029,1.516,2.189,2.986,3.905,4.952,6.116,7.433,8.908,10.511,12.247,14.116,16.117,18.251,20.518,22.917,25.473,28.190,31.048,34.040,37.173,40.439,43.849,47.397,51.077,54.899,58.860
AYRR,0.007,0.018,0.030,0.044,0.065,0.094,0.128,0.167,0.212,0.262,0.319,0.382,0.451,0.525,0.605,0.691,0.783,0.880,0.983,1.093,1.209,1.332,1.460,1.594,1.735,1.881,2.033,2.191,2.355,2.525
BAGA,0.019,0.050,0.082,0.121,0.179,0.258,0.352,0.461,0.584,0.721,0.877,1.051,1.240,1.445,1.665,1.901,2.153,2.420,2.703,3.005,3.325,3.662,4.015,4.385,4.770,5.172,5.591,6.025,6.476,6.943
BAIN,0.006,0.015,0.024,0.036,0.052,0.076,0.103,0.135,0.171,0.212,0.257,0.308,0.364,0.424,0.488,0.558,0.632,0.710,0.793,0.881,0.975,1.074,1.178,1.286,1.399,1.517,1.640,1.767,1.900,2.037
BARKC1;BARKW3,0.064,0.163,0.268,0.399,0.587,0.848,1.157,1.513,1.918,2.369,2.880,3.451,4.072,4.745,5.469,6.244,7.071,7.949,8.879,9.869,10.922,12.029,13.188,14.402,15.668,16.989,18.363,19.789,21.270,22.805
BEAU_P;ORRI_P,0.018,0.045,0.074,0.110,0.162,0.234,0.320,0.418,0.530,0.655,0.796,0.954,1.126,1.312,1.512,1.726,1.955,2.198,2.455,2.729,3.020,3.326,3.646,3.982,4.332,4.697,5.077,5.471,5.881,6.305
BEDDT1,0.018,0.047,0.077,0.115,0.169,0.244,0.333,0.436,0.553,0.682,0.830,0.994,1.173,1.367,1.575,1.799,2.037,2.290,2.557,2.843,3.146,3.465,3.799,4.148,4.513,4.893,5.289,5.700,6.126,6.569
BEDD_1,0.078,0.200,0.329,0.489,0.720,1.040,1.420,1.856,2.354,2.907,3.533,4.234,4.996,5.821,6.710,7.661,8.675,9.752,10.893,12.108,13.399,14.758,16.180,17.669,19.222,20.842,22.529,24.278,26.094,27.977
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.023,0.058,0.096,0.143,0.211,0.304,0.415,0.543,0.689,0.850,1.034,1.239,1.462,1.703,1.963,2.241,2.538,2.853,3.187,3.542,3.920,4.318,4.734,5.169,5.624,6.098,6.591,7.103,7.635,8.186
BERW,0.025,0.062,0.103,0.153,0.226,0.326,0.444,0.581,0.737,0.910,1.106,1.325,1.564,1.822,2.100,2.398,2.715,3.052,3.409,3.790,4.194,4.619,5.064,5.530,6.016,6.523,7.051,7.599,8.167,8.757
BESW_1,0.107,0.273,0.450,0.669,0.984,1.422,1.940,2.536,3.216,3.972,4.828,5.785,6.827,7.954,9.168,10.468,11.854,13.326,14.884,16.544,18.309,20.165,22.108,24.143,26.265,28.479,30.784,33.173,35.656,38.229
BICF_1,0.102,0.259,0.428,0.635,0.936,1.351,1.844,2.411,3.057,3.776,4.589,5.499,6.489,7.561,8.715,9.951,11.268,12.667,14.149,15.727,17.404,19.169,21.016,22.950,24.967,27.072,29.263,31.534,33.894,36.340
