Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,253.751,258.637,263.173,267.750,273.227,274.568,281.004,287.197,294.137,303.629,314.289,324.514,339.119,354.791,371.393,387.149,401.777,418.977,436.133,452.864,466.018,471.741,481.557,490.310,498.184,502.504,503.446,508.475,513.391,518.212,523.046
ABNE_P,37.257,37.533,38.110,38.444,38.624,38.755,38.846,38.883,39.018,39.215,39.521,40.025,40.557,41.126,41.727,42.266,42.803,43.459,44.124,44.780,45.291,45.543,45.967,46.352,46.704,46.884,46.876,47.097,47.309,47.511,47.710
ABTH_1,262.286,263.869,264.869,265.791,267.371,264.401,264.902,264.711,264.647,266.432,268.975,272.776,276.707,281.009,285.596,289.997,293.955,298.846,303.588,308.037,311.549,313.788,316.544,318.867,320.819,321.956,323.056,324.359,325.562,326.692,327.752
ACTL_2;CBNK_H;GREE_H;PERI_H,112.178,113.566,114.416,115.479,116.913,116.325,117.399,118.329,119.352,121.287,123.504,125.989,128.821,131.827,134.994,137.841,141.014,144.048,147.170,150.351,152.822,154.568,156.672,158.653,160.516,161.456,162.165,163.301,164.422,165.528,166.631
ALNE_P,22.516,22.782,23.134,23.406,23.603,23.797,23.823,23.972,24.190,24.469,24.827,25.216,25.684,26.189,26.725,27.235,27.658,28.225,28.783,29.316,29.733,29.914,30.232,30.505,30.740,30.870,30.866,31.019,31.163,31.302,31.437
ALVE1,208.973,212.374,215.161,218.150,221.891,221.968,225.271,228.116,231.215,236.105,241.703,247.077,255.152,263.822,273.006,281.691,289.688,298.826,307.961,316.894,323.918,327.139,332.571,337.428,341.809,344.223,344.830,347.577,350.249,352.863,355.463
AMEM_1,79.887,82.221,84.678,87.456,90.767,93.096,96.418,100.079,104.295,109.643,115.663,122.444,130.038,138.224,146.912,155.347,164.541,173.286,181.963,190.343,196.966,202.146,207.201,211.648,215.623,217.918,220.156,222.715,225.207,227.652,230.110
ARBR_P,30.886,31.300,31.810,32.223,32.542,32.870,33.452,33.950,34.592,35.361,36.262,37.464,38.604,39.830,41.129,42.351,43.596,45.022,46.436,47.814,48.893,49.429,50.227,50.936,51.567,51.902,51.921,52.331,52.730,53.120,53.509
ARDK_P;CLAC_P,7.777,7.846,7.945,8.017,8.058,8.096,8.072,8.069,8.082,8.107,8.154,8.215,8.287,8.364,8.449,8.527,8.598,8.686,8.770,8.848,8.910,8.950,9.000,9.042,9.075,9.094,9.104,9.126,9.146,9.163,9.179
ARMO_P,20.764,21.011,21.412,21.708,21.941,22.175,22.449,22.778,23.213,23.739,24.370,25.147,25.957,26.829,27.756,28.636,29.472,30.484,31.487,32.454,33.214,33.569,34.130,34.623,35.058,35.297,35.304,35.587,35.863,36.130,36.397
AXMI1,196.396,199.144,201.522,204.163,207.530,207.683,210.073,212.561,215.431,220.034,225.396,231.439,238.457,246.003,253.997,261.571,268.886,276.754,284.622,292.314,298.365,302.136,306.935,311.229,315.113,317.272,318.524,320.958,323.321,325.626,327.917
AYRR,46.980,47.656,48.419,49.073,49.597,50.144,51.148,51.949,52.967,54.180,55.608,57.506,59.343,61.324,63.430,65.433,67.566,69.886,72.174,74.377,76.107,77.052,78.309,79.408,80.368,80.889,81.001,81.634,82.248,82.846,83.439
BAGA,36.359,36.909,37.556,38.121,38.605,39.127,40.058,40.858,41.871,43.077,44.491,46.356,48.144,50.080,52.139,54.133,56.261,58.546,60.781,62.914,64.593,65.564,66.764,67.795,68.681,69.180,69.353,69.949,70.522,71.079,71.634
BAIN,25.927,26.294,26.789,27.218,27.600,28.022,28.721,29.369,30.198,31.194,32.372,33.932,35.411,37.018,38.732,40.414,42.227,44.141,46.002,47.752,49.137,49.988,50.963,51.783,52.478,52.887,53.087,53.561,54.014,54.452,54.886
BARKC1;BARKW3,342.201,346.095,348.531,351.333,355.172,352.749,354.608,356.031,357.503,361.489,366.246,371.398,378.305,385.673,393.441,400.478,408.486,415.920,423.516,431.169,437.135,441.941,447.095,451.885,456.340,458.639,460.713,463.442,466.112,468.722,471.299
BEAU_P;ORRI_P,32.095,32.448,32.935,33.302,33.564,33.820,34.010,34.246,34.594,35.029,35.584,36.301,37.043,37.849,38.706,39.524,40.321,41.254,42.169,43.038,43.724,44.096,44.607,45.048,45.425,45.637,45.684,45.934,46.172,46.400,46.621
BEDDT1,118.588,121.719,124.997,128.041,131.431,132.944,136.754,140.690,144.992,150.488,156.508,161.885,170.725,180.166,190.144,199.519,210.030,220.480,231.003,241.399,249.554,255.872,262.147,267.861,273.105,275.900,278.601,281.963,285.291,288.576,291.900
BEDD_1,457.175,462.420,467.266,472.291,478.778,478.255,484.735,491.911,500.562,513.613,528.855,547.517,566.476,586.898,608.570,629.233,652.321,675.439,698.381,720.588,738.069,751.909,765.288,777.124,787.673,793.514,799.415,806.316,813.017,819.551,826.060
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,47.928,48.554,49.220,49.787,50.202,50.622,50.963,51.348,51.891,52.559,53.392,54.425,55.500,56.662,57.900,59.077,60.223,61.557,62.862,64.106,65.083,65.607,66.334,66.956,67.485,67.777,67.838,68.190,68.523,68.844,69.157
BERW,23.550,23.926,24.241,24.549,24.787,25.036,25.446,25.759,26.152,26.614,27.158,27.856,28.546,29.290,30.080,30.823,31.607,32.463,33.309,34.127,34.768,35.109,35.580,35.990,36.350,36.537,36.566,36.801,37.028,37.252,37.470
BESW_1,316.759,321.206,324.081,327.668,332.517,331.672,335.128,338.594,342.451,349.104,356.856,365.433,375.919,387.220,399.209,410.624,422.352,434.514,446.585,458.284,467.490,474.304,481.478,487.816,493.463,496.597,499.334,502.948,506.448,509.855,513.227
BICF_1,211.306,214.035,216.027,218.352,221.431,220.775,223.723,225.557,227.571,231.289,235.611,240.543,246.520,252.909,259.661,265.924,271.321,277.703,284.161,290.582,295.614,297.246,301.323,305.048,308.471,310.313,310.244,312.316,314.335,316.307,318.262
BIRK_1,227.740,230.196,232.363,234.548,237.436,236.626,238.912,241.307,244.181,249.032,254.821,261.834,269.661,278.120,287.110,295.734,304.395,314.096,323.654,332.820,340.044,345.868,351.344,356.120,360.311,362.663,365.247,368.026,370.702,373.296,375.862
BISW_1,461.183,467.585,473.028,478.349,485.066,483.942,490.132,496.495,503.708,514.976,528.053,541.440,560.116,580.251,601.625,622.035,642.428,665.322,687.952,709.775,726.954,738.058,750.890,762.153,772.105,777.619,781.654,788.181,794.505,800.664,806.784
BLYTB1,520.475,522.924,525.107,526.534,528.905,522.431,520.834,518.406,515.963,516.660,518.539,522.262,526.376,530.863,535.636,539.937,543.617,548.565,553.460,558.179,561.869,564.938,568.348,571.365,574.005,575.442,576.713,578.376,579.902,581.310,582.588
BLYTH132,69.028,69.906,70.543,71.302,72.314,72.113,72.754,73.311,73.927,75.103,76.481,78.050,79.943,81.973,84.117,86.113,87.615,89.755,91.908,94.031,95.694,96.809,98.143,99.355,100.458,101.047,101.487,102.178,102.852,103.510,104.161
BOAG_P,25.907,26.209,26.536,26.795,26.967,27.126,27.205,27.289,27.437,27.627,27.887,28.224,28.579,28.963,29.370,29.744,30.096,30.526,30.950,31.358,31.680,31.843,32.093,32.315,32.506,32.603,32.607,32.730,32.845,32.957,33.062
BOLN_1,857.437,867.024,873.759,880.858,890.503,885.223,892.661,900.511,909.575,925.835,945.046,966.103,992.267,1020.453,1050.352,1078.622,1108.132,1139.979,1171.558,1202.154,1226.193,1242.665,1261.075,1277.356,1291.814,1299.689,1305.670,1315.080,1324.188,1333.042,1341.797
BONN,60.805,61.473,62.499,63.209,63.690,64.133,65.101,65.761,66.650,67.720,69.006,70.823,72.624,74.546,76.576,78.437,80.386,82.619,84.867,87.089,88.823,89.649,90.975,92.184,93.284,93.848,93.816,94.519,95.206,95.878,96.551
BOTW_1,156.750,158.745,160.588,162.601,165.190,165.283,166.739,168.364,170.294,173.577,177.491,182.176,187.339,192.913,198.831,204.518,210.469,216.287,222.059,227.636,232.038,235.424,238.946,242.047,244.811,246.400,247.812,249.563,251.246,252.880,254.491
BRAC_P,24.000,24.363,24.808,25.192,25.517,25.868,26.476,27.029,27.728,28.559,29.527,30.780,31.993,33.301,34.693,36.030,37.416,38.952,40.463,41.910,43.051,43.665,44.485,45.196,45.815,46.158,46.237,46.650,47.048,47.436,47.821
BRAI_1,229.928,233.434,236.271,239.643,244.010,244.705,249.623,254.413,259.988,267.994,277.170,287.752,299.109,311.337,324.308,336.723,348.602,361.924,375.142,387.935,398.015,403.277,410.864,417.553,423.509,426.850,428.196,432.015,435.725,439.345,442.955
BRAP,31.825,32.293,32.868,33.306,33.631,33.933,34.537,34.947,35.463,36.062,36.767,37.641,38.702,39.840,41.044,42.163,43.346,44.667,45.985,47.277,48.287,48.784,49.539,50.214,50.820,51.136,51.140,51.531,51.913,52.287,52.661
BRAW_1,394.838,398.900,401.286,404.173,408.378,405.650,408.867,412.264,416.266,423.693,432.541,443.499,455.101,467.630,480.934,493.584,507.242,521.743,536.054,549.838,560.674,570.514,578.814,586.098,592.512,596.015,600.673,604.933,609.050,613.043,616.987
BRED_1,265.537,268.606,271.498,274.732,279.122,279.688,283.706,288.898,295.321,304.731,315.970,330.085,344.097,359.404,375.762,392.069,409.527,427.657,445.150,461.416,474.337,485.262,494.491,502.116,508.461,512.363,517.279,521.708,525.896,529.927,533.888
BRFO_1;CLT03,775.294,783.036,788.275,793.953,801.947,796.525,803.187,809.187,816.269,829.777,845.926,864.517,886.014,909.194,933.780,957.013,979.510,1005.388,1031.031,1055.849,1075.351,1085.823,1100.751,1113.917,1125.580,1131.968,1134.688,1142.210,1149.461,1156.487,1163.401
BRID_P,23.966,24.297,24.712,25.065,25.356,25.667,26.176,26.642,27.242,27.963,28.813,29.936,30.994,32.137,33.353,34.522,35.734,37.074,38.393,39.651,40.643,41.188,41.905,42.525,43.064,43.366,43.439,43.799,44.145,44.480,44.815
BRIM_1,320.238,323.240,326.104,328.638,331.926,329.732,329.905,329.698,329.451,331.224,333.751,336.596,341.591,346.992,352.721,358.090,363.828,369.193,374.554,379.786,383.903,387.549,391.193,394.451,397.380,399.035,400.635,402.434,404.142,405.774,407.338
BROA_P,12.109,12.259,12.440,12.592,12.713,12.838,12.947,13.081,13.266,13.493,13.774,14.135,14.489,14.874,15.287,15.691,16.097,16.550,16.987,17.396,17.721,17.916,18.147,18.342,18.504,18.598,18.642,18.752,18.857,18.955,19.052
BROR_P,7.206,7.299,7.402,7.487,7.550,7.617,7.639,7.686,7.759,7.851,7.970,8.109,8.262,8.426,8.604,8.775,8.936,9.125,9.307,9.478,9.613,9.691,9.789,9.870,9.938,9.975,9.993,10.037,10.079,10.119,10.157
