Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,79.890,81.231,82.074,83.289,84.134,84.998,85.526,85.903,86.262,86.619,87.044,87.362,87.654,87.946,88.236,88.415,88.518,88.599,88.654,88.760,88.862,89.047,89.232,89.400,89.526,89.554,89.649,89.745,89.825,89.907,89.917
ABNE_P,10.421,10.596,10.706,10.864,10.975,11.087,11.156,11.205,11.252,11.299,11.354,11.396,11.434,11.472,11.510,11.533,11.546,11.557,11.564,11.578,11.591,11.615,11.640,11.661,11.678,11.681,11.694,11.706,11.717,11.727,11.729
ABTH_1,81.435,82.803,83.662,84.901,85.762,86.642,87.180,87.565,87.931,88.294,88.728,89.052,89.349,89.647,89.943,90.125,90.231,90.313,90.369,90.477,90.581,90.770,90.959,91.130,91.258,91.287,91.383,91.481,91.563,91.646,91.657
ACTL_2;CBNK_H;GREE_H;PERI_H,37.750,38.384,38.783,39.357,39.757,40.164,40.414,40.592,40.762,40.931,41.131,41.282,41.419,41.557,41.695,41.779,41.828,41.866,41.892,41.943,41.990,42.078,42.165,42.246,42.305,42.316,42.362,42.407,42.445,42.484,42.489
ALNE_P,7.490,7.616,7.695,7.809,7.888,7.969,8.018,8.054,8.087,8.121,8.161,8.190,8.218,8.245,8.272,8.289,8.299,8.306,8.312,8.322,8.331,8.348,8.366,8.382,8.393,8.396,8.405,8.414,8.421,8.429,8.430
ALVE1,68.825,69.981,70.707,71.754,72.482,73.226,73.681,74.005,74.315,74.622,74.989,75.263,75.514,75.765,76.016,76.169,76.259,76.328,76.375,76.467,76.555,76.714,76.874,77.019,77.127,77.151,77.233,77.315,77.384,77.455,77.464
AMEM_1,24.559,24.971,25.230,25.604,25.864,26.129,26.291,26.407,26.518,26.627,26.758,26.856,26.945,27.035,27.125,27.179,27.211,27.236,27.253,27.286,27.317,27.374,27.431,27.482,27.521,27.530,27.559,27.588,27.613,27.638,27.641
ARBR_P,10.418,10.593,10.703,10.862,10.972,11.084,11.153,11.202,11.249,11.296,11.351,11.393,11.431,11.469,11.507,11.530,11.543,11.554,11.561,11.575,11.588,11.612,11.637,11.658,11.675,11.679,11.691,11.703,11.714,11.724,11.726
ARDK_P;CLAC_P,2.631,2.675,2.703,2.743,2.771,2.799,2.817,2.829,2.841,2.853,2.867,2.877,2.887,2.896,2.906,2.912,2.915,2.918,2.920,2.923,2.927,2.933,2.939,2.944,2.948,2.949,2.952,2.956,2.958,2.961,2.961
ARMO_P,6.018,6.119,6.183,6.274,6.338,6.403,6.443,6.471,6.498,6.525,6.557,6.581,6.603,6.625,6.647,6.661,6.668,6.674,6.679,6.687,6.694,6.708,6.722,6.735,6.744,6.746,6.754,6.761,6.767,6.773,6.774
AXMI1,62.165,63.209,63.865,64.810,65.468,66.140,66.551,66.844,67.124,67.401,67.732,67.980,68.206,68.434,68.660,68.799,68.879,68.942,68.985,69.067,69.146,69.291,69.435,69.566,69.664,69.685,69.759,69.834,69.896,69.960,69.968
AYRR,16.799,17.082,17.259,17.514,17.692,17.874,17.985,18.064,18.139,18.214,18.304,18.371,18.432,18.493,18.555,18.592,18.614,18.631,18.642,18.665,18.686,18.725,18.764,18.799,18.826,18.832,18.852,18.872,18.889,18.906,18.908
BAGA,12.672,12.885,13.019,13.211,13.345,13.482,13.566,13.626,13.683,13.740,13.807,13.858,13.904,13.950,13.996,14.024,14.041,14.054,14.062,14.079,14.095,14.125,14.154,14.181,14.201,14.205,14.220,14.235,14.248,14.261,14.263
BAIN,8.392,8.533,8.621,8.749,8.838,8.929,8.984,9.024,9.061,9.099,9.144,9.177,9.208,9.238,9.269,9.287,9.298,9.307,9.313,9.324,9.334,9.354,9.373,9.391,9.404,9.407,9.417,9.427,9.436,9.444,9.445
BARKC1;BARKW3,113.918,115.830,117.033,118.765,119.970,121.201,121.954,122.491,123.004,123.512,124.119,124.573,124.988,125.405,125.819,126.073,126.221,126.337,126.415,126.567,126.711,126.975,127.240,127.479,127.658,127.698,127.834,127.970,128.085,128.202,128.216
BEAU_P;ORRI_P,10.584,10.762,10.873,11.034,11.146,11.260,11.330,11.380,11.428,11.475,11.532,11.574,11.612,11.651,11.690,11.713,11.727,11.738,11.745,11.759,11.772,11.797,11.822,11.844,11.860,11.864,11.877,11.889,11.900,11.911,11.912
BEDDT1,35.460,36.055,36.430,36.969,37.344,37.727,37.962,38.129,38.288,38.447,38.636,38.777,38.906,39.036,39.165,39.244,39.290,39.326,39.350,39.397,39.442,39.525,39.607,39.681,39.737,39.750,39.792,39.834,39.870,39.906,39.911
BEDD_1,136.732,139.028,140.470,142.550,143.996,145.474,146.378,147.023,147.638,148.248,148.977,149.521,150.020,150.519,151.017,151.322,151.500,151.638,151.732,151.914,152.087,152.405,152.722,153.009,153.225,153.272,153.434,153.599,153.736,153.876,153.894
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,17.593,17.889,18.074,18.342,18.528,18.718,18.834,18.917,18.997,19.075,19.169,19.239,19.303,19.367,19.431,19.471,19.493,19.511,19.523,19.547,19.569,19.610,19.651,19.688,19.715,19.722,19.742,19.764,19.781,19.799,19.802
BERW,9.669,9.831,9.933,10.080,10.183,10.287,10.351,10.397,10.440,10.483,10.535,10.573,10.608,10.644,10.679,10.701,10.713,10.723,10.729,10.742,10.755,10.777,10.800,10.820,10.835,10.838,10.850,10.862,10.871,10.881,10.882
