Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.000,0.861,2.052,3.520,5.202,7.042,7.494,7.716,7.887,8.029,8.162,8.451,8.774,9.105,9.443,9.787,9.882,9.161,8.546,8.051,7.675,7.703,7.783,7.930,8.161,8.360,8.508,8.511,8.518,8.533,8.551
ABNE_P,0.000,0.009,0.020,0.035,0.051,0.070,0.078,0.080,0.082,0.083,0.085,0.084,0.087,0.091,0.094,0.097,0.090,0.083,0.078,0.073,0.070,0.061,0.062,0.063,0.065,0.066,0.059,0.059,0.059,0.059,0.059
ABTH_1,0.000,0.147,0.349,0.599,0.886,1.199,1.215,1.251,1.279,1.302,1.323,1.318,1.368,1.420,1.472,1.526,1.364,1.265,1.180,1.112,1.060,1.067,1.078,1.098,1.131,1.158,1.195,1.195,1.196,1.198,1.201
ACTL_2;CBNK_H;GREE_H;PERI_H,0.000,0.323,0.769,1.320,1.950,2.638,2.919,3.006,3.072,3.128,3.179,3.259,3.385,3.513,3.644,3.776,4.058,3.762,3.509,3.306,3.153,3.006,3.039,3.095,3.186,3.263,3.293,3.295,3.296,3.302,3.310
ALNE_P,0.000,0.012,0.028,0.047,0.070,0.095,0.106,0.110,0.112,0.114,0.116,0.115,0.119,0.124,0.128,0.133,0.123,0.114,0.106,0.100,0.095,0.083,0.084,0.085,0.088,0.090,0.080,0.080,0.080,0.080,0.080
ALVE1,0.000,0.743,1.772,3.039,4.491,6.079,6.470,6.661,6.808,6.931,7.046,7.295,7.575,7.860,8.152,8.449,8.531,7.908,7.377,6.950,6.626,6.649,6.719,6.846,7.045,7.217,7.345,7.347,7.353,7.366,7.381
AMEM_1,0.000,0.773,1.843,3.161,4.672,6.325,6.816,7.017,7.173,7.302,7.423,7.701,7.996,8.298,8.605,8.919,9.161,8.493,7.922,7.464,7.116,7.082,7.156,7.291,7.504,7.686,7.821,7.824,7.830,7.844,7.860
ARBR_P,0.000,0.009,0.022,0.037,0.055,0.074,0.083,0.086,0.087,0.089,0.091,0.090,0.093,0.097,0.100,0.104,0.096,0.089,0.083,0.078,0.075,0.065,0.066,0.067,0.069,0.071,0.063,0.063,0.063,0.063,0.063
ARDK_P;CLAC_P,0.000,0.001,0.003,0.006,0.008,0.011,0.012,0.013,0.013,0.013,0.014,0.013,0.014,0.014,0.015,0.016,0.014,0.013,0.012,0.012,0.011,0.010,0.010,0.010,0.010,0.011,0.009,0.009,0.009,0.009,0.009
ARMO_P,0.000,0.011,0.026,0.044,0.065,0.088,0.098,0.101,0.104,0.105,0.107,0.106,0.110,0.114,0.119,0.123,0.114,0.105,0.098,0.093,0.088,0.077,0.078,0.079,0.082,0.084,0.074,0.074,0.074,0.074,0.074
AXMI1,0.000,0.764,1.821,3.123,4.616,6.249,6.638,6.833,6.985,7.111,7.229,7.483,7.769,8.062,8.361,8.666,8.754,8.116,7.571,7.132,6.800,6.830,6.901,7.031,7.236,7.413,7.541,7.544,7.550,7.563,7.579
AYRR,0.000,0.010,0.023,0.040,0.059,0.080,0.085,0.087,0.089,0.091,0.092,0.091,0.094,0.098,0.101,0.105,0.092,0.085,0.079,0.075,0.071,0.066,0.066,0.068,0.069,0.071,0.069,0.069,0.069,0.069,0.069
BAGA,0.000,0.008,0.020,0.034,0.051,0.069,0.077,0.079,0.081,0.082,0.083,0.083,0.086,0.089,0.092,0.096,0.088,0.082,0.076,0.072,0.069,0.060,0.061,0.062,0.064,0.065,0.058,0.058,0.058,0.058,0.058
BAIN,0.000,0.006,0.013,0.023,0.034,0.046,0.051,0.053,0.054,0.055,0.056,0.055,0.057,0.060,0.062,0.064,0.059,0.055,0.051,0.048,0.046,0.040,0.041,0.041,0.043,0.044,0.039,0.039,0.039,0.039,0.039
BARKC1;BARKW3,0.000,0.811,1.934,3.316,4.901,6.634,7.346,7.564,7.730,7.871,8.001,8.273,8.589,8.913,9.244,9.581,10.247,9.499,8.862,8.349,7.959,7.681,7.762,7.908,8.138,8.337,8.430,8.433,8.439,8.454,8.471
BEAU_P;ORRI_P,0.000,0.008,0.019,0.033,0.049,0.066,0.074,0.076,0.078,0.079,0.080,0.080,0.083,0.086,0.089,0.092,0.085,0.079,0.074,0.069,0.066,0.058,0.058,0.060,0.061,0.063,0.056,0.056,0.056,0.056,0.056
BEDDT1,0.000,0.554,1.319,2.263,3.344,4.527,4.903,5.047,5.159,5.253,5.340,5.521,5.733,5.949,6.169,6.394,6.602,6.120,5.709,5.378,5.128,5.065,5.119,5.215,5.367,5.498,5.602,5.604,5.608,5.618,5.630
