Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,3.507,5.152,6.686,8.121,9.443,10.861,15.744,20.880,26.612,32.949,39.426,44.897,52.140,59.672,67.535,74.334,79.413,87.871,96.742,106.004,113.162,113.734,119.062,124.301,129.405,131.764,130.432,133.568,136.782,140.013,143.354
ABNE_P,0.130,0.191,0.248,0.301,0.350,0.403,0.706,0.936,1.193,1.477,1.767,2.128,2.472,2.829,3.201,3.524,3.830,4.238,4.666,5.113,5.458,5.538,5.797,6.052,6.301,6.416,6.333,6.486,6.642,6.798,6.961
ABTH_1,0.400,0.588,0.763,0.927,1.078,1.240,2.374,3.149,4.013,4.969,5.946,7.062,8.201,9.386,10.623,11.692,12.212,13.513,14.877,16.301,17.402,17.426,18.242,19.045,19.827,20.188,20.319,20.808,21.308,21.812,22.332
ACTL_2;CBNK_H;GREE_H;PERI_H,0.994,1.460,1.895,2.302,2.675,3.078,4.153,5.507,7.020,8.692,10.399,11.916,13.839,15.838,17.924,19.730,21.630,23.933,26.349,28.873,30.821,32.069,33.570,35.047,36.487,37.151,37.561,38.463,39.388,40.320,41.282
ALNE_P,0.125,0.183,0.238,0.289,0.336,0.386,0.417,0.553,0.704,0.872,1.044,1.147,1.332,1.525,1.726,1.899,1.969,2.178,2.398,2.628,2.805,2.786,2.917,3.045,3.170,3.228,3.145,3.221,3.298,3.376,3.457
ALVE1,1.886,2.771,3.595,4.367,5.078,5.840,8.466,11.228,14.310,17.717,21.200,24.142,28.036,32.086,36.315,39.971,42.702,47.250,52.020,57.000,60.849,61.157,64.022,66.839,69.583,70.852,70.136,71.822,73.550,75.287,77.084
AMEM_1,1.542,2.266,2.940,3.571,4.152,4.776,6.424,8.519,10.858,13.444,16.086,18.509,21.495,24.601,27.842,30.645,33.753,37.348,41.118,45.054,48.097,50.242,52.595,54.910,57.164,58.207,59.038,60.457,61.912,63.374,64.887
ARBR_P,0.223,0.328,0.425,0.516,0.600,0.691,1.209,1.604,2.044,2.531,3.028,3.647,4.235,4.847,5.485,6.038,6.563,7.262,7.995,8.761,9.352,9.489,9.934,10.371,10.797,10.993,10.852,11.113,11.380,11.649,11.927
ARDK_P;CLAC_P,0.013,0.019,0.025,0.030,0.035,0.040,0.036,0.048,0.061,0.076,0.091,0.095,0.110,0.126,0.143,0.157,0.159,0.176,0.193,0.212,0.226,0.222,0.232,0.243,0.253,0.257,0.249,0.255,0.261,0.267,0.274
ARMO_P,0.182,0.268,0.347,0.422,0.491,0.565,0.812,1.077,1.373,1.700,2.034,2.375,2.758,3.156,3.572,3.932,4.210,4.658,5.128,5.619,5.999,6.045,6.328,6.607,6.878,7.003,6.885,7.050,7.220,7.390,7.567
AXMI1,1.703,2.501,3.245,3.942,4.584,5.273,7.130,9.456,12.052,14.922,17.856,20.322,23.601,27.010,30.569,33.647,36.274,40.138,44.190,48.421,51.690,52.826,55.301,57.734,60.105,61.200,61.238,62.710,64.219,65.736,67.305
AYRR,0.274,0.403,0.522,0.634,0.738,0.849,1.657,2.198,2.801,3.468,4.150,5.067,5.884,6.734,7.622,8.389,9.185,10.163,11.189,12.260,13.088,13.302,13.925,14.538,15.134,15.410,15.221,15.587,15.962,16.339,16.729
BAGA,0.232,0.340,0.442,0.537,0.624,0.718,1.379,1.829,2.331,2.886,3.453,4.210,4.889,5.595,6.332,6.970,7.623,8.435,9.286,10.176,10.863,11.049,11.566,12.076,12.571,12.800,12.654,12.958,13.270,13.583,13.908
BAIN,0.155,0.228,0.295,0.359,0.417,0.480,0.922,1.223,1.559,1.930,2.309,2.815,3.269,3.741,4.234,4.660,5.097,5.640,6.210,6.804,7.264,7.388,7.734,8.075,8.406,8.560,8.462,8.665,8.873,9.083,9.300
BARKC1;BARKW3,2.291,3.365,4.367,5.304,6.168,7.094,9.253,12.271,15.640,19.364,23.171,26.518,30.797,35.245,39.890,43.906,48.325,53.471,58.870,64.506,68.861,72.020,75.394,78.712,81.943,83.437,84.619,86.654,88.739,90.835,93.003
BEAU_P;ORRI_P,0.137,0.201,0.261,0.317,0.368,0.423,0.609,0.808,1.030,1.275,1.525,1.781,2.068,2.367,2.679,2.949,3.157,3.493,3.846,4.214,4.499,4.534,4.746,4.955,5.158,5.252,5.163,5.288,5.415,5.543,5.675
BEDDT1,2.511,3.688,4.786,5.813,6.759,7.775,10.679,14.162,18.050,22.348,26.741,30.890,35.873,41.055,46.465,51.144,56.535,62.557,68.872,75.466,80.562,84.296,88.244,92.128,95.910,97.659,99.156,101.540,103.983,106.439,108.979
BEDD_1,4.335,6.369,8.264,10.038,11.672,13.425,18.440,24.455,31.168,38.590,46.176,53.341,61.946,70.894,80.236,88.314,97.625,108.023,118.928,130.314,139.114,145.562,152.380,159.086,165.617,168.636,171.222,175.338,179.557,183.798,188.185
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.194,0.285,0.370,0.450,0.523,0.602,0.866,1.148,1.463,1.812,2.168,2.531,2.940,3.364,3.808,4.191,4.487,4.965,5.466,5.989,6.393,6.443,6.745,7.042,7.331,7.464,7.338,7.514,7.695,7.877,8.065
BERW,0.107,0.158,0.204,0.248,0.289,0.332,0.648,0.860,1.096,1.357,1.624,1.982,2.302,2.635,2.982,3.282,3.593,3.976,4.378,4.797,5.121,5.204,5.448,5.688,5.921,6.029,5.955,6.098,6.245,6.393,6.545
BESW_1,2.310,3.393,4.403,5.348,6.218,7.153,9.707,12.873,16.408,20.315,24.308,27.904,32.405,37.086,41.973,46.199,50.440,55.812,61.447,67.330,71.876,74.379,77.863,81.290,84.627,86.170,87.009,89.101,91.245,93.400,95.629
BICF_1,1.370,2.012,2.611,3.171,3.688,4.242,7.016,9.304,11.859,14.682,17.568,20.270,23.541,26.941,30.491,33.561,35.694,39.496,43.483,47.646,50.864,50.589,52.958,55.289,57.559,58.608,57.632,59.018,60.438,61.865,63.342
BIRK_1,1.454,2.136,2.771,3.366,3.914,4.502,6.705,8.892,11.333,14.031,16.789,19.698,22.876,26.181,29.631,32.614,36.043,39.882,43.908,48.111,51.360,53.709,56.225,58.699,61.109,62.223,63.269,64.790,66.349,67.916,69.537
BISW_1,4.058,5.961,7.735,9.395,10.925,12.566,17.790,23.594,30.071,37.231,44.550,51.213,59.475,68.067,77.036,84.792,91.942,101.735,112.005,122.728,131.016,134.311,140.602,146.790,152.817,155.602,156.300,160.057,163.908,167.780,171.784
BLYTB1,0.764,1.122,1.456,1.768,2.056,2.365,3.861,5.120,6.526,8.080,9.668,11.349,13.180,15.084,17.072,18.791,20.575,22.767,25.065,27.465,29.319,30.125,31.536,32.924,34.276,34.901,35.074,35.917,36.781,37.650,38.548
BLYTH132,0.419,0.615,0.799,0.970,1.128,1.297,2.118,2.809,3.580,4.432,5.303,6.226,7.230,8.275,9.365,10.308,11.287,12.489,13.750,15.066,16.083,16.525,17.299,18.061,18.802,19.145,19.240,19.702,20.176,20.653,21.146
BOAG_P,0.077,0.114,0.148,0.179,0.208,0.240,0.345,0.457,0.583,0.722,0.863,1.008,1.171,1.340,1.517,1.669,1.787,1.977,2.177,2.385,2.547,2.566,2.686,2.805,2.920,2.973,2.923,2.993,3.065,3.137,3.212
BOLN_1,6.377,9.368,12.156,14.765,17.169,19.748,26.502,35.147,44.796,55.463,66.366,75.822,88.054,100.774,114.053,125.536,136.776,151.344,166.622,182.574,194.903,201.186,210.610,219.878,228.905,233.078,234.650,240.290,246.072,251.885,257.896
BONN,0.385,0.566,0.734,0.892,1.037,1.193,2.292,3.040,3.875,4.797,5.740,6.997,8.126,9.300,10.525,11.585,12.671,14.020,15.436,16.914,18.056,18.365,19.226,20.072,20.896,21.277,21.033,21.539,22.057,22.578,23.117
BOTW_1,1.098,1.612,2.092,2.541,2.955,3.399,4.355,5.775,7.361,9.114,10.905,12.399,14.399,16.479,18.650,20.528,22.411,24.799,27.302,29.916,31.936,33.126,34.678,36.204,37.691,38.378,38.755,39.686,40.641,41.601,42.594
BRAC_P,0.193,0.283,0.368,0.447,0.519,0.597,1.046,1.388,1.769,2.190,2.620,3.155,3.664,4.193,4.746,5.224,5.678,6.283,6.917,7.580,8.092,8.210,8.594,8.973,9.341,9.511,9.389,9.615,9.846,10.079,10.319
